mon_azon,mon_name,mon_group,mon_lvl,mon_hp,mon_ai,mon_range,mon_sight1,mon_sight2,mon_exp,mon_str,mon_hea,mon_int,mon_wis,mon_agi,mon_mp,mon_attspd,mon_otp,mon_eva,mon_minatt,mon_maxatt,mon_mag1,mon_mag2,mon_def1,mon_def2,mon_absorb,mon_move1,mon_move2,mon_res1,mon_res2,mon_res3,mon_res4,mon_res5,mon_pic,mon_3d
27,"Demon Mad Knight",3,29,938,2,28,160,320,105,88,38,8,8,30,70,1200,35,37,118,120,0,0,39,39,3,1600,800,18,18,20,20,20,22,"M019_B1.gb#57$Tex\M019-a.GTX$0$-1$0 M019_H1.gb#57$Tex\M019-a.GTX$0$-1$0"
28,"Castoff Baby Ghost",5,30,1014,2,20,160,320,109,90,40,2,1,36,70,1400,42,40,126,129,0,0,41,41,0,1600,800,19,19,20,20,20,28,"M029_B1.gb#57$Tex\M029.GTX$0$-1$0"
29,"Ghost of Young Man",5,31,1105,2,20,160,320,120,91,42,2,1,38,70,1400,44,43,135,138,0,0,41,41,0,1600,800,19,19,20,20,20,29,"M030_B1.gb#57$Tex\M030.GTX$0$-1$0"
30,"Ghost of Young Woman",5,32,1198,2,20,160,320,131,92,44,2,1,40,70,1400,45,49,145,148,0,0,41,41,0,1600,800,19,19,20,20,20,30,"M031_B1.gb#57$Tex\M031.GTX$0$-1$0"
31,"Ghost of Blacksmith",5,33,1258,2,20,160,320,141,93,46,2,1,42,70,1400,48,52,155,158,0,0,41,41,0,1600,800,19,19,20,20,20,31,"M032_B1.gb#57$Tex\M032.GTX$0$-1$0"
32,"Demon Commander",3,34,1744,2,28,160,320,133,94,50,12,9,36,70,1400,49,44,225,225,0,0,70,70,12,1600,800,41,41,49,49,49,23,"M020_B1.gb#57$Tex\M020_a.GTX$0$-1$0 M020_H1.gb#57$Tex\M020_a.GTX$0$-1$0"
33,"Ghost of Guard",5,34,1384,2,20,160,320,152,95,48,2,1,43,70,1400,52,55,165,168,0,0,41,41,0,1600,800,19,19,20,20,20,32,"M033_B1.gb#57$Tex\M033.GTX$0$-1$0"
34,"Devil Soldier",6,34,1377,2,28,200,320,171,96,52,14,7,43,70,1550,52,51,165,168,0,0,53,53,4,1600,750,24,24,26,26,26,35,"M037_B1.gb#57$Tex\M037.GTX$0$-1$0 M037_B2.gb#57$Tex\M037.GTX$0$-1$0 M037_H1.gb#57$Tex\M037.GTX$0$-1$0"
35,"Fellow Traveler to the Other World",5,35,1465,2,20,160,320,160,98,54,2,1,44,70,1400,54,51,175,178,0,0,41,41,0,1600,800,19,19,20,20,20,33,"M034_B1.gb#57$Tex\M034.GTX$0$-1$0"
36,"Devil Soldier with Twin Blades",6,36,1521,2,28,200,320,179,100,56,14,7,46,70,1550,57,51,182,186,0,0,59,59,4,1600,750,24,24,26,26,26,36,"M038_B1.gb#57$Tex\M038.GTX$0$-1$0 M038_B2.gb#57$Tex\M038.GTX$0$-1$0 M038_H1.gb#57$Tex\M038.GTX$0$-1$0"
37,"Demon Water Dragon Commander",4,37,1979,2,28,160,320,167,101,58,4,6,24,70,1500,52,56,261,261,0,0,72,72,0,1600,800,30,30,34,34,34,27,"M024_B1.gb#75$Tex\M024.GTX$0#0$-1$0 M024_B2.gb#75$Tex\M024.GTX$0#0$-1$0 M024_H1.gb#75$Tex\M024.GTX$0#0$-1$0"
38,"Sealed Ghost Troop",5,37,2121,2,20,160,320,221,103,58,2,1,48,70,1400,58,52,192,196,0,0,50,50,0,1600,800,19,19,20,20,20,34,"M035_B1.gb#57$Tex\M035.GTX$0$-1$0 M035_B2.gb#57$Tex\M035.GTX$0$-1$0 M035_B3.gb#57$Tex\M035.GTX$0$-1$0 M035_B4.gb#57$Tex\M035.GTX$0$-1$0"
39,"Devil Soldier with Bow",6,37,1630,2,120,200,320,185,102,58,14,7,48,70,1600,59,52,192,196,0,0,61,61,4,1600,750,24,24,26,26,26,37,"M039_B1.gb#57$Tex\M039.GTX$0$-1$0 M039_B2.gb#57$Tex\M039.GTX$0$-1$0 M039_H1.gb#57$Tex\M039.GTX$0$-1$0"
40,"Devil Soldier with Sword",6,38,1663,2,28,200,320,192,105,60,14,7,49,70,1550,64,52,200,204,0,0,63,63,4,1600,750,25,25,28,28,28,38,"M040_B1.gb#57$Tex\M040.GTX$0$-1$0 M040_B2.gb#57$Tex\M040.GTX$0$-1$0 M040_H1.gb#57$Tex\M040.GTX$0$-1$0"
41,"Ghost Troop",,39,,2,20,160,320,240,107,62,2,1,51,70,1400,70,60,208,212,0,0,50,50,10,1600,800,19,19,20,20,20,-1,
42,"Devil Soldier with Spear",6,39,1759,2,80,200,320,199,111,62,14,7,51,70,1600,66,53,209,213,0,0,66,66,4,1600,750,25,25,28,28,28,39,"M041_B1.gb#57$Tex\M041.GTX$0$-1$0 M041_B2.gb#57$Tex\M041.GTX$0$-1$0 M041_H1.gb#57$Tex\M041.GTX$0$-1$0"
43,"Devil Troop of Desire",7,40,1947,2,34,200,320,345,110,64,10,10,52,70,1500,69,53,260,261,0,0,47,39,8,1400,600,26,26,26,40,40,42,"M052_H1.gb#57$Tex\M052.GTX$0$-1$0"
44,"Devil Troop of Pain",7,41,2016,2,34,200,320,357,112,66,10,10,53,70,1500,70,53,264,265,0,0,48,40,8,1400,600,26,26,26,40,40,43,"M053_H1.gb#57$Tex\M053.GTX$0$-1$0"
45,"Enemy of Hyun-Woong",18,41,2016,1,34,200,320,100,112,66,10,10,53,70,1600,70,53,264,265,0,0,48,56,8,1600,750,38,38,38,40,40,36,"M038_B1.gb#57$Tex\M038.GTX$0$-1$0 M038_B2.gb#57$Tex\M038.GTX$0$-1$0 M038_H1.gb#57$Tex\M038.GTX$0$-1$0"
46,"Devil Troop of Greed",7,42,2091,2,34,200,320,366,114,68,10,10,54,70,1500,71,54,269,270,0,0,49,41,8,1400,600,27,27,27,40,40,44,"M054_H1.gb#57$Tex\M054.GTX$0$-1$0"
47,"Heuk Yong",18,42,2087,1,34,200,320,120,114,68,10,10,54,70,1500,71,54,269,270,0,0,49,49,8,1600,800,39,39,39,40,40,36,"M038_B1.gb#57$Tex\M038.GTX$0$-1$0 M038_B2.gb#57$Tex\M038.GTX$0$-1$0 M038_H1.gb#57$Tex\M038.GTX$0$-1$0"
48,"Dae-Il",18,42,2087,1,34,200,320,120,114,68,10,10,54,70,1500,71,54,269,270,0,0,49,49,8,1600,800,39,39,39,40,40,36,"M038_B1.gb#57$Tex\M038.GTX$0$-1$0 M038_B2.gb#57$Tex\M038.GTX$0$-1$0 M038_H1.gb#57$Tex\M038.GTX$0$-1$0"
49,"Goon-Sang-Ji",18,42,2087,1,34,200,320,120,114,68,10,10,54,70,1500,71,54,269,270,0,0,49,49,8,1600,800,39,39,39,40,40,36,"M038_B1.gb#57$Tex\M038.GTX$0$-1$0 M038_B2.gb#57$Tex\M038.GTX$0$-1$0 M038_H1.gb#57$Tex\M038.GTX$0$-1$0"
50,"Yoo",18,42,2087,1,34,200,320,120,114,68,10,10,54,70,1500,71,54,269,270,0,0,49,49,8,1600,800,39,39,39,40,40,36,"M038_B1.gb#57$Tex\M038.GTX$0$-1$0 M038_B2.gb#57$Tex\M038.GTX$0$-1$0 M038_H1.gb#57$Tex\M038.GTX$0$-1$0"
51,"Ma-Gwang",18,42,2087,1,34,200,320,120,114,68,10,10,54,70,1500,71,54,269,270,0,0,49,49,8,1600,800,39,39,39,40,40,36,"M038_B1.gb#57$Tex\M038.GTX$0$-1$0 M038_B2.gb#57$Tex\M038.GTX$0$-1$0 M038_H1.gb#57$Tex\M038.GTX$0$-1$0"
52,"Devil Troop of Jealousy",7,43,2160,2,34,200,320,392,116,70,10,10,55,70,1500,72,54,275,276,0,0,50,42,9,1400,600,27,27,27,40,40,45,"M055_H1.gb#57$Tex\M055.GTX$0$-1$0"
53,"Assassin who killed Yong-Chun",18,43,2160,2,34,200,320,120,116,70,10,10,55,70,1500,72,54,275,276,0,0,50,50,9,1600,800,39,39,39,40,40,36,"M038_B1.gb#57$Tex\M038.GTX$0$-1$0 M038_B2.gb#57$Tex\M038.GTX$0$-1$0 M038_H1.gb#57$Tex\M038.GTX$0$-1$0"
54,"Devil Troop of HatRed",7,44,2233,2,34,200,320,423,118,72,10,10,56,70,1500,73,54,282,283,0,0,51,43,9,1400,600,28,28,28,40,40,46,"M056_H1.gb#57$Tex\M056.GTX$0$-1$0"
55,"Doggebi of Monster Face",8,45,2670,2,28,200,320,486,115,75,10,10,57,70,1500,74,58,245,268,0,0,92,78,15,1600,500,21,21,21,40,40,49,"M044_B1.gb#75$Tex\M044.GTX$0#0$-1$0 M044_B2.gb#57$Tex\M044.GTX$0$-1$0 M044_B3.gb#57$Tex\M044.GTX$0$-1$0"
56,"Devil Troop of Madness",7,45,2310,2,34,200,320,459,120,74,10,10,57,70,1500,74,54,290,291,0,0,52,44,9,1400,600,29,29,29,40,40,47,"M057_H1.gb#57$Tex\M057.GTX$0$-1$0"
57,"2nd Devil Monster",6,45,2741,2,80,200,320,487,126,70,16,9,62,70,1500,73,64,321,321,0,0,81,81,7,1600,700,38,38,40,40,40,40,"M042_B1.gb#75$Tex\M042.GTX$0#0$-1$0 M042_B2.gb#75$Tex\M042.GTX$0$-1$0 M042_H1.gb#57$Tex\M042.GTX$0$-1$0"
58,"1st Devil Monster",6,46,3996,2,80,200,320,487,126,76,16,9,62,70,1500,79,64,241,421,0,0,81,81,14,1600,700,38,38,40,40,40,41,"M043_B1.gb#75$Tex\M043.GTX$0#0$-1$0 M043_B2.gb#75$Tex\M043.GTX$0$-1$0 M043_H1.gb#57$Tex\M043.GTX$0$-1$0"
59,"Devil Troop of Anger",7,46,2387,2,34,200,320,482,122,76,10,10,58,70,1500,75,55,299,300,0,0,53,45,10,1400,600,30,30,30,40,40,48,"M058_H1.gb#57$Tex\M058.GTX$0$-1$0"
60,"Doggebi with a Gong",8,47,2827,2,28,200,320,563,117,79,10,10,59,70,1500,76,58,249,276,0,0,96,81,16,1600,500,21,21,21,40,40,50,"M045_B1.gb#129$Tex\M045.GTX#Tex\M045_1.GTX$0#1#0#1#1$-1$0 M045_B2.gb#57$Tex\M045.GTX$0$-1$0 M045_B3.gb#57$Tex\M045.GTX$0$-1$0"
61,"Drunken Doggebi",8,48,2909,2,28,200,320,585,119,81,10,10,60,70,1500,77,59,251,284,0,0,100,85,16,1600,500,21,21,21,40,40,51,"M046_B1.gb#75$Tex\M046.GTX$0#0$-1$0 M046_B2.gb#57$Tex\M046.GTX$0$-1$0 M046_B3.gb#57$Tex\M046.GTX$0$-1$0"
62,"Devil Troop of Absorbing Green",18,48,8433,1,34,200,320,482,145,190,84,84,98,70,1500,75,55,264,324,0,0,53,45,10,1400,600,42,42,42,40,40,43,"M058_H1.gb#57$Tex\M058.GTX$0$-1$0"
63,"Doggebi with a Mask of Black Crow",8,49,2991,2,28,200,320,604,120,83,10,10,61,70,1500,78,59,253,292,0,0,104,88,17,1600,500,22,22,22,40,40,52,"M047_B1.gb#75$Tex\M047.GTX$0#0$-1$0 M047_B2.gb#57$Tex\M047.GTX$0$-1$0 M047_B3.gb#57$Tex\M047.GTX$0$-1$0"
64,"Doggebi with a Mask of Black Panther",8,50,3376,2,28,200,320,635,122,85,10,10,62,70,1500,79,59,258,300,0,0,108,91,17,1600,500,22,22,22,40,40,53,"M048_B1.gb#75$Tex\M048.GTX$0#0$-1$0 M048_B2.gb#57$Tex\M048.GTX$0$-1$0 M048_B3.gb#57$Tex\M048.GTX$0$-1$0"
65,"Evil Spirit",,50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1000,50,0,0,100,100,100,100,0,,-1,"M214_B1.gb#94$Tex\M214.GTX$0$-1$0"
66,"Giant Doggebi",8,51,3462,2,28,200,320,660,124,87,10,10,64,70,1500,80,60,261,312,0,0,115,97,18,1600,500,22,22,22,40,40,54,"M049_B1.gb#75$Tex\M049.GTX$0#0$-1$0 M049_B2.gb#57$Tex\M049.GTX$0$-1$0 M049_B3.gb#57$Tex\M049.GTX$0$-1$0"
67,"Guardian of Doggebi",8,52,3550,2,28,200,320,693,125,89,10,10,65,70,1500,81,60,264,324,0,0,120,102,18,1600,500,23,23,23,40,40,55,"M050_B1.gb#57$Tex\M050.GTX$0$-1$0 M050_B2.gb#57$Tex\M050.GTX$0$-1$0 M050_B3.gb#57$Tex\M050.GTX$0$-1$0"
68,"Doggebi of Monster Face D1",8,52,3658,2,28,190,320,770,130,92,10,10,65,70,1600,81,60,290,350,0,0,105,88,19,1600,500,24,24,24,40,40,49,"M044_B1.gb#75$Tex\M044.GTX$0#0$-1$0 M044_B2.gb#57$Tex\M044.GTX$0$-1$0 M044_B3.gb#57$Tex\M044.GTX$0$-1$0"
69,"Devil Troop of Desire D1",7,52,2355,2,34,190,320,770,110,64,10,10,52,70,1600,81,57,350,351,0,0,75,65,10,1400,600,29,29,29,40,40,42,"M052_H1.gb#57$Tex\M052.GTX$0$-1$0"
70,"Rotten Skeleton Warrior of the Royal Tomb with Sword 1",9,53,4138,2,28,200,320,823,125,95,60,50,67,150,1400,84,61,335,400,0,0,130,104,20,1500,500,28,28,28,40,40,56,"M078_B1.gb#57$Tex\M078.GTX$0$-1$0 M078_B2.gb#57$Tex\M078.GTX$0$-1$0 M078_B3.gb#57$Tex\M078.GTX$0$-1$0 M078_B4.gb#57$Tex\M078_1.GTX$0$-1$0"
71,"Rotten Skeleton Warrior of the Royal Tomb with Spear 1",9,53,4138,2,32,200,320,823,125,95,60,50,67,150,1400,84,61,335,400,0,0,130,104,20,1500,500,28,28,28,40,40,56,"M079_B1.gb#57$Tex\M079.GTX$0$-1$0 M079_B2.gb#57$Tex\M079.GTX$0$-1$0 M079_B3.gb#57$Tex\M079.GTX$0$-1$0 M079_B4.gb#57$Tex\M079_1.GTX$0$-1$0"
72,"Doggebi with a Gong D1",8,53,3825,2,28,190,320,823,131,92,10,10,67,70,1600,84,61,305,360,0,0,115,89,20,1600,500,25,25,25,40,40,50,"M045_B1.gb#129$Tex\M045.GTX#Tex\M045_1.GTX$0#1#0#1#1$-1$0 M045_B2.gb#57$Tex\M045.GTX$0$-1$0 M045_B3.gb#57$Tex\M045.GTX$0$-1$0"
73,"Devil Troop of Pain D1",7,53,2495,2,34,190,320,823,112,66,10,10,53,70,1600,84,58,360,361,0,0,76,66,11,1400,600,29,29,29,40,40,43,"M053_H1.gb#57$Tex\M053.GTX$0$-1$0"
74,"Rotten Skeleton Warrior of the Royal Tomb with Sword 2",9,54,4194,2,28,200,320,866,126,96,60,50,67,150,1400,84,61,338,402,0,0,131,104,20,1500,500,28,28,28,40,40,56,"M078_B1.gb#57$Tex\M078.GTX$0$-1$0 M078_B2.gb#57$Tex\M078.GTX$0$-1$0 M078_B3.gb#57$Tex\M078.GTX$0$-1$0 M078_B4.gb#57$Tex\M078_1.GTX$0$-1$0"
75,"Rotten Skeleton Warrior of the Royal Tomb with Spear 2",9,54,4194,2,32,200,320,866,126,96,60,50,67,150,1400,84,61,338,402,0,0,131,104,20,1500,500,28,28,28,40,40,56,"M079_B1.gb#57$Tex\M079.GTX$0$-1$0 M079_B2.gb#57$Tex\M079.GTX$0$-1$0 M079_B3.gb#57$Tex\M079.GTX$0$-1$0 M079_B4.gb#57$Tex\M079_1.GTX$0$-1$0"
76,"Chief of Angry Doggebi Troop",18,54,,1,28,200,320,693,186,230,92,92,110,70,1500,75,60,264,324,0,0,120,102,18,1600,500,38,38,38,40,40,55,"M050_B1.gb#57$Tex\M050.GTX$0$-1$0 M050_B2.gb#57$Tex\M050.GTX$0$-1$0 M050_B3.gb#57$Tex\M050.GTX$0$-1$0"
77,"Drunken Doggebi D1",8,54,4118,2,28,190,320,866,132,94,10,10,67,70,1600,84,61,308,370,0,0,116,89,20,1600,500,25,25,25,40,40,51,"M046_B1.gb#75$Tex\M046.GTX$0#0$-1$0 M046_B2.gb#57$Tex\M046.GTX$0$-1$0 M046_B3.gb#57$Tex\M046.GTX$0$-1$0"
78,"Devil Troop of Greed D1",7,54,2495,2,34,190,320,866,114,68,10,10,54,70,1600,85,58,368,369,0,0,77,67,12,1400,600,30,30,30,40,40,44,"M054_H1.gb#57$Tex\M054.GTX$0$-1$0"
79,"Rotten Skeleton Warrior of the Royal Tomb with Sword 3",9,55,4249,2,28,200,320,909,127,97,60,50,67,150,1400,85,61,340,404,0,0,132,105,20,1500,500,28,28,28,40,40,56,"M078_B1.gb#57$Tex\M078.GTX$0$-1$0 M078_B2.gb#57$Tex\M078.GTX$0$-1$0 M078_B3.gb#57$Tex\M078.GTX$0$-1$0 M078_B4.gb#57$Tex\M078_1.GTX$0$-1$0"
80,"Rotten Skeleton Warrior of the Royal Tomb with Spear 3",9,55,4249,2,32,200,320,909,127,97,60,50,67,150,1400,85,61,340,404,0,0,132,105,20,1500,500,28,28,28,40,40,56,"M079_B1.gb#57$Tex\M079.GTX$0$-1$0 M079_B2.gb#57$Tex\M079.GTX$0$-1$0 M079_B3.gb#57$Tex\M079.GTX$0$-1$0 M079_B4.gb#57$Tex\M079_1.GTX$0$-1$0"
81,"Doggebi with a Mask of Black Crow D1",8,55,4211,2,28,190,320,909,133,96,10,10,67,70,1600,85,61,310,380,0,0,117,90,20,1600,500,25,25,25,40,40,52,"M047_B1.gb#75$Tex\M047.GTX$0#0$-1$0 M047_B2.gb#57$Tex\M047.GTX$0$-1$0 M047_B3.gb#57$Tex\M047.GTX$0$-1$0"
82,"Devil Troop of Jealousy D1",7,55,2568,2,34,190,320,909,116,70,10,10,55,70,1600,85,58,370,371,0,0,78,68,13,1400,600,30,30,30,40,40,45,"M055_H1.gb#57$Tex\M055.GTX$0$-1$0"
83,"Minister of the Royal Tomb 1",9,56,4405,2,28,200,320,952,129,98,64,50,68,150,1400,85,62,345,405,0,0,134,107,21,1500,500,29,29,29,41,41,57,"M080_B1.gb#57$Tex\M080.GTX$0$-1$0 M080_B2.gb#57$Tex\M080.GTX$0$-1$0 M080_B3.gb#57$Tex\M080.GTX$0$-1$0"
84,"Maid of Honor of the Royal Tomb 1",9,56,,2,28,200,320,952,129,98,64,50,68,150,1400,85,62,345,405,0,0,134,107,21,1500,500,29,29,29,41,41,58,"M081_B1.gb#57$Tex\M081.GTX$0$-1$0 M081_B2.gb#57$Tex\M081.GTX$0$-1$0 M081_B3.gb#57$Tex\M081.GTX$0$-1$0 M081_B4.gb#57$Tex\M081.GTX$0$-1$0"
85,"Doggebi with a Mask of Black Panther D1",8,56,4405,2,28,190,320,952,134,98,10,10,68,70,1600,85,62,312,390,0,0,119,92,21,1600,500,26,26,26,41,41,53,"M048_B1.gb#75$Tex\M048.GTX$0#0$-1$0 M048_B2.gb#57$Tex\M048.GTX$0$-1$0 M048_B3.gb#57$Tex\M048.GTX$0$-1$0"
86,"Devil Troop of HatRed D1",7,56,2641,2,34,190,320,952,118,72,10,10,56,70,1600,85,59,372,373,0,0,79,69,14,1400,600,32,32,32,41,41,46,"M056_H1.gb#57$Tex\M056.GTX$0$-1$0"
87,"High Class Doggebi of Monster Face 1",13,56,5005,2,28,190,320,952,134,98,10,10,68,70,1600,85,62,312,400,0,0,119,92,21,1600,500,26,26,26,40,41,49,"M044_B1.gb#75$Tex\M044.GTX$0#0$-1$0 M044_B2.gb#57$Tex\M044.GTX$0$-1$0 M044_B3.gb#57$Tex\M044.GTX$0$-1$0"
88,"Minister of the Royal Tomb 2",9,57,,2,28,200,320,997,130,98,64,50,68,150,1400,86,62,345,408,0,0,135,108,21,1500,500,29,29,29,41,41,57,"M080_B1.gb#57$Tex\M080.GTX$0$-1$0 M080_B2.gb#57$Tex\M080.GTX$0$-1$0 M080_B3.gb#57$Tex\M080.GTX$0$-1$0"
