drp_azon,drp_group1,drp_group2,drp_chance1,drp_chance2,drp_item,drp_monst,drp_rev
173,7,2,1,0.5,218,7,"Heavy Blows"
174,7,2,1,0.40000001,218,7,"The Powerful"
175,7,2,1,0.40000001,218,7,"Explosive"
176,7,2,1,0.40000001,218,7,"Fierce"
177,7,2,1,0.30000001,248,7,"Fundamental"
178,7,2,1,0.2,248,7,"Powerful"
179,7,2,1,0.2,248,7,"Mighty"
180,7,2,1,0.2,248,7,"Cruel"
181,7,2,1,0.2,20,7,"Healthy"
182,7,2,1,0.2,20,7,"Vigorous"
183,7,2,1,0.2,32,7,"Confirmatory"
184,7,2,1,0.2,218,7,"Veteran Archers"
185,7,2,1,0.2,218,7,"Skillful Archers "
186,7,3,1,2,314,7,
187,7,3,1,2,315,7,
188,7,3,1,2,376,7,
189,7,3,1,5,379,7,
190,7,4,10,10,281,7,
191,7,4,10,10,298,7,
192,8,1,80,89.5,276,8,"10"
193,8,1,80,3,277,8,
194,8,1,80,6,278,8,
195,8,1,80,0.5,176,8,
196,8,1,80,0.5,218,8,
197,8,1,80,0.5,248,8,
198,8,2,20,96.699997,276,8,"13"
199,8,2,20,1,177,8,"Unlawful"
200,8,2,20,1,249,8,"Sharp"
201,8,2,20,1,219,8,"Reflective"
202,8,2,20,0.1,177,8,"Wondering Knights"
203,8,2,20,0.1,219,8,"Wondering Archers"
204,8,2,20,0.1,249,8,"Beginning Scholars"
205,9,1,60,90,276,9,"9"
206,9,1,60,4,277,9,
207,9,1,60,6,278,9,
208,9,2,10,96.699997,276,9,"11"
209,9,2,10,0.80000001,177,9,"Forced"
210,9,2,10,0.80000001,249,9,"Fictional"
211,9,2,10,0.80000001,219,9,"Agile"
212,9,2,10,0.30000001,177,9,"Wondering Knights"
213,9,2,10,0.30000001,219,9,"Wondering Archers"
214,9,2,10,0.30000001,249,9,"Beginning Scholars"
215,9,3,1,2,314,9,
216,9,3,1,2,315,9,
217,9,3,1,2,376,9,
218,9,3,1,5,379,9,
219,9,4,10,10,281,9,
220,9,4,10,10,298,9,
221,10,1,60,82.800003,276,10,"11"
222,10,1,60,4,277,10,
223,10,1,60,0.2,249,10,
224,10,1,60,12,278,10,
225,10,1,60,0.2,14,10,
226,10,1,60,0.2,17,10,
227,10,1,60,0.2,16,10,
228,10,1,60,0.2,15,10,
229,10,1,60,0.2,18,10,
230,10,2,1,96.599998,276,10,"13"
231,10,2,1,0.69999999,249,10,"Sharp"
232,10,2,1,0.69999999,249,10,"Agile"
233,10,2,1,0.60000002,249,10,"Keen"
234,10,2,1,0.60000002,249,10,"Reflective"
235,10,2,1,0.2,249,10,"Fundamental"
236,10,2,1,0.2,249,10,"Powerful"
237,10,2,1,0.1,32,10,"Confirmatory"
238,10,2,1,0.1,32,10,"Celebrated"
239,10,2,1,0.1,32,10,"Dignified"
240,10,2,1,0.1,250,10,"Beginning Scholars"
241,10,3,10,5,282,10,
242,10,3,10,5,299,10,
243,10,3,10,3,283,10,
244,10,3,10,3,300,10,
245,10,3,10,2,284,10,
246,10,3,10,2,301,10,
247,13,1,31,77.300003,276,14,"15"
248,13,1,31,8,277,14,
249,13,1,31,14,278,14,
250,13,1,31,0.2,249,14,
251,13,1,31,0.1,32,14,
252,13,1,31,0.1,35,14,
253,13,1,31,0.1,34,14,
254,13,1,31,0.1,33,14,
255,13,1,31,0.1,36,14,
256,13,2,30,85.300003,276,14,"16"
257,13,2,30,14,278,14,
258,13,2,30,0.2,249,14,
259,13,2,30,0.1,32,14,
260,13,2,30,0.1,35,14,
261,13,2,30,0.1,34,14,
262,13,2,30,0.1,33,14,
263,13,2,30,0.1,36,14,
264,13,3,0.5,98.099998,276,14,"17"
265,13,3,0.5,0.30000001,250,14,"Fictional"
266,13,3,0.5,0.30000001,250,14,"Fixed"
267,13,3,0.5,0.2,250,14,"Sharp"
268,13,3,0.5,0.2,250,14,"Confirmatory"
269,13,3,0.5,0.2,32,14,"Wisdoms"
270,13,3,0.5,0.1,32,14,"Celebrated"
271,13,3,0.5,0.1,35,14,"Dignified"
272,13,3,0.5,0.1,50,14,"Wisdoms"
273,13,3,0.5,0.1,50,14,"Celebrated"
274,13,3,0.5,0.1,50,14,"Dignified"
275,13,3,0.5,0.1,250,14,"Beginning Scholars"
276,13,3,0.5,0.1,250,14,"Veteran Scholars"
277,13,4,0.5,0.2,349,14,
278,13,4,0.5,0.2,316,14,
279,13,4,0.5,0.2,317,14,
280,13,4,0.5,0.2,355,14,
281,13,4,0.5,0.2,318,14,
282,13,4,0.5,0.2,319,14,
283,13,4,0.5,0.2,352,14,
284,13,4,0.5,0.2,320,14,
285,13,4,0.5,0.2,321,14,
286,13,4,0.5,0.2,358,14,
287,13,4,0.5,0.2,322,14,
288,13,4,0.5,0.2,323,14,
289,13,4,0.5,0.2,361,14,
290,13,4,0.5,0.2,324,14,
291,13,4,0.5,0.2,325,14,
292,13,4,0.5,0.2,314,14,
293,13,4,0.5,0.2,315,14,
294,13,4,0.5,0.2,364,14,
295,13,4,0.5,0.2,365,14,
296,13,4,0.5,0.2,366,14,
297,13,4,0.5,2,376,14,
298,13,4,0.5,10,379,14,
299,13,5,10,5,282,14,
300,13,5,10,5,299,14,
301,13,5,10,3,283,14,
302,13,5,10,3,300,14,
303,13,5,10,2,284,14,
304,13,5,10,2,301,14,
305,16,1,31,44.900002,276,17,"20"
306,16,1,31,32,280,17,
307,16,1,31,8,277,17,
308,16,1,31,0.1,178,17,
309,16,1,31,14,278,17,
310,16,1,31,0.2,26,17,
311,16,1,31,0.2,29,17,
312,16,1,31,0.2,28,17,
313,16,1,31,0.2,27,17,
314,16,1,31,0.2,30,17,
315,16,2,30,84.900002,276,17,"21"
316,16,2,30,0.1,178,17,
317,16,2,30,14,278,17,
318,16,2,30,0.2,26,17,
319,16,2,30,0.2,29,17,
320,16,2,30,0.2,28,17,
321,16,2,30,0.2,27,17,
322,16,2,30,0.2,30,17,
323,16,3,0.5,98.800003,276,17,"22"
324,16,3,0.5,0.2,178,17,"Explosive"
325,16,3,0.5,0.2,178,17,"Fierce"
326,16,3,0.5,0.1,179,17,"Harsh"
327,16,3,0.5,0.1,179,17,"Vigorous"
328,16,3,0.5,0.1,179,17,"Heroic"
329,16,3,0.5,0.1,179,17,"Strong Mans"
330,16,3,0.5,0.1,44,17,"Vital"
331,16,3,0.5,0.1,44,17,"Ablaze"
332,16,3,0.5,0.1,47,17,"Ablaze"
333,16,3,0.5,0.1,178,17,"Expert Knights"
334,16,4,0.5,0.2,349,17,
335,16,4,0.5,0.2,316,17,
336,16,4,0.5,0.2,317,17,
337,16,4,0.5,0.2,355,17,
338,16,4,0.5,0.2,318,17,
339,16,4,0.5,0.2,319,17,
340,16,4,0.5,0.2,352,17,
341,16,4,0.5,0.2,320,17,
342,16,4,0.5,0.2,321,17,
343,16,4,0.5,0.2,358,17,
344,16,4,0.5,0.2,322,17,
345,16,4,0.5,0.2,323,17,
346,16,4,0.5,0.2,361,17,
347,16,4,0.5,0.2,324,17,
348,16,4,0.5,0.2,325,17,
349,16,4,0.5,0.2,314,17,
350,16,4,0.5,0.2,315,17,
351,16,4,0.5,0.2,364,17,
352,16,4,0.5,0.2,365,17,
353,16,4,0.5,0.2,366,17,
354,16,4,0.5,2,376,17,
355,16,4,0.5,10,379,17,
356,16,5,10,5,282,17,
357,16,5,10,5,299,17,
358,16,5,10,3,283,17,
359,16,5,10,3,300,17,
360,16,5,10,2,284,17,
361,16,5,10,2,301,17,
362,17,1,31,44.900002,276,18,"20"
363,17,1,31,32,280,18,
364,17,1,31,8,277,18,
365,17,1,31,0.1,220,18,
366,17,1,31,14,278,18,
367,17,1,31,0.2,20,18,
368,17,1,31,0.2,23,18,
369,17,1,31,0.2,22,18,
370,17,1,31,0.2,21,18,
371,17,1,31,0.2,24,18,
372,17,2,30,84.900002,276,18,"21"
373,17,2,30,0.1,220,18,
374,17,2,30,14,278,18,
375,17,2,30,0.2,20,18,
376,17,2,30,0.2,23,18,
377,17,2,30,0.2,22,18,
378,17,2,30,0.2,21,18,
379,17,2,30,0.2,24,18,
380,17,3,0.5,98.800003,276,18,"22"
381,17,3,0.5,0.2,220,18,"Explosive"
382,17,3,0.5,0.2,220,18,"Fierce"
383,17,3,0.5,0.1,221,18,"Instant"
384,17,3,0.5,0.1,221,18,"Unlawful"
385,17,3,0.5,0.1,221,18,"Harsh"
386,17,3,0.5,0.1,221,18,"Flexible"
387,17,3,0.5,0.1,38,18,"Vital"
388,17,3,0.5,0.1,38,18,"Ablaze"
389,17,3,0.5,0.1,41,18,"Ablaze"
390,17,3,0.5,0.1,220,18,"Expert Archers"
391,17,4,0.5,0.2,349,18,
392,17,4,0.5,0.2,316,18,
393,17,4,0.5,0.2,317,18,
394,17,4,0.5,0.2,355,18,
395,17,4,0.5,0.2,318,18,
396,17,4,0.5,0.2,319,18,
397,17,4,0.5,0.2,352,18,
398,17,4,0.5,0.2,320,18,
399,17,4,0.5,0.2,321,18,
400,17,4,0.5,0.2,358,18,
401,17,4,0.5,0.2,322,18,
402,17,4,0.5,0.2,323,18,
403,17,4,0.5,0.2,361,18,
404,17,4,0.5,0.2,324,18,
405,17,4,0.5,0.2,325,18,
406,17,4,0.5,0.2,314,18,
407,17,4,0.5,0.2,315,18,
408,17,4,0.5,0.2,364,18,
409,17,4,0.5,0.2,365,18,
410,17,4,0.5,0.2,366,18,
411,17,4,0.5,2,376,18,
412,17,4,0.5,10,379,18,
413,17,5,10,5,282,18,
414,17,5,10,5,299,18,
415,17,5,10,3,283,18,
416,17,5,10,3,300,18,
417,17,5,10,2,284,18,
418,17,5,10,2,301,18,
419,18,1,31,44.900002,276,19,"22"
420,18,1,31,32,280,19,
421,18,1,31,8,277,19,
422,18,1,31,0.1,250,19,
423,18,1,31,8,278,19,
424,18,1,31,6,279,19,
425,18,1,31,0.2,32,19,
426,18,1,31,0.2,35,19,
427,18,1,31,0.2,34,19,
428,18,1,31,0.2,33,19,
429,18,1,31,0.2,36,19,
430,18,2,30,84.900002,276,19,"23"
431,18,2,30,0.1,250,19,
432,18,2,30,10,278,19,
433,18,2,30,4,279,19,
434,18,2,30,0.2,32,19,
435,18,2,30,0.2,35,19,
436,18,2,30,0.2,34,19,
437,18,2,30,0.2,33,19,
438,18,2,30,0.2,36,19,
439,18,3,0.5,98.800003,276,19,"25"
440,18,3,0.5,0.2,250,19,"Mighty"
441,18,3,0.5,0.2,250,19,"Considerable"
442,18,3,0.5,0.1,251,19,"Keen"
443,18,3,0.5,0.1,251,19,"Confirmatory"
444,18,3,0.5,0.1,251,19,"Celebrated"
445,18,3,0.5,0.1,251,19,"Ordinary"
446,18,3,0.5,0.1,50,19,"Dignified"
447,18,3,0.5,0.1,50,19,"Dignified"
448,18,3,0.5,0.1,53,19,"Merciful"
449,18,3,0.5,0.1,250,19,"Expert Scholars"
450,18,4,0.5,0.2,349,19,
451,18,4,0.5,0.2,316,19,
452,18,4,0.5,0.2,317,19,
453,18,4,0.5,0.2,355,19,
454,18,4,0.5,0.2,318,19,
455,18,4,0.5,0.2,319,19,
456,18,4,0.5,0.2,352,19,
457,18,4,0.5,0.2,320,19,
458,18,4,0.5,0.2,321,19,
459,18,4,0.5,0.2,358,19,
460,18,4,0.5,0.2,322,19,
461,18,4,0.5,0.2,323,19,
462,18,4,0.5,0.2,361,19,
463,18,4,0.5,0.2,324,19,
464,18,4,0.5,0.2,325,19,
465,18,4,0.5,0.2,314,19,
466,18,4,0.5,0.2,315,19,
467,18,4,0.5,0.2,364,19,
468,18,4,0.5,0.2,365,19,
469,18,4,0.5,0.2,366,19,
470,18,4,0.5,2,376,19,
471,18,4,0.5,10,379,19,
472,18,5,10,5,282,19,
473,18,5,10,5,299,19,
474,18,5,10,3,283,19,
475,18,5,10,3,300,19,
476,18,5,10,2,284,19,
477,18,5,10,2,301,19,
478,19,1,31,44.400002,276,20,"24"
479,19,1,31,32,280,20,
480,19,1,31,8,277,20,
481,19,1,31,9,278,20,
482,19,1,31,6,279,20,
483,19,1,31,0.2,178,20,
484,19,1,31,0.2,220,20,
485,19,1,31,0.2,250,20,
486,19,2,30,84.400002,276,20,"25"
487,19,2,30,13,278,20,
488,19,2,30,2,279,20,
489,19,2,30,0.2,178,20,
490,19,2,30,0.2,220,20,
491,19,2,30,0.2,250,20,
492,19,3,0.5,98.800003,276,20,"26"
493,19,3,0.5,0.2,179,20,"Strong Mans"
494,19,3,0.5,0.2,221,20,"Flexible"
495,19,3,0.5,0.2,251,20,"Ordinary"
496,19,3,0.5,0.1,179,20,"Veteran Knights"
497,19,3,0.5,0.1,221,20,"Veteran Archers"
498,19,3,0.5,0.1,251,20,"Veteran Scholars"
499,19,3,0.5,0.1,179,20,"Strong Knights"
500,19,3,0.5,0.1,221,20,"Skillful Archers "
501,19,3,0.5,0.1,251,20,"Skillful Scholars"
502,19,4,0.5,0.2,349,20,
503,19,4,0.5,0.2,316,20,
504,19,4,0.5,0.2,317,20,
505,19,4,0.5,0.2,355,20,
506,19,4,0.5,0.2,318,20,
507,19,4,0.5,0.2,319,20,
508,19,4,0.5,0.2,352,20,
509,19,4,0.5,0.2,320,20,
510,19,4,0.5,0.2,321,20,
511,19,4,0.5,0.2,358,20,
512,19,4,0.5,0.2,322,20,
513,19,4,0.5,0.2,323,20,
514,19,4,0.5,0.2,361,20,
515,19,4,0.5,0.2,324,20,
516,19,4,0.5,0.2,325,20,
517,19,4,0.5,0.2,314,20,
518,19,4,0.5,0.2,315,20,
519,19,4,0.5,0.2,364,20,
520,19,4,0.5,0.2,365,20,
521,19,4,0.5,0.2,366,20,
522,19,4,0.5,2,376,20,
523,19,4,0.5,10,379,20,
524,19,5,10,5,285,20,
525,19,5,10,5,302,20,
526,19,5,10,3,286,20,
527,19,5,10,3,303,20,
528,19,5,10,2,287,20,
529,19,5,10,2,304,20,
530,20,1,31,42.099998,276,21,"24"
531,20,1,31,32,280,21,
532,20,1,31,8,277,21,
533,20,1,31,10,278,21,
534,20,1,31,7,279,21,
535,20,1,31,0.1,179,21,
536,20,1,31,0.1,221,21,
537,20,1,31,0.1,251,21,
538,20,1,31,0.1,44,21,
539,20,1,31,0.1,47,21,
540,20,1,31,0.1,38,21,
541,20,1,31,0.1,41,21,
542,20,1,31,0.1,50,21,
543,20,1,31,0.1,53,21,
544,20,2,30,82.099998,276,21,"25"
545,20,2,30,14,278,21,
546,20,2,30,3,279,21,
547,20,2,30,0.1,179,21,
548,20,2,30,0.1,221,21,
549,20,2,30,0.1,251,21,
550,20,2,30,0.1,44,21,
551,20,2,30,0.1,47,21,
552,20,2,30,0.1,38,21,
553,20,2,30,0.1,41,21,
554,20,2,30,0.1,50,21,
555,20,2,30,0.1,53,21,
556,20,3,0.5,97.300003,276,21,"26"
557,20,3,0.5,0.30000001,179,21,"Strong Mans"
558,20,3,0.5,0.30000001,221,21,"Flexible"
559,20,3,0.5,0.30000001,251,21,"Ordinary"
560,20,3,0.5,0.1,180,21,"Harsh"
561,20,3,0.5,0.1,180,21,"Strong Mans"
562,20,3,0.5,0.1,252,21,"Keen"
563,20,3,0.5,0.1,252,21,"Ordinary"
564,20,3,0.5,0.1,222,21,"Instant"
565,20,3,0.5,0.1,222,21,"Flexible"
566,20,3,0.5,0.2,179,21,"Veteran Knights"
567,20,3,0.5,0.2,221,21,"Veteran Archers"
568,20,3,0.5,0.2,251,21,"Veteran Scholars"
569,20,3,0.5,0.2,179,21,"Strong Knights"
570,20,3,0.5,0.2,221,21,"Skillful Archers "
571,20,3,0.5,0.2,251,21,"Skillful Scholars"
572,20,4,0.5,0.2,349,21,
573,20,4,0.5,0.2,316,21,
574,20,4,0.5,0.2,317,21,
575,20,4,0.5,0.2,355,21,
576,20,4,0.5,0.2,318,21,
577,20,4,0.5,0.2,319,21,
578,20,4,0.5,0.2,352,21,
579,20,4,0.5,0.2,320,21,
580,20,4,0.5,0.2,321,21,
581,20,4,0.5,0.2,358,21,
582,20,4,0.5,0.2,322,21,
583,20,4,0.5,0.2,323,21,
584,20,4,0.5,0.2,361,21,
585,20,4,0.5,0.2,324,21,
586,20,4,0.5,0.2,325,21,
587,20,4,0.5,0.2,314,21,
588,20,4,0.5,0.2,315,21,
589,20,4,0.5,0.2,364,21,
590,20,4,0.5,0.2,365,21,
591,20,4,0.5,0.2,366,21,
592,20,4,0.5,2,376,21,
593,20,4,0.5,10,379,21,
594,20,5,10,5,285,21,
595,20,5,10,5,302,21,
596,20,5,10,3,286,21,
597,20,5,10,3,303,21,
598,20,5,10,2,287,21,
599,20,5,10,2,304,21,
600,22,1,31,44.299999,276,23,"26"
601,22,1,31,32,280,23,
602,22,1,31,8,277,23,
603,22,1,31,0.2,252,23,
604,22,1,31,0.1,50,23,
605,22,1,31,0.1,53,23,
606,22,1,31,0.1,52,23,
607,22,1,31,0.1,51,23,
608,22,1,31,0.1,54,23,
609,22,1,31,8,278,23,
610,22,1,31,7,279,23,
611,22,2,30,84.300003,276,23,"27"
612,22,2,30,0.2,252,23,
613,22,2,30,0.1,50,23,
614,22,2,30,0.1,53,23,
615,22,2,30,0.1,52,23,
616,22,2,30,0.1,51,23,
617,22,2,30,0.1,54,23,
618,22,2,30,13,278,23,
619,22,2,30,2,279,23,
620,22,3,0.5,99.400002,276,23,"28"
621,22,3,0.5,0.2,252,23,"Wise"
622,22,3,0.5,0.1,252,23,"Considerable"
623,22,3,0.5,0.1,253,23,"Keen"
624,22,3,0.5,0.1,253,23,"Veteran Scholars"
625,22,3,0.5,0.1,253,23,"Skillful Scholars"
626,22,4,0.5,0.2,349,23,
627,22,4,0.5,0.2,316,23,
628,22,4,0.5,0.2,317,23,
629,22,4,0.5,0.2,355,23,
630,22,4,0.5,0.2,318,23,
631,22,4,0.5,0.2,319,23,
632,22,4,0.5,0.2,352,23,
633,22,4,0.5,0.2,320,23,
634,22,4,0.5,0.2,321,23,
635,22,4,0.5,0.2,358,23,
636,22,4,0.5,0.2,322,23,
637,22,4,0.5,0.2,323,23,
638,22,4,0.5,0.2,361,23,
639,22,4,0.5,0.2,324,23,
640,22,4,0.5,0.2,325,23,
641,22,4,0.5,0.2,314,23,
642,22,4,0.5,0.2,315,23,
643,22,4,0.5,0.2,364,23,
644,22,4,0.5,0.2,365,23,
645,22,4,0.5,0.2,366,23,
646,22,4,0.5,2,376,23,
647,22,4,0.5,10,379,23,
648,22,5,10,5,285,23,
649,22,5,10,5,302,23,
650,22,5,10,3,286,23,
651,22,5,10,3,303,23,
652,22,5,10,2,287,23,
653,22,5,10,2,304,23,
654,24,1,31,44.299999,276,25,"28"
655,24,1,31,32,280,25,
656,24,1,31,8,277,25,
657,24,1,31,0.2,180,25,
658,24,1,31,0.1,44,25,
659,24,1,31,0.1,47,25,
660,24,1,31,0.1,46,25,
661,24,1,31,0.1,45,25,
662,24,1,31,0.1,48,25,
663,24,1,31,10,278,25,
664,24,1,31,5,279,25,
665,24,2,30,84.300003,276,25,"29"
666,24,2,30,0.2,180,25,
667,24,2,30,0.1,44,25,
668,24,2,30,0.1,47,25,
669,24,2,30,0.1,46,25,
670,24,2,30,0.1,45,25,
671,24,2,30,0.1,48,25,
672,24,2,30,13,278,25,
673,24,2,30,2,279,25,
674,24,3,0.5,99.099998,276,25,"30"
675,24,3,0.5,0.2,180,25,"Strongest Mans"
676,24,3,0.5,0.1,180,25,"Fierce"
677,24,3,0.5,0.1,181,25,"Harsh"
678,24,3,0.5,0.1,62,25,"Vital"
679,24,3,0.5,0.1,62,25,"Ablaze"
680,24,3,0.5,0.1,65,25,"Vigorous"
681,24,3,0.5,0.1,65,25,"Heroic"
682,24,3,0.5,0.1,181,25,"Strong Knights"
683,24,4,0.5,0.2,349,25,
684,24,4,0.5,0.2,316,25,
685,24,4,0.5,0.2,317,25,
686,24,4,0.5,0.2,355,25,
687,24,4,0.5,0.2,318,25,
688,24,4,0.5,0.2,319,25,
689,24,4,0.5,0.2,352,25,
690,24,4,0.5,0.2,320,25,
691,24,4,0.5,0.2,321,25,
692,24,4,0.5,0.2,358,25,
693,24,4,0.5,0.2,322,25,
694,24,4,0.5,0.2,323,25,
695,24,4,0.5,0.2,361,25,
696,24,4,0.5,0.2,324,25,
697,24,4,0.5,0.2,325,25,
698,24,4,0.5,0.2,314,25,
699,24,4,0.5,0.2,315,25,
700,24,4,0.5,0.2,364,25,
701,24,4,0.5,0.2,365,25,
702,24,4,0.5,0.2,366,25,
703,24,4,0.5,2,376,25,
704,24,4,0.5,10,379,25,
705,24,5,10,5,285,25,
706,24,5,10,5,302,25,
707,24,5,10,3,286,25,
708,24,5,10,3,303,25,
709,24,5,10,2,287,25,
710,24,5,10,2,304,25,
711,26,1,31,47.700001,276,27,"30"
712,26,1,31,32,280,27,
713,26,1,31,8,277,27,
714,26,1,31,9,278,27,
715,26,1,31,3,279,27,
716,26,1,31,0.1,181,27,
717,26,1,31,0.1,223,27,
718,26,1,31,0.1,253,27,
719,26,2,30,87.699997,276,27,"31"
720,26,2,30,11,278,27,
721,26,2,30,1,279,27,
