sk_megn,sk_type,sk_poz,sk_desc,sk_order,sk_pic,sk_lvl,sk_pre,sk_form,sk_pars,sk_maxpars,sk_mana,sk_charge,sk_coold,sk_range,sk_lasting,sk_honor
"Staggering Blow","2",15,"Draw a bow longer for more powerful attack",2,1,"5|10","|0","Add. Attack Point + #0 Add. On-target Point + #1
Hostility 100% Increase
Chance of Fatal Blow 10% Increase","50 7 ch_agi * sk_lvl * 8 / +|sk_lvl 2 /","900|0","16 3 sk_lvl * +","3000 sk_lvl 100 * -","0","0","0",0
"Summons","2",4,"Revive one player who's not able to fight
Revived character will be brought up to you",1,105,"50 61 68|1 1 1","Revival (M)|1","Revived character will get only #0 % of EXP loss","75 sk_lvl 25 * -","0","230 sk_lvl 30 * +","3000 sk_lvl 400 * -","5000","128 sk_lvl 16 * +","0",0
"Survival Instinct","2",11,"When remaining MP is 10%, converting MP to HP",11,68,"56 63|1 1","|0","Converts Remaining MP * #0 to HP","sk_lvl 2 *","0","0","1500","1800000","0","0",0
"Shock Wave","2",2,"Give the strong Shock Wave to the opponent",4,82,"31|5","Lightning Magic|5","Min Magic Attack Point + #0
Max Magic Attack Point + #1 (+ Lightening Mastery * 20)","50 5 sk_lvl * 6 / + 3 ch_int * sk_lvl * 4 / +|150 5 sk_lvl * 6 / + 11 ch_int * sk_lvl * 6 / +","500|1200","56 sk_lvl 6 * +","0","1200","32","0",0
"Thunder","2",3,"Drop thunderbolt to the selected target",9,100,"63 66|1 1","Lightning Summons|2","Min Magic Attack Point + #0
Max Magic Attack Point + #1","360 3 ch_lvl * 2 / + 5 ch_int * sk_lvl * 4 / +|700 3 ch_lvl * 2 / + 15 ch_int * sk_lvl * 4 / +","600|1500","40 sk_lvl 8 * +","1000","600","190","0",0
"Transcendental Blow","2",9,"Controls vigor in the body for attacking supreme damage to the enemy",1,46,"30|5","|0","Add. Attack Point + #0 Add.On-target Point + #1
Hostility 200 % Increase
fatal attack opportunity 5 % increase","150 sk_lvl 50 * +|sk_lvl 2 *","0|0","28 sk_lvl 3 * +","550 sk_lvl 50 * -","3300","0","0",0
"Thunder Storm","2",3,"Thunderbolts are dropping for certain amount of time on the selected area.
Attack every target in the area every 2 seconds for 16 seconds",11,102,"65|1","Chain Lightning|1","Min Magic Attack Point + #0
Max Magic Attack Point + #1 (+ Lightening Mastery * 12)","216 9 ch_lvl * 10 / + 3 ch_int * sk_lvl * 4 / +|420 9 ch_lvl * 10 / + 9 ch_int * sk_lvl * 4 / +","0|0","352","4000","180000","190","0",0
"Upward Slash","2",8,"After Lightning Slash, raise the sword for attacking upward",5,45,"24|5","Lightning Slash|5","Add. Attack Point + #0 Add. On-target Point + #1
Hostility 50 % Increase","60 sk_lvl 20 * +|sk_lvl","0|0","sk_lvl 15 +","0","700","0","0",0
"Weapon Mastery","1",8,"Handles weapon well for giving more damage to the enemy",1,42,"1 60|20 2","|0","On-target Point + #0
Min/Max Attack + #1","sk_lvl 2 /|1 sk_lvl 2 / +","0|0","0","0","0","0","0",1
"Widening Wound","2",9,"It's a next attack after Upward Slash",6,51,"43|5","Upward Slash|1","Add. Attack Point + #0 Add.On-target Point + #1
Hostility 100 % Increase","80 sk_lvl 24 * +|sk_lvl 2 *","0|0","sk_lvl 15 +","0","700","0","0",0
"Critical Hit (K)","2",10,"The power of attack is increased
And the percentage of activation remains same as 15%",7,2,"61|1","|0","-","0","0","0","0","0","0","0",0
"Attack Power Up","1",22,"Increase your basic Power",1,125,"1 60|10 2","|0","Min Attack + #0
Max Attack + #1","sk_lvl|sk_lvl","0|0","0","0","0","0","0",1
"Increase Target Rate","1",22,"Increase your basic Target Points",2,126,"10 60|10 2","|0","On-target Point + #0","sk_lvl 2 *","0","0","0","0","0","0",1
"Hiding","2",22,"Conceal yourself from the detection of enemy.
This skill reduces your Movement.",3,127,"15|3","|0","Move speed : 70 %","0","0","10 sk_lvl 10 * +","0","60000","0","15 sk_lvl 5 * +",0
"Assault","2",22,"Deliver a powerful blow to an enemy; can be used only while Hiding.",4,128,"19|5","Hiding|1","Add Power + #0
On-target Point + #1
Fatal attack percentage is increased: 10 %","50 7 ch_agi * sk_lvl * 8 / +|sk_lvl 2 *","0|0","25 sk_lvl 20 * +","0","30000","0","0",0
"Increase Critical Rate","1",22,"Increase your basic Critical Attack Rate.",5,2,"19 60|10 2","|0","Fatal attack percentage is increased: #0 %","sk_lvl","0","0","0","0","0","0",1
"Increase Critical Damage","1",22,"Increase your basic Critical Attack damage.",6,2,"24 60|10 2","|0","-","0","0","0","0","0","0","0",1
"Weapon Defend","1",12,"Create a chance of blocking attacks with your weapon.
Damage is waived when an attack is successfully blocked.",2,129,"70|1","|0","-","0","0","0","0","0","0","0",0
"Spin Slash","2",12,"Spin and inflict damage to all enemies around you with
Level 5 Critical Point. 
Requires a two-handed weapon.",3,130,"70|6","|0","Enemys Defense - #0","sk_lvl 10 *","0","50 ch_lvl 2 * + sk_lvl ch_lvl 2 * 50 + * 10 / +","0","30000","0","0",0
"Defense Strengthening","1",13,"Increase your defense in proportion to your
strength and level.",2,131,"70|1","|0","-","0","0","0","0","0","0","0",0
"Perfect Defense","2",13,"Reduce all physical and magical damage by 90%. 
Requires a shield. This damage reduction applies to every type
of attack damage without exception.",3,132,"70|6","|0","-","0","0","20 ch_lvl 4 * + sk_lvl ch_lvl 4 * * 10 / +","0","320000 sk_lvl 20000 * -","0","35 sk_lvl 5 * +",0
"Sharpness","1",19,"Increases the movement speed of the Sprint skills; 
does not apply to basic movement speed.",2,133,"70|1","|0","-","0","0","90","0","0","0","30",0
"Arrow Rain","2",19,"Shower an area with arrows for a 10 second duration.
The skill is canceled if you move during the casting of the skill.",3,134,"70|6","|0","-","0","0","20 ch_lvl 4 * +","1500","320000 sk_lvl 20000 * -","0","0",0
"Shrewdness","1",20,"Increase your basic Evasion Point.",2,135,"70|1","|0","-","0","0","0","0","0","0","0",0
"Arrow Explosion","2",20,"Attack a single target with an explosive arrow
that detonates shortly after impact.
Enemies within a certain radius around the target are inflicted
with splashed damage upon explosion.",3,136,"70|6","|0","-","0","0","20 ch_lvl 4 * +","1500","320000 sk_lvl 20000 * -","0","0",0
"Stun","2",23,"Stun an enemy, can be used only while Hiding. 
Failing to stun a target reduces your Defense for 5 seconds. 
The Stun effect lasts for a set duration, 
but is canceled if the target receives damage.",1,143,"30|3","Assault|1","Defense decrease : -50","0","0","10 sk_lvl 10 * +","0","10000","0","0",0
"Confusion","2",23,"Confuse a target. When confused, 
enemy cannot attack you for a set duration, 
but can perform other actions except attack.",2,144,"30|3","Assault|1","-","0","0","10 sk_lvl 20 * +","0","300000","0","0",0
"Strangle","2",23,"Strangle an enemy to inflict damage and cause
the Stun effect.
Can be used only while Hiding.",3,145,"35|5","Assault|2","Add Power + #0
On-target Point + #1","50 sk_lvl 10 * +|9 sk_lvl +","0|0","10 sk_lvl 5 * +","0","20000","0","sk_lvl 1 +",0
"Dual Shadow","2",23,"Inflict damage and increase your Evasion Rate.
Can be used only while Hiding.",4,146,"40|5","Strangle|1","Add Power + #0
On-target Point + #1
Evasion + #2","sk_lvl 12 *|sk_lvl 2 *|sk_lvl 3 *","0|0|0","10 sk_lvl 10 * +","0","600000","0","15",0
"Fatal Wound","2",24,"Ambush an enemy to inflict fatal wound that causes continuous 
damage for a set duration",1,147,"53|3","|0","-","0","0","15 sk_lvl 30 * +","0","30000","0","0",0
"Ankle Amputate","2",24,"Attack the ankle of an enemy to slow down the Movement Speed.",2,148,"54|3","Fatal Wound|1","-","0","0","45 sk_lvl 10 * +","0","20000","0","0",0
"Suicidal Blow","2",24,"Consume a certain amount of your HP to deliver a powerful attack; 
has high Hit Rate, but can be used only when your HP is 60% or higher.",3,149,"56|5","|0","-","0","0","45 sk_lvl 40 * +","3","600000","0","0",0
"Magic Intensification","2",5,"Cast offensive spells whose powers are not limited
by levels.",2,137,"70|6","|0","-","0","0","ch_lvl 5 *","0","320000 sk_lvl 20000 * -","0","24 sk_lvl 3 * +",0
"Flame Injection","2",5,"Shoot flames whose attack range is limited to the area directly
in front of the caster. This skills effect lasts for a 10 second duration,
but is canceled if you move. Inflicts both initial and continuous damage.",3,138,"70|6","Fire Storm|1","-","0","0","120 ch_lvl 4 * +","1000","320000 sk_lvl 20000 * -","0","0",0
"Icicle","2",5,"Summon icicles on random areas on the ground that will damage
enemies around you. This skills effect lasts for a 10 second duration,
but is canceled if you move. Inflicts continuous damage.",4,139,"70|6","Ice Storm|1","-","0","0","120 ch_lvl 4 * +","1000","320000 sk_lvl 20000 * -","0","0",0
"Lightning Arrow","2",5,"Shoot a lightning arrow that debuffs a target and inflicts damage. 
If a Lightning buff magic spell was cast on the target, the target receives more damage from this skill. 
This skill also inflicts splashed damage to enemies around the target.",5,140,"70|6","Thunder Storm|1","-","0","0","120 ch_lvl 4 * +","1000","320000 sk_lvl 20000 * -","0","0",0
"Healing Intensification","1",6,"Increase the restorative effect of your healing skills.",2,141,"70|1","|0","-","0","0","0","0","0","0","0",0
"Blessing","2",6,"Endow invincibility to yourself and a friendly target.",3,142,"70|6","|0","-","0","0","400 sk_lvl 10 * +","0","320000 sk_lvl 20000 * -","0","3 sk_lvl 3 * +",0
"Vital Strike","2",24,"When a targets HP is 30% or lower, 
attack the weak spot to inflict great damage and cause the Stun effect. 
If the targetˇŻs HP is higher than 30%, this skill only inflicts damage.",4,150,"56|3","|0","-","0","0","35 sk_lvl 30 * +","0","30000","0","0",0
"Rupture","2",24,"Deliver a powerful blow that inflicts continuous damage.",5,151,"58|5","Ankle Amputate|1","-","0","0","35 sk_lvl 30 * +","2","120000","0","0",0
"Final Blow","2",24,"When a targets HP is 30% or lower, spend all of your energy to deliver a critical blow.",6,152,"60|2","Rupture|2","-","0","0","0","2","600000","0","0",0
"Dance of Killing","2",25,"Momentarily intensify your energy to deliver a shower of attacks to an enemy.",1,153,"50|2","|0","Lasting time: #0 sec","sk_lvl 15 *","0","80 sk_lvl 20 * +","0","40000","0","0",0
"Spin Attack","2",25,"Inflict area-effective damage to surrounding enemies.",2,154,"50|3","|0","On-target Point + #0","5","0","25 sk_lvl 50 * +","0","20000","0","0",0
"Counter attack","2",25,"When attacked, reflect a certain amount of damage
to the attacker for this skills duration.",3,155,"53|5","|0","Critical hit rate increased : #0","45 sk_lvl 30 * +","0","45 sk_lvl 30 * +","0","60000","0","0",0
"Armor Breaker","2",25,"Attack the armor of an enemy to decrease the Defense for a set duration.",4,156,"54|5","|0","Enemy defense - #0 %
Lasting time: #1 sec","23|10","0|0","35 sk_lvl 30 * +","0","30000","0","0",0
"Twin Blade Strike","2",25,"Inflict great damage with dual daggers.",5,157,"60|1","|0","-","0","0","65","0","600000","0","0",0
"Life Extension (T)","1",28,"Add more Health Points to your original HP forever",1,41,"50 55 60 65 70|1 1 1 1 1","|0","Hp Revision: + #0 %","14 sk_lvl 10 * +","0","0","0","0","0","0",0
"Amnesia","2",4,"Make the anger point of selected target to zero",17,121,"59|1","|0","-","0","0","50","1500","5000","190","0",0
"Speed of Attack Reducer","2",18,"Reduce the target's speed of physical attack for a while",3,24,"52 61|1 1","|0","Speed of Attack reduces by #0 %","sk_lvl 30 *","0","20","0","0","0","15",0
"Berserk","2",10,"Offensive power increases but Defensive power decreases",5,56,"53 56 59 62 65 70|1 1 1 1 1 1","|0","Short Range Attack + #0 % Defense - #1 %","5 sk_lvl 6 * +|3 sk_lvl 2 * +","0|0","200 sk_lvl 15 * +","0","600000","0","60",0
"Blessing of Agility","2",4,"Increase the Agility of the selected target",11,115,"55 64|1 1","|0","Agility + #0","3 sk_lvl 8 * +","0","67 sk_lvl 26 * +","2000","5000","94","1200",0
"Blessing of Health","2",4,"Increase the health of the selected target",10,114,"54 64|1 1","|0","Health + #0","3 sk_lvl 8 * +","0","60 sk_lvl 27 * +","2000","5000","94","1200",0
"Blessing of Intelligence","2",4,"Increase the Intelligence of the selected target",12,116,"56 65|1 1","|0","Intelligence + #0","2 sk_lvl 6 * +","0","64 sk_lvl 32 * +","2000","5000","94","1200",0
"Blessing of Strength","2",4,"Increase the strength of the selected target",9,113,"54 63|1 1","|0","Strength + #0","2 sk_lvl 6 * +","0","64 sk_lvl 32 * +","2000","5000","94","1200",0
"Blow-up Arrow","2",16,"Arrow blows up after the arrow gets on target",5,10,"46|5","Flamy Arrow|5","Add. Attack Point + #0 Add. On-target Point + #1
Hostility 75 % Increase","sk_lvl 19 *|sk_lvl 2 *","0|0","7 sk_lvl 2 * +","0","0","0","0",0
"Bow Mastery","1",15,"Use a bow more effectively",1,0,"1 60|10 2","|0","Min Attack Point + #0
Max Attack Point + #1","sk_lvl 2 /|sk_lvl","0|0","0","0","0","0","0",1
"Brutal Attack","2",10,"By using the Death Blow Points, Making a Brutal Attack to the enemy.
Death Blow Point is needed. Damage increases depending on the Death Blow Points",4,55,"53 56 63 67 70|1 1 1 1 1","|0","Add. Attack Point + ??","0","0","12 sk_lvl 3 * +","0","700","0","0",0
"Buff Remover","2",18,"Disable all the buffs from the target",17,38,"63|1","|0","-","0","0","68","0","0","0","0",0
"Call of Defense","2",11,"Increasing group members' defense.
Its effectiveness disappears if another chant is used",2,59,"51 57 63|1 1 1","|0","Add. Close Defense : #0 %
Add. Log-range Defense : #1 %","7 sk_lvl 7 * + 2 +|9 sk_lvl 3 * +","0|0","0","0","10000","0","0",0
"Call of Fire Defense","2",11,"Increase Fire defense of all member of group.
Effectiveness disappears when other chant is used.",5,62,"53 57 64|1 1 1","|0","Fire Resistance + #0 %","2 sk_lvl 3 * +","0","0","0","10000","0","0",0
"Call of Ice Defense","2",11,"Increase Ice defense of all member of group.
Effectiveness disappears when other chant is used",6,63,"53 57 64|1 1 1","|0","Ice Resistance + #0 %","2 sk_lvl 3 * +","0","0","0","10000","0","0",0
"Call of Lightning Defense","2",11,"Increase Lightning defense of all member of group.
Effectiveness disappears when other chant is used",7,64,"53 57 64|1 1 1","|0","Lightning Resistance + #0 %","2 sk_lvl 3 * +","0","0","0","10000","0","0",0
"Call of On Target Point","2",11,"Increase On Target Point of all member of group.
Effectiveness disappears when other chant is used",8,65,"54 58 65|1 1 1","|0","On-target Point + #0","5 sk_lvl 5 * +","0","0","0","10000","0","0",0
"Call of Physical Attack","2",11,"Increase the Min and Max Physical Attack Point of all member of group.
Effectiveness disappears when other chant is used",9,66,"54 60 66|1 1 1","|0","Close Attack + #0","25 sk_lvl 25 * +","0","0","0","10000","0","0",0
"Call of Recovery","2",11,"Recovering group members' HP little by little.
Its effectiveness disappears if another chant is used",10,67,"55 61 67|1 1 1","|0","Recovers minimum of #0 HP in every 3 seconds","4 sk_lvl 8 * +","0","0","0","10000","0","0",0
"Chain Lightning","2",3,"Deliver the lightning effect to the selected target
and the near the target continuously",7,98,"59|1","Lightning Blow|10","Min Magic Attack Point + #0
Max Magic Attack Point + #1","360 3 ch_lvl * 2 / + 7 ch_int * sk_lvl * 6 / +|700 3 ch_lvl * 2 / + 5 ch_int * sk_lvl * 4 / +","400|700","174","2200","300","190","0",0
"Chance Capture","2",21,"Increase the chance of Fatal Blow with its potential power",2,40,"30 35 40 45 50|1 1 1 1 1","|0","Chance of Fatal Blow + #0 % Add. On-target Point + #1","3 sk_lvl 2 * +|sk_lvl","0|0","56","0","0","0","300 sk_lvl 300 * +",0
"Cold Binding","2",3,"Freeze up to 5 enemies in the effective area with cold frost",5,96,"54 58 63 68|1 1 1 1","Frost|1","-","0","0","60 sk_lvl 6 * +","1200","800","210","6 sk_lvl 2 * +",0
"Concentration","1",15,"Concentrate mind for increasing the on-target point permanently",4,3,"15 60|10 2","|0","On-target Point + #0","sk_lvl 2 *","0","0","0","0","0","0",1
"Critical Hit (A)","1",17,"The power of attack is increased
And the percentage of activation remains same as 15%",12,2,"61|1","|0","Chance of Fatal Blow ?? % Increase","0","0","0","0","0","0","0",0
"Critical Hit (knight)","1",8,"Enable the skill that giving additional damage to the enemy",3,2,"10 34 47 60|5 5 5 2","|0","Chance of Operation : #0 % Add. Attack : #1 %","sk_lvl|50 sk_lvl 2 * +","10|0","0","0","0","0","0",1
"Cure","2",1,"Recover some health points of one who is selected",5,77,"16|10","Heal|3","Amount of recovering : #0","70 30 sk_lvl * + 7 ch_lvl * 22 / + 3 ch_wis * sk_lvl * 22 / +","500","8 sk_lvl 3 * +","1800","600","130 sk_lvl 3 * +","0",0
"Cure 2","2",2,"Recover some health points of one who is selected",8,86,"36|5","Cure|10","Recovering Point : #0","500 50 sk_lvl * + 4 ch_lvl * 11 / + 5 ch_wis * sk_lvl * 18 / +","900","39 sk_lvl 3 * +","1500","600","170 sk_lvl 4 * +","0",0
"Ice Restriction","2",3,"Call the ice to the selected target and give the damage
to the target and reduce the moving speed",6,97,"56|1","Splashy Ice|2","Min Magic Attack Point + #0","480 3 ch_lvl * 2 / + 1 ch_int * sk_lvl * 6 / +","500","126","800","600","190","0",0
"Ice Storm","2",3,"Ice and snow are dropping for certain amount of time on the selected area.
Attack every target in the area every 2 seconds for 16 seconds",12,103,"65|1","Ice Restriction|1","Magic Attack Point + #0","144 9 ch_lvl * 10 / + 3 ch_int * sk_lvl * 4 / +","0","392","4000","180000","190","0",0
"Lightning Blow","2",1,"Lightning get blow up when it hits the target",6,78,"21|10","Lightning Magic|10","Min Magic Attack Point + #0
Max Magic Attack Point + #1 (+ Lightening Mastery * 20)","3 ch_lvl * 4 / 3 ch_int * sk_lvl * 40 / +|3 ch_lvl * 4 / 5 ch_int * sk_lvl * 16 / +","450|600","sk_lvl 12 +","700","600","120 sk_lvl 6 * +","0",0
"Life Absorption","2",18,"Reduce the target's HP and absorb some part of the HP",1,22,"50 57 66|1 1 1","|0","Absorb Rate ??","0","0","20 sk_lvl 6 * +","0","0","0","0",0
"Life Extension (A)","1",21,"Add more Health Points to your original HP forever",3,41,"50 55 60 65 70|1 1 1 1 1","|0","Hp Revision: + #0 %","14 sk_lvl 10 * +","0","0","0","0","0","0",0
"Life Extension (K)","1",14,"Add more Health Points to your original HP forever",3,41,"50 55 60 65 70|1 1 1 1 1","|0","Hp Revision: + #0%","14 sk_lvl 10 * +","0","0","0","0","0","0",0
"Life Extension (magician)","1",7,"Add more Health Points to your original HP forever",3,41,"50 55 60 65 70|1 1 1 1 1","|0","Hp Revision: + #0%","14 sk_lvl 10 * +","0","0","0","0","0","0",0
"Lightning Resistance","2",17,"Increase the resistance on Lightning",5,15,"52 64|1 1","|0","Lightning Resistance + #0 %","10 sk_lvl 5 * +","0","42 sk_lvl 11 * +","0","0","0","900",0
"Lightning Magic","2",1,"Throw lightning to the enemy to give lightning damage",1,73,"1|10","|0","Min Magic Attack Point + #0
Max Magic Attack Point + #1 (+ Lightening Mastery * 20)","3 ch_lvl * 4 / ch_int sk_lvl * 16 / +|3 ch_lvl * 4 / ch_int sk_lvl * 16 / +","150|300","2 sk_lvl 2 / +","600","600","110 sk_lvl 6 * +","0",0
"Loss of Confidence","2",18,"Decrease the target's On-Target Point temporally",15,36,"61|1","|0","On-target Point - 50 %","0","0","98","0","0","0","10",0
"Long-range Protection","2",7,"Perfect defense from log range attack by one time.
Efficiency disappears after defense",1,123,"25|1","|0","-","0","0","64","800","5000","180","240",0
"Lightning Slash","2",8,"Using normal sword skills with controlling of wrist for more powerful attack",2,43,"5|10","|0","Add. Attack Point + #0
Add. On-target Point + #1","sk_lvl 8 *|sk_lvl 2 /","0|0","sk_lvl 10 +","0","700","0","0",0
"Lightning Summons","2",3,"Striking the lightning to the selected object from the sky",4,95,"53 57|1 1","Lightning Blow|10","Min Magic Attack Point + #0
Max Magic Attack Point + #1 (+ Lightening Mastery * 20)","320 3 ch_lvl * 2 / + 1 ch_int * sk_lvl * 7 / +|320 3 ch_lvl * 2 / + 7 ch_int * sk_lvl * 8 / +","451|900","22 sk_lvl 4 * +","800","600","190","0",0
"Meditation","2",2,"Recover one's own energy point slowly",5,83,"32 60|3 2","|0","Maximum #0 mana points per tick","5 sk_lvl 5 * +","0","0","0","0","0","0",1
"Magic Mastery: Fire","1",2,"Decrease the incantation time on fire magic",3,81,"30 60|5 2","|0","Charge time decrease #0","sk_lvl 65 *","0","0","0","0","0","0",1
"Magic Mastery: Ice","1",2,"Increase the chance of making the enemy slow",2,80,"30 60|5 2","|0","-","0","0","0","0","0","0","0",1
"Magic Mastery: Lightning","1",2,"Max magic attack of lightning is increased",1,79,"30 60|5 2","|0","Max Magic Attack Point + #0","sk_lvl 20 *","0","0","0","0","0","0",1
"Mockery","2",8,"Mocks the opponent for increasing the hostility",4,44,"18|5","|0","Hostility + #0","100 sk_lvl 120 * +","0","sk_lvl 10 +","0","60000","115 sk_lvl 7 * +","0",0
"MP Vaporization","2",18,"Vaporize the target's MP for certain amount of time",6,27,"53 65|1 1","|0","MP Consumption for #0","100 sk_lvl 250 * +","0","40 sk_lvl 16 * +","0","0","0","0",0
"Muscle Solidation","2",16,"Solidate muscles for increasing Min attack point for a while",3,8,"42|1","|0","Min Attack Point + 5","0","0","92","0","0","0","900",0
"Mysterious Arrow","2",17,"Shoot several arrows to the target. When it hit the target,
it explodes and the target gets continuous damage for 5 seconds",10,20,"57 67 70|1 1 1","|0","Shoot #0 arrows to the target continuously","sk_lvl 2 +","0","31 sk_lvl 11 * +","0","0","0","0",0
"Non-Attribution Resistance","2",17,"Increase the resistance on Non-Attribution",9,19,"56 65|1 1","|0","Non-Attribution Resistance + #0 %","10 sk_lvl 5 * +","0","22 sk_lvl 14 * +","0","0","0","900",0
"Pain","2",18,"Give mental pain to the selected target continuously",2,23,"51 56 62 68|1 1 1 1","|0","Damage ??","0","0","40 sk_lvl 8 * +","0","0","0","0",0
"Cure 3","2",4,"Recover the selected target's HP",3,107,"51 60 66|1 1 1","|0","Recovering Point : #0","750 100 sk_lvl * + 11 ch_wis * 3 / +","0","39 sk_lvl 4 * +","1500","600","190","0",0
