ita_azon,ita_itype,ita_grade,ita_class,ita_type,ita_name,ita_lvllim,ita_rev,ita_price,ita_pic,ita_pic2,ita_3d
6,1,"G08","Archer","Shorts","Leather Armor Shorts",1,"||||||||||||7|2|0","60","-",50,"CM_1_p01.gb#200$Tex\CM_1_p01.GTX#Tex\CM_1_p01_1.GTX$0#1$0$0"
7,0,"G08","Knight","All","SaSaEul Armor",1,"||||||||||||12|30|3","510","ita_k01",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
8,1,"G08","Knight","Armor","SaSaEul Armor",1,"||||||||||||1|12|1","200","-",1,"CW_1_a01.gb#200$Tex\CW_1_a01.GTX#Tex\CW_1_a02.GTX$0#1$0$0"
9,1,"G08","Knight","Boots","SaSaEul Boots",1,"||||||||||||4|3|1","110","-",4,"CW_1_s01.gb#182$Tex\CW_1_s01.GTX$0$0$0"
10,1,"G08","Knight","Gloves","SaSaEul Gloves",1,"||||||||||||1|7|0","50","-",3,"CW_1_g01.gb#182$Tex\CW_1_g01.GTX$0$0$0"
11,1,"G08","Knight","Helmet","SaSaEul Helmet",1,"||||||||||||1|5|1","90","-",2,"CW_1_h01.gb#182$Tex\CW_1_h01.GTX$0$0$0"
12,1,"G08","Knight","Shorts","SaSaEul Shorts",1,"||||||||||||5|3|0","60","-",5,"CW_1_p01.gb#182$Tex\CW_1_p01.GTX$0$0$0"
13,0,"G08","Magician","All","MyungJoo HakChangEau",1,"||||||||||||20|20|0|0|0|0|0|0","510","ita_m01",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
14,1,"G08","Magician","Armor","MyungJoo HakChangEau Clothes",1,"||||||||||||3|7|0|0|0|0|0|0","200","-",91,"CR_1_a01.gb#182$Tex\CR_1_a01.GTX$0$0$0"
15,1,"G08","Magician","Boots","MyungJoo HakChangEau Boots",1,"||||||||||||6|4|0|0|0|0|0|0","110","-",94,"CR_1_s01.gb#182$Tex\CR_1_s01.GTX$0$0$0"
16,1,"G08","Magician","Gloves","MyungJoo HakChangEau Gloves",1,"||||||||||||2|3|0|0|0|0|0|0","50","-",93,"CR_1_g01.gb#182$Tex\CR_1_g01.GTX$0$0$0"
17,1,"G08","Magician","Helmet","MyungJoo HakChangEau Hair Decoration",1,"||||||||||||4|5|0|0|0|0|0|0","90","-",92,"CR_1_h01.gb#182$Tex\CR_1_h01.GTX$0$0$0"
18,1,"G08","Magician","Shorts","MyungJoo HakChangEau Shorts",1,"||||||||||||5|1|0|0|0|0|0|0","60","-",95,"CR_1_p01.gb#182$Tex\CR_1_p01.GTX$0$0$0"
19,0,"G16","Archer","All","DooJungPeeGap Armor",1,"||||||||||||25|42|0","5.419","ita_a02",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
20,1,"G16","Archer","Armor","DooJungPeeGap Armor",1,"||||||||||||0|12|0","2.126","-",51,"CM_2_a01.gb#182$Tex\CM_2_a01.GTX$0$0$0"
21,1,"G16","Archer","Boots","DooJungPeeGap Boots",1,"||||||||||||10|8|0","1.169","-",54,"CM_2_s01.gb#182$Tex\CM_2_s01.GTX$0$0$0"
22,1,"G16","Archer","Gloves","DooJungPeeGap Gloves",1,"||||||||||||1|8|0","531","-",53,"CM_2_g01.gb#182$Tex\CM_2_g01.GTX$0$0$0"
23,1,"G16","Archer","Helmet","DooJungPeeGap Hood",1,"||||||||||||2|9|0","956","-",52,"CM_2_h01.gb#182$Tex\CM_2_h01_1.GTX$0$0$0"
24,1,"G16","Archer","Shorts","DooJungPeeGap Shorts",1,"||||||||||||12|5|0","637","-",55,"CM_2_p01.gb#200$Tex\CM_2_p01.GTX#Tex\CM_2_p01_1.GTX$0#1$0$0"
25,0,"G16","Knight","All","GyungBunGap Armor",1,"||||||||||||25|51|4","5.419","ita_k02",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
26,1,"G16","Knight","Armor","GyungBunGap Armor",1,"||||||||||||3|15|2","2.126","-",6,"CW_2_a01.gb#200$Tex\CW_2_a01.GTX#Tex\CW_2_a02.GTX$1#0$0$0"
27,1,"G16","Knight","Boots","GyungBunGap Boots",1,"||||||||||||8|8|1","1.169","-",9,"CW_2_s01.gb#182$Tex\CW_2_s01.GTX$0$0$0"
28,1,"G16","Knight","Gloves","GyungBunGap Gloves",1,"||||||||||||2|11|0","531","-",8,"CW_2_g01.gb#182$Tex\CW_2_g01.GTX$0$0$0"
29,1,"G16","Knight","Helmet","GyungBunGap Helmet",1,"||||||||||||3|10|1","956","-",7,"CW_2_h01.gb#182$Tex\CW_2_h01.GTX$0$0$0"
30,1,"G16","Knight","Shorts","GyungBunGap Shorts",1,"||||||||||||9|7|0","637","-",10,"CW_2_p01.gb#182$Tex\CW_2_p01.GTX$0$0$0"
31,0,"G16","Magician","All","BeeDan HakChangEau",1,"||||||||||||30|33|0|3|3|3|0|0","5.419","ita_m02",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
32,1,"G16","Magician","Armor","BeeDan HakChangEau Clothes",1,"||||||||||||5|10|0|2|2|2|0|0","2.126","-",96,"CR_2_a01.gb#182$Tex\CR_2_a01.GTX$0$0$0"
33,1,"G16","Magician","Boots","BeeDan HakChangEau Boots",1,"||||||||||||8|6|0|0|0|0|0|0","1.169","-",99,"CR_2_s01.gb#182$Tex\CR_2_s01.GTX$0$0$0"
34,1,"G16","Magician","Gloves","BeeDan HakChangEau Gloves",1,"||||||||||||3|6|0|0|0|0|0|0","531","-",98,"CR_2_g01.gb#182$Tex\CR_2_g01.GTX$0$0$0"
35,1,"G16","Magician","Helmet","BeeDan HakChangEau Hair Decoration",1,"||||||||||||5|7|0|1|1|1|0|0","956","-",97,"CR_2_h01.gb#182$Tex\CR_2_h01.GTX$0$0$0"
36,1,"G16","Magician","Shorts","BeeDan HakChangEau Shorts",1,"||||||||||||9|4|0|0|0|0|0|0","637","-",100,"CR_2_p01.gb#182$Tex\CR_2_p01.GTX$0$0$0"
37,0,"G24","Archer","All","ShaeJaGap Armor",1,"||||||||||||35|70|1","17.573","ita_a03",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
38,1,"G24","Archer","Armor","ShaeJaGap Armor",1,"||||||||||||2|16|1","6.892","-",56,"CM_3_a01.gb#182$Tex\CM_3_a01.GTX$0$0$0"
39,1,"G24","Archer","Boots","ShaeJaGap Boots",1,"||||||||||||13|11|0","3.790","-",59,"CM_3_s01.gb#182$Tex\CM_3_s01.GTX$0$0$0"
40,1,"G24","Archer","Gloves","ShaeJaGap Gloves",1,"||||||||||||2|11|0","1.723","-",58,"CM_3_g01.gb#182$Tex\CM_3_g01.GTX$0$0$0"
41,1,"G24","Archer","Helmet","ShaeJaGap Hood",1,"||||||||||||3|13|0","3.101","-",57,"CM_3_h01.gb#182$Tex\CM_3_h01_1.GTX$0$0$0"
42,1,"G24","Archer","Shorts","ShaeJaGap Shorts",1,"||||||||||||15|9|0","2.067","-",60,"CM_3_p01.gb#200$Tex\CM_3_p01.GTX#Tex\CM_3_p01_1.GTX$0#1$0$0"
43,0,"G24","Knight","All","PanGap Armor",1,"||||||||||||33|75|5","17.573","ita_k03",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
44,1,"G24","Knight","Armor","PanGap Armor",1,"||||||||||||4|22|2","6.892","-",11,"CW_3_a01.gb#200$Tex\CW_3_a01.GTX$0#0$0$0"
45,1,"G24","Knight","Boots","PanGap Boots",1,"||||||||||||11|12|2","3.790","-",14,"CW_3_s01.gb#182$Tex\CW_3_s01.GTX$0$0$0"
46,1,"G24","Knight","Gloves","PanGap Gloves",1,"||||||||||||3|15|0","1.723","-",13,"CW_3_g01.gb#182$Tex\CW_3_g01.GTX$0$0$0"
47,1,"G24","Knight","Helmet","PanGap Helmet",1,"||||||||||||4|14|1","3.101","-",12,"CW_3_h01.gb#200$Tex\CW_3_h01.GTX$0#0$0$0"
48,1,"G24","Knight","Shorts","PanGap Shorts",1,"||||||||||||11|12|0","2.067","-",15,"CW_3_p01.gb#182$Tex\CW_3_p01.GTX$0$0$0"
49,0,"G24","Magician","All","MyungJoo SoChangEau",1,"||||||||||||40|45|0|6|6|6|0|0","17.573","ita_m03",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
50,1,"G24","Magician","Armor","MyungJoo SoChangEau Clothes",1,"||||||||||||7|13|0|3|3|3|0|0","6.892","-",101,"CR_3_a01.gb#182$Tex\CR_3_a01.GTX$0$0$0"
51,1,"G24","Magician","Boots","MyungJoo SoChangEau Boots",1,"||||||||||||12|9|0|0|0|0|0|0","3.790","-",104,"CR_3_s01.gb#182$Tex\CR_3_s01.GTX$0$0$0"
52,1,"G24","Magician","Gloves","MyungJoo SoChangEau Gloves",1,"||||||||||||4|8|0|1|1|1|0|0","1.723","-",103,"CR_3_g01.gb#182$Tex\CR_3_g01.GTX$0$0$0"
53,1,"G24","Magician","Helmet","MyungJoo SoChangEau Hair Decoration",1,"||||||||||||5|9|0|2|2|2|0|0","3.101","-",102,"CR_3_h01.gb#182$Tex\CR_3_h01.GTX$0$0$0"
54,1,"G24","Magician","Shorts","MyungJoo SoChangEau Shorts",1,"||||||||||||12|6|0|0|0|0|0|0","2.067","-",105,"CR_3_p01.gb#182$Tex\CR_3_p01.GTX$0$0$0"
55,0,"G32","Archer","All","Intensified ShaeJaGap Armor",1,"||||||||||||45|85|1","73.002","ita_a04",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
56,1,"G32","Archer","Armor","Intensified ShaeJaGap Armor",1,"||||||||||||3|24|1","28.629","-",61,"CM_4_a01.gb#182$Tex\CM_4_a01.GTX$0$0$0"
57,1,"G32","Archer","Boots","Intensified ShaeJaGap Boots",1,"||||||||||||18|15|0","15.745","-",64,"CM_4_s01.gb#182$Tex\CM_4_s01.GTX$0$0$0"
58,1,"G32","Archer","Gloves","Intensified ShaeJaGap Gloves",1,"||||||||||||2|15|0","7.157","-",63,"CM_4_g01.gb#182$Tex\CM_4_g01.GTX$0$0$0"
59,1,"G32","Archer","Helmet","Intensified ShaeJaGap Hood",1,"||||||||||||3|19|0","12.883","-",62,"CM_4_h01.gb#182$Tex\CM_4_h01_1.GTX$0$0$0"
60,1,"G32","Archer","Shorts","Intensified ShaeJaGap Shorts",1,"||||||||||||19|12|0","8.588","-",65,"CM_4_p01.gb#200$Tex\CM_4_p01.GTX#Tex\CM_4_p01_1.GTX$0#1$0$0"
61,0,"G32","Knight","All","Steel Armor",1,"||||||||||||40|105|6","73.002","ita_k04",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
62,1,"G32","Knight","Armor","Steel Armor",1,"||||||||||||5|27|3","28.629","-",16,"CW_4_a01.gb#200$Tex\CW_4_a01.GTX$0#0$0$0"
63,1,"G32","Knight","Boots","Steel Armor Boots",1,"||||||||||||13|18|2","15.745","-",19,"CW_4_s01.gb#200$Tex\CW_4_s01.GTX$0#0$0$0"
64,1,"G32","Knight","Gloves","Steel Armor Gloves",1,"||||||||||||3|21|0","7.157","-",18,"CW_4_g01.gb#200$Tex\CW_4_g01.GTX$0#0$0$0"
65,1,"G32","Knight","Helmet","Steel Armor Helmet",1,"||||||||||||5|22|1","12.883","-",17,"CW_4_h01.gb#200$Tex\CW_4_h01.GTX$0#0$0$0"
66,1,"G32","Knight","Shorts","Steel Armor Shorts",1,"||||||||||||14|17|0","8.588","-",20,"CW_4_p01.gb#182$Tex\CW_4_p01.GTX$0$0$0"
67,0,"G32","Magician","All","BeeDan SoChangEau",1,"||||||||||||52|60|0|10|10|10|0|0","73.002","ita_m04",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
68,1,"G32","Magician","Armor","BeeDan SoChangEau Clothes",1,"||||||||||||8|16|0|4|4|4|0|0","28.629","-",106,"CR_4_a01.gb#182$Tex\CR_4_a01.GTX$0$0$0"
69,1,"G32","Magician","Boots","BeeDan SoChangEau Boots",1,"||||||||||||14|12|0|1|1|1|0|0","15.745","-",109,"CR_4_s01.gb#182$Tex\CR_4_s01.GTX$0$0$0"
70,1,"G32","Magician","Gloves","BeeDan SoChangEau Gloves",1,"||||||||||||7|11|0|2|2|2|0|0","7.157","-",108,"CR_4_g01.gb#182$Tex\CR_4_g01.GTX$0$0$0"
71,1,"G32","Magician","Helmet","BeeDan SoChangEau Hair Decoration",1,"||||||||||||7|13|0|3|3|3|0|0","12.883","-",107,"CR_4_h01.gb#182$Tex\CR_4_h01.GTX$0$0$0"
72,1,"G32","Magician","Shorts","BeeDan SoChangEau Shorts",1,"||||||||||||16|8|0|0|0|0|0|0","8.588","-",110,"CR_4_p01.gb#182$Tex\CR_4_p01.GTX$0$0$0"
73,0,"G42","Archer","All","DooSukLinGap Armor",1,"||||||||||||60|115|2","374.830","ita_a05",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
74,1,"G42","Archer","Armor","DooSukLinGap Armor",1,"||||||||||||4|35|2","148.872","-",66,"CM_5_a01.gb#182$Tex\CM_5_a01.GTX$0$0$0"
75,1,"G42","Archer","Boots","DooSukLin Boots",1,"||||||||||||22|22|0","82.705","-",69,"CM_5_s01.gb#182$Tex\CM_5_s01.GTX$0$0$0"
76,1,"G42","Archer","Gloves","DooSukLin Gloves",1,"||||||||||||5|21|0","37.217","-",68,"CM_5_g01.gb#182$Tex\CM_5_g01.GTX$0$0$0"
77,1,"G42","Archer","Helmet","DooSukLinGap Armor Hood",1,"||||||||||||4|23|0","67.668","-",67,"CM_5_h01.gb#182$Tex\CM_5_h01_1.GTX$0$0$0"
78,1,"G42","Archer","Shorts","DooSukLinGap Shorts",1,"||||||||||||25|14|0","38.368","-",70,"CM_5_p01.gb#200$Tex\CM_5_p01.GTX#Tex\CM_5_p01_1.GTX$0#1$0$0"
79,0,"G42","Knight","All","GangChulGap Armor",1,"||||||||||||50|138|7","374.830","ita_k05",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
80,1,"G42","Knight","Armor","GangChulGap Armor",1,"||||||||||||6|35|4","148.872","-",21,"CW_5_a01.gb#236$Tex\CW_5_a01.GTX#Tex\CW_5_a01_1.GTX$0#1#0#0$0$0"
81,1,"G42","Knight","Boots","GangChulGap Armor Boots",1,"||||||||||||17|23|2","82.705","-",24,"CW_5_s01.gb#200$Tex\CW_5_s01.GTX$0#0$0$0"
82,1,"G42","Knight","Gloves","GangChulGap Armor Gloves",1,"||||||||||||4|29|0","37.217","-",23,"CW_5_g01.gb#182$Tex\CW_5_g01.GTX$0$0$0"
83,1,"G42","Knight","Helmet","GangChulGap Armor Helmet",1,"||||||||||||7|29|1","67.668","-",22,"CW_5_h01.gb#200$Tex\CW_5_h01.GTX$0#0$0$0"
84,1,"G42","Knight","Shorts","GangChulGap Armor Shorts",1,"||||||||||||16|22|0","38.368","-",25,"CW_5_p01.gb#200$Tex\CW_5_p01.GTX$0#0$0$0"
85,0,"G42","Magician","All","MyungJoo DaeChangEau",1,"||||||||||||60|80|0|15|15|15|5|5","374.830","ita_m05",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
86,1,"G42","Magician","Armor","MyungJoo DaeChangEau Clothes",1,"||||||||||||8|21|0|5|5|5|2|2","148.872","-",111,"CR_5_a01.gb#218$Tex\CR_5_a01.GTX$0#0#0$0$0"
87,1,"G42","Magician","Boots","MyungJoo DaeChangEau Boots",1,"||||||||||||18|16|0|2|2|2|1|1","82.705","-",114,"CR_5_s01.gb#182$Tex\CR_5_s01.GTX$0$0$0"
88,1,"G42","Magician","Gloves","MyungJoo DaeChangEau Gloves",1,"||||||||||||7|15|0|3|3|3|1|1","37.217","-",113,"CR_5_g01.gb#182$Tex\CR_5_g01.GTX$0$0$0"
89,1,"G42","Magician","Helmet","MyungJoo DaeChangEau Hair Decoration",1,"||||||||||||7|17|0|4|4|4|1|1","67.668","-",112,"CR_5_h01.gb#182$Tex\CR_5_h01.GTX$0$0$0"
90,1,"G42","Magician","Shorts","MyungJoo DaeChangEau Shorts",1,"||||||||||||20|11|0|1|1|1|0|0","38.368","-",115,"CR_5_p01.gb#182$Tex\CR_5_p01.GTX$0$0$0"
91,0,"G46","Archer","All","SinGak DooSukLin Armor",35,"||||||||||||75|125|5","695.600","ita_a06",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
92,1,"G46","Archer","Armor","SinGak DooSukLin Armor",43,"||||||||||||13|37|2","210.800","-",71,"CM_6_a01.gb#182$Tex\CM_6_a01.GTX$0$0$0"
93,1,"G46","Archer","Boots","SinGak DooSukLin Boots",37,"||||||||||||22|24|1","102.400","-",74,"CM_6_s01.gb#200$Tex\CM_6_s01.GTX$0#0$0$0"
94,1,"G46","Archer","Gloves","SinGak DooSukLin Gloves",35,"||||||||||||7|23|0","87.200","-",73,"CM_6_g01.gb#182$Tex\CM_6_g01.GTX$0$0$0"
95,1,"G46","Archer","Helmet","SinGak DooSukLin Hood",39,"||||||||||||8|25|1","117.200","-",72,"CM_6_h01.gb#218$Tex\CM_6_h01.GTX#Tex\CM_6_h01_1.GTX$0#1#0$0$0"
96,1,"G46","Archer","Shorts","SinGak DooSukLin Shorts",41,"||||||||||||25|16|1","178.000","-",75,"CM_6_p01.gb#200$Tex\CM_6_p01.GTX$0#0$0$0"
97,0,"G46","Knight","All","Intensified Steel Armor",35,"||||||||||||60|155|10","695.600","ita_k06",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
131,1,"G55","Archer","Helmet","Hood of Doggebi",53,"|2|||||||||||12|35|2","0","-",82,"CM_8_h01.gb#182$Tex\CM_8_h01.GTX$0$0$0"
132,1,"G55","Archer","Shorts","Shorts of Doggebi",54,"|2|||||||||||39|22|2","0","-",85,"CM_8_p01.gb#200$Tex\CM_8_p01.GTX$0#0$0$0"
133,0,"G55","Knight","All","Scaled Armor of Doggebi",51,"6|7|||2||||||||80|222|17","0","ita_k08",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
134,1,"G55","Knight","Armor","Scaled Armor of Doggebi",55,"4|3|||||||||||19|52|6","0","-",36,"CW_8_a01.gb#236$Tex\CW_8_a01.GTX#Tex\CW_8_a02.GTX#Tex\CW_8_a03.GTX#Tex\CW_8_a04.GTX$0#1#2#3$0$0"
135,1,"G55","Knight","Boots","Scaled Boots of Doggebi",52,"||||2||||||||21|37|2","0","-",39,"CW_8_s01.gb#182$Tex\CW_8_s01.GTX$0$0$0"
136,1,"G55","Knight","Gloves","Scaled Gloves of Doggebi",51,"2||||||||||||8|51|2","0","-",38,"CW_8_g01.gb#200$Tex\CW_8_g01.GTX$0#0$0$0"
137,1,"G55","Knight","Helmet","Scaled Helmet of Doggebi",53,"|2|||||||||||11|50|3","0","-",37,"CW_8_h01.gb#182$Tex\CW_8_h01.GTX$0$0$0"
138,1,"G55","Knight","Shorts","Scaled Shorts of Doggebi",54,"|2|||||||||||21|32|4","0","-",40,"CW_8_p01.gb#182$Tex\CW_8_p01.GTX$0$0$0"
139,0,"G55","Magician","All","DaeChangEau Armor of Doggebi",51,"|7|4|4|||||||||107|148|0|24|24|24|17|17","0","ita_m08",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
140,1,"G55","Magician","Armor","DaeChangEau Clothes of Doggebi",55,"|3|4||||||||||27|35|0|7|7|7|4|4","0","-",126,"CR_8_a01.gb#272$Tex\CR_8_a01.GTX$0#0#0#0#0#0$0$0"
141,1,"G55","Magician","Boots","DaeChangEau Boots of Doggebi",52,"|||2|||||||||24|32|0|3|3|3|4|4","0","-",129,"CR_8_s01.gb#182$Tex\CR_8_s01.GTX$0$0$0"
142,1,"G55","Magician","Gloves","DaeChangEau Gloves of Doggebi",51,"|||2|||||||||12|28|0|5|5|5|3|3","0","-",128,"CR_8_g01.gb#200$Tex\CR_8_g01.GTX$0#0$0$0"
143,1,"G55","Magician","Helmet","DaeChangEau Hair Decoration of Doggebi",53,"|2|||||||||||14|28|0|6|6|6|3|3","0","-",127,"CR_8_h01.gb#200$Tex\CR_8_h01.GTX$0#0$0$0"
144,1,"G55","Magician","Shorts","DaeChangEau Shorts of Doggebi",54,"|2|||||||||||30|25|0|3|3|3|3|3","0","-",130,"CR_8_p01.gb#182$Tex\CR_8_p01.GTX$0$0$0"
