normalized_name,status,legacy_ids,bango_ids,legacy_names,bango_names,legacy_grades,bango_grades,grade_equal,legacy_levels,bango_levels,level_equal,legacy_buy_prices,bango_buy_prices,price_equal
bangchoohyungironstick,matched-name,251,95,BangChooHyung Iron Stick,BangChooHyung Iron Stick,G21,G21,True,1,1,True,10.826,10826,False
bangosupportbox,bango-only-name,,2634,,Bango Support Box,,,,,,,,0,
barbaricharsh,legacy-only-name,332,,"""Barbaric"" / ""Harsh""",,,,,0,,,,,
barrelofwhitetigercannon,bango-only-name,,765,,Barrel of White Tiger Cannon,,,,,,,,0,
basicrewardpack,bango-only-name,,2090,,Basic Reward pack,,,,,,,,0,
basicspiritwater,bango-only-name,,2094,,Basic Spirit water,,,,,,,,0,
battlepass15days,bango-only-name,,2631,,Battle Pass - 15 days,,,,,,,,0,
beadoffire,bango-only-name,,942|1029|1165,,Bead of Fire,,,,,,,,0,
bearfur,bango-only-name,,1780,,Bear fur,,,,,,,,0,
bearhead,bango-only-name,,1737,,Bear Head,,,,,,,,0,
bearsgall,bango-only-name,,1730,,Bear's gall,,,,,,,,0,
beedanbootsofhighclassthief,bango-only-name,,1578,,BeeDan Boots of High class thief,,G46,,,37,,,0,
beedanbootsoflowclassthief,bango-only-name,,1558,,BeeDan Boots of low class thief,,G16,,,1,,,1169,
beedanbootsofthief,bango-only-name,,1568,,BeeDan Boots of thief,,G32,,,1,,,15745,
beedandaechangeau,matched-name,103,261,BeeDan DaeChangEau,BeeDan DaeChangEau,G46,G46,True,35,43,False,695.600,0,False
beedandaechangeauboots,legacy-only-name,105,,BeeDan DaeChangEau Boots,,G46,,,37,,,102.400,,
beedandaechangeauclothes,legacy-only-name,104,,BeeDan DaeChangEau Clothes,,G46,,,43,,,210.800,,
beedandaechangeaugloves,matched-name,106,263,BeeDan DaeChangEau Gloves,BeeDan DaeChangEau Gloves,G46,G46,True,35,35,True,87.200,0,False
beedandaechangeauhairdecoration,matched-name,107,262,BeeDan DaeChangEau Hair Decoration,BeeDan DaeChangEau Hair Decoration,G46,G46,True,39,39,True,117.200,0,False
beedandaechangeaushoes,bango-only-name,,264,,BeeDan DaeChangEau Shoes,,G46,,,37,,,0,
beedandaechangeaushorts,matched-name,108,265,BeeDan DaeChangEau Shorts,BeeDan DaeChangEau Shorts,G46,G46,True,41,41,True,178.000,0,False
beedanglovesofhighclassthief,bango-only-name,,1577,,BeeDan Gloves of High class thief,,G46,,,35,,,0,
beedanglovesoflowclassthief,bango-only-name,,1557,,BeeDan Gloves of low class thief,,G16,,,1,,,531,
beedanglovesofthief,bango-only-name,,1567,,BeeDan Gloves of thief,,G32,,,1,,,7157,
beedanhakchangeau,legacy-only-name,31,,BeeDan HakChangEau,,G16,,,1,,,5.419,,
beedanhakchangeauboots,matched-name,33,78,BeeDan HakChangEau Boots,BeeDan HakChangEau Boots,G16,G16,True,1,1,True,1.169,1169,False
beedanhakchangeauclothes,matched-name,32,75,BeeDan HakChangEau Clothes,BeeDan HakChangEau Clothes,G16,G16,True,1,1,True,2.126,2126,False
beedanhakchangeaugloves,matched-name,34,77,BeeDan HakChangEau Gloves,BeeDan HakChangEau Gloves,G16,G16,True,1,1,True,531,531,True
beedanhakchangeauhairdecoration,matched-name,35,76,BeeDan HakChangEau Hair Decoration,BeeDan HakChangEau Hair Decoration,G16,G16,True,1,1,True,956,956,True
beedanhakchangeaushorts,matched-name,36,79,BeeDan HakChangEau Shorts,BeeDan HakChangEau Shorts,G16,G16,True,1,1,True,637,637,True
beedanhoodofhighclassthief,bango-only-name,,1576,, BeeDan Hood of High class thief,,G46,,,39,,,0,
beedanhoodoflowclassthief,bango-only-name,,1556,,BeeDan Hood of low class thief,,G16,,,1,,,956,
beedanhoodofthief,bango-only-name,,1566,,BeeDan Hood of thief,,G32,,,1,,,12883,
beedansochangeau,legacy-only-name,67,,BeeDan SoChangEau,,G32,,,1,,,73.002,,
beedansochangeauboots,matched-name,69,88,BeeDan SoChangEau Boots,BeeDan SoChangEau Boots,G32,G32,True,1,1,True,15.745,15745,False
beedansochangeauclothes,matched-name,68,85,BeeDan SoChangEau Clothes,BeeDan SoChangEau Clothes,G32,G32,True,1,1,True,28.629,28629,False
beedansochangeaugloves,matched-name,70,87,BeeDan SoChangEau Gloves,BeeDan SoChangEau Gloves,G32,G32,True,1,1,True,7.157,7157,False
beedansochangeauhairdecoration,matched-name,71,86,BeeDan SoChangEau Hair Decoration,BeeDan SoChangEau Hair Decoration,G32,G32,True,1,1,True,12.883,12883,False
beedansochangeaushorts,matched-name,72,89,BeeDan SoChangEau Shorts,BeeDan SoChangEau Shorts,G32,G32,True,1,1,True,8.588,8588,False
beedansuitofhct,legacy-only-name,551|552,,BeeDan suit of hcT,,G46,,,43,,,210.800|695.600,,
beedansuitofhctboots,legacy-only-name,553,,BeeDan suit of hcT Boots,,G46,,,37,,,102.400,,
beedansuitofhctgloves,legacy-only-name,554,,BeeDan suit of hcT Gloves,,G46,,,35,,,87.200,,
beedansuitofhcthelmet,legacy-only-name,555,,BeeDan suit of hcT Helmet,,G46,,,39,,,117.200,,
beedansuitofhctshorts,legacy-only-name,556,,BeeDan suit of hcT Shorts,,G46,,,41,,,178.000,,
beedansuitofhighclassthief,bango-only-name,,1575,,BeeDan suit of High class thief,,G46,,,43,,,0,
beedansuitoflct,legacy-only-name,527|528,,BeeDan suit of lcT,,G16,,,1,,,2.126|5.419,,
beedansuitoflctboots,legacy-only-name,529,,BeeDan suit of lcT Boots,,G16,,,,,,1.169,,
beedansuitoflctgloves,legacy-only-name,530,,BeeDan suit of lcT Gloves,,G16,,,1,,,531,,
beedansuitoflcthelmet,legacy-only-name,531,,BeeDan suit of lcT Helmet,,G16,,,1,,,956,,
beedansuitoflctshorts,legacy-only-name,532,,BeeDan suit of lcT Shorts,,G16,,,1,,,637,,
beedansuitoflowclassthief,bango-only-name,,1555,,BeeDan suit of  low class thief,,G16,,,1,,,2126,
beedansuitoft,legacy-only-name,539|540,,BeeDan suit of T,,G32,,,1,,,28.629|73.002,,
beedansuitoftboots,legacy-only-name,541,,BeeDan suit of T Boots,,G32,,,1,,,15.745,,
beedansuitoftgloves,legacy-only-name,542,,BeeDan suit of T Gloves,,G32,,,1,,,7.157,,
beedansuitofthelmet,legacy-only-name,543,,BeeDan suit of T Helmet,,G32,,,1,,,12.883,,
beedansuitofthief,bango-only-name,,1565,,BeeDan suit of thief,,G32,,,1,,,28629,
beedansuitoftshorts,legacy-only-name,544,,BeeDan suit of T Shorts,,G32,,,1,,,8.588,,
beedansuitshortsofhighclassthief,bango-only-name,,1579,,BeeDan suit Shorts of High class thief,,G46,,,41,,,0,
beedansuitshortsoflowclassthief,bango-only-name,,1559,,BeeDan suit Shorts of low class thief,,G16,,,1,,,637,
beedansuitshortsofthief,bango-only-name,,1569,,BeeDan suit Shorts of thief,,G32,,,1,,,8588,
bestboilingwater,legacy-only-name,312,,Best Boiling Water,,G64,,,0,,,,,
bestboillingwater,bango-only-name,,428,,Best Boilling Water,,G64,,,64,,,1020,
bestrefiningwater,matched-name,309,425,Best Refining Water,Best Refining Water,G52,G52,True,0,52,False,,789,False
bestwaterofgeumohmountain,matched-name,301,417,Best Water of Geum-Oh Mountain,Best Water of Geum-Oh Mountain,G20,G20,True,0,20,False,,132,False
bestwaterofgeumohvalley,matched-name,305,421,Best Water of Geum-Oh Valley,Best Water of Geum-Oh Valley,G36,G36,True,0,36,False,,384,False
bighandedinhabitantshead,bango-only-name,,171,,Big Handed Inhabitant's Head,,,,,,,,0,
bighandedinhabitantstooth,bango-only-name,,149,,Big Handed Inhabitant's Tooth,,,,,,,,0,
bighandedwarriorshead,bango-only-name,,173,,Big Handed Warrior's Head,,,,,,,,0,
bigoakbow,matched-name,218,24,Big Oak Bow,Big Oak Bow,G09,G09,True,1,1,True,1650,1650,True
bigpieceofmeat,matched-name,292,409,Big Piece of Meat,Big Piece of Meat,G48,G48,True,0,48,False,,123,False
bigpotato,matched-name,283,401,Big Potato,Big Potato,G16,G16,True,0,16,False,,21,False
bigsteelsword,matched-name,180,21,Big Steel Sword,Big Steel Sword,G25,G25,True,1,1,True,14.680,14680,False
bigsteelswordwithpatternofleaf,matched-name,182,61,Big Steel Sword with Pattern of Leaf,Big Steel Sword with Pattern of Leaf,G33,G33,True,1,1,True,39.560,39560,False
bigstoneofexp1hour,bango-only-name,,2633,,Big Stone of EXP - 1 hour,,,,,,,,0,
bigsweetpotato,matched-name,287,405,Big Sweet Potato,Big Sweet Potato,G32,G32,True,0,32,False,,72,False
birchbow,matched-name,216,22,Birch Bow,Birch Bow,G01,G01,True,1,1,True,4,4,True
bird,legacy-only-name,453|454|455|456,,Bird,,G11|G21|G31|G41,,,11|21|31|41,,,,,
blackgoldentreasuresword,matched-name,194,244,Black Golden Treasure Sword,Black Golden Treasure Sword,G50,G50,True,50,50,True,0,0,True
blackgoldentresureswordimperial,legacy-only-name,403,,Black Golden Tresure Sword (Imperial),,G50,,,50,,,0,,
blooddragonarmor,legacy-only-name,145|146|615,,Blood Dragon Armor,,G65|G65b,,,65,,,0,,
blooddragonboots,legacy-only-name,147,,Blood Dragon Boots,,G65,,,62,,,0,,
blooddragondeachangeau,legacy-only-name,157,,Blood Dragon DeaChangEau,,G65,,,65,,,0,,
blooddragondeachangeauboots,legacy-only-name,159,,Blood Dragon DeaChangEau Boots,,G65,,,62,,,0,,
blooddragondeachangeauclothes,legacy-only-name,158|617,,Blood Dragon DeaChangEau Clothes,,G65|G65b,,,65,,,0,,
blooddragondeachangeaudecoration,legacy-only-name,161,,Blood Dragon DeaChangEau Decoration,,G65,,,63,,,0,,
blooddragondeachangeaugloves,legacy-only-name,160,,Blood Dragon DeaChangEau Gloves,,G65,,,61,,,0,,
blooddragondeachangeaushorts,legacy-only-name,162|618,,Blood Dragon DeaChangEau Shorts,,G65|G65b,,,64,,,0,,
blooddragongloves,legacy-only-name,148,,Blood Dragon Gloves,,G65,,,61,,,0,,
blooddragonhood,legacy-only-name,149,,Blood Dragon Hood,,G65,,,63,,,0,,
blooddragonimperialstickofhell,bango-only-name,,1824,,Blood Dragon Imperial Stick of Hell,,G70,,,70,,,0,
blooddragonimperialstickofimmortality,bango-only-name,,1710,,Blood Dragon Imperial Stick of Immortality,,G70,,,70,,,0,
blooddragonimperialstickofpain,matched-name,644,1853,Blood Dragon Imperial Stick of Pain,Blood Dragon Imperial Stick of pain,G65,G70,False,65,70,False,0,0,True
blooddragonimperialstickofruin,matched-name,645,1823,Blood Dragon Imperial Stick of Ruin,Blood Dragon Imperial Stick of Ruin,G65,G70,False,65,70,False,0,0,True
blooddragonsarmor,bango-only-name,,1483|1635|1636,,Blood Dragon's Armor,,G65,,,65,,,0,
blooddragonsarmorgloves,bango-only-name,,1485,,Blood Dragon's Armor Gloves,,G65,,,61,,,0,
blooddragonsarmorhelmet,bango-only-name,,1484,,Blood Dragon's Armor Helmet,,G65,,,63,,,0,
blooddragonsarmorshoes,bango-only-name,,1486,,Blood Dragon's Armor Shoes,,G65,,,62,,,0,
blooddragonsarmorskirts,bango-only-name,,1487|1637|1638,,Blood Dragon's Armor Skirts,,G65,,,61|64,,,0,
blooddragonsbootsofthief,bango-only-name,,1768,,Blood Dragon's Boots of thief,,G65,,,62,,,0,
blooddragonsbow,matched-name,626,1697,Blood Dragons Bow,Blood Dragon's Bow,G70,G70,True,70,70,True,0,0,True
blooddragonscaledarmor,legacy-only-name,151|152|613,,Blood Dragon Scaled Armor,,G65|G65b,,,65,,,0,,
blooddragonscaledboots,legacy-only-name,153,,Blood Dragon Scaled Boots,,G65,,,62,,,0,,
blooddragonscaledgloves,legacy-only-name,154,,Blood Dragon Scaled Gloves,,G65,,,61,,,0,,
blooddragonscaledhelmet,legacy-only-name,155,,Blood Dragon Scaled Helmet,,G65,,,63,,,0,,
blooddragonscaledshorts,legacy-only-name,156|614,,Blood Dragon Scaled Shorts,,G65|G65b,,,64,,,0,,
blooddragonsdaechangeau,bango-only-name,,1488|1639|1640,,Blood Dragon's DaeChangEau,,G65,,,65,,,0,
blooddragonsdaechangeaugloves,bango-only-name,,1490,,Blood Dragon's DaeChangEau Gloves,,G65,,,61,,,0,
blooddragonsdaechangeauhairdecoration,bango-only-name,,1489,,Blood Dragon's DaeChangEau Hair Decoration,,G65,,,63,,,0,
blooddragonsdaechangeaushoes,bango-only-name,,1491,,Blood Dragon's DaeChangEau Shoes,,G65,,,62,,,0,
blooddragonsdaechangeaushorts,bango-only-name,,1492|1641|1642,,Blood Dragon's DaeChangEau Shorts,,G65,,,64,,,0,
blooddragonsdagger,matched-name,630,1699,Blood Dragons Dagger,Blood Dragon's Dagger,G70,G70,True,70,70,True,0,0,True
blooddragonsgiantsword,matched-name,624,1696,Blood Dragons Giant Sword,Blood Dragon's Giant sword,G70,G70,True,70,70,True,0,0,True
blooddragonsglovesofthief,bango-only-name,,1767,,Blood Dragon's Gloves of thief,,G65,,,61,,,0,
blooddragonshield,bango-only-name,,1609,,Blood Dragon shield,,G65,,,65,,,0,
blooddragonshoodofthief,bango-only-name,,1766,,Blood Dragon's Hood of thief,,G65,,,63,,,0,
blooddragonshorts,legacy-only-name,150|616,,Blood Dragon Shorts,,G65|G65b,,,64,,,0,,
blooddragonsimperialstickofhell,legacy-only-name,651,,Blood Dragons Imperial Stick of Hell,,G70,,,70,,,0,,
blooddragonsimperialstickofpain,legacy-only-name,649,,Blood Dragons Imperial Stick Of pain,,G70,,,70,,,0,,
blooddragonsimperialstickofruin,legacy-only-name,650,,Blood Dragons Imperial Stick of Ruin,,G70,,,70,,,0,,
blooddragonsscaledarmor,bango-only-name,,1478|1631|1632,,Blood Dragon's Scaled Armor,,G65,,,65,,,0,
blooddragonsscaledarmorgloves,bango-only-name,,1480,,Blood Dragon's Scaled Armor Gloves,,G65,,,61,,,0,
blooddragonsscaledarmorhelmet,bango-only-name,,1479,,Blood Dragon's Scaled Armor Helmet,,G65,,,63,,,0,
blooddragonsscaledarmorshoes,bango-only-name,,1481,,Blood Dragon's Scaled Armor Shoes,,G65,,,62,,,0,
blooddragonsscaledarmorshorts,bango-only-name,,1482|1633|1634,,Blood Dragon's Scaled Armor Shorts,,G65,,,64,,,0,
blooddragonsshield,legacy-only-name,625,,Blood Dragons Shield,,G65,,,65,,,0,,
blooddragonsstick,matched-name,627,1698,Blood Dragons Stick,Blood Dragon's Stick,G70,G70,True,70,70,True,0,0,True
blooddragonsstickofhell,legacy-only-name,629,,Blood Dragons Stick of Hell,,G70,,,70,,,0,,
blooddragonsstickofruin,legacy-only-name,628,,Blood Dragons Stick of Ruin,,G70,,,70,,,0,,
blooddragonssuitofthief,bango-only-name,,1763|1764|1765,,Blood Dragon's Suit of thief,,G65,,,65,,,0,
blooddragonssuitshortsofthief,bango-only-name,,1769|1770|1771,,Blood Dragon's Suit Shorts of thief,,G65,,,64,,,0,
blooddragonssword,matched-name,623,1695,Blood Dragons Sword,Blood Dragon's Sword,G70,G70,True,70,70,True,0,0,True
blooddragonstickofhell,bango-only-name,,1706,,Blood Dragon Stick of Hell,,G70,,,70,,,0,
blooddragonstickofruin,bango-only-name,,1705,,Blood Dragon Stick of Ruin,,G70,,,70,,,0,
blooddragonsuitoft,legacy-only-name,636|641,,Blood Dragon Suit of T,,G65|G65b,,,65,,,,,
blooddragonsuitoftboots,legacy-only-name,637,,Blood Dragon Suit of T Boots,,G65,,,62,,,,,
blooddragonsuitoftgloves,legacy-only-name,638,,Blood Dragon Suit of T Gloves,,G65,,,61,,,,,
blooddragonsuitofthelmet,legacy-only-name,639,,Blood Dragon Suit of T Helmet,,G65,,,63,,,,,
blooddragonsuitofthief,legacy-only-name,635,,Blood Dragon Suit of Thief,,G65,,,65,,,,,
blooddragonsuitoftshorts,legacy-only-name,640|642,,Blood Dragon Suit of T Shorts,,G65|G65b,,,64,,,,,
bloodofbighanded,matched-name,389,387,Blood of Big Handed,Blood of Big Handed,,,True,0,,False,,0,False
bloodofwaterdragon,matched-name,390,388,Blood of Water Dragon,Blood of Water Dragon,,,True,0,,False,,0,False
bloodstainedclothes,bango-only-name,,167,,Bloodstained Clothes,,,,,,,,0,
bloodyfightsunlawful,legacy-only-name,317,,"""Bloody Fights"" / ""Unlawful""",,,,,0,,,,,
bluebead,bango-only-name,,1733,,Blue Bead,,,,,,,,0,
bluebeastofdemoncracktroopshead,bango-only-name,,1398,,Blue Beast of Demon Crack Troop's head,,,,,,,,0,
bluebox,bango-only-name,,522,,Blue Box,,,,,,,,0,
bluedragoncannon,bango-only-name,,880|881|882|888|889|890,,Blue Dragon Cannon,,,,,,,,0|1,
bluewitchhat,bango-only-name,,999|1014,,Blue Witch Hat,,G01,,,1,,,30000,
book,bango-only-name,,1735,,Book,,,,,,,,0,
bootsofdarkness,legacy-only-name,499|505|511,,Boots of Darkness,,G90,,,90,,,0,,
bootsofdoggebi,legacy-only-name,129,,Boots of Doggebi,,G55,,,52,,,0,,
bowofdarkness,bango-only-name,,2616,,Bow of Darkness,,G62,,,60,,,0,
bowofdoggebi,matched-name,243,590|751|862|1224,Bow of Doggebi,Bow of Doggebi,G59,G59,True,59,59,True,0,0,True
bowofdoggebilord,matched-name,245,592|753|864|1226,Bow of Doggebi Lord,Bow of Doggebi Lord,G59,G59,True,59,59,True,0,0,True
bowofhighclassdoggebi,matched-name,244,591|752|863|1225,Bow of High Class Doggebi,Bow of High Class Doggebi,G59,G59,True,59,59,True,0,0,True
bowofhighclassdoggebiimperial,legacy-only-name,417,,Bow of High Class Doggebi (Imperial),,G59,,,59,,,0,,
brazil,bango-only-name,,929,,Brazil,,,,,,,,0,
breakthroughsstrongestmans,legacy-only-name,344,,"""Breakthroughs"" / ""Strongest Mans""",,,,,0,,,,,
breastmeatofcheonjiyeonbear,bango-only-name,,2058,,Breast Meat of Cheonjiyeon bear,,G72,,,72,,,300,
brownbearmeat,bango-only-name,,1781,,Brown Bear meat,,,,,,,,0,
butterflykite,bango-only-name,,1287,,Butterfly Kite,,,,,,,,0,
butterflyshapeddagger,matched-name,591,1421,Butterfly-Shaped Dagger,Butterfly-Shaped dagger,G50,G50,True,50,50,True,,0,False
butterflyshapedgiantsword,matched-name,197,442,Butterfly-Shaped Giant Sword,Butterfly-Shaped Giant Sword,G50,G50,True,50,50,True,0,0,True
butterflyshapedgiantswordimperial,legacy-only-name,404,,Butterfly-Shaped Giant Sword (Imperial),,G50,,,50,,,0,,
butterflyshapedtreasuresword,matched-name,193,243,Butterfly-Shaped Treasure Sword,Butterfly-Shaped Treasure Sword,G50,G50,True,50,50,True,0,0,True
c,bango-only-name,,945|1097,,[ C ],,,,,,,,0,
candy,bango-only-name,,1003,,Candy,,,,,,,,0,
candybasket,bango-only-name,,1006,,Candy Basket,,,,,,,,0,
cannonballofwhitetigercannon,bango-only-name,,767,,Cannon Ball of White Tiger Cannon,,,,,,,,0,
carp,bango-only-name,,2074,,Carp,,,,,,,,0,
castedmediumlironshield,bango-only-name,,67,,Casted Mediuml Iron Shield,,G35,,,1,,,2306,
castedmediumsteelshield,bango-only-name,,69,,Casted Medium Steel Shield,,G56,,,1,,,0,
celebratedfixed,legacy-only-name,358,,"""Celebrated"" / ""Fixed""",,,,,0,,,,,
certificateofgoblin,bango-only-name,,2084,,Certificate of Goblin,,,,,,,,0,
certificateofmasterskeleton,bango-only-name,,2087,,Certificate of Master Skeleton,,,,,,,,0,
certificateofsonofthesky1hr,bango-only-name,,1178|1264|2609,,Certificate of Son of the Sky[1Hr.],,,,,,,,0,
certificateofsonofthesky3hr,bango-only-name,,1179|1265,,Certificate of Son of the Sky[3Hr.],,,,,,,,0,
certificateofsonofthesky5hr,bango-only-name,,1180|1266,,Certificate of Son of the Sky[5Hr.],,,,,,,,0,
certificateofxill,bango-only-name,,2083,,Certificate of Xill,,,,,,,,0,
certificateofzombie,bango-only-name,,2086,,Certificate of Zombie,,,,,,,,0,
chamberofcannonbarrel,bango-only-name,,764,,Chamber of Cannon Barrel,,,,,,,,0,
chickenskewer,bango-only-name,,2175|2368,,Chicken Skewer,,,,,,,,0,
chiefofangrydoggebitroopsdeadbody,bango-only-name,,456,,Chief of Angry Doggebi Troop's Dead Body,,,,,,,,0,
chiefofdemoncracktroopshead,bango-only-name,,1386,,Chief of Demon Crack Troop's head,,,,,,,,0,
chinesebellflower,bango-only-name,,198,,Chinese Bellflower,,,,,,,,0,
chopofmeat,matched-name,291,408,Chop of Meat,Chop of Meat,G44,G44,True,0,44,False,,108,False
christmascake,bango-only-name,,1030,,Christmas cake,,,,,,,,0,
christmaspudding,bango-only-name,,1032,,Christmas pudding,,,,,,,,0,
christmaswine,bango-only-name,,1034,,Christmas wine,,,,,,,,0,
chrysanthemum,bango-only-name,,197,,Chrysanthemum,,,,,,,,0,
chultaebow,matched-name,228,108|941,ChulTae Bow,ChulTae Bow,G40,G40,True,1,1,True,0,159092,False
chultaebowimperial,legacy-only-name,395,,ChulTae Bow (Imperial),,G40,,,1,,,0,,
chunsooinsstirrup,bango-only-name,,169,,Chun-SooIn's Stirrup,,,,,,,,0,
completeemoogysscale,bango-only-name,,1497,,Complete E-moogy's Scale,,,,,,,,0,
completesuitofarmor,bango-only-name,,1778,,Complete suit of armor.,,,,,,,,0,
cookedcarp,bango-only-name,,2079,,Cooked carp,,G70,,,70,,,0,
cookedchopofmeat,matched-name,293,410,Cooked Chop of Meat,Cooked Chop of Meat,G52,G52,True,0,52,False,,141,False
cookedpotato,matched-name,284,402,Cooked Potato,Cooked Potato,G20,G20,True,0,20,False,,36,False
