status,monster_name,item_name,normalized_monster,normalized_item
bango-only-name-pair,1st Commander of The Royal Tomb,Golden Bow,1stcommanderoftheroyaltomb,goldenbow
bango-only-name-pair,1st Commander of The Royal Tomb,Golden dagger,1stcommanderoftheroyaltomb,goldendagger
bango-only-name-pair,1st Commander of The Royal Tomb,Golden Giant Sword,1stcommanderoftheroyaltomb,goldengiantsword
bango-only-name-pair,1st Commander of The Royal Tomb,Golden Stick,1stcommanderoftheroyaltomb,goldenstick
bango-only-name-pair,1st Commander of The Royal Tomb,Golden Sword,1stcommanderoftheroyaltomb,goldensword
bango-only-name-pair,1st Commander of The Royal Tomb,Health Necklace,1stcommanderoftheroyaltomb,healthnecklace
legacy-only-name-pair,1stcommanderoftheroyaltomb,invincibleharsh,1stcommanderoftheroyaltomb,invincibleharsh
legacy-only-name-pair,1stcommanderoftheroyaltomb,magicalpowerswise,1stcommanderoftheroyaltomb,magicalpowerswise
bango-only-name-pair,1st Commander of The Royal Tomb,Mana Necklace,1stcommanderoftheroyaltomb,mananecklace
legacy-only-name-pair,1stcommanderoftheroyaltomb,mercifulfixed,1stcommanderoftheroyaltomb,mercifulfixed
legacy-only-name-pair,1stcommanderoftheroyaltomb,mightyabsoluteness,1stcommanderoftheroyaltomb,mightyabsoluteness
legacy-only-name-pair,1stcommanderoftheroyaltomb,ordinaryfictional,1stcommanderoftheroyaltomb,ordinaryfictional
legacy-only-name-pair,1stcommanderoftheroyaltomb,paradoxicalcelebrated,1stcommanderoftheroyaltomb,paradoxicalcelebrated
legacy-only-name-pair,1stcommanderoftheroyaltomb,pridefulhealthy,1stcommanderoftheroyaltomb,pridefulhealthy
legacy-only-name-pair,1stcommanderoftheroyaltomb,revengesagile,1stcommanderoftheroyaltomb,revengesagile
legacy-only-name-pair,1stcommanderoftheroyaltomb,ruinousfictional,1stcommanderoftheroyaltomb,ruinousfictional
matched-name-pair,1st Commander of The Royal Tomb,Sea Bream with Blood,1stcommanderoftheroyaltomb,seabreamwithblood
legacy-only-name-pair,1stcommanderoftheroyaltomb,steelyablaze,1stcommanderoftheroyaltomb,steelyablaze
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Flame,1stcommanderoftheroyaltomb,stoneofflame
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Holy,1stcommanderoftheroyaltomb,stoneofholy
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Ice,1stcommanderoftheroyaltomb,stoneofice
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Lightening,1stcommanderoftheroyaltomb,stoneoflightening
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Paralysis,1stcommanderoftheroyaltomb,stoneofparalysis
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Poison,1stcommanderoftheroyaltomb,stoneofpoison
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Shadow,1stcommanderoftheroyaltomb,stoneofshadow
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Skill,1stcommanderoftheroyaltomb,stoneofskill
bango-only-name-pair,1st Commander of The Royal Tomb,Stone of Strength,1stcommanderoftheroyaltomb,stoneofstrength
legacy-only-name-pair,1stcommanderoftheroyaltomb,strongestmansforced,1stcommanderoftheroyaltomb,strongestmansforced
legacy-only-name-pair,1stcommanderoftheroyaltomb,strongmansforced,1stcommanderoftheroyaltomb,strongmansforced
bango-only-name-pair,1st Commander of The Royal Tomb,Talisman of Intensification,1stcommanderoftheroyaltomb,talismanofintensification
bango-only-name-pair,1st Commander of The Royal Tomb,Talisman of Protection,1stcommanderoftheroyaltomb,talismanofprotection
bango-only-name-pair,1st Commander of The Royal Tomb,Talisman of Wonder,1stcommanderoftheroyaltomb,talismanofwonder
legacy-only-name-pair,1stcommanderoftheroyaltomb,thekingguhbalhansrash,1stcommanderoftheroyaltomb,thekingguhbalhansrash
bango-only-name-pair,1st Commander of The Royal Tomb,Trinity Necklace,1stcommanderoftheroyaltomb,trinitynecklace
legacy-only-name-pair,1stcommanderoftheroyaltomb,vitalhealthy,1stcommanderoftheroyaltomb,vitalhealthy
legacy-only-name-pair,1stcommanderoftheroyaltomb,wisefictional,1stcommanderoftheroyaltomb,wisefictional
bango-only-name-pair,1st Commander of The Royal Tomb,Zamogeon,1stcommanderoftheroyaltomb,zamogeon
legacy-only-name-pair,1stdevilmonster,barbaricharsh,1stdevilmonster,barbaricharsh
matched-name-pair,1st Devil Monster,Best Water of Geum-Oh Valley,1stdevilmonster,bestwaterofgeumohvalley
legacy-only-name-pair,1stdevilmonster,celebratedfixed,1stdevilmonster,celebratedfixed
matched-name-pair,1st Devil Monster,ChulTae Bow,1stdevilmonster,chultaebow
matched-name-pair,1st Devil Monster,Cooked Sweet Potato,1stdevilmonster,cookedsweetpotato
matched-name-pair,1st Devil Monster,Demon's blood,1stdevilmonster,demonsblood
bango-only-name-pair,1st Devil Monster,Devil Soldier Boss' Head,1stdevilmonster,devilsoldierbosshead
matched-name-pair,1st Devil Monster,DooSukLin Boots,1stdevilmonster,doosuklinboots
matched-name-pair,1st Devil Monster,DooSukLinGap Armor,1stdevilmonster,doosuklingaparmor
matched-name-pair,1st Devil Monster,DooSukLinGap Armor Hood,1stdevilmonster,doosuklingaparmorhood
matched-name-pair,1st Devil Monster,DooSukLinGap Shorts,1stdevilmonster,doosuklingapshorts
matched-name-pair,1st Devil Monster,DooSukLin Gloves,1stdevilmonster,doosuklingloves
legacy-only-name-pair,1stdevilmonster,explosivedestructive,1stdevilmonster,explosivedestructive
legacy-only-name-pair,1stdevilmonster,featheryhealthy,1stdevilmonster,featheryhealthy
matched-name-pair,1st Devil Monster,GangChulGap Armor,1stdevilmonster,gangchulgaparmor
matched-name-pair,1st Devil Monster,GangChulGap Armor Boots,1stdevilmonster,gangchulgaparmorboots
matched-name-pair,1st Devil Monster,GangChulGap Armor Gloves,1stdevilmonster,gangchulgaparmorgloves
matched-name-pair,1st Devil Monster,GangChulGap Armor Helmet,1stdevilmonster,gangchulgaparmorhelmet
matched-name-pair,1st Devil Monster,GangChulGap Armor Shorts,1stdevilmonster,gangchulgaparmorshorts
legacy-only-name-pair,1stdevilmonster,geons,1stdevilmonster,geons
legacy-only-name-pair,1stdevilmonster,harshforced,1stdevilmonster,harshforced
legacy-only-name-pair,1stdevilmonster,head,1stdevilmonster,head
legacy-only-name-pair,1stdevilmonster,heroichealthy,1stdevilmonster,heroichealthy
matched-name-pair,1st Devil Monster,HwanDoo SaeHyung Big Sword,1stdevilmonster,hwandoosaehyungbigsword
legacy-only-name-pair,1stdevilmonster,infinitelyheroic,1stdevilmonster,infinitelyheroic
legacy-only-name-pair,1stdevilmonster,instantagile,1stdevilmonster,instantagile
matched-name-pair,1st Devil Monster,JoongBang Chairperson's Stick,1stdevilmonster,joongbangchairpersonsstick
legacy-only-name-pair,1stdevilmonster,manshealthy,1stdevilmonster,manshealthy
matched-name-pair,1st Devil Monster,Medium Medicine,1stdevilmonster,mediummedicine
bango-only-name-pair,1st Devil Monster,Medium Steel Shield,1stdevilmonster,mediumsteelshield
legacy-only-name-pair,1stdevilmonster,mightyabsoluteness,1stdevilmonster,mightyabsoluteness
bango-only-name-pair,1st Devil Monster,MyungJoo Boots of High class thief,1stdevilmonster,myungjoobootsofhighclassthief
bango-only-name-pair,1st Devil Monster,MyungJoo DaeChangEau,1stdevilmonster,myungjoodaechangeau
matched-name-pair,1st Devil Monster,MyungJoo DaeChangEau Boots,1stdevilmonster,myungjoodaechangeauboots
legacy-only-name-pair,1stdevilmonster,myungjoodaechangeauclothes,1stdevilmonster,myungjoodaechangeauclothes
matched-name-pair,1st Devil Monster,MyungJoo DaeChangEau Gloves,1stdevilmonster,myungjoodaechangeaugloves
matched-name-pair,1st Devil Monster,MyungJoo DaeChangEau Hair Decoration,1stdevilmonster,myungjoodaechangeauhairdecoration
matched-name-pair,1st Devil Monster,MyungJoo DaeChangEau Shorts,1stdevilmonster,myungjoodaechangeaushorts
bango-only-name-pair,1st Devil Monster,MyungJoo Gloves of High class thief,1stdevilmonster,myungjooglovesofhighclassthief
bango-only-name-pair,1st Devil Monster,MyungJoo Hood of High class thief,1stdevilmonster,myungjoohoodofhighclassthief
bango-only-name-pair,1st Devil Monster,MyungJoo suit of  High class thief,1stdevilmonster,myungjoosuitofhighclassthief
bango-only-name-pair,1st Devil Monster,MyungJoo suit Shorts of High class thief,1stdevilmonster,myungjoosuitshortsofhighclassthief
matched-name-pair,1st Devil Monster,Piece of Meat,1stdevilmonster,pieceofmeat
bango-only-name-pair,1st Devil Monster,Protection Talisman,1stdevilmonster,protectiontalisman
legacy-only-name-pair,1stdevilmonster,purekeen,1stdevilmonster,purekeen
legacy-only-name-pair,1stdevilmonster,reverentcelebrated,1stdevilmonster,reverentcelebrated
matched-name-pair,1st Devil Monster,Ring,1stdevilmonster,ring
matched-name-pair,1st Devil Monster,Sea Bream with Blood,1stdevilmonster,seabreamwithblood
matched-name-pair,1st Devil Monster,Small Refining Water,1stdevilmonster,smallrefiningwater
matched-name-pair,1st Devil Monster,Talisman of Accuracy,1stdevilmonster,talismanofaccuracy
matched-name-pair,1st Devil Monster,Talisman of Defense,1stdevilmonster,talismanofdefense
bango-only-name-pair,1st Devil Monster,Talisman of Intensification,1stdevilmonster,talismanofintensification
bango-only-name-pair,1st Devil Monster,Talisman of Protection,1stdevilmonster,talismanofprotection
bango-only-name-pair,1st Devil Monster,Talisman of Wonder,1stdevilmonster,talismanofwonder
legacy-only-name-pair,1stdevilmonster,trinket,1stdevilmonster,trinket
legacy-only-name-pair,1stdevilmonster,unlimitedinstant,1stdevilmonster,unlimitedinstant
legacy-only-name-pair,1stdevilmonster,wisdomsfixed,1stdevilmonster,wisdomsfixed
bango-only-name-pair,1st Devil Monster,Zamogeon,1stdevilmonster,zamogeon
legacy-only-name-pair,2ndcommanderoftheroyaltomb,ablazehealthy,2ndcommanderoftheroyaltomb,ablazehealthy
legacy-only-name-pair,2ndcommanderoftheroyaltomb,absolutekeen,2ndcommanderoftheroyaltomb,absolutekeen
legacy-only-name-pair,2ndcommanderoftheroyaltomb,breakthroughsstrongestmans,2ndcommanderoftheroyaltomb,breakthroughsstrongestmans
legacy-only-name-pair,2ndcommanderoftheroyaltomb,dashyagile,2ndcommanderoftheroyaltomb,dashyagile
legacy-only-name-pair,2ndcommanderoftheroyaltomb,decisionaldashy,2ndcommanderoftheroyaltomb,decisionaldashy
legacy-only-name-pair,2ndcommanderoftheroyaltomb,despoticforced,2ndcommanderoftheroyaltomb,despoticforced
legacy-only-name-pair,2ndcommanderoftheroyaltomb,diamondheroic,2ndcommanderoftheroyaltomb,diamondheroic
matched-name-pair,2nd Commander of The Royal Tomb,Diamond Scaled Armor,2ndcommanderoftheroyaltomb,diamondscaledarmor
legacy-only-name-pair,2ndcommanderoftheroyaltomb,diamondscaledboots,2ndcommanderoftheroyaltomb,diamondscaledboots
matched-name-pair,2nd Commander of The Royal Tomb,Diamond Scaled Gloves,2ndcommanderoftheroyaltomb,diamondscaledgloves
matched-name-pair,2nd Commander of The Royal Tomb,Diamond Scaled Helmet,2ndcommanderoftheroyaltomb,diamondscaledhelmet
bango-only-name-pair,2nd Commander of The Royal Tomb,Diamond Scaled Shoes,2ndcommanderoftheroyaltomb,diamondscaledshoes
matched-name-pair,2nd Commander of The Royal Tomb,Diamond Scaled Shorts,2ndcommanderoftheroyaltomb,diamondscaledshorts
legacy-only-name-pair,2ndcommanderoftheroyaltomb,dignifiedfixed,2ndcommanderoftheroyaltomb,dignifiedfixed
legacy-only-name-pair,2ndcommanderoftheroyaltomb,distinctmerciful,2ndcommanderoftheroyaltomb,distinctmerciful
legacy-only-name-pair,2ndcommanderoftheroyaltomb,explosivedestructive,2ndcommanderoftheroyaltomb,explosivedestructive
legacy-only-name-pair,2ndcommanderoftheroyaltomb,flexibleagile,2ndcommanderoftheroyaltomb,flexibleagile
legacy-only-name-pair,2ndcommanderoftheroyaltomb,geons,2ndcommanderoftheroyaltomb,geons
legacy-only-name-pair,2ndcommanderoftheroyaltomb,glidinginstant,2ndcommanderoftheroyaltomb,glidinginstant
legacy-only-name-pair,2ndcommanderoftheroyaltomb,gloriousfixed,2ndcommanderoftheroyaltomb,gloriousfixed
bango-only-name-pair,2nd Commander of The Royal Tomb,Golden Bow,2ndcommanderoftheroyaltomb,goldenbow
bango-only-name-pair,2nd Commander of The Royal Tomb,Golden dagger,2ndcommanderoftheroyaltomb,goldendagger
bango-only-name-pair,2nd Commander of The Royal Tomb,Golden Giant Sword,2ndcommanderoftheroyaltomb,goldengiantsword
bango-only-name-pair,2nd Commander of The Royal Tomb,Golden Stick,2ndcommanderoftheroyaltomb,goldenstick
bango-only-name-pair,2nd Commander of The Royal Tomb,Golden Sword,2ndcommanderoftheroyaltomb,goldensword
bango-only-name-pair,2nd Commander of The Royal Tomb,Health Necklace,2ndcommanderoftheroyaltomb,healthnecklace
legacy-only-name-pair,2ndcommanderoftheroyaltomb,invincibleharsh,2ndcommanderoftheroyaltomb,invincibleharsh
legacy-only-name-pair,2ndcommanderoftheroyaltomb,magicalpowerswise,2ndcommanderoftheroyaltomb,magicalpowerswise
bango-only-name-pair,2nd Commander of The Royal Tomb,Mana Necklace,2ndcommanderoftheroyaltomb,mananecklace
legacy-only-name-pair,2ndcommanderoftheroyaltomb,mercifulfixed,2ndcommanderoftheroyaltomb,mercifulfixed
legacy-only-name-pair,2ndcommanderoftheroyaltomb,mightyabsoluteness,2ndcommanderoftheroyaltomb,mightyabsoluteness
legacy-only-name-pair,2ndcommanderoftheroyaltomb,ordinaryfictional,2ndcommanderoftheroyaltomb,ordinaryfictional
legacy-only-name-pair,2ndcommanderoftheroyaltomb,paradoxicalcelebrated,2ndcommanderoftheroyaltomb,paradoxicalcelebrated
legacy-only-name-pair,2ndcommanderoftheroyaltomb,pridefulhealthy,2ndcommanderoftheroyaltomb,pridefulhealthy
legacy-only-name-pair,2ndcommanderoftheroyaltomb,revengesagile,2ndcommanderoftheroyaltomb,revengesagile
legacy-only-name-pair,2ndcommanderoftheroyaltomb,ruinousfictional,2ndcommanderoftheroyaltomb,ruinousfictional
matched-name-pair,2nd Commander of The Royal Tomb,Sea Bream with Blood,2ndcommanderoftheroyaltomb,seabreamwithblood
legacy-only-name-pair,2ndcommanderoftheroyaltomb,steelyablaze,2ndcommanderoftheroyaltomb,steelyablaze
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Flame,2ndcommanderoftheroyaltomb,stoneofflame
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Holy,2ndcommanderoftheroyaltomb,stoneofholy
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Ice,2ndcommanderoftheroyaltomb,stoneofice
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Lightening,2ndcommanderoftheroyaltomb,stoneoflightening
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Paralysis,2ndcommanderoftheroyaltomb,stoneofparalysis
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Poison,2ndcommanderoftheroyaltomb,stoneofpoison
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Shadow,2ndcommanderoftheroyaltomb,stoneofshadow
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Skill,2ndcommanderoftheroyaltomb,stoneofskill
bango-only-name-pair,2nd Commander of The Royal Tomb,Stone of Strength,2ndcommanderoftheroyaltomb,stoneofstrength
legacy-only-name-pair,2ndcommanderoftheroyaltomb,strongestmansforced,2ndcommanderoftheroyaltomb,strongestmansforced
legacy-only-name-pair,2ndcommanderoftheroyaltomb,strongmansforced,2ndcommanderoftheroyaltomb,strongmansforced
bango-only-name-pair,2nd Commander of The Royal Tomb,Talisman of Intensification,2ndcommanderoftheroyaltomb,talismanofintensification
bango-only-name-pair,2nd Commander of The Royal Tomb,Talisman of Protection,2ndcommanderoftheroyaltomb,talismanofprotection
bango-only-name-pair,2nd Commander of The Royal Tomb,Talisman of Wonder,2ndcommanderoftheroyaltomb,talismanofwonder
legacy-only-name-pair,2ndcommanderoftheroyaltomb,thekingguhbalhansrash,2ndcommanderoftheroyaltomb,thekingguhbalhansrash
bango-only-name-pair,2nd Commander of The Royal Tomb,Trinity Necklace,2ndcommanderoftheroyaltomb,trinitynecklace
legacy-only-name-pair,2ndcommanderoftheroyaltomb,vitalhealthy,2ndcommanderoftheroyaltomb,vitalhealthy
legacy-only-name-pair,2ndcommanderoftheroyaltomb,wisefictional,2ndcommanderoftheroyaltomb,wisefictional
bango-only-name-pair,2nd Commander of The Royal Tomb,Zamogeon,2ndcommanderoftheroyaltomb,zamogeon
legacy-only-name-pair,2nddevilmonster,barbaricharsh,2nddevilmonster,barbaricharsh
matched-name-pair,2nd Devil Monster,Best Water of Geum-Oh Valley,2nddevilmonster,bestwaterofgeumohvalley
legacy-only-name-pair,2nddevilmonster,celebratedfixed,2nddevilmonster,celebratedfixed
matched-name-pair,2nd Devil Monster,ChulTae Bow,2nddevilmonster,chultaebow
matched-name-pair,2nd Devil Monster,Cooked Sweet Potato,2nddevilmonster,cookedsweetpotato
matched-name-pair,2nd Devil Monster,Demon's blood,2nddevilmonster,demonsblood
bango-only-name-pair,2nd Devil Monster,Devil Soldier Sub-boss' Head,2nddevilmonster,devilsoldiersubbosshead
legacy-only-name-pair,2nddevilmonster,explosivedestructive,2nddevilmonster,explosivedestructive
legacy-only-name-pair,2nddevilmonster,featheryhealthy,2nddevilmonster,featheryhealthy
legacy-only-name-pair,2nddevilmonster,geons,2nddevilmonster,geons
legacy-only-name-pair,2nddevilmonster,harshforced,2nddevilmonster,harshforced
legacy-only-name-pair,2nddevilmonster,head,2nddevilmonster,head
legacy-only-name-pair,2nddevilmonster,heroichealthy,2nddevilmonster,heroichealthy
matched-name-pair,2nd Devil Monster,HwanDoo SaeHyung Big Sword,2nddevilmonster,hwandoosaehyungbigsword
legacy-only-name-pair,2nddevilmonster,infinitelyheroic,2nddevilmonster,infinitelyheroic
legacy-only-name-pair,2nddevilmonster,instantagile,2nddevilmonster,instantagile
matched-name-pair,2nd Devil Monster,JoongBang Chairperson's Stick,2nddevilmonster,joongbangchairpersonsstick
legacy-only-name-pair,2nddevilmonster,manshealthy,2nddevilmonster,manshealthy
matched-name-pair,2nd Devil Monster,Medium Medicine,2nddevilmonster,mediummedicine
legacy-only-name-pair,2nddevilmonster,mightyabsoluteness,2nddevilmonster,mightyabsoluteness
matched-name-pair,2nd Devil Monster,Piece of Meat,2nddevilmonster,pieceofmeat
bango-only-name-pair,2nd Devil Monster,Protection Talisman,2nddevilmonster,protectiontalisman
legacy-only-name-pair,2nddevilmonster,purekeen,2nddevilmonster,purekeen
bango-only-name-pair,2nd Devil Monster,Red HwanDoo dagger,2nddevilmonster,redhwandoodagger
matched-name-pair,2nd Devil Monster,Red Tiger Pattern Gak Bow,2nddevilmonster,redtigerpatterngakbow
legacy-only-name-pair,2nddevilmonster,reverentcelebrated,2nddevilmonster,reverentcelebrated
matched-name-pair,2nd Devil Monster,Ring,2nddevilmonster,ring
matched-name-pair,2nd Devil Monster,Sae Hak Chairperson's Stick,2nddevilmonster,saehakchairpersonsstick
matched-name-pair,2nd Devil Monster,Sea Bream with Blood,2nddevilmonster,seabreamwithblood
matched-name-pair,2nd Devil Monster,Small Refining Water,2nddevilmonster,smallrefiningwater
matched-name-pair,2nd Devil Monster,Talisman of Accuracy,2nddevilmonster,talismanofaccuracy
matched-name-pair,2nd Devil Monster,Talisman of Defense,2nddevilmonster,talismanofdefense
bango-only-name-pair,2nd Devil Monster,Talisman of Intensification,2nddevilmonster,talismanofintensification
bango-only-name-pair,2nd Devil Monster,Talisman of Protection,2nddevilmonster,talismanofprotection
bango-only-name-pair,2nd Devil Monster,Talisman of Wonder,2nddevilmonster,talismanofwonder
legacy-only-name-pair,2nddevilmonster,trinket,2nddevilmonster,trinket
legacy-only-name-pair,2nddevilmonster,unlimitedinstant,2nddevilmonster,unlimitedinstant
matched-name-pair,2nd Devil Monster,White HwanDoo Big Sword,2nddevilmonster,whitehwandoobigsword
legacy-only-name-pair,2nddevilmonster,wisdomsfixed,2nddevilmonster,wisdomsfixed
bango-only-name-pair,2nd Devil Monster,Zamogeon,2nddevilmonster,zamogeon
legacy-only-name-pair,3rdcommanderoftheroyaltomb,ablazehealthy,3rdcommanderoftheroyaltomb,ablazehealthy
legacy-only-name-pair,3rdcommanderoftheroyaltomb,absolutekeen,3rdcommanderoftheroyaltomb,absolutekeen
legacy-only-name-pair,3rdcommanderoftheroyaltomb,breakthroughsstrongestmans,3rdcommanderoftheroyaltomb,breakthroughsstrongestmans
legacy-only-name-pair,3rdcommanderoftheroyaltomb,dashyagile,3rdcommanderoftheroyaltomb,dashyagile
legacy-only-name-pair,3rdcommanderoftheroyaltomb,decisionaldashy,3rdcommanderoftheroyaltomb,decisionaldashy
legacy-only-name-pair,3rdcommanderoftheroyaltomb,despoticforced,3rdcommanderoftheroyaltomb,despoticforced
legacy-only-name-pair,3rdcommanderoftheroyaltomb,diamondheroic,3rdcommanderoftheroyaltomb,diamondheroic
legacy-only-name-pair,3rdcommanderoftheroyaltomb,dignifiedfixed,3rdcommanderoftheroyaltomb,dignifiedfixed
legacy-only-name-pair,3rdcommanderoftheroyaltomb,distinctmerciful,3rdcommanderoftheroyaltomb,distinctmerciful
legacy-only-name-pair,3rdcommanderoftheroyaltomb,explosivedestructive,3rdcommanderoftheroyaltomb,explosivedestructive
legacy-only-name-pair,3rdcommanderoftheroyaltomb,flexibleagile,3rdcommanderoftheroyaltomb,flexibleagile
legacy-only-name-pair,3rdcommanderoftheroyaltomb,geons,3rdcommanderoftheroyaltomb,geons
legacy-only-name-pair,3rdcommanderoftheroyaltomb,glidinginstant,3rdcommanderoftheroyaltomb,glidinginstant
legacy-only-name-pair,3rdcommanderoftheroyaltomb,gloriousfixed,3rdcommanderoftheroyaltomb,gloriousfixed
bango-only-name-pair,3rd Commander of The Royal Tomb,Golden Bow,3rdcommanderoftheroyaltomb,goldenbow
bango-only-name-pair,3rd Commander of The Royal Tomb,Golden dagger,3rdcommanderoftheroyaltomb,goldendagger
bango-only-name-pair,3rd Commander of The Royal Tomb,Golden Giant Sword,3rdcommanderoftheroyaltomb,goldengiantsword
bango-only-name-pair,3rd Commander of The Royal Tomb,Golden Stick,3rdcommanderoftheroyaltomb,goldenstick
bango-only-name-pair,3rd Commander of The Royal Tomb,Golden Sword,3rdcommanderoftheroyaltomb,goldensword
bango-only-name-pair,3rd Commander of The Royal Tomb,Health Necklace,3rdcommanderoftheroyaltomb,healthnecklace
legacy-only-name-pair,3rdcommanderoftheroyaltomb,invincibleharsh,3rdcommanderoftheroyaltomb,invincibleharsh
legacy-only-name-pair,3rdcommanderoftheroyaltomb,magicalpowerswise,3rdcommanderoftheroyaltomb,magicalpowerswise
bango-only-name-pair,3rd Commander of The Royal Tomb,Mana Necklace,3rdcommanderoftheroyaltomb,mananecklace
legacy-only-name-pair,3rdcommanderoftheroyaltomb,mercifulfixed,3rdcommanderoftheroyaltomb,mercifulfixed
legacy-only-name-pair,3rdcommanderoftheroyaltomb,mightyabsoluteness,3rdcommanderoftheroyaltomb,mightyabsoluteness
legacy-only-name-pair,3rdcommanderoftheroyaltomb,ordinaryfictional,3rdcommanderoftheroyaltomb,ordinaryfictional
legacy-only-name-pair,3rdcommanderoftheroyaltomb,paradoxicalcelebrated,3rdcommanderoftheroyaltomb,paradoxicalcelebrated
legacy-only-name-pair,3rdcommanderoftheroyaltomb,pridefulhealthy,3rdcommanderoftheroyaltomb,pridefulhealthy
legacy-only-name-pair,3rdcommanderoftheroyaltomb,revengesagile,3rdcommanderoftheroyaltomb,revengesagile
legacy-only-name-pair,3rdcommanderoftheroyaltomb,ruinousfictional,3rdcommanderoftheroyaltomb,ruinousfictional
matched-name-pair,3rd Commander of The Royal Tomb,Sea Bream with Blood,3rdcommanderoftheroyaltomb,seabreamwithblood
legacy-only-name-pair,3rdcommanderoftheroyaltomb,steelyablaze,3rdcommanderoftheroyaltomb,steelyablaze
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Flame,3rdcommanderoftheroyaltomb,stoneofflame
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Holy,3rdcommanderoftheroyaltomb,stoneofholy
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Ice,3rdcommanderoftheroyaltomb,stoneofice
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Lightening,3rdcommanderoftheroyaltomb,stoneoflightening
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Paralysis,3rdcommanderoftheroyaltomb,stoneofparalysis
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Poison,3rdcommanderoftheroyaltomb,stoneofpoison
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Shadow,3rdcommanderoftheroyaltomb,stoneofshadow
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Skill,3rdcommanderoftheroyaltomb,stoneofskill
bango-only-name-pair,3rd Commander of The Royal Tomb,Stone of Strength,3rdcommanderoftheroyaltomb,stoneofstrength
legacy-only-name-pair,3rdcommanderoftheroyaltomb,strongestmansforced,3rdcommanderoftheroyaltomb,strongestmansforced
