pre_azon,attribute_ordinal,attribute,values_json,provenance,source_file,source_line
39,1,Wis,"[""9""]",bango-file,prefix.dat,39
40,1,Wis,"[""10""]",bango-file,prefix.dat,40
41,1,Dex,"[""1""]",bango-file,prefix.dat,41
42,1,Dex,"[""2""]",bango-file,prefix.dat,42
43,1,Dex,"[""3""]",bango-file,prefix.dat,43
44,1,Dex,"[""4""]",bango-file,prefix.dat,44
45,1,Dex,"[""5""]",bango-file,prefix.dat,45
46,1,Dex,"[""6""]",bango-file,prefix.dat,46
47,1,Dex,"[""7""]",bango-file,prefix.dat,47
48,1,Dex,"[""8""]",bango-file,prefix.dat,48
49,1,Dex,"[""9""]",bango-file,prefix.dat,49
50,1,Dex,"[""10""]",bango-file,prefix.dat,50
51,1,attack,"[""0"",""4""]",bango-file,prefix.dat,51
52,1,attack,"[""2"",""2""]",bango-file,prefix.dat,52
53,1,attack,"[""0"",""6""]",bango-file,prefix.dat,53
54,1,attack,"[""3"",""3""]",bango-file,prefix.dat,54
55,1,attack,"[""0"",""8""]",bango-file,prefix.dat,55
56,1,Hth,"[""2""]",bango-file,prefix.dat,56
56,2,Dex,"[""1""]",bango-file,prefix.dat,56
57,1,str,"[""1""]",bango-file,prefix.dat,57
57,2,Hth,"[""2""]",bango-file,prefix.dat,57
58,1,attack,"[""0"",""12""]",bango-file,prefix.dat,58
59,1,attack,"[""0"",""14""]",bango-file,prefix.dat,59
60,1,magic,"[""0"",""4""]",bango-file,prefix.dat,60
61,1,magic,"[""2"",""2""]",bango-file,prefix.dat,61
62,1,magic,"[""0"",""6""]",bango-file,prefix.dat,62
63,1,magic,"[""3"",""3""]",bango-file,prefix.dat,63
64,1,magic,"[""0"",""8""]",bango-file,prefix.dat,64
65,1,Hth,"[""2""]",bango-file,prefix.dat,65
65,2,Int,"[""1""]",bango-file,prefix.dat,65
66,1,magic,"[""0"",""12""]",bango-file,prefix.dat,66
67,1,magic,"[""0"",""14""]",bango-file,prefix.dat,67
68,1,str,"[""1""]",bango-file,prefix.dat,68
68,2,Hth,"[""1""]",bango-file,prefix.dat,68
68,3,Dex,"[""1""]",bango-file,prefix.dat,68
68,4,attack,"[""0"",""1""]",bango-file,prefix.dat,68
69,1,str,"[""2""]",bango-file,prefix.dat,69
69,2,Hth,"[""2""]",bango-file,prefix.dat,69
69,3,Dex,"[""1""]",bango-file,prefix.dat,69
69,4,attack,"[""1"",""2""]",bango-file,prefix.dat,69
70,1,str,"[""3""]",bango-file,prefix.dat,70
70,2,Hth,"[""2""]",bango-file,prefix.dat,70
70,3,Dex,"[""2""]",bango-file,prefix.dat,70
70,4,attack,"[""2"",""3""]",bango-file,prefix.dat,70
70,5,hp,"[""50""]",bango-file,prefix.dat,70
71,1,str,"[""4""]",bango-file,prefix.dat,71
71,2,Hth,"[""3""]",bango-file,prefix.dat,71
71,3,Dex,"[""3""]",bango-file,prefix.dat,71
71,4,attack,"[""2"",""5""]",bango-file,prefix.dat,71
71,5,hp,"[""75""]",bango-file,prefix.dat,71
71,6,mp,"[""25""]",bango-file,prefix.dat,71
72,1,str,"[""1""]",bango-file,prefix.dat,72
72,2,Wis,"[""1""]",bango-file,prefix.dat,72
72,3,Dex,"[""1""]",bango-file,prefix.dat,72
72,4,attack,"[""0"",""1""]",bango-file,prefix.dat,72
73,1,str,"[""2""]",bango-file,prefix.dat,73
73,2,Hth,"[""1""]",bango-file,prefix.dat,73
73,3,Dex,"[""2""]",bango-file,prefix.dat,73
73,4,attack,"[""1"",""2""]",bango-file,prefix.dat,73
74,1,str,"[""2""]",bango-file,prefix.dat,74
74,2,Hth,"[""2""]",bango-file,prefix.dat,74
74,3,Dex,"[""3""]",bango-file,prefix.dat,74
74,4,attack,"[""2"",""3""]",bango-file,prefix.dat,74
74,5,hp,"[""50""]",bango-file,prefix.dat,74
75,1,str,"[""3""]",bango-file,prefix.dat,75
75,2,Hth,"[""3""]",bango-file,prefix.dat,75
75,3,Dex,"[""4""]",bango-file,prefix.dat,75
75,4,attack,"[""2"",""5""]",bango-file,prefix.dat,75
75,5,hp,"[""75""]",bango-file,prefix.dat,75
75,6,mp,"[""25""]",bango-file,prefix.dat,75
76,1,Int,"[""1""]",bango-file,prefix.dat,76
76,2,Wis,"[""1""]",bango-file,prefix.dat,76
76,3,Dex,"[""1""]",bango-file,prefix.dat,76
76,4,magic,"[""0"",""1""]",bango-file,prefix.dat,76
77,1,Int,"[""2""]",bango-file,prefix.dat,77
77,2,Wis,"[""2""]",bango-file,prefix.dat,77
77,3,Dex,"[""1""]",bango-file,prefix.dat,77
77,4,magic,"[""1"",""2""]",bango-file,prefix.dat,77
78,1,Int,"[""3""]",bango-file,prefix.dat,78
78,2,Wis,"[""2""]",bango-file,prefix.dat,78
78,3,Dex,"[""2""]",bango-file,prefix.dat,78
78,4,magic,"[""2"",""3""]",bango-file,prefix.dat,78
78,5,mp,"[""50""]",bango-file,prefix.dat,78
79,1,Int,"[""4""]",bango-file,prefix.dat,79
79,2,Wis,"[""3""]",bango-file,prefix.dat,79
79,3,Dex,"[""3""]",bango-file,prefix.dat,79
79,4,magic,"[""2"",""5""]",bango-file,prefix.dat,79
79,5,hp,"[""50""]",bango-file,prefix.dat,79
79,6,mp,"[""50""]",bango-file,prefix.dat,79
80,1,Hth,"[""2""]",bango-file,prefix.dat,80
80,2,Int,"[""3""]",bango-file,prefix.dat,80
80,3,Wis,"[""5""]",bango-file,prefix.dat,80
80,4,Dex,"[""2""]",bango-file,prefix.dat,80
80,5,hp,"[""90""]",bango-file,prefix.dat,80
80,6,mp,"[""110""]",bango-file,prefix.dat,80
80,7,defense,"[""2""]",bango-file,prefix.dat,80
81,1,str,"[""2""]",bango-file,prefix.dat,81
81,2,Hth,"[""5""]",bango-file,prefix.dat,81
81,3,Wis,"[""2""]",bango-file,prefix.dat,81
81,4,Dex,"[""3""]",bango-file,prefix.dat,81
81,5,hp,"[""150""]",bango-file,prefix.dat,81
81,6,defense,"[""5""]",bango-file,prefix.dat,81
82,1,str,"[""5""]",bango-file,prefix.dat,82
82,2,Hth,"[""2""]",bango-file,prefix.dat,82
82,3,Wis,"[""2""]",bango-file,prefix.dat,82
82,4,Dex,"[""3""]",bango-file,prefix.dat,82
82,5,hp,"[""100""]",bango-file,prefix.dat,82
82,6,mp,"[""100""]",bango-file,prefix.dat,82
82,7,hit,"[""1""]",bango-file,prefix.dat,82
83,1,str,"[""2""]",bango-file,prefix.dat,83
83,2,Hth,"[""1""]",bango-file,prefix.dat,83
83,3,hit,"[""1""]",bango-file,prefix.dat,83
84,1,Wis,"[""1""]",bango-file,prefix.dat,84
84,2,Dex,"[""2""]",bango-file,prefix.dat,84
84,3,hit,"[""1""]",bango-file,prefix.dat,84
85,1,Hth,"[""2""]",bango-file,prefix.dat,85
85,2,Dex,"[""1""]",bango-file,prefix.dat,85
85,3,hp,"[""60""]",bango-file,prefix.dat,85
85,4,defense,"[""1""]",bango-file,prefix.dat,85
86,1,Hth,"[""1""]",bango-file,prefix.dat,86
86,2,Int,"[""2""]",bango-file,prefix.dat,86
86,3,mp,"[""30""]",bango-file,prefix.dat,86
86,4,defense,"[""2""]",bango-file,prefix.dat,86
87,1,Wis,"[""2""]",bango-file,prefix.dat,87
87,2,Dex,"[""1""]",bango-file,prefix.dat,87
87,3,mp,"[""30""]",bango-file,prefix.dat,87
87,4,defense,"[""2""]",bango-file,prefix.dat,87
88,1,str,"[""3""]",bango-file,prefix.dat,88
88,2,Hth,"[""2""]",bango-file,prefix.dat,88
88,3,Wis,"[""2""]",bango-file,prefix.dat,88
88,4,Dex,"[""5""]",bango-file,prefix.dat,88
88,5,hp,"[""120""]",bango-file,prefix.dat,88
88,6,mp,"[""80""]",bango-file,prefix.dat,88
88,7,defense,"[""2""]",bango-file,prefix.dat,88
89,1,Hth,"[""2""]",bango-file,prefix.dat,89
89,2,Int,"[""5""]",bango-file,prefix.dat,89
89,3,Wis,"[""3""]",bango-file,prefix.dat,89
89,4,Dex,"[""2""]",bango-file,prefix.dat,89
89,5,hp,"[""50""]",bango-file,prefix.dat,89
89,6,mp,"[""150""]",bango-file,prefix.dat,89
89,7,defense,"[""2""]",bango-file,prefix.dat,89
90,1,str,"[""5""]",bango-file,prefix.dat,90
90,2,Hth,"[""5""]",bango-file,prefix.dat,90
90,3,Int,"[""5""]",bango-file,prefix.dat,90
90,4,Wis,"[""5""]",bango-file,prefix.dat,90
90,5,Dex,"[""5""]",bango-file,prefix.dat,90
90,6,hp,"[""75""]",bango-file,prefix.dat,90
90,7,mp,"[""75""]",bango-file,prefix.dat,90
90,8,defense,"[""5""]",bango-file,prefix.dat,90
91,1,hp,"[""360""]",bango-file,prefix.dat,91
91,2,defense,"[""3""]",bango-file,prefix.dat,91
92,1,str,"[""6""]",bango-file,prefix.dat,92
92,2,Hth,"[""6""]",bango-file,prefix.dat,92
92,3,Int,"[""6""]",bango-file,prefix.dat,92
92,4,Wis,"[""6""]",bango-file,prefix.dat,92
92,5,Dex,"[""6""]",bango-file,prefix.dat,92
92,6,hp,"[""100""]",bango-file,prefix.dat,92
92,7,mp,"[""80""]",bango-file,prefix.dat,92
92,8,defense,"[""5""]",bango-file,prefix.dat,92
93,1,str,"[""1""]",bango-file,prefix.dat,95
94,1,str,"[""2""]",bango-file,prefix.dat,96
95,1,str,"[""3""]",bango-file,prefix.dat,97
96,1,str,"[""4""]",bango-file,prefix.dat,98
97,1,str,"[""5""]",bango-file,prefix.dat,99
98,1,str,"[""6""]",bango-file,prefix.dat,100
99,1,str,"[""7""]",bango-file,prefix.dat,101
100,1,Dex,"[""1""]",bango-file,prefix.dat,102
101,1,Dex,"[""2""]",bango-file,prefix.dat,103
102,1,Dex,"[""3""]",bango-file,prefix.dat,104
103,1,Dex,"[""4""]",bango-file,prefix.dat,105
104,1,Dex,"[""5""]",bango-file,prefix.dat,106
105,1,Dex,"[""6""]",bango-file,prefix.dat,107
106,1,Dex,"[""7""]",bango-file,prefix.dat,108
107,1,Int,"[""1""]",bango-file,prefix.dat,109
108,1,Int,"[""2""]",bango-file,prefix.dat,110
109,1,Int,"[""3""]",bango-file,prefix.dat,111
110,1,Int,"[""4""]",bango-file,prefix.dat,112
111,1,Int,"[""5""]",bango-file,prefix.dat,113
112,1,Int,"[""6""]",bango-file,prefix.dat,114
113,1,Int,"[""7""]",bango-file,prefix.dat,115
114,1,Wis,"[""1""]",bango-file,prefix.dat,116
115,1,Wis,"[""2""]",bango-file,prefix.dat,117
116,1,Wis,"[""3""]",bango-file,prefix.dat,118
117,1,Wis,"[""4""]",bango-file,prefix.dat,119
118,1,Wis,"[""5""]",bango-file,prefix.dat,120
119,1,Wis,"[""6""]",bango-file,prefix.dat,121
120,1,Wis,"[""7""]",bango-file,prefix.dat,122
121,1,Hth,"[""1""]",bango-file,prefix.dat,123
122,1,Hth,"[""2""]",bango-file,prefix.dat,124
123,1,Hth,"[""3""]",bango-file,prefix.dat,125
124,1,Hth,"[""4""]",bango-file,prefix.dat,126
125,1,Hth,"[""5""]",bango-file,prefix.dat,127
126,1,Hth,"[""6""]",bango-file,prefix.dat,128
127,1,Hth,"[""7""]",bango-file,prefix.dat,129
136,1,resistfire,"[""8""]",bango-file,prefix.dat,138
137,1,resistfire,"[""3""]",bango-file,prefix.dat,139
138,1,resistlitning,"[""8""]",bango-file,prefix.dat,140
139,1,resistlitning,"[""3""]",bango-file,prefix.dat,141
140,1,resistice,"[""8""]",bango-file,prefix.dat,142
141,1,resistice,"[""3""]",bango-file,prefix.dat,143
142,1,resistpalsy,"[""8""]",bango-file,prefix.dat,144
143,1,resistpalsy,"[""3""]",bango-file,prefix.dat,145
144,1,resistcurse,"[""8""]",bango-file,prefix.dat,146
145,1,resistcurse,"[""3""]",bango-file,prefix.dat,147
146,1,hp,"[""100""]",bango-file,prefix.dat,150
146,2,attack,"[""3"",""5""]",bango-file,prefix.dat,150
147,1,hp,"[""200""]",bango-file,prefix.dat,151
147,2,attack,"[""7"",""9""]",bango-file,prefix.dat,151
148,1,hp,"[""300""]",bango-file,prefix.dat,152
148,2,attack,"[""14"",""18""]",bango-file,prefix.dat,152
149,1,hp,"[""400""]",bango-file,prefix.dat,153
149,2,attack,"[""21"",""27""]",bango-file,prefix.dat,153
150,1,hp,"[""500""]",bango-file,prefix.dat,154
150,2,attack,"[""32"",""40""]",bango-file,prefix.dat,154
151,1,hp,"[""600""]",bango-file,prefix.dat,155
151,2,attack,"[""43"",""53""]",bango-file,prefix.dat,155
152,1,hp,"[""700""]",bango-file,prefix.dat,156
152,2,attack,"[""57"",""71""]",bango-file,prefix.dat,156
153,1,hp,"[""100""]",bango-file,prefix.dat,157
153,2,magic,"[""3"",""5""]",bango-file,prefix.dat,157
154,1,hp,"[""200""]",bango-file,prefix.dat,158
154,2,magic,"[""7"",""9""]",bango-file,prefix.dat,158
155,1,hp,"[""300""]",bango-file,prefix.dat,159
155,2,magic,"[""14"",""18""]",bango-file,prefix.dat,159
156,1,hp,"[""400""]",bango-file,prefix.dat,160
156,2,magic,"[""21"",""27""]",bango-file,prefix.dat,160
157,1,hp,"[""500""]",bango-file,prefix.dat,161
157,2,magic,"[""32"",""40""]",bango-file,prefix.dat,161
158,1,hp,"[""600""]",bango-file,prefix.dat,162
158,2,magic,"[""43"",""53""]",bango-file,prefix.dat,162
159,1,hp,"[""700""]",bango-file,prefix.dat,163
159,2,magic,"[""57"",""71""]",bango-file,prefix.dat,163
160,1,hit,"[""1""]",bango-file,prefix.dat,164
161,1,hit,"[""2""]",bango-file,prefix.dat,165
162,1,hit,"[""4""]",bango-file,prefix.dat,166
163,1,hit,"[""6""]",bango-file,prefix.dat,167
164,1,hit,"[""9""]",bango-file,prefix.dat,168
165,1,hit,"[""12""]",bango-file,prefix.dat,169
166,1,hit,"[""16""]",bango-file,prefix.dat,170
1001,1,hp,"[""26""]",bango-file,prefix.dat,186
1002,1,hp,"[""32""]",bango-file,prefix.dat,187
1003,1,hp,"[""38""]",bango-file,prefix.dat,188
1004,1,hp,"[""44""]",bango-file,prefix.dat,189
1005,1,hp,"[""50""]",bango-file,prefix.dat,190
1006,1,hp,"[""56""]",bango-file,prefix.dat,191
1007,1,hp,"[""62""]",bango-file,prefix.dat,192
1008,1,hp,"[""68""]",bango-file,prefix.dat,193
1009,1,hp,"[""74""]",bango-file,prefix.dat,194
1010,1,hp,"[""80""]",bango-file,prefix.dat,195
1011,1,hp,"[""86""]",bango-file,prefix.dat,196
1012,1,hp,"[""92""]",bango-file,prefix.dat,197
1013,1,hp,"[""98""]",bango-file,prefix.dat,198
1014,1,hp,"[""104""]",bango-file,prefix.dat,199
1015,1,hp,"[""110""]",bango-file,prefix.dat,200
1021,1,hp,"[""32""]",bango-file,prefix.dat,202
1022,1,hp,"[""43""]",bango-file,prefix.dat,203
1023,1,hp,"[""53""]",bango-file,prefix.dat,204
1024,1,hp,"[""64""]",bango-file,prefix.dat,205
1025,1,hp,"[""75""]",bango-file,prefix.dat,206
1026,1,hp,"[""86""]",bango-file,prefix.dat,207
1027,1,hp,"[""96""]",bango-file,prefix.dat,208
1028,1,hp,"[""107""]",bango-file,prefix.dat,209
1029,1,hp,"[""118""]",bango-file,prefix.dat,210
1030,1,hp,"[""129""]",bango-file,prefix.dat,211
1031,1,hp,"[""139""]",bango-file,prefix.dat,212
1032,1,hp,"[""150""]",bango-file,prefix.dat,213
1033,1,hp,"[""161""]",bango-file,prefix.dat,214
1034,1,hp,"[""172""]",bango-file,prefix.dat,215
1035,1,hp,"[""182""]",bango-file,prefix.dat,216
1041,1,hp,"[""42""]",bango-file,prefix.dat,218
1042,1,hp,"[""60""]",bango-file,prefix.dat,219
1043,1,hp,"[""77""]",bango-file,prefix.dat,220
1044,1,hp,"[""95""]",bango-file,prefix.dat,221
1045,1,hp,"[""112""]",bango-file,prefix.dat,222
1046,1,hp,"[""130""]",bango-file,prefix.dat,223
1047,1,hp,"[""147""]",bango-file,prefix.dat,224
1048,1,hp,"[""165""]",bango-file,prefix.dat,225
1049,1,hp,"[""182""]",bango-file,prefix.dat,226
1050,1,hp,"[""200""]",bango-file,prefix.dat,227
1051,1,hp,"[""217""]",bango-file,prefix.dat,228
1052,1,hp,"[""235""]",bango-file,prefix.dat,229
1053,1,hp,"[""252""]",bango-file,prefix.dat,230
1054,1,hp,"[""270""]",bango-file,prefix.dat,231
1055,1,hp,"[""287""]",bango-file,prefix.dat,232
1201,1,mp,"[""9""]",bango-file,prefix.dat,236
1202,1,mp,"[""12""]",bango-file,prefix.dat,237
1203,1,mp,"[""14""]",bango-file,prefix.dat,238
1204,1,mp,"[""16""]",bango-file,prefix.dat,239
1205,1,mp,"[""18""]",bango-file,prefix.dat,240
1206,1,mp,"[""21""]",bango-file,prefix.dat,241
1207,1,mp,"[""23""]",bango-file,prefix.dat,242
1208,1,mp,"[""25""]",bango-file,prefix.dat,243
1209,1,mp,"[""27""]",bango-file,prefix.dat,244
1210,1,mp,"[""30""]",bango-file,prefix.dat,245
1211,1,mp,"[""32""]",bango-file,prefix.dat,246
1212,1,mp,"[""34""]",bango-file,prefix.dat,247
1213,1,mp,"[""36""]",bango-file,prefix.dat,248
1214,1,mp,"[""39""]",bango-file,prefix.dat,249
1215,1,mp,"[""41""]",bango-file,prefix.dat,250
1221,1,mp,"[""15""]",bango-file,prefix.dat,252
1222,1,mp,"[""20""]",bango-file,prefix.dat,253
1223,1,mp,"[""25""]",bango-file,prefix.dat,254
1224,1,mp,"[""30""]",bango-file,prefix.dat,255
1225,1,mp,"[""35""]",bango-file,prefix.dat,256
1226,1,mp,"[""40""]",bango-file,prefix.dat,257
1227,1,mp,"[""45""]",bango-file,prefix.dat,258
1228,1,mp,"[""50""]",bango-file,prefix.dat,259
1229,1,mp,"[""55""]",bango-file,prefix.dat,260
1230,1,mp,"[""60""]",bango-file,prefix.dat,261
1231,1,mp,"[""65""]",bango-file,prefix.dat,262
1232,1,mp,"[""70""]",bango-file,prefix.dat,263
1233,1,mp,"[""75""]",bango-file,prefix.dat,264
1234,1,mp,"[""80""]",bango-file,prefix.dat,265
1235,1,mp,"[""85""]",bango-file,prefix.dat,266
1241,1,mp,"[""21""]",bango-file,prefix.dat,268
1242,1,mp,"[""30""]",bango-file,prefix.dat,269
1243,1,mp,"[""38""]",bango-file,prefix.dat,270
1244,1,mp,"[""47""]",bango-file,prefix.dat,271
1245,1,mp,"[""56""]",bango-file,prefix.dat,272
1246,1,mp,"[""65""]",bango-file,prefix.dat,273
1247,1,mp,"[""73""]",bango-file,prefix.dat,274
1248,1,mp,"[""82""]",bango-file,prefix.dat,275
1249,1,mp,"[""91""]",bango-file,prefix.dat,276
1250,1,mp,"[""100""]",bango-file,prefix.dat,277
1251,1,mp,"[""108""]",bango-file,prefix.dat,278
1252,1,mp,"[""117""]",bango-file,prefix.dat,279
1253,1,mp,"[""126""]",bango-file,prefix.dat,280
1254,1,mp,"[""135""]",bango-file,prefix.dat,281
1255,1,mp,"[""143""]",bango-file,prefix.dat,282
1401,1,attack,"[""1"",""1""]",bango-file,prefix.dat,286
1401,2,magic,"[""1"",""1""]",bango-file,prefix.dat,286
1402,1,attack,"[""2"",""2""]",bango-file,prefix.dat,287
1402,2,magic,"[""2"",""2""]",bango-file,prefix.dat,287
1403,1,attack,"[""2"",""2""]",bango-file,prefix.dat,288
1403,2,magic,"[""2"",""2""]",bango-file,prefix.dat,288
1404,1,attack,"[""3"",""3""]",bango-file,prefix.dat,289
1404,2,magic,"[""3"",""3""]",bango-file,prefix.dat,289
1405,1,attack,"[""3"",""3""]",bango-file,prefix.dat,290
1405,2,magic,"[""3"",""3""]",bango-file,prefix.dat,290
1406,1,attack,"[""4"",""4""]",bango-file,prefix.dat,291
1406,2,magic,"[""4"",""4""]",bango-file,prefix.dat,291
1407,1,attack,"[""4"",""4""]",bango-file,prefix.dat,292
1407,2,magic,"[""4"",""4""]",bango-file,prefix.dat,292
1408,1,attack,"[""5"",""5""]",bango-file,prefix.dat,293
1408,2,magic,"[""5"",""5""]",bango-file,prefix.dat,293
1409,1,attack,"[""5"",""5""]",bango-file,prefix.dat,294
1409,2,magic,"[""5"",""5""]",bango-file,prefix.dat,294
1410,1,attack,"[""6"",""6""]",bango-file,prefix.dat,295
1410,2,magic,"[""6"",""6""]",bango-file,prefix.dat,295
1411,1,attack,"[""6"",""6""]",bango-file,prefix.dat,296
1411,2,magic,"[""6"",""6""]",bango-file,prefix.dat,296
1412,1,attack,"[""6"",""6""]",bango-file,prefix.dat,297
1412,2,magic,"[""6"",""6""]",bango-file,prefix.dat,297
1413,1,attack,"[""7"",""7""]",bango-file,prefix.dat,298
1413,2,magic,"[""7"",""7""]",bango-file,prefix.dat,298
1414,1,attack,"[""7"",""7""]",bango-file,prefix.dat,299
1414,2,magic,"[""7"",""7""]",bango-file,prefix.dat,299
1415,1,attack,"[""8"",""8""]",bango-file,prefix.dat,300
1415,2,magic,"[""8"",""8""]",bango-file,prefix.dat,300
1421,1,attack,"[""3"",""3""]",bango-file,prefix.dat,302
1421,2,magic,"[""3"",""3""]",bango-file,prefix.dat,302
1422,1,attack,"[""4"",""4""]",bango-file,prefix.dat,303
1422,2,magic,"[""4"",""4""]",bango-file,prefix.dat,303
1423,1,attack,"[""5"",""5""]",bango-file,prefix.dat,304
1423,2,magic,"[""5"",""5""]",bango-file,prefix.dat,304
1424,1,attack,"[""6"",""6""]",bango-file,prefix.dat,305
1424,2,magic,"[""6"",""6""]",bango-file,prefix.dat,305
1425,1,attack,"[""7"",""7""]",bango-file,prefix.dat,306
1425,2,magic,"[""7"",""7""]",bango-file,prefix.dat,306
1426,1,attack,"[""8"",""8""]",bango-file,prefix.dat,307
1426,2,magic,"[""8"",""8""]",bango-file,prefix.dat,307
1427,1,attack,"[""9"",""9""]",bango-file,prefix.dat,308
1427,2,magic,"[""9"",""9""]",bango-file,prefix.dat,308
1428,1,attack,"[""10"",""10""]",bango-file,prefix.dat,309
1428,2,magic,"[""10"",""10""]",bango-file,prefix.dat,309
1429,1,attack,"[""11"",""11""]",bango-file,prefix.dat,310
1429,2,magic,"[""11"",""11""]",bango-file,prefix.dat,310
1430,1,attack,"[""12"",""12""]",bango-file,prefix.dat,311
1430,2,magic,"[""12"",""12""]",bango-file,prefix.dat,311
1431,1,attack,"[""13"",""13""]",bango-file,prefix.dat,312
1431,2,magic,"[""13"",""13""]",bango-file,prefix.dat,312
1432,1,attack,"[""14"",""14""]",bango-file,prefix.dat,313
1432,2,magic,"[""14"",""14""]",bango-file,prefix.dat,313
1433,1,attack,"[""15"",""15""]",bango-file,prefix.dat,314
1433,2,magic,"[""15"",""15""]",bango-file,prefix.dat,314
1434,1,attack,"[""16"",""16""]",bango-file,prefix.dat,315
1434,2,magic,"[""16"",""16""]",bango-file,prefix.dat,315
1435,1,attack,"[""17"",""17""]",bango-file,prefix.dat,316
1435,2,magic,"[""17"",""17""]",bango-file,prefix.dat,316
1441,1,attack,"[""6"",""6""]",bango-file,prefix.dat,318
1441,2,magic,"[""6"",""6""]",bango-file,prefix.dat,318
1442,1,attack,"[""9"",""9""]",bango-file,prefix.dat,319
1442,2,magic,"[""9"",""9""]",bango-file,prefix.dat,319
1443,1,attack,"[""12"",""12""]",bango-file,prefix.dat,320
1443,2,magic,"[""12"",""12""]",bango-file,prefix.dat,320
1444,1,attack,"[""15"",""15""]",bango-file,prefix.dat,321
1444,2,magic,"[""15"",""15""]",bango-file,prefix.dat,321
1445,1,attack,"[""18"",""18""]",bango-file,prefix.dat,322
1445,2,magic,"[""18"",""18""]",bango-file,prefix.dat,322
1446,1,attack,"[""20"",""20""]",bango-file,prefix.dat,323
1446,2,magic,"[""20"",""20""]",bango-file,prefix.dat,323
1447,1,attack,"[""23"",""23""]",bango-file,prefix.dat,324
1447,2,magic,"[""23"",""23""]",bango-file,prefix.dat,324
1448,1,attack,"[""26"",""26""]",bango-file,prefix.dat,325
1448,2,magic,"[""26"",""26""]",bango-file,prefix.dat,325
1449,1,attack,"[""29"",""29""]",bango-file,prefix.dat,326
1449,2,magic,"[""29"",""29""]",bango-file,prefix.dat,326
1450,1,attack,"[""32"",""32""]",bango-file,prefix.dat,327
1450,2,magic,"[""32"",""32""]",bango-file,prefix.dat,327
1451,1,attack,"[""34"",""34""]",bango-file,prefix.dat,328
1451,2,magic,"[""34"",""34""]",bango-file,prefix.dat,328
1452,1,attack,"[""37"",""37""]",bango-file,prefix.dat,329
1452,2,magic,"[""37"",""37""]",bango-file,prefix.dat,329
1453,1,attack,"[""40"",""40""]",bango-file,prefix.dat,330
1453,2,magic,"[""40"",""40""]",bango-file,prefix.dat,330
1454,1,attack,"[""43"",""43""]",bango-file,prefix.dat,331
1454,2,magic,"[""43"",""43""]",bango-file,prefix.dat,331
1455,1,attack,"[""46"",""46""]",bango-file,prefix.dat,332
1455,2,magic,"[""46"",""46""]",bango-file,prefix.dat,332
1601,1,str,"[""1""]",bango-file,prefix.dat,338
1602,1,str,"[""1""]",bango-file,prefix.dat,339
1603,1,str,"[""1""]",bango-file,prefix.dat,340
1604,1,str,"[""1""]",bango-file,prefix.dat,341
1605,1,str,"[""1""]",bango-file,prefix.dat,342
1606,1,str,"[""1""]",bango-file,prefix.dat,343
1607,1,str,"[""1""]",bango-file,prefix.dat,344
1608,1,str,"[""1""]",bango-file,prefix.dat,345
1609,1,str,"[""1""]",bango-file,prefix.dat,346
1610,1,str,"[""2""]",bango-file,prefix.dat,347
1611,1,str,"[""2""]",bango-file,prefix.dat,348
