normalized_name,status,legacy_names,bango_names,legacy_row_count,bango_row_count,legacy_positions,bango_keys,bango_limits
bloodsuction,bango-only-name,,Blood Suction,0,1,,tuguk-75,"[""tuguk""]"
blowuparrow,matched-name,Blow-up Arrow,Blow-up Arrow,1,1,16,archer-13,"[""archer""]"
bombing,bango-only-name,,Bombing,0,1,,mage-93,"[""mage""]"
bowmastery,matched-name,Bow Mastery,Bow Mastery,1,1,15,archer-2,"[""archer""]"
brutalattack,matched-name,Brutal Attack,Brutal Attack,1,1,10,knight-17,"[""knight""]"
buffremover,matched-name,Buff Remover,Buff Remover,1,1,18,archer-44,"[""archer""]"
callofdefense,matched-name,Call of Defense,Call of Defense,1,1,11,knight-19,"[""knight""]"
calloffiredefense,matched-name,Call of Fire Defense,Call of Fire Defense,1,1,11,knight-29,"[""knight""]"
calloficedefense,matched-name,Call of Ice Defense,Call of Ice Defense,1,1,11,knight-28,"[""knight""]"
calloflightningdefense,matched-name,Call of Lightning Defense,Call of Lightning Defense,1,1,11,knight-27,"[""knight""]"
callofontargetpoint,matched-name,Call of On Target Point,Call of On Target Point,1,1,11,knight-30,"[""knight""]"
callofphysicalattack,matched-name,Call of Physical Attack,Call of Physical Attack,1,1,11,knight-31,"[""knight""]"
callofrecovery,matched-name,Call of Recovery,Call of Recovery,1,1,11,knight-23,"[""knight""]"
chainlightning,matched-name,Chain Lightning,Chain Lightning,1,1,3,mage-40,"[""mage""]"
chancecapture,matched-name,Chance Capture,Chance Capture,1,1,21,archer-7,"[""archer""]"
cloudmove,bango-only-name,,Cloud Move,0,1,,shaman-88,"[""shaman""]"
coldbinding,matched-name,Cold Binding,Cold Binding,1,1,3,mage-36,"[""mage""]"
collapse,bango-only-name,,Collapse,0,1,,shaman-44,"[""shaman""]"
combativespirit,matched-name,Combative Spirit,Combative Spirit,1,1,19,archer-51,"[""archer""]"
concentration,matched-name,Concentration,Concentration,1,1,15,archer-5,"[""archer""]"
confusion,matched-name,Confusion,Confusion,1,1,23,thief-9,"[""thief""]"
counterattack,matched-name,Counter attack,Counter attack,1,1,25,thief-20,"[""thief""]"
counterdamage,legacy-only-name,Counter Damage,,1,0,4,,
counteroffensive,matched-name,Counter Offensive,Counter offensive,1,1,25,thief-63,"[""thief""]"
criticaldiffusion,bango-only-name,,Critical Diffusion,0,1,,thief-92,"[""thief""]"
criticalhit,bango-only-name,,Critical Hit,0,2,,knight-11|archer-31,"[""knight""]|[""archer""]"
criticalhita,legacy-only-name,Critical Hit (A),,1,0,17,,
criticalhitk,legacy-only-name,Critical Hit (K),,1,0,10,,
criticalhitknight,legacy-only-name,Critical Hit (knight),,1,0,8,,
criticalstrike,bango-only-name,,Critical Strike,0,1,,thief-90,"[""thief""]"
cure,matched-name,Cure,Cure,1,1,1,mage-10,"[""mage""]"
cure2,matched-name,Cure 2,Cure 2,1,1,2,mage-21,"[""mage""]"
cure3,matched-name,Cure 3,Cure 3,1,1,4,mage-34,"[""mage""]"
curseamplification,bango-only-name,,Curse Amplification,0,1,,shaman-48,"[""shaman""]"
curseofagility,matched-name,Curse of Agility,Curse of Agility,1,1,18,archer-37,"[""archer""]"
curseofcriticalhit,matched-name,Curse of Critical Hit,Curse of Critical Hit,1,1,18,archer-34,"[""archer""]"
curseofdefense,matched-name,Curse of Defense,Curse of Defense,1,1,18,archer-40,"[""archer""]"
curseofhealth,matched-name,Curse of Health,Curse of Health,1,1,18,archer-36,"[""archer""]"
curseofintelligence,matched-name,Curse of Intelligence,Curse of Intelligence,1,1,18,archer-38,"[""archer""]"
curseofstrength,matched-name,Curse of Strength,Curse of Strength,1,1,18,archer-35,"[""archer""]"
curseofwisdom,matched-name,Curse of Wisdom,Curse of Wisdom,1,1,18,archer-39,"[""archer""]"
curseresistance,matched-name,Curse Resistance,Curse Resistance,1,1,17,archer-28,"[""archer""]"
danceofkilling,matched-name,Dance of Killing,Dance of Killing,1,1,25,thief-13,"[""thief""]"
decreaseoftargetrange,matched-name,Decrease of Target Range,Decrease of Target Range,1,1,18,archer-32,"[""archer""]"
deepbreath,matched-name,Deep Breath,Deep Breath,1,1,22,thief-24,"[""thief""]"
deepcurse,bango-only-name,,Deep Curse,0,1,,shaman-24,"[""shaman""]"
defense,matched-name,Defense,Defense,1,1,9,knight-6,"[""knight""]"
defenseimprovement,matched-name,Defense Improvement,Defense Improvement,1,1,4,mage-38,"[""mage""]"
defensestrengthening,matched-name,Defense Strengthening,Defense strengthening,1,1,13,knight-37,"[""knight""]"
defensiveincantation,legacy-only-name,Defensive incantation,,1,0,7,,
defensiveincantation1,bango-only-name,,Defensive incantation 1,0,1,,mage-16,"[""mage""]"
defensiveincantation2,bango-only-name,,Defensive incantation 2,0,1,,mage-17,"[""mage""]"
defensiveincantation3,bango-only-name,,Defensive incantation 3,0,1,,mage-18,"[""mage""]"
defensiveincantation4,bango-only-name,,Defensive incantation 4,0,1,,mage-19,"[""mage""]"
defensiveincantation5,bango-only-name,,Defensive incantation 5,0,1,,mage-20,"[""mage""]"
defensiveincantation6,bango-only-name,,[Defensive incantation 6],0,1,,mage-62,"[""mage""]"
destroyingarmor,bango-only-name,,Destroying Armor,0,1,,thief-93,"[""thief""]"
destruction,bango-only-name,,Destruction,0,1,,yungsang-68,"[""yungsang""]"
devilluckytrick,bango-only-name,,Devil Lucky Trick,0,1,,shaman-89,"[""shaman""]"
devinesuction,bango-only-name,,Devine Suction,0,1,,knight-44,"[""knight""]"
distancecontrol,matched-name,Distance Control,Distance Control,1,1,4,mage-59,"[""mage""]"
divineshield,bango-only-name,,Divine Shield,0,1,,shaman-20,"[""shaman""]"
doggebi,bango-only-name,,Doggebi,0,1,,shaman-92,"[""shaman""]"
drainblood,bango-only-name,,Drain Blood,0,1,,shaman-28,"[""shaman""]"
dualshadow,matched-name,Dual Shadow,Dual Shadow,1,1,23,thief-12,"[""thief""]"
earththorn,bango-only-name,,Earth Thorn,0,1,,tuguk-70,"[""tuguk""]"
elasticshield,matched-name,Elastic Shield,Elastic Shield,1,1,11,knight-33,"[""knight""]"
emergencyescape,matched-name,Emergency Escape,Emergency Escape,1,1,17,archer-30,"[""archer""]"
energyrecovery,bango-only-name,,Energy Recovery,0,1,,shaman-16,"[""shaman""]"
entangling,bango-only-name,,Entangling,0,1,,shaman-25,"[""shaman""]"
evolutionofmanacirculation,bango-only-name,,Evolution of Mana Circulation,0,4,,thief-89|knight-89|mage-89|archer-89,"[""thief""]|[""knight""]|[""mage""]|[""archer""]"
explodingspirit,bango-only-name,,Exploding Spirit,0,1,,shaman-47,"[""shaman""]"
explosion,matched-name,Explosion,Explosion,1,1,3,mage-45,"[""mage""]"
explosiveburst,matched-name,Explosive Burst,Explosive Burst,1,1,3,mage-46,"[""mage""]"
fatalblow,matched-name,Fatal Blow,Fatal Blow,1,1,15,archer-11,"[""archer""]"
fatalwound,matched-name,Fatal Wound,Fatal Wound,1,1,24,thief-14,"[""thief""]"
finalblow,matched-name,Final Blow,Final Blow,1,1,24,thief-18,"[""thief""]"
fireball,matched-name,Fireball,Fireball,1,1,5,mage-73,"[""mage""]"
fireblow,matched-name,Fire Blow,Fire Blow,1,1,2,mage-24,"[""mage""]"
firemagic,matched-name,Fire Magic,Fire Magic,1,1,1,mage-2,"[""mage""]"
fireresistance,matched-name,Fire Resistance,Fire Resistance,1,1,17,archer-26,"[""archer""]"
firestorm,matched-name,Fire Storm,Fire Storm,1,1,3,mage-47,"[""mage""]"
flamebomb,matched-name,Flame Bomb,Flame Bomb,1,1,3,mage-31,"[""mage""]"
flamedance,bango-only-name,,Flame Dance,0,1,,thief-35,"[""thief""]"
flameinjection,matched-name,Flame Injection,Flame Injection,1,1,5,mage-66,"[""mage""]"
flamyarrow,matched-name,Flamy Arrow,Flamy Arrow,1,1,16,archer-6,"[""archer""]"
flashingslash,matched-name,Flashing Slash,Flashing Slash,1,1,9,knight-9,"[""knight""]"
focusshot,matched-name,Focus Shot,Focus Shot,1,1,17,archer-16,"[""archer""]"
forceofdefense,matched-name,Force of Defense,Force of Defense,1,1,11,knight-18,"[""knight""]"
frost,matched-name,Frost,Frost,1,1,2,mage-26,"[""mage""]"
gangshinfortification,bango-only-name,,Gangshin Fortification,0,1,,shaman-40,"[""shaman""]"
gangshinruling,bango-only-name,,Gangshin Ruling,0,1,,shaman-53,"[""shaman""]"
ghostblade,bango-only-name,,Ghost Blade,0,1,,shaman-13,"[""shaman""]"
ghostflash,bango-only-name,,Ghost Flash,0,1,,shaman-14,"[""shaman""]"
ghostfortification,bango-only-name,,Ghost Fortification,0,1,,shaman-32,"[""shaman""]"
ghostspear,bango-only-name,,Ghost Spear,0,1,,shaman-19,"[""shaman""]"
groupcure,matched-name,Group Cure,Group Cure,1,1,2,mage-27,"[""mage""]"
groupcure2,matched-name,Group Cure 2,Group Cure 2,1,1,4,mage-56,"[""mage""]"
hail,matched-name,Hail,Hail,1,1,3,mage-30,"[""mage""]"
halfswing,matched-name,Half Swing,Half Swing,1,1,10,knight-25,"[""knight""]"
hardhit,bango-only-name,,Hard Hit,0,1,,yungsang-67,"[""yungsang""]"
heal,matched-name,Heal,Heal,1,1,1,mage-8,"[""mage""]"
healingintensification,matched-name,Healing Intensification,Healing Intensification,1,1,6,mage-63,"[""mage""]"
heartbreaker,bango-only-name,,Heart Breaker,0,1,,archer-9,"[""archer""]"
hearthbreaker,legacy-only-name,Hearth Breaker,,1,0,15,,
hiding,matched-name,Hiding,Hiding,1,1,22,thief-6,"[""thief""]"
highclasshiding,bango-only-name,,High Class Hiding,0,1,,gale-73,"[""gale""]"
highgradeacrobatic,matched-name,High Grade Acrobatic,High grade Acrobatic,1,1,27,thief-26,"[""thief""]"
hurricane,bango-only-name,,Hurricane,0,1,,shaman-21,"[""shaman""]"
hypnotism,matched-name,Hypnotism,Hypnotism,1,1,4,mage-35,"[""mage""]"
icearrow,matched-name,Ice Arrow,Ice Arrow,1,1,5,mage-74,"[""mage""]"
icemagic,matched-name,Ice Magic,Ice Magic,1,1,1,mage-3,"[""mage""]"
iceresistance,matched-name,Ice Resistance,Ice Resistance,1,1,17,archer-25,"[""archer""]"
icerestriction,matched-name,Ice Restriction,Ice Restriction,1,1,3,mage-43,"[""mage""]"
icestorm,matched-name,Ice Storm,Ice Storm,1,1,3,mage-44,"[""mage""]"
icicle,matched-name,Icicle,Icicle,1,1,5,mage-67,"[""mage""]"
icystorm,bango-only-name,,Icy Storm,0,1,,gunchi-65,"[""gunchi""]"
incapacitation,bango-only-name,,Incapacitation,0,1,,mage-91,"[""mage""]"
incising,bango-only-name,,Incising,0,2,,monster-219|monster-220,"[""monster""]|[""monster""]"
increasecriticaldamage,matched-name,Increase Critical Damage,Increase Critical Damage,1,1,22,thief-5,"[""thief""]"
increasecriticalrate,matched-name,Increase Critical Rate,Increase Critical Rate,1,1,22,thief-4,"[""thief""]"
increaseentangling,bango-only-name,,increase Entangling,0,1,,shaman-31,"[""shaman""]"
increaseinenergy,bango-only-name,,Increase in Energy,0,1,,shaman-17,"[""shaman""]"
increaseofcriticalhit,bango-only-name,,Increase of Critical Hit,0,2,,knight-35|mage-52,"[""knight""]|[""mage""]"
increaseofcriticalhitmagician,legacy-only-name,Increase of Critical Hit (magician),,1,0,4,,
increaseoftargetrange,matched-name,Increase of Target Range,Increase of Target Range,1,1,4,mage-55,"[""mage""]"
increasetargetrate,matched-name,Increase Target Rate,Increase Target Rate,1,1,22,thief-3,"[""thief""]"
increasingconcentration,matched-name,Increasing Concentration,Increasing Concentration,1,1,9,knight-10,"[""knight""]"
jeungjangking,bango-only-name,,JeungjangKing,0,1,,shaman-37,"[""shaman""]"
jeungjangkingoftaein,bango-only-name,,JeungjangKing of Taein,0,1,,shaman-51,"[""shaman""]"
jigukking,bango-only-name,,JigukKing,0,1,,shaman-36,"[""shaman""]"
jigukkingoftaein,bango-only-name,,JigukKing of Taein,0,1,,shaman-50,"[""shaman""]"
lifeabsorption,matched-name,Life Absorption,Life Absorption,1,1,18,archer-18,"[""archer""]"
lifeextension,bango-only-name,,Life Extension,0,5,,thief-30|knight-15|mage-32|archer-15|shaman-30,"[""thief""]|[""knight""]|[""mage""]|[""archer""]|[""shaman""]"
lifeextensiona,legacy-only-name,Life Extension (A),,1,0,21,,
lifeextensionk,legacy-only-name,Life Extension (K),,1,0,14,,
lifeextensionmagician,legacy-only-name,Life Extension (magician),,1,0,7,,
lifeextensiont,legacy-only-name,Life Extension (T),,1,0,28,,
lightningarrow,matched-name,Lightning Arrow,Lightning Arrow,1,1,5,mage-68,"[""mage""]"
lightningblow,matched-name,Lightning Blow,Lightning Blow,1,1,1,mage-22,"[""mage""]"
lightningmagic,matched-name,Lightning Magic,Lightning Magic,1,1,1,mage-4,"[""mage""]"
lightningresistance,matched-name,Lightning Resistance,Lightning Resistance,1,1,17,archer-24,"[""archer""]"
lightningslash,matched-name,Lightning Slash,Lightning Slash,2,2,27|8,thief-28|knight-3,"[""thief""]|[""knight""]"
lightningsummons,matched-name,Lightning Summons,Lightning Summons,1,1,3,mage-29,"[""mage""]"
lightningwave,bango-only-name,,Lightning Wave,0,1,,gunchi-64,"[""gunchi""]"
longrangeprotection,matched-name,Long-range Protection,Long-range Protection,1,1,7,mage-5,"[""mage""]"
lossofconfidence,matched-name,Loss of Confidence,Loss of Confidence,1,1,18,archer-42,"[""archer""]"
luckytrick,bango-only-name,,Lucky Trick,0,2,,shaman-35|shaman-43,"[""shaman""]|[""shaman""]"
magicalexplosion,bango-only-name,,Magical Explosion,0,1,,shaman-54,"[""shaman""]"
magicintensification,matched-name,Magic Intensification,magic Intensification,1,1,5,mage-65,"[""mage""]"
magicmasteryfire,matched-name,Magic Mastery: Fire,Magic Mastery  : Fire,1,1,2,mage-13,"[""mage""]"
magicmasteryice,matched-name,Magic Mastery: Ice,Magic Mastery : Ice,1,1,2,mage-12,"[""mage""]"
magicmasterylightning,matched-name,Magic Mastery: Lightning,Magic Mastery : Lightning,1,1,2,mage-11,"[""mage""]"
manacirculation,bango-only-name,,Mana Circulation,0,4,,knight-82|mage-82|mage-83|archer-82,"[""knight""]|[""mage""]|[""mage""]|[""archer""]"
massivefire,bango-only-name,,Massive Fire,0,1,,archer-91,"[""archer""]"
meditation,matched-name,Meditation,Meditation,1,1,2,mage-14,"[""mage""]"
mentalbreakdown,bango-only-name,,Mental Breakdown,0,1,,shaman-29,"[""shaman""]"
mockery,matched-name,Mockery,Mockery ,1,1,8,knight-4,"[""knight""]"
mpvaporization,matched-name,MP Vaporization,MP Vaporization,1,1,18,archer-33,"[""archer""]"
multiplestun,bango-only-name,,Multiple stun,0,1,,monster-221,"[""monster""]"
musclesolidation,matched-name,Muscle Solidation,Muscle Solidation,1,1,16,archer-10,"[""archer""]"
mysteriousarrow,matched-name,Mysterious Arrow,Mysterious Arrow,1,1,17,archer-21,"[""archer""]"
mysteryskillofaccuracy,bango-only-name,,Mystery Skill of Accuracy,0,5,,thief-85|knight-85|mage-85|archer-85|shaman-85,"[""thief""]|[""knight""]|[""mage""]|[""archer""]|[""shaman""]"
mysteryskillofdefense,bango-only-name,,Mystery skill of Defense,0,5,,thief-87|knight-87|mage-87|archer-87|shaman-87,"[""thief""]|[""knight""]|[""mage""]|[""archer""]|[""shaman""]"
mysteryskillofevasion,bango-only-name,,Mystery skill of Evasion,0,5,,thief-86|knight-86|mage-86|archer-86|shaman-86,"[""thief""]|[""knight""]|[""mage""]|[""archer""]|[""shaman""]"
mysteryskillosotseva,legacy-only-name,Mystery skill oSotS (EVA),,4,0,14|21|28|7,,
nonattributionresistance,matched-name,Non-Attribution Resistance,Non-Attribution Resistance,1,1,17,archer-29,"[""archer""]"
noneelementalamplification,bango-only-name,,None elemental Amplification,0,1,,shaman-49,"[""shaman""]"
onehitstrike,bango-only-name,,One Hit Strike,0,1,,archer-90,"[""archer""]"
pain,matched-name,Pain,Pain,1,1,18,archer-19,"[""archer""]"
painofsoul,bango-only-name,,Pain of Soul,0,1,,shaman-22,"[""shaman""]"
parry,matched-name,Parry,Parry,1,1,10,knight-20,"[""knight""]"
passiveattack,matched-name,Passive Attack,Passive Attack,1,1,15,archer-4,"[""archer""]"
perfectcure,matched-name,Perfect Cure,Perfect Cure,1,1,4,mage-54,"[""mage""]"
perfectdefense,matched-name,Perfect Defense,Perfect defense,1,1,13,knight-38,"[""knight""]"
perfectevasion,matched-name,Perfect Evasion,Perfect Evasion,1,1,16,archer-8,"[""archer""]"
perfectevasion2,matched-name,Perfect Evasion 2,Perfect Evasion 2,1,1,17,archer-20,"[""archer""]"
perfectgroupcure2,matched-name,Perfect Group Cure 2,Perfect Group Cure 2,1,1,4,mage-57,"[""mage""]"
perfecthealing,matched-name,Perfect Healing,Perfect Healing,1,1,4,mage-58,"[""mage""]"
phoenix,bango-only-name,,Phoenix,0,1,,gunchi-66,"[""gunchi""]"
poisonarrow,matched-name,Poison Arrow,Poison Arrow,1,1,16,archer-12,"[""archer""]"
poisoncloud,matched-name,Poison Cloud,Poison Cloud,1,1,18,archer-41,"[""archer""]"
powerfularrowofsilence,matched-name,Powerful Arrow of Silence,Powerful Arrow of Silence,1,1,17,archer-27,"[""archer""]"
powerfulupwardslash,matched-name,Powerful Upward Slash,Powerful Upward Slash,1,1,10,knight-16,"[""knight""]"
powerfulwideningwound,matched-name,Powerful Widening Wound,Powerful Widening Wound,1,1,11,knight-41,"[""knight""]"
protect,matched-name,Protect,Protect,1,1,14,knight-13,"[""knight""]"
provocation,matched-name,Provocation,Provocation,1,1,9,knight-8,"[""knight""]"
provocationofblow,matched-name,Provocation of Blow,Provocation of Blow,1,1,13,knight-42,"[""knight""]"
punishment,bango-only-name,,Punishment,0,1,,mage-90,"[""mage""]"
purification,matched-name,Purification,Purification,1,1,4,mage-53,"[""mage""]"
rage,bango-only-name,,Rage,0,1,,yungsang-69,"[""yungsang""]"
rampage,bango-only-name,,Rampage,0,1,,monster-218,"[""monster""]"
rangeextension,matched-name,Range Extension,Range Extension,1,1,17,archer-17,"[""archer""]"
refiningweapon,matched-name,Refining Weapon,Refining Weapon,1,1,3,mage-37,"[""mage""]"
releasingtheenergy,bango-only-name,,Releasing the Energy,0,1,,mage-92,"[""mage""]"
removesign,bango-only-name,,Remove Sign,0,1,,thief-34,"[""thief""]"
rest,bango-only-name,,Rest,0,1,,common-11,[]
restore,matched-name,Restore,Restore,1,1,2,mage-28,"[""mage""]"
revival,bango-only-name,,Revival,0,2,,knight-34|mage-15,"[""knight""]|[""mage""]"
revivalknight,legacy-only-name,Revival (knight),,1,0,11,,
revivalm,legacy-only-name,Revival (M),,1,0,2,,
revolveattack,bango-only-name,,Revolve Attack,0,1,,yungsang-73,"[""yungsang""]"
ruler,bango-only-name,,Ruler,0,1,,shaman-45,"[""shaman""]"
run,bango-only-name,,Run,0,1,,common-0,[]
rupture,matched-name,Rupture,Rupture,1,1,24,thief-17,"[""thief""]"
rush,matched-name,Rush,Rush,1,1,10,knight-21,"[""knight""]"
sacrifice,matched-name,Sacrifice,Sacrifice,1,1,11,knight-26,"[""knight""]"
shadowcanine,bango-only-name,,Shadow Canine,0,1,,tuguk-71,"[""tuguk""]"
shadowslash,matched-name,Shadow Slash,Shadow Slash,1,1,27,thief-32,"[""thief""]"
sharpness,matched-name,Sharpness,sharpness,1,1,19,archer-47,"[""archer""]"
shieldattack,matched-name,Shield Attack,Shield Attack,1,1,14,knight-14,"[""knight""]"
shieldoffense,matched-name,Shield Offense,Shield Offense,1,1,11,knight-22,"[""knight""]"
shinrhoe,bango-only-name,,ShinRhoe,0,1,,gale-75,"[""gale""]"
shockwave,matched-name,Shock Wave,Shock Wave,1,1,2,mage-9,"[""mage""]"
shoutofdefense,bango-only-name,,Shout of Defense,0,1,,knight-90,"[""knight""]"
shoutoffightingspirit,bango-only-name,,Shout of Fighting Spirit,0,1,,knight-92,"[""knight""]"
shrewdness,matched-name,Shrewdness,Shrewdness,1,1,20,archer-45,"[""archer""]"
sightblockade,matched-name,Sight Blockade,Sight Blockade,1,1,18,archer-43,"[""archer""]"
sightinterruption,bango-only-name,,Sight Interruption,0,1,,archer-23,"[""archer""]"
silencestep,matched-name,Silence Step,Silence Step,1,1,26,thief-27,"[""thief""]"
singlestun,bango-only-name,,Single Stun,0,2,,monster-216|monster-217,"[""monster""]|[""monster""]"
sixsouls,bango-only-name,,Six Souls,0,1,,shaman-46,"[""shaman""]"
soulblow,bango-only-name,,Soul Blow,0,1,,shaman-52,"[""shaman""]"
souldestruction,matched-name,Soul Destruction,Soul Destruction,1,1,4,mage-39,"[""mage""]"
soulshield,bango-only-name,,Soul Shield,0,1,,shaman-15,"[""shaman""]"
spearofpain,bango-only-name,,Spear of Pain,0,1,,shaman-26,"[""shaman""]"
speedofattackreducer,matched-name,Speed of Attack Reducer,Speed of Attack Reducer,1,1,18,archer-22,"[""archer""]"
speedofmovementreducer,legacy-only-name,Speed of Movement Reducer,,1,0,18,,
speedup,matched-name,Speed Up,Speed Up,1,1,2,mage-25,"[""mage""]"
spellpower,bango-only-name,,Spell Power,0,1,,shaman-23,"[""shaman""]"
spinattack,matched-name,Spin Attack,Spin Attack,1,1,25,thief-19,"[""thief""]"
spinblade,matched-name,Spin Blade,Spin Blade,1,1,26,thief-36,"[""thief""]"
spinslash,matched-name,Spin Slash,Spin Slash,1,1,12,knight-40,"[""knight""]"
spiritofthearrows,bango-only-name,,Spirit of the Arrows,0,1,,archer-93,"[""archer""]"
spiritwave,bango-only-name,,Spirit Wave,0,1,,shaman-90,"[""shaman""]"
splashyice,matched-name,Splashy Ice,Splashy Ice,1,1,2,mage-23,"[""mage""]"
staggeringblow,matched-name,Staggering Blow,Staggering Blow,1,1,15,archer-3,"[""archer""]"
strangle,matched-name,Strangle,Strangle,1,1,23,thief-10,"[""thief""]"
strikeofgod,bango-only-name,,Strike of God,0,1,,thief-91,"[""thief""]"
stun,matched-name,Stun,Stun,1,1,23,thief-8,"[""thief""]"
suicidalblow,matched-name,Suicidal Blow,Suicidal Blow,1,1,24,thief-21,"[""thief""]"
summoningsoul,bango-only-name,,Summoning Soul,0,1,,shaman-27,"[""shaman""]"
summons,matched-name,Summons,Summons,1,1,4,mage-33,"[""mage""]"
survivalinstinct,matched-name,Survival Instinct,Survival Instinct,1,1,11,knight-32,"[""knight""]"
sworddance,matched-name,Sword Dance,Sword Dance,1,1,12,knight-43,"[""knight""]"
theboomofearth,bango-only-name,,The Boom of Earth,0,1,,knight-91,"[""knight""]"
therapeutictouch,matched-name,Therapeutic touch,Therapeutic touch,1,1,6,mage-72,"[""mage""]"
thewaveofearth,bango-only-name,,The wave of Earth,0,1,,knight-93,"[""knight""]"
thunder,matched-name,Thunder,Thunder,1,1,3,mage-41,"[""mage""]"
thunderbolt,matched-name,Thunderbolt,Thunderbolt,1,2,5,mage-75|gunchie-76,"[""mage""]|[""gunchi""]"
thunderstorm,matched-name,Thunder Storm,Thunder Storm,1,1,3,mage-42,"[""mage""]"
transcendentalblow,matched-name,Transcendental Blow,Transcendental Blow,1,1,9,knight-5,"[""knight""]"
twinbladestrike,matched-name,Twin Blade Strike,Twin Blade Strike,1,1,25,thief-23,"[""thief""]"
upwardslash,matched-name,Upward Slash,Upward Slash,1,1,8,knight-7,"[""knight""]"
virulentarrow,matched-name,Virulent Arrow,Virulent Arrow,1,1,20,archer-50,"[""archer""]"
vitalstrike,matched-name,Vital Strike,Vital Strike,1,1,24,thief-16,"[""thief""]"
walkontheair,bango-only-name,,Walk on the Air,0,4,,thief-88|knight-88|mage-88|archer-88,"[""thief""]|[""knight""]|[""mage""]|[""archer""]"
wave,bango-only-name,,Wave,0,1,,shaman-18,"[""shaman""]"
waveofemperor,bango-only-name,,Wave of Emperor,0,1,,shaman-39,"[""shaman""]"
weakpointdetection,matched-name,Weak Point Detection,Weak Point Detection,1,1,23,thief-37,"[""thief""]"
