monster_id,monster_name,quest_id,value,provenance,source_file,source_line
11,Demon Soldier,8001,1,bango-file,monster-quest-indicator.dat,32
12,Demon Infantry,13,2,bango-file,monster-quest-indicator.dat,33
12,Demon Infantry,8001,1,bango-file,monster-quest-indicator.dat,34
13,Demon Throwing Soldier,14,1,bango-file,monster-quest-indicator.dat,35
13,Demon Throwing Soldier,8001,1,bango-file,monster-quest-indicator.dat,36
14,Wild Demon Soldier,15,2,bango-file,monster-quest-indicator.dat,37
14,Wild Demon Soldier,8001,1,bango-file,monster-quest-indicator.dat,38
15,Demon Shock Trooper,16,1,bango-file,monster-quest-indicator.dat,39
15,Demon Shock Trooper,8001,1,bango-file,monster-quest-indicator.dat,40
16,Demon Flag Bearer,17,1,bango-file,monster-quest-indicator.dat,41
16,Demon Flag Bearer,8001,1,bango-file,monster-quest-indicator.dat,42
17,Demon Band,19,1,bango-file,monster-quest-indicator.dat,43
17,Demon Band,8001,1,bango-file,monster-quest-indicator.dat,44
18,Demon Armored Knight,20,1,bango-file,monster-quest-indicator.dat,45
18,Demon Armored Knight,8001,1,bango-file,monster-quest-indicator.dat,46
19,Demon Mad Knight,8001,1,bango-file,monster-quest-indicator.dat,47
20,Demon Commander,24,1,bango-file,monster-quest-indicator.dat,48
20,Demon Commander,9004,2,bango-file,monster-quest-indicator.dat,49
20,Demon Commander,8001,1,bango-file,monster-quest-indicator.dat,50
21,Demon Water Dragon,8001,1,bango-file,monster-quest-indicator.dat,51
22,Hungry Demon Water Dragon,21,1,bango-file,monster-quest-indicator.dat,52
22,Hungry Demon Water Dragon,8001,1,bango-file,monster-quest-indicator.dat,53
23,Demon Water Dragon Predator,22,1,bango-file,monster-quest-indicator.dat,54
23,Demon Water Dragon Predator,8001,1,bango-file,monster-quest-indicator.dat,55
24,Demon Water Dragon Commander,25,1,bango-file,monster-quest-indicator.dat,56
24,Demon Water Dragon Commander,8001,1,bango-file,monster-quest-indicator.dat,57
25,Big Handed Inhabitant,6,4,bango-file,monster-quest-indicator.dat,58
25,Big Handed Inhabitant,9002,4,bango-file,monster-quest-indicator.dat,59
25,Big Handed Inhabitant,8001,1,bango-file,monster-quest-indicator.dat,60
26,Big Handed Slave,7,2,bango-file,monster-quest-indicator.dat,61
26,Big Handed Slave,9,2,bango-file,monster-quest-indicator.dat,62
26,Big Handed Slave,9002,4,bango-file,monster-quest-indicator.dat,63
26,Big Handed Slave,8001,1,bango-file,monster-quest-indicator.dat,64
27,Big Handed Blue Warrior,11,2,bango-file,monster-quest-indicator.dat,65
27,Big Handed Blue Warrior,9003,1,bango-file,monster-quest-indicator.dat,66
27,Big Handed Blue Warrior,8001,1,bango-file,monster-quest-indicator.dat,67
28,Big Handed Red Warrior,12,1,bango-file,monster-quest-indicator.dat,68
28,Big Handed Red Warrior,9003,1,bango-file,monster-quest-indicator.dat,69
28,Big Handed Red Warrior,8001,1,bango-file,monster-quest-indicator.dat,70
29,Castoff Baby Ghost,27,2,bango-file,monster-quest-indicator.dat,71
29,Castoff Baby Ghost,9005,3,bango-file,monster-quest-indicator.dat,72
29,Castoff Baby Ghost,8001,1,bango-file,monster-quest-indicator.dat,73
30,Ghost of Young Man,28,1,bango-file,monster-quest-indicator.dat,74
30,Ghost of Young Man,9005,3,bango-file,monster-quest-indicator.dat,75
30,Ghost of Young Man,8001,1,bango-file,monster-quest-indicator.dat,76
31,Ghost of Young Woman,29,1,bango-file,monster-quest-indicator.dat,77
31,Ghost of Young Woman,9005,3,bango-file,monster-quest-indicator.dat,78
31,Ghost of Young Woman,8001,1,bango-file,monster-quest-indicator.dat,79
32,Ghost of Blacksmith,30,1,bango-file,monster-quest-indicator.dat,80
32,Ghost of Blacksmith,9005,3,bango-file,monster-quest-indicator.dat,81
32,Ghost of Blacksmith,8001,1,bango-file,monster-quest-indicator.dat,82
33,Ghost of Guard,31,1,bango-file,monster-quest-indicator.dat,83
33,Ghost of Guard,9005,3,bango-file,monster-quest-indicator.dat,84
33,Ghost of Guard,8001,1,bango-file,monster-quest-indicator.dat,85
34,Fellow Traveler to the Other World,32,1,bango-file,monster-quest-indicator.dat,86
34,Fellow Traveler to the Other World,8001,1,bango-file,monster-quest-indicator.dat,87
35,Sealed Ghost Troop,33,1,bango-file,monster-quest-indicator.dat,88
35,Sealed Ghost Troop,9005,3,bango-file,monster-quest-indicator.dat,89
35,Sealed Ghost Troop,8001,1,bango-file,monster-quest-indicator.dat,90
36,Ghost Troop,8001,1,bango-file,monster-quest-indicator.dat,91
37,Devil Soldier,9006,2,bango-file,monster-quest-indicator.dat,92
37,Devil Soldier,8001,1,bango-file,monster-quest-indicator.dat,93
38,Devil Soldier with Twin Blades,9006,2,bango-file,monster-quest-indicator.dat,94
38,Devil Soldier with Twin Blades,8001,1,bango-file,monster-quest-indicator.dat,95
39,Devil Soldier with Bow,34,1,bango-file,monster-quest-indicator.dat,96
39,Devil Soldier with Bow,9006,2,bango-file,monster-quest-indicator.dat,97
39,Devil Soldier with Bow,8001,1,bango-file,monster-quest-indicator.dat,98
40,Devil Soldier with Sword,9006,2,bango-file,monster-quest-indicator.dat,99
40,Devil Soldier with Sword,8001,1,bango-file,monster-quest-indicator.dat,100
41,Devil Soldier with Spear,35,1,bango-file,monster-quest-indicator.dat,101
41,Devil Soldier with Spear,9006,2,bango-file,monster-quest-indicator.dat,102
41,Devil Soldier with Spear,8001,1,bango-file,monster-quest-indicator.dat,103
42,2nd Devil Monster,9006,3,bango-file,monster-quest-indicator.dat,104
42,2nd Devil Monster,8001,1,bango-file,monster-quest-indicator.dat,105
43,1st Devil Monster,9006,3,bango-file,monster-quest-indicator.dat,106
43,1st Devil Monster,8001,1,bango-file,monster-quest-indicator.dat,107
44,Doggebi of Monster Face,47,1,bango-file,monster-quest-indicator.dat,108
44,Doggebi of Monster Face,9008,2,bango-file,monster-quest-indicator.dat,109
45,Doggebi with a Gong,48,1,bango-file,monster-quest-indicator.dat,110
45,Doggebi with a Gong,9008,2,bango-file,monster-quest-indicator.dat,111
46,Drunken Doggebi,49,1,bango-file,monster-quest-indicator.dat,112
46,Drunken Doggebi,9008,2,bango-file,monster-quest-indicator.dat,113
47,Doggebi with a Mask of Black Crow,50,1,bango-file,monster-quest-indicator.dat,114
47,Doggebi with a Mask of Black Crow,9008,2,bango-file,monster-quest-indicator.dat,115
48,Doggebi with a Mask of Black Panther,51,1,bango-file,monster-quest-indicator.dat,116
48,Doggebi with a Mask of Black Panther,9008,2,bango-file,monster-quest-indicator.dat,117
49,Giant Doggebi,52,1,bango-file,monster-quest-indicator.dat,118
49,Giant Doggebi,9008,2,bango-file,monster-quest-indicator.dat,119
50,Guardian of Doggebi,53,1,bango-file,monster-quest-indicator.dat,120
50,Guardian of Doggebi,9008,2,bango-file,monster-quest-indicator.dat,121
53,Devil Troop of Pain,39,1,bango-file,monster-quest-indicator.dat,122
54,Devil Troop of Greed,40,1,bango-file,monster-quest-indicator.dat,123
55,Devil Troop of Jealousy,41,1,bango-file,monster-quest-indicator.dat,124
56,Devil Troop of Hatred,42,1,bango-file,monster-quest-indicator.dat,125
56,Devil Troop of Hatred,46,1,bango-file,monster-quest-indicator.dat,126
57,Devil Troop of Madness,43,1,bango-file,monster-quest-indicator.dat,127
58,Devil Troop of Anger,44,1,bango-file,monster-quest-indicator.dat,128
92,Enemy of Hyun-Woong,36,2,bango-file,monster-quest-indicator.dat,129
93,Naughty Doggebi,37,1,bango-file,monster-quest-indicator.dat,130
94,Heuk-Yong,38,4,bango-file,monster-quest-indicator.dat,131
95,Dae-Il,38,4,bango-file,monster-quest-indicator.dat,132
96,Goon-Sang-Ji,38,4,bango-file,monster-quest-indicator.dat,133
97,Yoo,38,4,bango-file,monster-quest-indicator.dat,134
98,Ma-Gwang,38,4,bango-file,monster-quest-indicator.dat,135
99,Assassin who killed Yong-Chun,45,3,bango-file,monster-quest-indicator.dat,136
99,Assassin who killed Yong-Chun,45,3,bango-file,monster-quest-indicator.dat,137
78,Rotten Skeleton Warrior of the Royal Tomb (Sword),58,2,bango-file,monster-quest-indicator.dat,138
102,Rotten Skeleton Warrior of the Royal Tomb (Sword),58,2,bango-file,monster-quest-indicator.dat,139
103,Rotten Skeleton Warrior of the Royal Tomb (Sword),58,2,bango-file,monster-quest-indicator.dat,140
79,Rotten Skeleton Warrior of the Royal Tomb (Lance),59,1,bango-file,monster-quest-indicator.dat,141
104,Rotten Skeleton Warrior of the Royal Tomb (Lance),59,1,bango-file,monster-quest-indicator.dat,142
105,Rotten Skeleton Warrior of the Royal Tomb (Lance),59,1,bango-file,monster-quest-indicator.dat,143
80,Minister of the Royal Tomb,60,1,bango-file,monster-quest-indicator.dat,144
106,Minister of the Royal Tomb,60,1,bango-file,monster-quest-indicator.dat,145
81,Maid of Honor of the Royal Tomb,61,1,bango-file,monster-quest-indicator.dat,146
107,Maid of Honor of the Royal Tomb,61,1,bango-file,monster-quest-indicator.dat,147
82,The Royal Tomb Keeper (Sword),62,1,bango-file,monster-quest-indicator.dat,148
108,The Royal Tomb Keeper (Sword),62,1,bango-file,monster-quest-indicator.dat,149
109,The Royal Tomb Keeper (Sword),62,1,bango-file,monster-quest-indicator.dat,150
110,The Royal Tomb Keeper (Sword),62,1,bango-file,monster-quest-indicator.dat,151
83,The Royal Tomb Keeper (Shield),63,1,bango-file,monster-quest-indicator.dat,152
111,The Royal Tomb Keeper (Shield),63,1,bango-file,monster-quest-indicator.dat,153
112,The Royal Tomb Keeper (Shield),63,1,bango-file,monster-quest-indicator.dat,154
113,The Royal Tomb Keeper (Shield),63,1,bango-file,monster-quest-indicator.dat,155
84,The Royal Tomb Keeper (Spear),64,1,bango-file,monster-quest-indicator.dat,156
114,The Royal Tomb Keeper (Spear),64,1,bango-file,monster-quest-indicator.dat,157
115,The Royal Tomb Keeper (Spear),64,1,bango-file,monster-quest-indicator.dat,158
116,The Royal Tomb Keeper (Spear),64,1,bango-file,monster-quest-indicator.dat,159
85,The Royal Tomb Keeper (Iron Hammer),65,1,bango-file,monster-quest-indicator.dat,160
117,The Royal Tomb Keeper (Iron Hammer),65,1,bango-file,monster-quest-indicator.dat,161
118,The Royal Tomb Keeper (Iron Hammer),65,1,bango-file,monster-quest-indicator.dat,162
119,The Royal Tomb Keeper (Iron Hammer),65,1,bango-file,monster-quest-indicator.dat,163
134,Devil Troop of Absorbing Green,9007,1,bango-file,monster-quest-indicator.dat,164
135,Chief of Angry Doggebi Troop,9008,3,bango-file,monster-quest-indicator.dat,165
841,Minister of the Royal Tomb from Hell,60,1,bango-file,monster-quest-indicator.dat,166
585,Crazy Demon Worker,66,1,bango-file,monster-quest-indicator.dat,167
585,Crazy Demon Worker,67,1,bango-file,monster-quest-indicator.dat,168
586,Crazy Demon Worker,66,1,bango-file,monster-quest-indicator.dat,169
586,Crazy Demon Worker,67,1,bango-file,monster-quest-indicator.dat,170
587,Crazy Demon Worker,66,1,bango-file,monster-quest-indicator.dat,171
587,Crazy Demon Worker,67,1,bango-file,monster-quest-indicator.dat,172
588,Crazy Demon Worker,66,1,bango-file,monster-quest-indicator.dat,173
588,Crazy Demon Worker,67,1,bango-file,monster-quest-indicator.dat,174
589,Crazy Demon Worker,66,1,bango-file,monster-quest-indicator.dat,175
589,Crazy Demon Worker,67,1,bango-file,monster-quest-indicator.dat,176
590,Degenarated Twisted Demon,67,1,bango-file,monster-quest-indicator.dat,177
590,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,178
590,Degenarated Twisted Demon,92,1,bango-file,monster-quest-indicator.dat,179
591,Degenarated Twisted Demon,67,1,bango-file,monster-quest-indicator.dat,180
591,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,181
591,Degenarated Twisted Demon,92,1,bango-file,monster-quest-indicator.dat,182
592,Degenarated Twisted Demon,67,1,bango-file,monster-quest-indicator.dat,183
592,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,184
592,Degenarated Twisted Demon,92,1,bango-file,monster-quest-indicator.dat,185
593,Degenarated Twisted Demon,67,1,bango-file,monster-quest-indicator.dat,186
593,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,187
593,Degenarated Twisted Demon,92,1,bango-file,monster-quest-indicator.dat,188
594,Degenarated Twisted Demon,67,1,bango-file,monster-quest-indicator.dat,189
594,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,190
594,Degenarated Twisted Demon,92,1,bango-file,monster-quest-indicator.dat,191
637,Elite Skeleton,69,1,bango-file,monster-quest-indicator.dat,192
637,Elite Skeleton,70,1,bango-file,monster-quest-indicator.dat,193
638,Elite Skeleton,69,1,bango-file,monster-quest-indicator.dat,194
638,Elite Skeleton,70,1,bango-file,monster-quest-indicator.dat,195
639,Elite Skeleton,69,1,bango-file,monster-quest-indicator.dat,196
639,Elite Skeleton,70,1,bango-file,monster-quest-indicator.dat,197
640,Elite Skeleton,69,1,bango-file,monster-quest-indicator.dat,198
640,Elite Skeleton,70,1,bango-file,monster-quest-indicator.dat,199
641,Elite Skeleton,69,1,bango-file,monster-quest-indicator.dat,200
641,Elite Skeleton,70,1,bango-file,monster-quest-indicator.dat,201
642,Elite Skeleton Archer,69,1,bango-file,monster-quest-indicator.dat,202
642,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,203
643,Elite Skeleton Archer,69,1,bango-file,monster-quest-indicator.dat,204
643,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,205
644,Elite Skeleton Archer,69,1,bango-file,monster-quest-indicator.dat,206
644,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,207
645,Elite Skeleton Archer,69,1,bango-file,monster-quest-indicator.dat,208
645,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,209
646,Elite Skeleton Archer,69,1,bango-file,monster-quest-indicator.dat,210
646,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,211
704,Twisted Demon soldier,10009,2,bango-file,monster-quest-indicator.dat,212
705,Twisted Demon soldier,10009,2,bango-file,monster-quest-indicator.dat,213
706,Twisted Demon soldier,10009,2,bango-file,monster-quest-indicator.dat,214
834,Crazy Demon Worker's Leader,84,1,bango-file,monster-quest-indicator.dat,215
835,Wolf Commander,86,1,bango-file,monster-quest-indicator.dat,216
836,Guard of D'evah's Commander,95,1,bango-file,monster-quest-indicator.dat,217
595,Wild Boar,91,1,bango-file,monster-quest-indicator.dat,218
595,Wild Boar,20018,1,bango-file,monster-quest-indicator.dat,219
596,Wild Boar,91,1,bango-file,monster-quest-indicator.dat,220
596,Wild Boar,20018,1,bango-file,monster-quest-indicator.dat,221
597,Wild Boar,91,1,bango-file,monster-quest-indicator.dat,222
597,Wild Boar,20018,1,bango-file,monster-quest-indicator.dat,223
598,Wolf,72,1,bango-file,monster-quest-indicator.dat,224
598,Wolf,20017,1,bango-file,monster-quest-indicator.dat,225
599,Wolf,72,1,bango-file,monster-quest-indicator.dat,226
599,Wolf,20017,1,bango-file,monster-quest-indicator.dat,227
600,Wolf,72,1,bango-file,monster-quest-indicator.dat,228
600,Wolf,20017,1,bango-file,monster-quest-indicator.dat,229
601,Brown Bear,75,1,bango-file,monster-quest-indicator.dat,230
601,Brown Bear,78,1,bango-file,monster-quest-indicator.dat,231
601,Brown Bear,88,1,bango-file,monster-quest-indicator.dat,232
601,Brown Bear,20020,1,bango-file,monster-quest-indicator.dat,233
602,Brown Bear,75,1,bango-file,monster-quest-indicator.dat,234
602,Brown Bear,78,1,bango-file,monster-quest-indicator.dat,235
602,Brown Bear,88,1,bango-file,monster-quest-indicator.dat,236
602,Brown Bear,20020,1,bango-file,monster-quest-indicator.dat,237
603,Brown Bear,75,1,bango-file,monster-quest-indicator.dat,238
603,Brown Bear,78,1,bango-file,monster-quest-indicator.dat,239
603,Brown Bear,88,1,bango-file,monster-quest-indicator.dat,240
603,Brown Bear,20020,1,bango-file,monster-quest-indicator.dat,241
604,Scorpion,75,1,bango-file,monster-quest-indicator.dat,242
604,Scorpion,87,1,bango-file,monster-quest-indicator.dat,243
604,Scorpion,93,1,bango-file,monster-quest-indicator.dat,244
605,Scorpion,75,1,bango-file,monster-quest-indicator.dat,245
605,Scorpion,87,1,bango-file,monster-quest-indicator.dat,246
605,Scorpion,93,1,bango-file,monster-quest-indicator.dat,247
606,Scorpion,75,1,bango-file,monster-quest-indicator.dat,248
606,Scorpion,87,1,bango-file,monster-quest-indicator.dat,249
606,Scorpion,93,1,bango-file,monster-quest-indicator.dat,250
607,Knoll,80,1,bango-file,monster-quest-indicator.dat,251
608,Knoll,80,1,bango-file,monster-quest-indicator.dat,252
609,Knoll,80,1,bango-file,monster-quest-indicator.dat,253
610,Goblin,76,1,bango-file,monster-quest-indicator.dat,254
610,Goblin,77,1,bango-file,monster-quest-indicator.dat,255
610,Goblin,81,1,bango-file,monster-quest-indicator.dat,256
610,Goblin,82,1,bango-file,monster-quest-indicator.dat,257
611,Goblin,76,1,bango-file,monster-quest-indicator.dat,258
611,Goblin,77,1,bango-file,monster-quest-indicator.dat,259
611,Goblin,81,1,bango-file,monster-quest-indicator.dat,260
611,Goblin,82,1,bango-file,monster-quest-indicator.dat,261
612,Goblin,76,1,bango-file,monster-quest-indicator.dat,262
612,Goblin,77,1,bango-file,monster-quest-indicator.dat,263
612,Goblin,81,1,bango-file,monster-quest-indicator.dat,264
612,Goblin,82,1,bango-file,monster-quest-indicator.dat,265
613,Goblin Conjurator,76,1,bango-file,monster-quest-indicator.dat,266
613,Goblin Conjurator,77,1,bango-file,monster-quest-indicator.dat,267
613,Goblin Conjurator,81,1,bango-file,monster-quest-indicator.dat,268
613,Goblin Conjurator,82,1,bango-file,monster-quest-indicator.dat,269
614,Goblin Conjurator,76,1,bango-file,monster-quest-indicator.dat,270
614,Goblin Conjurator,77,1,bango-file,monster-quest-indicator.dat,271
614,Goblin Conjurator,81,1,bango-file,monster-quest-indicator.dat,272
614,Goblin Conjurator,82,1,bango-file,monster-quest-indicator.dat,273
615,Goblin Conjurator,76,1,bango-file,monster-quest-indicator.dat,274
615,Goblin Conjurator,77,1,bango-file,monster-quest-indicator.dat,275
615,Goblin Conjurator,81,1,bango-file,monster-quest-indicator.dat,276
615,Goblin Conjurator,82,1,bango-file,monster-quest-indicator.dat,277
622,Guard of D'evah,94,1,bango-file,monster-quest-indicator.dat,278
623,Guard of D'evah,94,1,bango-file,monster-quest-indicator.dat,279
823,Demon Troop's Catapult,10007,4,bango-file,monster-quest-indicator.dat,280
807,D'evah's Special Guard,95,1,bango-file,monster-quest-indicator.dat,281
809,D'evah's Royal Guard,95,1,bango-file,monster-quest-indicator.dat,282
635,D'evah's Guardian,95,1,bango-file,monster-quest-indicator.dat,283
671,Solid sand fragment,95,1,bango-file,monster-quest-indicator.dat,284
598,Wolf,68,1,bango-file,monster-quest-indicator.dat,285
599,Wolf,68,1,bango-file,monster-quest-indicator.dat,286
600,Wolf,68,1,bango-file,monster-quest-indicator.dat,287
642,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,288
643,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,289
644,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,290
645,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,291
646,Elite Skeleton Archer,71,1,bango-file,monster-quest-indicator.dat,292
590,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,293
591,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,294
592,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,295
593,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,296
594,Degenarated Twisted Demon,73,1,bango-file,monster-quest-indicator.dat,297
604,Scorpion,74,1,bango-file,monster-quest-indicator.dat,298
605,Scorpion,74,1,bango-file,monster-quest-indicator.dat,299
606,Scorpion,74,1,bango-file,monster-quest-indicator.dat,300
601,Brown Bear,78,1,bango-file,monster-quest-indicator.dat,301
602,Brown Bear,78,1,bango-file,monster-quest-indicator.dat,302
603,Brown Bear,78,1,bango-file,monster-quest-indicator.dat,303
622,Guard of D'evah,79,1,bango-file,monster-quest-indicator.dat,304
623,Guard of D'evah,79,1,bango-file,monster-quest-indicator.dat,305
830,Miracle's Stone 1,83,1,bango-file,monster-quest-indicator.dat,306
832,Miracle's Stone 2,83,1,bango-file,monster-quest-indicator.dat,307
833,Miracle's Stone 3,83,1,bango-file,monster-quest-indicator.dat,308
837,Miracle's Stone 4,83,1,bango-file,monster-quest-indicator.dat,309
834,Crazy Demon Worker's Leader,84,1,bango-file,monster-quest-indicator.dat,310
637,Elite Skeleton,85,1,bango-file,monster-quest-indicator.dat,311
638,Elite Skeleton,85,1,bango-file,monster-quest-indicator.dat,312
639,Elite Skeleton,85,1,bango-file,monster-quest-indicator.dat,313
640,Elite Skeleton,85,1,bango-file,monster-quest-indicator.dat,314
641,Elite Skeleton,85,1,bango-file,monster-quest-indicator.dat,315
642,Elite Skeleton Archer,85,1,bango-file,monster-quest-indicator.dat,316
643,Elite Skeleton Archer,85,1,bango-file,monster-quest-indicator.dat,317
644,Elite Skeleton Archer,85,1,bango-file,monster-quest-indicator.dat,318
645,Elite Skeleton Archer,85,1,bango-file,monster-quest-indicator.dat,319
646,Elite Skeleton Archer,85,1,bango-file,monster-quest-indicator.dat,320
835,Wolf Commander,86,1,bango-file,monster-quest-indicator.dat,321
831,Knoll's hideaway 1,89,1,bango-file,monster-quest-indicator.dat,322
838,Knoll's hideaway 2,89,1,bango-file,monster-quest-indicator.dat,323
839,Knoll's hideaway 3,89,1,bango-file,monster-quest-indicator.dat,324
840,Knoll's hideaway 4,89,1,bango-file,monster-quest-indicator.dat,325
607,Knoll,89,1,bango-file,monster-quest-indicator.dat,326
608,Knoll,89,1,bango-file,monster-quest-indicator.dat,327
609,Knoll,89,1,bango-file,monster-quest-indicator.dat,328
947,Desert Scorpion,20000,1,bango-file,monster-quest-indicator.dat,329
924,Skeleton Soldier,20001,1,bango-file,monster-quest-indicator.dat,330
929,Skeleton Archer,20001,1,bango-file,monster-quest-indicator.dat,331
707,Twisted Demon Warrior,20002,1,bango-file,monster-quest-indicator.dat,332
624,Xill,20003,1,bango-file,monster-quest-indicator.dat,333
817,Xill Archer,20003,1,bango-file,monster-quest-indicator.dat,334
820,Xill Conjurator,20004,1,bango-file,monster-quest-indicator.dat,335
801,Starved Xill soldier,20004,1,bango-file,monster-quest-indicator.dat,336
804,Crazy Xill Warrior,20004,1,bango-file,monster-quest-indicator.dat,337
934,Master Skeleton Warrior,20005,1,bango-file,monster-quest-indicator.dat,338
939,Master Skeleton Archer,20005,1,bango-file,monster-quest-indicator.dat,339
582,Master Wraith,20006,1,bango-file,monster-quest-indicator.dat,340
585,Crazy Demon Worker,30006,1,bango-file,monster-quest-indicator.dat,341
586,Crazy Demon Worker,30006,1,bango-file,monster-quest-indicator.dat,342
587,Crazy Demon Worker,30006,1,bango-file,monster-quest-indicator.dat,343
588,Crazy Demon Worker,30006,1,bango-file,monster-quest-indicator.dat,344
589,Crazy Demon Worker,30006,1,bango-file,monster-quest-indicator.dat,345
698,Crazy Demon soldier,30007,1,bango-file,monster-quest-indicator.dat,346
699,Crazy Demon soldier,30007,1,bango-file,monster-quest-indicator.dat,347
814,Crazy Demon Conjurator,30007,1,bango-file,monster-quest-indicator.dat,348
815,Crazy Demon Conjurator,30007,1,bango-file,monster-quest-indicator.dat,349
704,Twisted Demon soldier,30008,1,bango-file,monster-quest-indicator.dat,350
705,Twisted Demon soldier,30008,1,bango-file,monster-quest-indicator.dat,351
706,Twisted Demon soldier,30008,1,bango-file,monster-quest-indicator.dat,352
946,Knoll soldier,30000,1,bango-file,monster-quest-indicator.dat,353
695,Knoll Mad Warrior,30000,2,bango-file,monster-quest-indicator.dat,354
674,Wounded Evolve Zombie,30000,3,bango-file,monster-quest-indicator.dat,355
677,Wounded Conjurator Zombie,30000,4,bango-file,monster-quest-indicator.dat,356
686,Goblin Warrior,30000,5,bango-file,monster-quest-indicator.dat,357
687,Goblin Warrior,30000,5,bango-file,monster-quest-indicator.dat,358
642,Elite Skeleton Archer,30005,1,bango-file,monster-quest-indicator.dat,359
643,Elite Skeleton Archer,30005,1,bango-file,monster-quest-indicator.dat,360
644,Elite Skeleton Archer,30005,1,bango-file,monster-quest-indicator.dat,361
645,Elite Skeleton Archer,30005,1,bango-file,monster-quest-indicator.dat,362
646,Elite Skeleton Archer,30005,1,bango-file,monster-quest-indicator.dat,363
595,Wild Boar,30005,2,bango-file,monster-quest-indicator.dat,364
596,Wild Boar,30005,2,bango-file,monster-quest-indicator.dat,365
597,Wild Boar,30005,2,bango-file,monster-quest-indicator.dat,366
601,Brown Bear,30005,3,bango-file,monster-quest-indicator.dat,367
602,Brown Bear,30005,3,bango-file,monster-quest-indicator.dat,368
603,Brown Bear,30005,3,bango-file,monster-quest-indicator.dat,369
