taskquest_key,script,item_ordinal,item_id,item_name,count,provenance,source_file,source_line
44,s600044,1,1390,Monster of Demon Crack Troop's head,10,bango-file,taskquest.dat,61
45,s600045,1,1391,E-Mok Island Sealed Ghost's ring,20,bango-file,taskquest.dat,63
46,s600046,1,1392,Guard of the Traitors Hangout's Talisman,5,bango-file,taskquest.dat,64
47,s600047,1,1393,Small Brown E-Moogi's teeth,30,bango-file,taskquest.dat,65
48,s600048,1,1394,White Beast of Demon Crack Troop's head	,20,bango-file,taskquest.dat,66
49,s600049,1,1395,Twisted Green E-Moogi's teeth,15,bango-file,taskquest.dat,67
50,s600050,1,1396,Knight of the Traitors Hangout's Talisman,5,bango-file,taskquest.dat,69
51,s600051,1,1397,Twisted Brown E-Moogi's teeth,15,bango-file,taskquest.dat,70
52,s600052,1,1398,Blue Beast of Demon Crack Troop's head,5,bango-file,taskquest.dat,71
53,s600053,1,1399,Twisted Demon Guarder's head,10,bango-file,taskquest.dat,72
54,s600054,1,1400,Twisted Demon Patrol's head,15,bango-file,taskquest.dat,73
55,s600055,1,1401,Twisted Demon Warrior's head,10,bango-file,taskquest.dat,75
56,s600056,1,1402,Twisted Demon Soldier's head,20,bango-file,taskquest.dat,76
57,s600057,1,1403,Twisted Demon Defender's head,5,bango-file,taskquest.dat,77
58,s600058,1,1713,Crazy Demon Worker's Head,50,bango-file,taskquest.dat,80
59,s600059,1,1718,Wild Boar Chop of Meat,30,bango-file,taskquest.dat,81
60,s600060,1,1719,Piece of Map,10,bango-file,taskquest.dat,82
61,s600061,1,1731,Knoll of certificate,10,bango-file,taskquest.dat,83
62,s600062,1,1738,Goblin Conjurator Head,5,bango-file,taskquest.dat,84
63,s600063,1,1790,Wild Boar's Head,80,bango-file,taskquest.dat,88
64,s600064,1,1791,Knoll Head,100,bango-file,taskquest.dat,89
65,s600065,1,1784,Degenarated Twisted Demon Head,120,bango-file,taskquest.dat,90
66,s600066,1,1792,Goblin Head,150,bango-file,taskquest.dat,91
67,s600067,1,1793,Guard of D'evah Head,1,bango-file,taskquest.dat,92
68,s600068,1,2080,Pincers of Desert Scorpion,20,bango-file,taskquest.dat,95
69,s600069,1,2081,Rib of Skeleton,20,bango-file,taskquest.dat,96
70,s600070,1,2082,Head of Twisted Demon warrior,20,bango-file,taskquest.dat,97
71,s600071,1,2083,Certificate of Xill,20,bango-file,taskquest.dat,98
72,s600072,1,2084,Certificate of Goblin,20,bango-file,taskquest.dat,99
73,s600073,1,2085,Head of Knoll,20,bango-file,taskquest.dat,100
74,s600074,1,2086,Certificate of Zombie,20,bango-file,taskquest.dat,101
75,s600075,1,2087,Certificate of Master Skeleton,10,bango-file,taskquest.dat,102
76,s600076,1,2088,Head of Master Wraith,10,bango-file,taskquest.dat,103
