prefix_id,enhancement_level,stat_family,application_band,application_band_meaning,bonus_json,prefix_name,provenance,source_file,source_line
1214,14,mp,1,unverified,"[[""mp"",""39""]]",<unresolved prefixname:1214>,bango-file,prefix.dat,249
1215,15,mp,1,unverified,"[[""mp"",""41""]]",<unresolved prefixname:1215>,bango-file,prefix.dat,250
1221,1,mp,2,unverified,"[[""mp"",""15""]]",<unresolved prefixname:1221>,bango-file,prefix.dat,252
1222,2,mp,2,unverified,"[[""mp"",""20""]]",<unresolved prefixname:1222>,bango-file,prefix.dat,253
1223,3,mp,2,unverified,"[[""mp"",""25""]]",<unresolved prefixname:1223>,bango-file,prefix.dat,254
1224,4,mp,2,unverified,"[[""mp"",""30""]]",<unresolved prefixname:1224>,bango-file,prefix.dat,255
1225,5,mp,2,unverified,"[[""mp"",""35""]]",<unresolved prefixname:1225>,bango-file,prefix.dat,256
1226,6,mp,2,unverified,"[[""mp"",""40""]]",<unresolved prefixname:1226>,bango-file,prefix.dat,257
1227,7,mp,2,unverified,"[[""mp"",""45""]]",<unresolved prefixname:1227>,bango-file,prefix.dat,258
1228,8,mp,2,unverified,"[[""mp"",""50""]]",<unresolved prefixname:1228>,bango-file,prefix.dat,259
1229,9,mp,2,unverified,"[[""mp"",""55""]]",<unresolved prefixname:1229>,bango-file,prefix.dat,260
1230,10,mp,2,unverified,"[[""mp"",""60""]]",<unresolved prefixname:1230>,bango-file,prefix.dat,261
1231,11,mp,2,unverified,"[[""mp"",""65""]]",<unresolved prefixname:1231>,bango-file,prefix.dat,262
1232,12,mp,2,unverified,"[[""mp"",""70""]]",<unresolved prefixname:1232>,bango-file,prefix.dat,263
1233,13,mp,2,unverified,"[[""mp"",""75""]]",<unresolved prefixname:1233>,bango-file,prefix.dat,264
1234,14,mp,2,unverified,"[[""mp"",""80""]]",<unresolved prefixname:1234>,bango-file,prefix.dat,265
1235,15,mp,2,unverified,"[[""mp"",""85""]]",<unresolved prefixname:1235>,bango-file,prefix.dat,266
1241,1,mp,3,unverified,"[[""mp"",""21""]]",<unresolved prefixname:1241>,bango-file,prefix.dat,268
1242,2,mp,3,unverified,"[[""mp"",""30""]]",<unresolved prefixname:1242>,bango-file,prefix.dat,269
1243,3,mp,3,unverified,"[[""mp"",""38""]]",<unresolved prefixname:1243>,bango-file,prefix.dat,270
1244,4,mp,3,unverified,"[[""mp"",""47""]]",<unresolved prefixname:1244>,bango-file,prefix.dat,271
1245,5,mp,3,unverified,"[[""mp"",""56""]]",<unresolved prefixname:1245>,bango-file,prefix.dat,272
1246,6,mp,3,unverified,"[[""mp"",""65""]]",<unresolved prefixname:1246>,bango-file,prefix.dat,273
1247,7,mp,3,unverified,"[[""mp"",""73""]]",<unresolved prefixname:1247>,bango-file,prefix.dat,274
1248,8,mp,3,unverified,"[[""mp"",""82""]]",<unresolved prefixname:1248>,bango-file,prefix.dat,275
1249,9,mp,3,unverified,"[[""mp"",""91""]]",<unresolved prefixname:1249>,bango-file,prefix.dat,276
1250,10,mp,3,unverified,"[[""mp"",""100""]]",<unresolved prefixname:1250>,bango-file,prefix.dat,277
1251,11,mp,3,unverified,"[[""mp"",""108""]]",<unresolved prefixname:1251>,bango-file,prefix.dat,278
1252,12,mp,3,unverified,"[[""mp"",""117""]]",<unresolved prefixname:1252>,bango-file,prefix.dat,279
1253,13,mp,3,unverified,"[[""mp"",""126""]]",<unresolved prefixname:1253>,bango-file,prefix.dat,280
1254,14,mp,3,unverified,"[[""mp"",""135""]]",<unresolved prefixname:1254>,bango-file,prefix.dat,281
1255,15,mp,3,unverified,"[[""mp"",""143""]]",<unresolved prefixname:1255>,bango-file,prefix.dat,282
1401,1,attack_and_magic,1,unverified,"[[""attack"",""1"",""1""],[""magic"",""1"",""1""]]",<unresolved prefixname:1401>,bango-file,prefix.dat,286
1402,2,attack_and_magic,1,unverified,"[[""attack"",""2"",""2""],[""magic"",""2"",""2""]]",<unresolved prefixname:1402>,bango-file,prefix.dat,287
1403,3,attack_and_magic,1,unverified,"[[""attack"",""2"",""2""],[""magic"",""2"",""2""]]",<unresolved prefixname:1403>,bango-file,prefix.dat,288
1404,4,attack_and_magic,1,unverified,"[[""attack"",""3"",""3""],[""magic"",""3"",""3""]]",<unresolved prefixname:1404>,bango-file,prefix.dat,289
1405,5,attack_and_magic,1,unverified,"[[""attack"",""3"",""3""],[""magic"",""3"",""3""]]",<unresolved prefixname:1405>,bango-file,prefix.dat,290
1406,6,attack_and_magic,1,unverified,"[[""attack"",""4"",""4""],[""magic"",""4"",""4""]]",<unresolved prefixname:1406>,bango-file,prefix.dat,291
1407,7,attack_and_magic,1,unverified,"[[""attack"",""4"",""4""],[""magic"",""4"",""4""]]",<unresolved prefixname:1407>,bango-file,prefix.dat,292
1408,8,attack_and_magic,1,unverified,"[[""attack"",""5"",""5""],[""magic"",""5"",""5""]]",<unresolved prefixname:1408>,bango-file,prefix.dat,293
1409,9,attack_and_magic,1,unverified,"[[""attack"",""5"",""5""],[""magic"",""5"",""5""]]",<unresolved prefixname:1409>,bango-file,prefix.dat,294
1410,10,attack_and_magic,1,unverified,"[[""attack"",""6"",""6""],[""magic"",""6"",""6""]]",<unresolved prefixname:1410>,bango-file,prefix.dat,295
1411,11,attack_and_magic,1,unverified,"[[""attack"",""6"",""6""],[""magic"",""6"",""6""]]",<unresolved prefixname:1411>,bango-file,prefix.dat,296
1412,12,attack_and_magic,1,unverified,"[[""attack"",""6"",""6""],[""magic"",""6"",""6""]]",<unresolved prefixname:1412>,bango-file,prefix.dat,297
1413,13,attack_and_magic,1,unverified,"[[""attack"",""7"",""7""],[""magic"",""7"",""7""]]",<unresolved prefixname:1413>,bango-file,prefix.dat,298
1414,14,attack_and_magic,1,unverified,"[[""attack"",""7"",""7""],[""magic"",""7"",""7""]]",<unresolved prefixname:1414>,bango-file,prefix.dat,299
1415,15,attack_and_magic,1,unverified,"[[""attack"",""8"",""8""],[""magic"",""8"",""8""]]",<unresolved prefixname:1415>,bango-file,prefix.dat,300
1421,1,attack_and_magic,2,unverified,"[[""attack"",""3"",""3""],[""magic"",""3"",""3""]]",<unresolved prefixname:1421>,bango-file,prefix.dat,302
1422,2,attack_and_magic,2,unverified,"[[""attack"",""4"",""4""],[""magic"",""4"",""4""]]",<unresolved prefixname:1422>,bango-file,prefix.dat,303
1423,3,attack_and_magic,2,unverified,"[[""attack"",""5"",""5""],[""magic"",""5"",""5""]]",<unresolved prefixname:1423>,bango-file,prefix.dat,304
1424,4,attack_and_magic,2,unverified,"[[""attack"",""6"",""6""],[""magic"",""6"",""6""]]",<unresolved prefixname:1424>,bango-file,prefix.dat,305
1425,5,attack_and_magic,2,unverified,"[[""attack"",""7"",""7""],[""magic"",""7"",""7""]]",<unresolved prefixname:1425>,bango-file,prefix.dat,306
1426,6,attack_and_magic,2,unverified,"[[""attack"",""8"",""8""],[""magic"",""8"",""8""]]",<unresolved prefixname:1426>,bango-file,prefix.dat,307
1427,7,attack_and_magic,2,unverified,"[[""attack"",""9"",""9""],[""magic"",""9"",""9""]]",<unresolved prefixname:1427>,bango-file,prefix.dat,308
1428,8,attack_and_magic,2,unverified,"[[""attack"",""10"",""10""],[""magic"",""10"",""10""]]",<unresolved prefixname:1428>,bango-file,prefix.dat,309
1429,9,attack_and_magic,2,unverified,"[[""attack"",""11"",""11""],[""magic"",""11"",""11""]]",<unresolved prefixname:1429>,bango-file,prefix.dat,310
1430,10,attack_and_magic,2,unverified,"[[""attack"",""12"",""12""],[""magic"",""12"",""12""]]",<unresolved prefixname:1430>,bango-file,prefix.dat,311
1431,11,attack_and_magic,2,unverified,"[[""attack"",""13"",""13""],[""magic"",""13"",""13""]]",<unresolved prefixname:1431>,bango-file,prefix.dat,312
1432,12,attack_and_magic,2,unverified,"[[""attack"",""14"",""14""],[""magic"",""14"",""14""]]",<unresolved prefixname:1432>,bango-file,prefix.dat,313
1433,13,attack_and_magic,2,unverified,"[[""attack"",""15"",""15""],[""magic"",""15"",""15""]]",<unresolved prefixname:1433>,bango-file,prefix.dat,314
1434,14,attack_and_magic,2,unverified,"[[""attack"",""16"",""16""],[""magic"",""16"",""16""]]",<unresolved prefixname:1434>,bango-file,prefix.dat,315
1435,15,attack_and_magic,2,unverified,"[[""attack"",""17"",""17""],[""magic"",""17"",""17""]]",<unresolved prefixname:1435>,bango-file,prefix.dat,316
1441,1,attack_and_magic,3,unverified,"[[""attack"",""6"",""6""],[""magic"",""6"",""6""]]",<unresolved prefixname:1441>,bango-file,prefix.dat,318
1442,2,attack_and_magic,3,unverified,"[[""attack"",""9"",""9""],[""magic"",""9"",""9""]]",<unresolved prefixname:1442>,bango-file,prefix.dat,319
1443,3,attack_and_magic,3,unverified,"[[""attack"",""12"",""12""],[""magic"",""12"",""12""]]",<unresolved prefixname:1443>,bango-file,prefix.dat,320
1444,4,attack_and_magic,3,unverified,"[[""attack"",""15"",""15""],[""magic"",""15"",""15""]]",<unresolved prefixname:1444>,bango-file,prefix.dat,321
1445,5,attack_and_magic,3,unverified,"[[""attack"",""18"",""18""],[""magic"",""18"",""18""]]",<unresolved prefixname:1445>,bango-file,prefix.dat,322
1446,6,attack_and_magic,3,unverified,"[[""attack"",""20"",""20""],[""magic"",""20"",""20""]]",<unresolved prefixname:1446>,bango-file,prefix.dat,323
1447,7,attack_and_magic,3,unverified,"[[""attack"",""23"",""23""],[""magic"",""23"",""23""]]",<unresolved prefixname:1447>,bango-file,prefix.dat,324
1448,8,attack_and_magic,3,unverified,"[[""attack"",""26"",""26""],[""magic"",""26"",""26""]]",<unresolved prefixname:1448>,bango-file,prefix.dat,325
1449,9,attack_and_magic,3,unverified,"[[""attack"",""29"",""29""],[""magic"",""29"",""29""]]",<unresolved prefixname:1449>,bango-file,prefix.dat,326
1450,10,attack_and_magic,3,unverified,"[[""attack"",""32"",""32""],[""magic"",""32"",""32""]]",<unresolved prefixname:1450>,bango-file,prefix.dat,327
1451,11,attack_and_magic,3,unverified,"[[""attack"",""34"",""34""],[""magic"",""34"",""34""]]",<unresolved prefixname:1451>,bango-file,prefix.dat,328
1452,12,attack_and_magic,3,unverified,"[[""attack"",""37"",""37""],[""magic"",""37"",""37""]]",<unresolved prefixname:1452>,bango-file,prefix.dat,329
1453,13,attack_and_magic,3,unverified,"[[""attack"",""40"",""40""],[""magic"",""40"",""40""]]",<unresolved prefixname:1453>,bango-file,prefix.dat,330
1454,14,attack_and_magic,3,unverified,"[[""attack"",""43"",""43""],[""magic"",""43"",""43""]]",<unresolved prefixname:1454>,bango-file,prefix.dat,331
1455,15,attack_and_magic,3,unverified,"[[""attack"",""46"",""46""],[""magic"",""46"",""46""]]",<unresolved prefixname:1455>,bango-file,prefix.dat,332
1601,1,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1601>,bango-file,prefix.dat,338
1602,2,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1602>,bango-file,prefix.dat,339
1603,3,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1603>,bango-file,prefix.dat,340
1604,4,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1604>,bango-file,prefix.dat,341
1605,5,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1605>,bango-file,prefix.dat,342
1606,6,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1606>,bango-file,prefix.dat,343
1607,7,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1607>,bango-file,prefix.dat,344
1608,8,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1608>,bango-file,prefix.dat,345
1609,9,strength,1,unverified,"[[""str"",""1""]]",<unresolved prefixname:1609>,bango-file,prefix.dat,346
1610,10,strength,1,unverified,"[[""str"",""2""]]",<unresolved prefixname:1610>,bango-file,prefix.dat,347
1611,11,strength,1,unverified,"[[""str"",""2""]]",<unresolved prefixname:1611>,bango-file,prefix.dat,348
1612,12,strength,1,unverified,"[[""str"",""2""]]",<unresolved prefixname:1612>,bango-file,prefix.dat,349
1613,13,strength,1,unverified,"[[""str"",""2""]]",<unresolved prefixname:1613>,bango-file,prefix.dat,350
1614,14,strength,1,unverified,"[[""str"",""2""]]",<unresolved prefixname:1614>,bango-file,prefix.dat,351
1615,15,strength,1,unverified,"[[""str"",""2""]]",<unresolved prefixname:1615>,bango-file,prefix.dat,352
1621,1,strength,2,unverified,"[[""str"",""1""]]",<unresolved prefixname:1621>,bango-file,prefix.dat,354
1622,2,strength,2,unverified,"[[""str"",""1""]]",<unresolved prefixname:1622>,bango-file,prefix.dat,355
1623,3,strength,2,unverified,"[[""str"",""1""]]",<unresolved prefixname:1623>,bango-file,prefix.dat,356
1624,4,strength,2,unverified,"[[""str"",""1""]]",<unresolved prefixname:1624>,bango-file,prefix.dat,357
1625,5,strength,2,unverified,"[[""str"",""1""]]",<unresolved prefixname:1625>,bango-file,prefix.dat,358
1626,6,strength,2,unverified,"[[""str"",""2""]]",<unresolved prefixname:1626>,bango-file,prefix.dat,359
1627,7,strength,2,unverified,"[[""str"",""2""]]",<unresolved prefixname:1627>,bango-file,prefix.dat,360
1628,8,strength,2,unverified,"[[""str"",""2""]]",<unresolved prefixname:1628>,bango-file,prefix.dat,361
1629,9,strength,2,unverified,"[[""str"",""2""]]",<unresolved prefixname:1629>,bango-file,prefix.dat,362
1630,10,strength,2,unverified,"[[""str"",""3""]]",<unresolved prefixname:1630>,bango-file,prefix.dat,363
1631,11,strength,2,unverified,"[[""str"",""3""]]",<unresolved prefixname:1631>,bango-file,prefix.dat,364
1632,12,strength,2,unverified,"[[""str"",""3""]]",<unresolved prefixname:1632>,bango-file,prefix.dat,365
1633,13,strength,2,unverified,"[[""str"",""3""]]",<unresolved prefixname:1633>,bango-file,prefix.dat,366
1634,14,strength,2,unverified,"[[""str"",""4""]]",<unresolved prefixname:1634>,bango-file,prefix.dat,367
1635,15,strength,2,unverified,"[[""str"",""4""]]",<unresolved prefixname:1635>,bango-file,prefix.dat,368
1641,1,strength,3,unverified,"[[""str"",""1""]]",<unresolved prefixname:1641>,bango-file,prefix.dat,370
1642,2,strength,3,unverified,"[[""str"",""1""]]",<unresolved prefixname:1642>,bango-file,prefix.dat,371
1643,3,strength,3,unverified,"[[""str"",""2""]]",<unresolved prefixname:1643>,bango-file,prefix.dat,372
1644,4,strength,3,unverified,"[[""str"",""2""]]",<unresolved prefixname:1644>,bango-file,prefix.dat,373
1645,5,strength,3,unverified,"[[""str"",""2""]]",<unresolved prefixname:1645>,bango-file,prefix.dat,374
1646,6,strength,3,unverified,"[[""str"",""3""]]",<unresolved prefixname:1646>,bango-file,prefix.dat,375
1647,7,strength,3,unverified,"[[""str"",""3""]]",<unresolved prefixname:1647>,bango-file,prefix.dat,376
1648,8,strength,3,unverified,"[[""str"",""4""]]",<unresolved prefixname:1648>,bango-file,prefix.dat,377
1649,9,strength,3,unverified,"[[""str"",""4""]]",<unresolved prefixname:1649>,bango-file,prefix.dat,378
1650,10,strength,3,unverified,"[[""str"",""5""]]",<unresolved prefixname:1650>,bango-file,prefix.dat,379
1651,11,strength,3,unverified,"[[""str"",""5""]]",<unresolved prefixname:1651>,bango-file,prefix.dat,380
1652,12,strength,3,unverified,"[[""str"",""6""]]",<unresolved prefixname:1652>,bango-file,prefix.dat,381
1653,13,strength,3,unverified,"[[""str"",""6""]]",<unresolved prefixname:1653>,bango-file,prefix.dat,382
1654,14,strength,3,unverified,"[[""str"",""7""]]",<unresolved prefixname:1654>,bango-file,prefix.dat,383
1655,15,strength,3,unverified,"[[""str"",""7""]]",<unresolved prefixname:1655>,bango-file,prefix.dat,384
1801,1,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1801>,bango-file,prefix.dat,388
1802,2,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1802>,bango-file,prefix.dat,389
1803,3,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1803>,bango-file,prefix.dat,390
1804,4,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1804>,bango-file,prefix.dat,391
1805,5,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1805>,bango-file,prefix.dat,392
1806,6,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1806>,bango-file,prefix.dat,393
1807,7,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1807>,bango-file,prefix.dat,394
1808,8,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1808>,bango-file,prefix.dat,395
1809,9,dexterity,1,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1809>,bango-file,prefix.dat,396
1810,10,dexterity,1,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1810>,bango-file,prefix.dat,397
1811,11,dexterity,1,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1811>,bango-file,prefix.dat,398
1812,12,dexterity,1,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1812>,bango-file,prefix.dat,399
1813,13,dexterity,1,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1813>,bango-file,prefix.dat,400
1814,14,dexterity,1,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1814>,bango-file,prefix.dat,401
1815,15,dexterity,1,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1815>,bango-file,prefix.dat,402
1821,1,dexterity,2,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1821>,bango-file,prefix.dat,404
1822,2,dexterity,2,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1822>,bango-file,prefix.dat,405
1823,3,dexterity,2,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1823>,bango-file,prefix.dat,406
1824,4,dexterity,2,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1824>,bango-file,prefix.dat,407
1825,5,dexterity,2,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1825>,bango-file,prefix.dat,408
1826,6,dexterity,2,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1826>,bango-file,prefix.dat,409
1827,7,dexterity,2,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1827>,bango-file,prefix.dat,410
1828,8,dexterity,2,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1828>,bango-file,prefix.dat,411
1829,9,dexterity,2,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1829>,bango-file,prefix.dat,412
1830,10,dexterity,2,unverified,"[[""dex"",""3""]]",<unresolved prefixname:1830>,bango-file,prefix.dat,413
1831,11,dexterity,2,unverified,"[[""dex"",""3""]]",<unresolved prefixname:1831>,bango-file,prefix.dat,414
1832,12,dexterity,2,unverified,"[[""dex"",""3""]]",<unresolved prefixname:1832>,bango-file,prefix.dat,415
1833,13,dexterity,2,unverified,"[[""dex"",""3""]]",<unresolved prefixname:1833>,bango-file,prefix.dat,416
1834,14,dexterity,2,unverified,"[[""dex"",""4""]]",<unresolved prefixname:1834>,bango-file,prefix.dat,417
1835,15,dexterity,2,unverified,"[[""dex"",""4""]]",<unresolved prefixname:1835>,bango-file,prefix.dat,418
1841,1,dexterity,3,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1841>,bango-file,prefix.dat,420
1842,2,dexterity,3,unverified,"[[""dex"",""1""]]",<unresolved prefixname:1842>,bango-file,prefix.dat,421
1843,3,dexterity,3,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1843>,bango-file,prefix.dat,422
1844,4,dexterity,3,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1844>,bango-file,prefix.dat,423
1845,5,dexterity,3,unverified,"[[""dex"",""2""]]",<unresolved prefixname:1845>,bango-file,prefix.dat,424
1846,6,dexterity,3,unverified,"[[""dex"",""3""]]",<unresolved prefixname:1846>,bango-file,prefix.dat,425
1847,7,dexterity,3,unverified,"[[""dex"",""3""]]",<unresolved prefixname:1847>,bango-file,prefix.dat,426
1848,8,dexterity,3,unverified,"[[""dex"",""4""]]",<unresolved prefixname:1848>,bango-file,prefix.dat,427
1849,9,dexterity,3,unverified,"[[""dex"",""4""]]",<unresolved prefixname:1849>,bango-file,prefix.dat,428
1850,10,dexterity,3,unverified,"[[""dex"",""5""]]",<unresolved prefixname:1850>,bango-file,prefix.dat,429
1851,11,dexterity,3,unverified,"[[""dex"",""5""]]",<unresolved prefixname:1851>,bango-file,prefix.dat,430
1852,12,dexterity,3,unverified,"[[""dex"",""6""]]",<unresolved prefixname:1852>,bango-file,prefix.dat,431
1853,13,dexterity,3,unverified,"[[""dex"",""6""]]",<unresolved prefixname:1853>,bango-file,prefix.dat,432
1854,14,dexterity,3,unverified,"[[""dex"",""7""]]",<unresolved prefixname:1854>,bango-file,prefix.dat,433
1855,15,dexterity,3,unverified,"[[""dex"",""7""]]",<unresolved prefixname:1855>,bango-file,prefix.dat,434
2001,1,intelligence,1,unverified,"[[""int"",""1""]]",<unresolved prefixname:2001>,bango-file,prefix.dat,438
2002,2,intelligence,1,unverified,"[[""int"",""1""]]",<unresolved prefixname:2002>,bango-file,prefix.dat,439
2003,3,intelligence,1,unverified,"[[""int"",""1""]]",<unresolved prefixname:2003>,bango-file,prefix.dat,440
2004,4,intelligence,1,unverified,"[[""int"",""1""]]",<unresolved prefixname:2004>,bango-file,prefix.dat,441
2005,5,intelligence,1,unverified,"[[""int"",""1""]]",<unresolved prefixname:2005>,bango-file,prefix.dat,442
2006,6,intelligence,1,unverified,"[[""int"",""1""]]",<unresolved prefixname:2006>,bango-file,prefix.dat,443
