sk_megn,sk_type,sk_poz,sk_desc,sk_order,sk_pic,sk_lvl,sk_pre,sk_form,sk_pars,sk_maxpars,sk_mana,sk_charge,sk_coold,sk_range,sk_lasting,sk_honor,bango_key,bango_definition_ordinal,bango_limit_json,bango_action_json,bango_level_json,bango_grade_json,bango_maxlevel_json,bango_type_json,bango_property_json,bango_parameters_json,bango_parameter_rpn_json,bango_compares_json,bango_mana_rpn_json,bango_range_rpn_json,bango_cast_ms_rpn_json,bango_cooldown_ms_rpn_json,bango_compare_label_status_json,bango_conditions_json,bango_record_json,provenance,source_file,source_line
Ice Magic,2,,#nThrow a lump of ice to the enemy#nto give ice damage.,,active005,,,#nMagic Attack Point + %1!d!#nEnergy used : %2!d!,,,6 skill_level 4 / +,800,600,120 4 skill_level * +,,,mage-3,1,"[""mage""]","[""3""]","[""3"",""0""]","[""1"",""0""]","[""20"",""0""]","[""active"",""use""]","[""3"",""1"",""0"",""0"",""1"",""5""]","[[""parameter"",""1"",[""div"",[""plus"",[""div"",[""mul"",""3"",""char_level""],""2""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""3""]],""13""]],""2""]],[""parameter"",""2"",[""plus"",""6"",[""div"",""skill_level"",""4""]]]]","[""3 char_level * 2 / char_int skill_level 3 * * 13 / + 2 /"",""6 skill_level 4 / +""]","[[""compare"",""1"",[""plus"",""6"",[""div"",""skill_level"",""4""]]],[""compare"",""2"",[""plus"",""120"",[""mul"",""4"",""skill_level""]]],[""compare"",""3"",""800""],[""compare"",""4"",""600""]]","[""6 skill_level 4 / +""]","[""120 4 skill_level * +""]","[""800""]","[""600""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-3""],[""name"",""Ice Magic""],[""limit"",""mage""],[""action"",""3""],[""image"",""active005""],[""desc"",""#nThrow a lump of ice to the enemy#nto give ice damage.""],[""ability"",""#nMagic Attack Point + %1!d!#nEnergy used : %2!d!""],[""parameter"",""1"",[""div"",[""plus"",[""div"",[""mul"",""3"",""char_level""],""2""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""3""]],""13""]],""2""]],[""parameter"",""2"",[""plus"",""6"",[""div"",""skill_level"",""4""]]],[""maxparamvalue"",""1"",""350""],[""level"",""3"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""20"",""0""],[""type"",""active"",""use""],[""compare"",""1"",[""plus"",""6"",[""div"",""skill_level"",""4""]]],[""compare"",""2"",[""plus"",""120"",[""mul"",""4"",""skill_level""]]],[""compare"",""3"",""800""],[""compare"",""4"",""600""],[""motion"",""2"",""3"",""attackauto""],[""ridemotion"",""2"",""3"",""attackauto""],[""battleride"",""1""],[""effect"",""Skill_R_3_0"",""Skill_R_3_1"",""Skill_R_3_2""],[""sound"",""efs013_L"",""efs015_L"",""efs017""],[""explosion"",""11"",""6"",""7""],[""damagetype"",""1""],[""property"",""3"",""1"",""0"",""0"",""1"",""5""]]",bango-file,jobsystem.dat,1981
Lightning Magic,2,,#nThrow lightning to the enemy#nto give lightning damage..,,active006,,,#nMin Magic Attack Point + %1!d!#nMax Magic Attack Point + %2!d!#nEnergy used : %3!d!,,,2 skill_level 2 / +,600,600,110 6 skill_level * +,,,mage-4,1,"[""mage""]","[""4""]","[""1"",""0""]","[""1"",""0""]","[""10"",""0""]","[""active"",""use""]","[""3"",""1"",""0"",""0"",""1"",""5""]","[[""parameter"",""1"",[""div"",[""plus"",[""div"",[""mul"",""3"",""char_level""],""2""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""2""]],""16""]],""2""]],[""parameter"",""2"",[""plus"",[""mul"",""lightning_mastery"",""20""],[""div"",[""plus"",[""div"",[""mul"",""3"",""char_level""],""2""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""2""]],""16""]],""2""]]],[""parameter"",""3"",[""plus"",""2"",[""div"",""skill_level"",""2""]]]]","[""3 char_level * 2 / char_int skill_level 2 * * 16 / + 2 /"",""lightning_mastery 20 * 3 char_level * 2 / char_int skill_level 2 * * 16 / + 2 / +"",""2 skill_level 2 / +""]","[[""compare"",""1"",[""plus"",""2"",[""div"",""skill_level"",""2""]]],[""compare"",""2"",[""plus"",""110"",[""mul"",""6"",""skill_level""]]],[""compare"",""3"",""600""],[""compare"",""4"",""600""]]","[""2 skill_level 2 / +""]","[""110 6 skill_level * +""]","[""600""]","[""600""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-4""],[""name"",""Lightning Magic""],[""limit"",""mage""],[""action"",""4""],[""image"",""active006""],[""desc"",""#nThrow lightning to the enemy#nto give lightning damage..""],[""ability"",""#nMin Magic Attack Point + %1!d!#nMax Magic Attack Point + %2!d!#nEnergy used : %3!d!""],[""parameter"",""1"",[""div"",[""plus"",[""div"",[""mul"",""3"",""char_level""],""2""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""2""]],""16""]],""2""]],[""parameter"",""2"",[""plus"",[""mul"",""lightning_mastery"",""20""],[""div"",[""plus"",[""div"",[""mul"",""3"",""char_level""],""2""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""2""]],""16""]],""2""]]],[""parameter"",""3"",[""plus"",""2"",[""div"",""skill_level"",""2""]]],[""maxparamvalue"",""1"",""150""],[""maxparamvalue"",""2"",""300""],[""level"",""1"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""10"",""0""],[""type"",""active"",""use""],[""compare"",""1"",[""plus"",""2"",[""div"",""skill_level"",""2""]]],[""compare"",""2"",[""plus"",""110"",[""mul"",""6"",""skill_level""]]],[""compare"",""3"",""600""],[""compare"",""4"",""600""],[""motion"",""2"",""3"",""attackauto""],[""ridemotion"",""2"",""3"",""attackauto""],[""battleride"",""1""],[""effect"",""Skill_R_4_0"",""Skill_R_4_1"",""Skill_R_4_2""],[""sound"",""efs019_L"",""efs020_L"",""efs021""],[""explosion"",""12"",""8"",""9""],[""damagetype"",""1""],[""property"",""3"",""1"",""0"",""0"",""1"",""5""]]",bango-file,jobsystem.dat,2008
Long-range Protection,2,,#nPerfect defense from log range attack by one time.#nEfficiecy disappears after defense.#nIt can't be used on monsters.,,active041,,,#nEnergy used : 64,,,64,800,5000,180,,,mage-5,1,"[""mage""]","[""5""]","[""25"",""0""]","[""1"",""1""]","[""1"",""0""]","[""active"",""use""]","[""3"",""1"",""1"",""0"",""3"",""1""]",[],[],"[[""compare"",""1"",""64""],[""compare"",""2"",""180""],[""compare"",""3"",""800""],[""compare"",""4"",""5000""]]","[""64""]","[""180""]","[""800""]","[""5000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-5""],[""name"",""Long-range Protection""],[""limit"",""mage""],[""action"",""5""],[""image"",""active041""],[""desc"",""#nPerfect defense from log range attack by one time.#nEfficiecy disappears after defense.#nIt can't be used on monsters.""],[""ability"",""#nEnergy used : 64""],[""level"",""25"",""0""],[""grade"",""1"",""1""],[""maxlevel"",""1"",""0""],[""type"",""active"",""use""],[""compare"",""1"",""64""],[""compare"",""2"",""180""],[""compare"",""3"",""800""],[""compare"",""4"",""5000""],[""motion"",""6"",""9"",""none""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""damagetype"",""2""],[""targetkind"",""1""],[""property"",""3"",""1"",""1"",""0"",""3"",""1""]]",bango-file,jobsystem.dat,2037
Heal,2,,#nRecover one's own health points.,,active008,,,#nHealth recovered : %1!d!#nEnergy used : %2!d!#n#nThe maximum recovery limit#n[Skill 1Rank-Max HP100]#n[Skill 2Rank-Max HP150]#n[Skill 3Rank-Max HP200]#n[Skill 4Rank-Max HP250]#n[Skill 5Rank-Max HP300],,,6 skill_level 6 * +,0,4200,,,,mage-8,1,"[""mage""]","[""8""]","[""7"",""0""]","[""1"",""0""]","[""5"",""0""]","[""active"",""once""]","[""3"",""1"",""1"",""0"",""9"",""0""]","[[""parameter"",""1"",[""plus"",""100"",[""div"",[""plus"",[""div"",[""mul"",""15"",""char_level""],""10""],[""div"",[""mul"",""char_wis"",[""mul"",""skill_level"",""5""]],""10""]],""2""]]],[""parameter"",""2"",[""plus"",""6"",[""mul"",""skill_level"",""6""]]]]","[""100 15 char_level * 10 / char_wis skill_level 5 * * 10 / + 2 / +"",""6 skill_level 6 * +""]","[[""compare"",""1"",[""plus"",""6"",[""mul"",""skill_level"",""6""]]],[""compare"",""3"",""0""],[""compare"",""4"",""4200""]]","[""6 skill_level 6 * +""]",[],"[""0""]","[""4200""]","{""1"":""verified-ability-text-and-gitbook"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-8""],[""name"",""Heal""],[""limit"",""mage""],[""action"",""8""],[""image"",""active008""],[""desc"",""#nRecover one's own health points.""],[""ability"",""#nHealth recovered : %1!d!#nEnergy used : %2!d!#n#nThe maximum recovery limit#n[Skill 1Rank-Max HP100]#n[Skill 2Rank-Max HP150]#n[Skill 3Rank-Max HP200]#n[Skill 4Rank-Max HP250]#n[Skill 5Rank-Max HP300]""],[""parameter"",""1"",[""plus"",""100"",[""div"",[""plus"",[""div"",[""mul"",""15"",""char_level""],""10""],[""div"",[""mul"",""char_wis"",[""mul"",""skill_level"",""5""]],""10""]],""2""]]],[""parameter"",""2"",[""plus"",""6"",[""mul"",""skill_level"",""6""]]],[""maxparamvalue"",""1"",""300""],[""level"",""7"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""5"",""0""],[""type"",""active"",""once""],[""compare"",""1"",[""plus"",""6"",[""mul"",""skill_level"",""6""]]],[""compare"",""3"",""0""],[""compare"",""4"",""4200""],[""motion"",""0"",""3"",""none""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""effect"","""","""",""Skill_R_8_2""],[""damagetype"",""0""],[""property"",""3"",""1"",""1"",""0"",""9"",""0""]]",bango-file,jobsystem.dat,2058
Shock Wave,2,,#nGive thestrong  Shock Wave to the opponent.,,active013,,,#nMin Magic Attack Point + %1!d! #nMax Magic Attack Point + %2!d! #nWnEnergy used : %3!d!,,,56 skill_level 6 * +,0,1200,32,,,mage-9,1,"[""mage""]","[""9""]","[""31"",""0""]","[""3"",""0""]","[""5"",""0""]","[""active"",""use""]","[""3"",""1"",""0"",""0"",""1"",""5""]","[[""parameter"",""1"",[""plus"",""50"",[""div"",[""plus"",[""div"",[""mul"",""skill_level"",""5""],""3""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""6""]],""4""]],""2""]]],[""parameter"",""2"",[""plus"",""lightning_mastery"",[""plus"",""150"",[""div"",[""plus"",[""div"",[""mul"",""skill_level"",""5""],""3""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""11""]],""3""]],""2""]]]],[""parameter"",""3"",[""plus"",""56"",[""mul"",""skill_level"",""6""]]]]","[""50 skill_level 5 * 3 / char_int skill_level 6 * * 4 / + 2 / +"",""lightning_mastery 150 skill_level 5 * 3 / char_int skill_level 11 * * 3 / + 2 / + +"",""56 skill_level 6 * +""]","[[""compare"",""1"",[""plus"",""56"",[""mul"",""skill_level"",""6""]]],[""compare"",""2"",""32""],[""compare"",""3"",""0""],[""compare"",""4"",""1200""]]","[""56 skill_level 6 * +""]","[""32""]","[""0""]","[""1200""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}","[[""condition"",""4"",""5""]]","[""skill"",[""key"",""mage-9""],[""name"",""Shock Wave""],[""limit"",""mage""],[""action"",""9""],[""image"",""active013""],[""desc"",""#nGive thestrong  Shock Wave to the opponent.""],[""ability"",""#nMin Magic Attack Point + %1!d! #nMax Magic Attack Point + %2!d! #nWnEnergy used : %3!d!""],[""parameter"",""1"",[""plus"",""50"",[""div"",[""plus"",[""div"",[""mul"",""skill_level"",""5""],""3""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""6""]],""4""]],""2""]]],[""parameter"",""2"",[""plus"",""lightning_mastery"",[""plus"",""150"",[""div"",[""plus"",[""div"",[""mul"",""skill_level"",""5""],""3""],[""div"",[""mul"",""char_int"",[""mul"",""skill_level"",""11""]],""3""]],""2""]]]],[""parameter"",""3"",[""plus"",""56"",[""mul"",""skill_level"",""6""]]],[""maxparamvalue"",""1"",""500""],[""maxparamvalue"",""2"",""1200""],[""level"",""31"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""5"",""0""],[""condition"",""4"",""5""],[""type"",""active"",""use""],[""compare"",""1"",[""plus"",""56"",[""mul"",""skill_level"",""6""]]],[""compare"",""2"",""32""],[""compare"",""3"",""0""],[""compare"",""4"",""1200""],[""motion"",""6"",""8"",""attackauto""],[""ridemotion"",""14"",""15"",""attackauto""],[""battleride"",""1""],[""effect"","""","""",""""],[""explosion"",""0"",""0"",""0""],[""damagetype"",""1""],[""property"",""3"",""1"",""0"",""0"",""1"",""5""]]",bango-file,jobsystem.dat,2081
Cure,2,,#nRecover some health points of one who is selected.#nIt can't be used on monsters.,,active010,,,#nAmount of recovering : %1!d!#nEnergy used : %2!d!,,,8 skill_level 2 * +,1800,600,130 skill_level 3 * +,,,mage-10,1,"[""mage""]","[""10""]","[""16"",""0""]","[""1"",""0""]","[""10"",""0""]","[""active"",""use""]","[""3"",""1"",""1"",""0"",""9"",""2""]","[[""parameter"",""1"",[""plus"",[""mul"",""skill_level"",""30""],[""plus"",""70"",[""div"",[""plus"",[""div"",[""mul"",""7"",""char_level""],""11""],[""div"",[""mul"",""char_wis"",[""mul"",""skill_level"",""3""]],""11""]],""2""]]]],[""parameter"",""2"",[""plus"",""8"",[""mul"",""skill_level"",""3""]]]]","[""skill_level 30 * 70 7 char_level * 11 / char_wis skill_level 3 * * 11 / + 2 / + +"",""8 skill_level 3 * +""]","[[""compare"",""1"",[""plus"",""8"",[""mul"",""skill_level"",""2""]]],[""compare"",""2"",[""plus"",""130"",[""mul"",""skill_level"",""3""]]],[""compare"",""3"",""1800""],[""compare"",""4"",""600""]]","[""8 skill_level 2 * +""]","[""130 skill_level 3 * +""]","[""1800""]","[""600""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}","[[""condition"",""8"",""3""]]","[""skill"",[""key"",""mage-10""],[""name"",""Cure""],[""limit"",""mage""],[""action"",""10""],[""image"",""active010""],[""desc"",""#nRecover some health points of one who is selected.#nIt can't be used on monsters.""],[""ability"",""#nAmount of recovering : %1!d!#nEnergy used : %2!d!""],[""parameter"",""1"",[""plus"",[""mul"",""skill_level"",""30""],[""plus"",""70"",[""div"",[""plus"",[""div"",[""mul"",""7"",""char_level""],""11""],[""div"",[""mul"",""char_wis"",[""mul"",""skill_level"",""3""]],""11""]],""2""]]]],[""parameter"",""2"",[""plus"",""8"",[""mul"",""skill_level"",""3""]]],[""maxparamvalue"",""1"",""500""],[""level"",""16"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""10"",""0""],[""condition"",""8"",""3""],[""type"",""active"",""use""],[""compare"",""1"",[""plus"",""8"",[""mul"",""skill_level"",""2""]]],[""compare"",""2"",[""plus"",""130"",[""mul"",""skill_level"",""3""]]],[""compare"",""3"",""1800""],[""compare"",""4"",""600""],[""motion"",""4"",""5"",""none""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""effect"",""Skill_R_10_0"","""",""Skill_R_10_2""],[""explosion"",""4"",""0"",""0""],[""damagetype"",""2""],[""targetkind"",""1""],[""property"",""3"",""1"",""1"",""0"",""9"",""2""]]",bango-file,jobsystem.dat,2109
Magic Mastery : Lightning,1,,#nMax magic attack of lightning is increased.,,passive008,,,#nMax Magic Attack Point + %1!d!,,,,,,,,,mage-11,1,"[""mage""]","[""12""]","[""30"",""0""]","[""3"",""0""]","[""5"",""0""]","[""passive"",""etc""]","[""3"",""1"",""1"",""1"",""9"",""0""]","[[""parameter"",""1"",[""mul"",""skill_level"",""20""]]]","[""skill_level 20 *""]",[],[],[],[],[],{},[],"[""skill"",[""key"",""mage-11""],[""name"",""Magic Mastery : Lightning""],[""limit"",""mage""],[""action"",""12""],[""image"",""passive008""],[""desc"",""#nMax magic attack of lightning is increased.""],[""ability"",""#nMax Magic Attack Point + %1!d!""],[""parameter"",""1"",[""mul"",""skill_level"",""20""]],[""level"",""30"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""5"",""0""],[""type"",""passive"",""etc""],[""property"",""3"",""1"",""1"",""1"",""9"",""0""]]",bango-file,jobsystem.dat,2136
Magic Mastery : Ice,1,,#nIncrease the chance of making the enemy slow.,,passive009,,,,,,,,,,,,mage-12,1,"[""mage""]","[""13""]","[""30"",""0""]","[""3"",""0""]","[""5"",""0""]","[""passive"",""etc""]","[""3"",""1"",""1"",""1"",""9"",""0""]",[],[],[],[],[],[],[],{},[],"[""skill"",[""key"",""mage-12""],[""name"",""Magic Mastery : Ice""],[""limit"",""mage""],[""action"",""13""],[""image"",""passive009""],[""desc"",""#nIncrease the chance of making the enemy slow.""],[""level"",""30"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""5"",""0""],[""type"",""passive"",""etc""],[""property"",""3"",""1"",""1"",""1"",""9"",""0""]]",bango-file,jobsystem.dat,2151
Magic Mastery  : Fire,1,,#nDecrease the incantion time on fire magic.,,passive010,,,,,,,,,,,,mage-13,1,"[""mage""]","[""14""]","[""30"",""0""]","[""3"",""0""]","[""5"",""0""]","[""passive"",""etc""]","[""3"",""1"",""1"",""1"",""9"",""0""]",[],[],[],[],[],[],[],{},[],"[""skill"",[""key"",""mage-13""],[""name"",""Magic Mastery  : Fire""],[""limit"",""mage""],[""action"",""14""],[""image"",""passive010""],[""desc"",""#nDecrease the incantion time on fire magic.""],[""level"",""30"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""5"",""0""],[""type"",""passive"",""etc""],[""property"",""3"",""1"",""1"",""1"",""9"",""0""]]",bango-file,jobsystem.dat,2164
Meditation,2,,#nRecover one's own energy point slowly.,,active017,,,,,,char_level skill_level 9 * -,0,55000,,,,mage-14,1,"[""mage""]","[""15""]","[""32"",""0""]","[""3"",""0""]","[""3"",""0""]","[""active"",""once""]","[""3"",""1"",""1"",""0"",""9"",""0""]",[],[],"[[""compare"",""1"",[""minus"",""char_level"",[""mul"",""skill_level"",""9""]]],[""compare"",""3"",""0""],[""compare"",""4"",""55000""]]","[""char_level skill_level 9 * -""]",[],"[""0""]","[""55000""]","{""1"":""verified-ability-text-and-gitbook"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-14""],[""name"",""Meditation""],[""limit"",""mage""],[""action"",""15""],[""image"",""active017""],[""desc"",""#nRecover one's own energy point slowly.""],[""level"",""32"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""3"",""0""],[""compare"",""1"",[""minus"",""char_level"",[""mul"",""skill_level"",""9""]]],[""compare"",""3"",""0""],[""compare"",""4"",""55000""],[""type"",""active"",""once""],[""damagetype"",""0""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""property"",""3"",""1"",""1"",""0"",""9"",""0""]]",bango-file,jobsystem.dat,2177
Revival,2,,#nRevive one player who's not able to fight.#nIt can't be used on monsters & Hell.,,active016,,,"#nRevived character will get only %1!d! %% of EXP loss. #nHP recovered : %2!d! %%, MP recovered : %3!d! %%#nEnergy used : 240",,,240,3200,5000,64,,,mage-15,1,"[""mage""]","[""16""]","[""37"",""0""]","[""3"",""0""]","[""1"",""0""]","[""active"",""use""]","[""3"",""1"",""1"",""0"",""9"",""0""]","[[""parameter"",""1"",[""plus"",""40"",[""mul"",""skill_level"",""10""]]],[""parameter"",""2"",[""plus"",""-4"",[""mul"",""skill_level"",""17""]]],[""parameter"",""3"",[""plus"",""7"",[""mul"",""skill_level"",""4""]]]]","[""40 skill_level 10 * +"",""-4 skill_level 17 * +"",""7 skill_level 4 * +""]","[[""compare"",""1"",""240""],[""compare"",""2"",""64""],[""compare"",""3"",""3200""],[""compare"",""4"",""5000""]]","[""240""]","[""64""]","[""3200""]","[""5000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""gitbook-verified-for-class"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}","[[""condition"",""10"",""1""]]","[""skill"",[""key"",""mage-15""],[""name"",""Revival""],[""limit"",""mage""],[""action"",""16""],[""image"",""active016""],[""desc"",""#nRevive one player who's not able to fight.#nIt can't be used on monsters & Hell.""],[""ability"",""#nRevived character will get only %1!d! %% of EXP loss. #nHP recovered : %2!d! %%, MP recovered : %3!d! %%#nEnergy used : 240""],[""parameter"",""1"",[""plus"",""40"",[""mul"",""skill_level"",""10""]]],[""parameter"",""2"",[""plus"",""-4"",[""mul"",""skill_level"",""17""]]],[""parameter"",""3"",[""plus"",""7"",[""mul"",""skill_level"",""4""]]],[""level"",""37"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""1"",""0""],[""condition"",""10"",""1""],[""compare"",""1"",""240""],[""compare"",""2"",""64""],[""compare"",""3"",""3200""],[""compare"",""4"",""5000""],[""type"",""active"",""use""],[""motion"",""4"",""3"",""none""],[""battleride"",""0""],[""effect"","""","""",""""],[""explosion"",""0"",""0"",""0""],[""damagetype"",""2""],[""targetkind"",""1""],[""property"",""3"",""1"",""1"",""0"",""9"",""0""]]",bango-file,jobsystem.dat,2195
Defensive incantation 1,2,,"#nProtect one's body with power of earth.#nAbsortion Rate + 1, Defense + 3",,active015,,,,,,45,2200,0,,,,mage-16,1,"[""mage""]","[""17""]","[""30"",""0""]","[""3"",""1""]","[""1"",""0""]","[""active"",""once""]","[""3"",""1"",""1"",""0"",""3"",""0""]",[],[],"[[""compare"",""1"",""45""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""]]","[""45""]",[],"[""2200""]","[""0""]","{""1"":""verified-ability-text-and-gitbook"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-16""],[""name"",""Defensive incantation 1""],[""limit"",""mage""],[""action"",""17""],[""image"",""active015""],[""desc"",""#nProtect one's body with power of earth.#nAbsortion Rate + 1, Defense + 3""],[""level"",""30"",""0""],[""grade"",""3"",""1""],[""maxlevel"",""1"",""0""],[""compare"",""1"",""45""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""],[""type"",""active"",""once""],[""motion"",""4"",""5"",""none""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""3"",""1"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,2219
Defensive incantation 2,2,,"#nProtect one's body with power of earth.#nAbsortion Rate + 1, Defense + 5",,active019,,,,,,58,2200,0,,,,mage-17,1,"[""mage""]","[""18""]","[""35"",""0""]","[""3"",""1""]","[""1"",""0""]","[""active"",""once""]","[""3"",""1"",""1"",""0"",""3"",""0""]",[],[],"[[""compare"",""1"",""58""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""]]","[""58""]",[],"[""2200""]","[""0""]","{""1"":""verified-ability-text-and-gitbook"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-17""],[""name"",""Defensive incantation 2""],[""limit"",""mage""],[""action"",""18""],[""image"",""active019""],[""desc"",""#nProtect one's body with power of earth.#nAbsortion Rate + 1, Defense + 5""],[""level"",""35"",""0""],[""grade"",""3"",""1""],[""maxlevel"",""1"",""0""],[""compare"",""1"",""58""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""],[""type"",""active"",""once""],[""motion"",""4"",""5"",""none""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""3"",""1"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,2237
Defensive incantation 3,2,,"#nProtect one's body with power of earth.#nAbsortion Rate + 2, Defense + 7",,active020,,,,,,64,2200,0,,,,mage-18,1,"[""mage""]","[""19""]","[""40"",""0""]","[""3"",""1""]","[""1"",""0""]","[""active"",""once""]","[""3"",""1"",""1"",""0"",""3"",""0""]",[],[],"[[""compare"",""1"",""64""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""]]","[""64""]",[],"[""2200""]","[""0""]","{""1"":""verified-ability-text-and-gitbook"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-18""],[""name"",""Defensive incantation 3""],[""limit"",""mage""],[""action"",""19""],[""image"",""active020""],[""desc"",""#nProtect one's body with power of earth.#nAbsortion Rate + 2, Defense + 7""],[""level"",""40"",""0""],[""grade"",""3"",""1""],[""maxlevel"",""1"",""0""],[""compare"",""1"",""64""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""],[""type"",""active"",""once""],[""motion"",""4"",""5"",""none""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""3"",""1"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,2255
Defensive incantation 4,2,,"#nProtect one's body with power of earth.#nAbsortion Rate + 2, Defense + 10",,active021,,,,,,75,2200,0,,,,mage-19,1,"[""mage""]","[""20""]","[""45"",""0""]","[""3"",""1""]","[""1"",""0""]","[""active"",""once""]","[""3"",""1"",""1"",""0"",""3"",""0""]",[],[],"[[""compare"",""1"",""75""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""]]","[""75""]",[],"[""2200""]","[""0""]","{""1"":""verified-ability-text-and-gitbook"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-19""],[""name"",""Defensive incantation 4""],[""limit"",""mage""],[""action"",""20""],[""image"",""active021""],[""desc"",""#nProtect one's body with power of earth.#nAbsortion Rate + 2, Defense + 10""],[""level"",""45"",""0""],[""grade"",""3"",""1""],[""maxlevel"",""1"",""0""],[""compare"",""1"",""75""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""],[""type"",""active"",""once""],[""motion"",""4"",""5"",""none""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""3"",""1"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,2273
Defensive incantation 5,2,,"#nProtect one's body with power of earth.#nAbsortion Rate + 2, Defense + 15",,active022,,,,,,82,2200,0,,,,mage-20,1,"[""mage""]","[""21""]","[""50"",""0""]","[""3"",""1""]","[""1"",""0""]","[""active"",""once""]","[""3"",""1"",""1"",""0"",""3"",""0""]",[],[],"[[""compare"",""1"",""82""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""]]","[""82""]",[],"[""2200""]","[""0""]","{""1"":""verified-ability-text-and-gitbook"",""3"":""gitbook-verified-for-class"",""4"":""gitbook-verified-for-class""}",[],"[""skill"",[""key"",""mage-20""],[""name"",""Defensive incantation 5""],[""limit"",""mage""],[""action"",""21""],[""image"",""active022""],[""desc"",""#nProtect one's body with power of earth.#nAbsortion Rate + 2, Defense + 15""],[""level"",""50"",""0""],[""grade"",""3"",""1""],[""maxlevel"",""1"",""0""],[""compare"",""1"",""82""],[""compare"",""3"",""2200""],[""compare"",""4"",""0""],[""type"",""active"",""once""],[""motion"",""4"",""5"",""none""],[""ridemotion"",""14"",""15"",""none""],[""battleride"",""1""],[""damagetype"",""0""],[""property"",""3"",""1"",""1"",""0"",""3"",""0""]]",bango-file,jobsystem.dat,2291
