normalized_name,status,legacy_keys,bango_ids,legacy_names,bango_names,legacy_levels,bango_levels
collectingclothesstainedwithblood,bango-only-name,,21,,Collecting Clothes Stained with Blood,,27
collectingclothesthatarestainedwithblood,legacy-only-name,Quest:21,,Collecting Clothes that are Stained with Blood,,27,
collectingyangdosbamboopoles,matched-name,Quest:14,14,Collecting Yang-Do's Bamboo Poles,Collecting Yang-Do's Bamboo Poles,18,18
cowardsfavor,legacy-only-name,Quest:47,,Coward's Favor,,48,
crazydemonwarriorhead,legacy-only-name,RQ:11,,Crazy Demon Warrior Head,,25,
daegilsanxiety,bango-only-name,,92,,Dae-Gil's anxiety,,78
deafmansfavor,legacy-only-name,Quest:49,,Deaf-Man's Favor,,50,
deathofthechiefofcrazydemonworkers,matched-name,Quest:63,84,Death of the chief of Crazy Demon Workers,Death of the chief of Crazy Demon Workers,70,80
deciphering,bango-only-name,,81,,Deciphering,,78
degenaratedtwisteddemonhead,legacy-only-name,RQ:60,,Degenarated Twisted Demon Head,,88,
degeneratedtwisteddemonwipe,bango-only-name,,73,,Degenerated Twisted Demon wipe,,77
demonarmoredknighthead,legacy-only-name,RQ:10,,Demon Armored Knight Head,,23,
demonbandhead,legacy-only-name,RQ:08,,Demon Band Head,,20,
demoncommanderhead,legacy-only-name,RQ:12,,Demon Commander Head,,29,
demoncracksoldiershead,legacy-only-name,RQ:38,,Demon Crack Soldiers head,,58,
demonflagbearerhead,legacy-only-name,RQ:07,,Demon Flag Bearer Head,,19,
demonsattack,bango-only-name,,66,,Demon's attack,,75
demonsdrum,matched-name,Quest:19,19,Demon's Drum,Demon's Drum,25,25
demonshocktrooperhead,legacy-only-name,RQ:06,,Demon Shock Trooper Head,,18,
demonsoldiershead,legacy-only-name,RQ:03,,Demon Soldiers Head,,14,
demonthrowingsoldierhead,legacy-only-name,RQ:04,,Demon Throwing Soldier Head,,16,
demonwaterdragonshead,legacy-only-name,RQ:09,,Demon Water Dragons Head,,21,
destroyingfallenelements,legacy-only-name,Event:17,,Destroying fallen elements,,70,
devahssuspiciousactivities,matched-name,Quest:73,94,D'evah's suspicious activities,D'evah's suspicious activities,70,79
devilsoldierbosshead,legacy-only-name,RQ:22,,Devil Soldier Boss Head,,42,
devilsoldierbowhead,legacy-only-name,RQ:15,,Devil Soldier Bow Head,,32,
devilsoldierhead,legacy-only-name,RQ:13,,Devil Soldier Head,,29,
devilsoldierspearhead,legacy-only-name,RQ:17,,Devil Soldier Spear Head,,34,
devilsoldiersubbosshead,legacy-only-name,RQ:21,,Devil Soldier Sub-boss Head,,42,
devilsoldierswordhead,legacy-only-name,RQ:16,,Devil Soldier Sword Head,,33,
devilsoldiertwinbladeshead,legacy-only-name,RQ:14,,Devil Soldier Twin Blades Head,,31,
devilsoldierwithbow,matched-name,Quest:33,34,Devil Soldier with Bow,Devil Soldier with Bow,39,39
deviltroopofabsorbinggreenmask,legacy-only-name,RQ:24,,Devil Troop of Absorbing Green Mask,,44,
deviltroopofangermask,legacy-only-name,RQ:23,,Devil Troop of Anger Mask,,43,
deviltroopofhatredmask,legacy-only-name,RQ:19,,Devil Troop of Hatred Mask,,41,
deviltroopofjealousymask,legacy-only-name,RQ:18,,Devil Troop of Jealousy Mask,,40,
deviltroopofmadnessmask,legacy-only-name,RQ:20,,Devil Troop of Madness Mask,,42,
dilemmaofjaegatroopsscouts,matched-name,Quest:32,33,Dilemma of Jae-Ga Troop's Scouts,Dilemma of Jae-Ga Troop's Scouts,38,38
doggebiofmonsterfacefire,legacy-only-name,RQ:27,,Doggebi of Monster Face Fire,,47,
doggebiwithagongfire,legacy-only-name,RQ:28,,Doggebi with a Gong Fire,,48,
doggebiwithamaskofblackfire,legacy-only-name,RQ:30,,Doggebi with a Mask of Black Fire,,50,
doggebiwithamaskofblackpantherfire,legacy-only-name,RQ:31,,Doggebi with a Mask of Black Panther Fire,,51,
drunkendoggebifire,legacy-only-name,RQ:29,,Drunken Doggebi Fire,,49,
dutifulsonandhisfather,matched-name,Quest:35,36,Dutiful Son and His Father,Dutiful Son and His Father,41,41
eliminatingdeviltroopofgreed,bango-only-name,,40,,Eliminating Devil Troop of Greed,,42
eliminatingdeviltroopofhatred,bango-only-name,,42,,Eliminating Devil Troop of Hatred,,44
eliminatingdeviltroopofjealousy,bango-only-name,,41,,Eliminating Devil Troop of Jealousy,,43
eliminatingdeviltroopofmadness,bango-only-name,,43,,Eliminating Devil Troop of Madness,,45
eliminatingdeviltroopofpain,bango-only-name,,39,,Eliminating Devil Troop of Pain,,41
eliminatingthedemonscout,bango-only-name,,55,,Eliminating The Demon Scout,,1
eliminatingthedemonspear,bango-only-name,,56,,Eliminating The Demon Spear,,1
eliminatingthedemonvulgar,bango-only-name,,54,,Eliminating The Demon Vulgar,,1
emokislandblacksmithsrings,legacy-only-name,RQ:41,,E-Mok Island Blacksmiths rings,,60,
emokislandsealedghostsring,legacy-only-name,RQ:45,,E-Mok Island Sealed Ghosts Ring,,62,
enteringthegovernmentservicea,legacy-only-name,Event:06,,Entering the Government Service /a,,30,
enteringthegovernmentserviceb,legacy-only-name,Event:07,,Entering the Government Service /b,,30,
enteringthegovernmentservicec,legacy-only-name,Event:08,,Entering the Government Service /c,,30,
enteringthegovernmentserviced,legacy-only-name,Event:09,,Entering the Government Service /d,,30,
enteringthegovernmentservicee,legacy-only-name,Event:10,,Entering the Government Service /e,,30,
escapeofhakgoo,bango-only-name,,46,,Escape of Hak-Goo,,44
eventafterimageofredfeather,bango-only-name,,9005,,[Event] Afterimage of Red Feather,,30
eventangrydoggebitroop,bango-only-name,,9008,,[Event] Angry Doggebi Troop,,44
eventappointmentofgeneralinpill,bango-only-name,,9002,,[Event] Appointment of General In-Pill,,1
eventbeginningoflongjourney,bango-only-name,,9001,,[Event] Beginning of Long Journey,,1
evententeringthegovernmentservice,bango-only-name,,9004,,[Event] Entering the Government Service!,,30
evententryintovalleyofdevah,bango-only-name,,10006,,[Event] Entry into valley of Devah,,70
eventevilmindofbango,bango-only-name,,9006,,[Event] Evil Mind of Ban-go,,30
eventfavorofthegovernorofgeumoheecastle,bango-only-name,,9003,,[Event] Favor of the Governor of Geum-Ohee Castle,,1
eventgatewaytosuccess,bango-only-name,,9010,,[Event] Gateway to success,,70
eventgotothetowerofthepriest,bango-only-name,,9011,,[Event] Go to the tower of the Priest,,70
eventgreenofdoggebiforest,bango-only-name,,9007,,[Event] Green of Doggebi Forest,,40
eventmovingtrinket,bango-only-name,,10005,,[Event] Moving Trinket,,70
eventnewgovernmentposition,bango-only-name,,9009,,[Event] New Government Position!,,50
eventqualificationtestessenceofelemental,bango-only-name,,10001,,[Event] Qualification Test: Essence of Elemental,,70
eventqualityofmugeukwarriori,bango-only-name,,10007,,[Event] Quality of Mu-Geuk warrior I,,75
eventqualityofmugeukwarriorii,bango-only-name,,10009,,[Event] Quality of Mu-Geuk warrior II,,75
eventqualityofthemugeukwarriorfinaltest,bango-only-name,,20020,,[Event] Quality of the Mu-Geuk Warrior: Final Test,,78
eventqualityofthemugeukwarriorfirsttest,bango-only-name,,20017,,[Event] Quality of the Mu-Geuk Warrior: First Test,,76
eventqualityofthemugeukwarriorsecondtest,bango-only-name,,20018,,[Event] Quality of the Mu-Geuk Warrior: Second Test,,77
eventqualityofthemugeukwarriorthirdtest,bango-only-name,,20019,,[Event] Quality of the Mu-Geuk Warrior: Third Test,,78
eventthekeytotheunknownworld,bango-only-name,,10003,,[Event] The Key to the Unknown World,,70
eventthepassagemoneydevahssoul,bango-only-name,,10002,,[Event] The Passage Money: Devah's Soul,,70
farmerhajiksfavor,matched-name,Quest:06,6,"Farmer, Ha-Jik's Favor","Farmer, Ha-Jik's Favor",10,10
farmernoowoongsfavor,legacy-only-name,Quest:05,,"Farmer, Noo-Woong's Favor",,8,
farmernuwoongsfavor,bango-only-name,,5,,"Farmer, Nu-Woong's Favor",,8
favorofgijungthechiefofthevolunteerarmyofjustice,bango-only-name,,38,,"Favor of Gi-Jung, the Chief of the Volunteer Army of Justice",,42
favorofsailorgwangchun,legacy-only-name,Quest:01,,Favor of Sailor Gwang-Chun,,1,
favorofthegovernorofgeumoheecastle,legacy-only-name,Event:05,,Favor of the Governor of Geum-Ohee Castle,,1,
findingalcoholforjoonong,matched-name,Quest:10,10,Finding Alcohol for Joo-Nong,Finding Alcohol for Joo-Nong,14,14
findingthestatueofprotection,matched-name,Quest:15,15,Finding the Statue of Protection,Finding the Statue of Protection,19,19
findingtonic,matched-name,Quest:09,9,Finding Tonic,Finding Tonic,13,13
findingyaejinsfather,bango-only-name,,13,,Finding Yae-Jin's Father,,17
findingyeajinsfather,legacy-only-name,Quest:13,,Finding Yea-jin's Father,,17,
fishtrapinstallation,bango-only-name,,57,,Fish Trap Installation,,5
gatewayforsuccess,legacy-only-name,Event:21,,Gateway for success,,70,
generalpoongseupsmissing,matched-name,Quest:04,4,"General, Poong-seup's Missing","General, Poong-seup's Missing",6,6
gettingredflags,matched-name,Quest:17,17,Getting Red Flags,Getting Red Flags,21,21
ghostofblacksmith,matched-name,Quest:28,30,Ghost of Blacksmith,Ghost of Blacksmith,34,34
ghostoffriends,matched-name,Quest:29,31,Ghost of Friends,Ghost of Friends,35,35
giantdoggebifire,legacy-only-name,RQ:32,,Giant Doggebi Fire,,52,
goblinsattack,bango-only-name,,76,,Goblin's attack,,78
goblinshead,legacy-only-name,RQ:61,,Goblin's Head,,89,
graspthesituationofdemons,matched-name,Quest:03,3,Grasp the Situation of Demons,Grasp the Situation of Demons,1,1
greencrystalofdoggebiforest,legacy-only-name,Event:11,,Green Crystal of Doggebi Forest,,40,
guardofdevah,bango-only-name,,79,,Guard of D'evah,,77
guardofdevahscommander,matched-name,Quest:74,95,Guard of D'evah's Commander,Guard of D'evah's Commander,70,80
guardofdevahshead,legacy-only-name,RQ:62,,Guard of D'evah's Head,,90,
guardofthetraitorshangoutstalisman,legacy-only-name,RQ:46,,Guard of the Traitors Hangouts Talisman,,63,
helpingyangdo,matched-name,Quest:27,24,Helping Yang-Do,Helping Yang-Do,33,33
highclassdoggebiwithagongfire,legacy-only-name,RQ:33,,High Class Doggebi with a Gong Fire,,53,
highclassdoggebiwithamaskofblackcrowfire,legacy-only-name,RQ:37,,High Class Doggebi with a Mask of Black Crow Fire,,57,
highclassdrunkendoggebifire,legacy-only-name,RQ:35,,High Class Drunken Doggebi Fire,,55,
hunchbacksfavor,legacy-only-name,Quest:48,,Hunchback's Favor,,49,
huntingcompetitionopen,bango-only-name,,68,,Hunting competition open,,76
huntingghost,matched-name,Quest:25,28,Hunting Ghost,Hunting Ghost,31,31
huntingthedemonmadknight,matched-name,Quest:23,23,Hunting the Demon Mad Knight,Hunting the Demon Mad Knight,29,29
jagansgoodconduct,matched-name,Quest:16,16,Ja-Gan's Good Conduct,Ja-Gan's Good Conduct,20,20
joonggwonsdisease,matched-name,Quest:30,25,Joong-Gwon's Disease,Joong-Gwon's Disease,36,36
killthechiefofangrydoggebitroop,legacy-only-name,Event:13,,Kill the Chief of Angry Doggebi Troop,,46,
knightofthetraitorshangoutstalisman,legacy-only-name,RQ:50,,Knight of the Traitors Hangouts Talisman,,65,
knollshead,legacy-only-name,RQ:59,,Knoll's Head,,87,
legendoftheohdocanyonbridge,bango-only-name,,53,,Legend of the Oh-Do Canyon Bridge,,52
letterrecovery,bango-only-name,,69,,Letter recovery,,77
limgangsfavor,matched-name,Quest:34,35,Lim-Gang's Favor,Lim-Gang's Favor,40,40
limpersfavor,legacy-only-name,Quest:45,,Limpers' Favor,,46,
lostexplorersrequest,bango-only-name,,80,,Lost Explorer's request,,75
makingacompletesuitofarmor,matched-name,Quest:66,87,Making a complete suit of armor,Making a complete suit of armor,70,79
managersfavor,legacy-only-name,Quest:51,,Manager's Favor,,52,
maskofpain,legacy-only-name,Quest:36,,Mask of Pain,,41,
masksofgreed,legacy-only-name,Quest:38,,Masks of Greed,,42,
masksofhatred,legacy-only-name,Quest:42,,Masks of Hatred,,44,
masksofjealousy,legacy-only-name,Quest:40,,Masks of Jealousy,,43,
masksofmadness,legacy-only-name,Quest:44,,Masks of Madness,,45,
materialsofwinterclothes,matched-name,Quest:22,22,Materials of Winter Clothes,Materials of Winter Clothes,28,28
medicinescollectioni,bango-only-name,,67,,Medicines collection I,,76
medicinescollectionii,bango-only-name,,75,,Medicines collection II,,77
messagecollection,matched-name,Quest:02,2,Message Collection,Message Collection,1,1
missionforgettingancientanimaldoggebichangsfavor,bango-only-name,,37,,"[Mission for Getting Ancient Animal] Doggebi, Chang's Favor",,15
monsterofdemoncracktroopshead,legacy-only-name,RQ:44,,Monster of Demon Crack Troops Head,,62,
moonheewhobecameaghost,matched-name,Quest:24,27,Moon-Hee Who Became a Ghost,Moon-Hee Who Became a Ghost,30,30
onearmedmansfavor,matched-name,Quest:50,52,One-Armed Man's Favor,One-Armed Man's Favor,51,51
participatinginacompetition,bango-only-name,,86,,Participating in a competition,,78
preciousrecovery,bango-only-name,,77,,Precious recovery,,76
purifyingfallenelements,legacy-only-name,Event:18,,Purifying fallen elements,,70,
qualityofmugeukwarior,legacy-only-name,Quest:60,,Quality of Mu-Geuk warior,,70,
restoringsoldiershealth,matched-name,Quest:67,88,Restoring soldiers health,Restoring soldiers' health,70,79
roadtoforrestofelements,legacy-only-name,Event:16,,Road to Forrest of Elements,,70,
rope,legacy-only-name,Quest:41,,Rope,,44,
rottenskeletonofwarrioroftheroyaltombbody,legacy-only-name,RQ:26,,Rotten Skeleton of Warrior of the Royal Tomb Body,,46,
sailorgwangchunsfavor,bango-only-name,,1,,"Sailor, Gwang-Chun's Favor",,1
scorpionwipe,bango-only-name,,74,,Scorpion wipe,,76
seounggillwhoiswanderingtheworld,bango-only-name,,45,,Seoung-Gill Who is Wandering the World,,43
skeletonarcherssuppression,matched-name,Quest:70,71,Skeleton Archer's suppression,Skeleton archers suppression,70,75
smallbrownemoogisteeth,legacy-only-name,RQ:47,,Small Brown E-Moogis Teeth,,63,
smallgreenemoogisteeth,legacy-only-name,RQ:43,,Small Green E-Moogis teeth,,61,
sourceofdemonspower,matched-name,Quest:62,83,Source of Demons power,Source of Demons' power,70,79
sweepingthedemoncarcassscavenger,matched-name,Quest:08,8,Sweeping the Demon Carcass Scavenger,Sweeping the Demon carcass scavenger,12,12
theblindmansfavor,bango-only-name,,48,,The Blind Man's Favor,,47
thecaveofthegiantbirddemonshead,legacy-only-name,RQ:25,,The Cave of The Giant Bird Demons Head,,45,
thecoward,bango-only-name,,49,,The Coward,,48
thedeadpeoplearoundthetomb1,matched-name,Quest:52,58,The Dead People Around The Tomb(1),The Dead People Around The Tomb(1),53,53
thedeadpeoplearoundthetomb2,matched-name,Quest:53,59,The Dead People Around The Tomb(2),The Dead People Around The Tomb(2),54,54
thedeadpeoplearoundthetomb3,matched-name,Quest:54,60,The Dead People Around The Tomb(3),The Dead People Around The Tomb(3),55,55
thedeadpeoplearoundthetomb4,matched-name,Quest:55,61,The Dead People Around The Tomb(4),The Dead People Around The Tomb(4),56,56
thedeadpeoplearoundthetomb5,matched-name,Quest:56,62,The Dead People Around The Tomb(5),The Dead People Around The Tomb(5),57,57
thedeadpeoplearoundthetomb6,matched-name,Quest:57,63,The Dead People Around The Tomb(6),The Dead People Around The Tomb(6),58,58
thedeadpeoplearoundthetomb7,matched-name,Quest:58,64,The Dead People Around The Tomb(7),The Dead People Around The Tomb(7),59,59
thedeadpeoplearoundthetomb8,matched-name,Quest:59,65,The Dead People Around The Tomb(8),The Dead People Around The Tomb(8),60,60
thedeafmansfavor,bango-only-name,,51,,The Deaf Man's Favor,,50
theendofdemontribe,matched-name,Quest:72,93,The end of Demon tribe,The end of Demon tribe,70,78
thehunchbacksfavor,bango-only-name,,50,,The Hunchback's Favor,,49
theknollstemporaryfort,matched-name,Quest:68,89,The Knoll's temporary fort,The Knoll's temporary fort,70,80
thelimpersfavor,bango-only-name,,47,,The Limper's Favor,,46
theroyaltombkeepersfirstcertificate,legacy-only-name,RQ:34,,The Royal Tomb Keepers first certificate,,54,
theroyaltombkeeperssecondcertificate,legacy-only-name,RQ:36,,The Royal Tomb Keepers second certificate,,56,
trainedtraitorwarriorstalisman,legacy-only-name,RQ:42,,Trained Traitor Warriors Talisman,,61,
traitorwarriorstalisman,legacy-only-name,RQ:39,,Traitor Warriors Talisman,,59,
twistedbrownemoogisteeth,legacy-only-name,RQ:51,,Twisted Brown E-Moogis Teeth,,65,
twisteddemondefenderhead,legacy-only-name,RQ:57,,Twisted Demon Defender Head,,70,
twisteddemonguardershead,legacy-only-name,RQ:53,,Twisted Demon Guarders Head,,66,
twisteddemonpatrolhead,legacy-only-name,RQ:54,,Twisted Demon Patrol Head,,67,
twisteddemonsoldierhead,legacy-only-name,RQ:56,,Twisted Demon Soldier Head,,69,
twisteddemonwarriorhead,legacy-only-name,RQ:55,,Twisted Demon Warrior Head,,68,
twistedgreenemoogisteeth,legacy-only-name,RQ:49,,Twisted Green E-Moogis Teeth,,64,
undeliveredricecake,matched-name,Quest:11,11,Undelivered Rice Cake,Undelivered Rice Cake,15,15
undetectedghost,matched-name,Quest:31,32,Undetected Ghost,Undetected Ghost,37,37
waryustalisman,matched-name,Quest:12,12,Wa-Ryu's Talisman,Wa-Ryu's Talisman,16,16
whitebeastofdemoncracktroopshead,legacy-only-name,RQ:48,,White Beast of Demon Crack Troops head,,64,
wildboar,legacy-only-name,RQ:58,,Wild Boar,,86,
wildboarshorn,matched-name,Quest:71,91,Wild Boar's horn,Wild Boar's horn,70,77
wilddemonsoldierhead,legacy-only-name,RQ:05,,Wild Demon Soldier Head,,17,
wipingouttheremnantsofskeletons,matched-name,Quest:64,85,Wiping out the remnants of skeletons,Wiping out the remnants of skeletons,70,80
wonjungandyaejinslove,bango-only-name,,7,,Won-Jung and Yae-Jin's Love,,11
wonjungandyeajinslove,legacy-only-name,Quest:07,,Won-jung and Yea-jin's Love,,11,
yongchunkilledbyassasin,legacy-only-name,Quest:39,,Yong-Chun killed by Assasin,,43,
yunhwasrequest,matched-name,Quest:65,70,Yun Hwa's request,Yun-Hwa's request,70,75
