ita_azon,ita_itype,ita_grade,ita_class,ita_type,ita_name,ita_lvllim,ita_rev,ita_price,ita_pic,ita_pic2,ita_3d,bango_name_id,bango_description,bango_image,bango_action_json,bango_class_json,bango_code_json,bango_country_json,bango_limit_json,bango_sell,bango_endurance,bango_specialty_json,bango_record_json,provenance,source_file,source_line
11,,G16,Knight,,GyungBunGap Armor,1,,2126,,,,266,,Def006,"[""2"",""1""]","[""defense"",""upperarmor""]","[""2"",""3"",""3"",""0""]","[""2""]","[""Knight"",""1""]",531,8,"[""specialty"",[""defense"",""15""],[""dodge"",""3""],[""absorb"",""2""]]","[""item"",[""name"",""266""],[""Index"",""11""],[""Image"",""Def006""],[""Action"",""2"",""1""],[""class"",""defense"",""upperarmor""],[""code"",""2"",""3"",""3"",""0""],[""country"",""2""],[""level"",""16""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""2126""],[""sell"",""531""],[""endurance"",""8""],[""specialty"",[""defense"",""15""],[""dodge"",""3""],[""absorb"",""2""]]]",bango-file,inititem.dat,35
12,,G16,Knight,,GyungBunGap Helmet,1,,956,,,,267,,Def007,"[""2"",""1""]","[""defense"",""helmet""]","[""2"",""3"",""4"",""0""]","[""2""]","[""Knight"",""1""]",239,5,"[""specialty"",[""defense"",""10""],[""dodge"",""3""],[""absorb"",""1""]]","[""item"",[""name"",""267""],[""Index"",""12""],[""Image"",""Def007""],[""Action"",""2"",""1""],[""class"",""defense"",""helmet""],[""code"",""2"",""3"",""4"",""0""],[""country"",""2""],[""level"",""16""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""956""],[""sell"",""239""],[""endurance"",""5""],[""specialty"",[""defense"",""10""],[""dodge"",""3""],[""absorb"",""1""]]]",bango-file,inititem.dat,38
13,,G16,Knight,,GyungBunGap Gloves,1,,531,,,,268,,Def008,"[""2"",""1""]","[""defense"",""gauntlet""]","[""2"",""3"",""5"",""0""]","[""2""]","[""Knight"",""1""]",132,4,"[""specialty"",[""defense"",""11""],[""dodge"",""2""]]","[""item"",[""name"",""268""],[""Index"",""13""],[""Image"",""Def008""],[""Action"",""2"",""1""],[""class"",""defense"",""gauntlet""],[""code"",""2"",""3"",""5"",""0""],[""country"",""2""],[""level"",""16""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""531""],[""sell"",""132""],[""endurance"",""4""],[""specialty"",[""defense"",""11""],[""dodge"",""2""]]]",bango-file,inititem.dat,41
14,,G16,Knight,,GyungBunGap Boots,1,,1169,,,,269,,Def009,"[""2"",""1""]","[""defense"",""boots""]","[""2"",""3"",""6"",""0""]","[""2""]","[""Knight"",""1""]",292,5,"[""specialty"",[""defense"",""8""],[""dodge"",""8""],[""absorb"",""1""]]","[""item"",[""name"",""269""],[""Index"",""14""],[""Image"",""Def009""],[""Action"",""2"",""1""],[""class"",""defense"",""boots""],[""code"",""2"",""3"",""6"",""0""],[""country"",""2""],[""level"",""16""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""1169""],[""sell"",""292""],[""endurance"",""5""],[""specialty"",[""defense"",""8""],[""dodge"",""8""],[""absorb"",""1""]]]",bango-file,inititem.dat,44
15,,G16,Knight,,GyungBunGap Shorts,1,,637,,,,270,,Def010,"[""2"",""1""]","[""defense"",""lowerarmor""]","[""2"",""3"",""7"",""0""]","[""2""]","[""Knight"",""1""]",159,7,"[""specialty"",[""defense"",""7""],[""dodge"",""9""]]","[""item"",[""name"",""270""],[""Index"",""15""],[""Image"",""Def010""],[""Action"",""2"",""1""],[""class"",""defense"",""lowerarmor""],[""code"",""2"",""3"",""7"",""0""],[""country"",""2""],[""level"",""16""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""637""],[""sell"",""159""],[""endurance"",""7""],[""specialty"",[""defense"",""7""],[""dodge"",""9""]]]",bango-file,inititem.dat,47
16,,G24,Knight,,PanGap Armor,1,,6892,,,,271,,Def011,"[""3"",""1""]","[""defense"",""upperarmor""]","[""2"",""3"",""3"",""0""]","[""2""]","[""Knight"",""1""]",2067,12,"[""specialty"",[""defense"",""22""],[""dodge"",""4""],[""absorb"",""2""]]","[""item"",[""name"",""271""],[""Index"",""16""],[""Image"",""Def011""],[""Action"",""3"",""1""],[""class"",""defense"",""upperarmor""],[""code"",""2"",""3"",""3"",""0""],[""country"",""2""],[""level"",""24""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""6892""],[""sell"",""2067""],[""endurance"",""12""],[""specialty"",[""defense"",""22""],[""dodge"",""4""],[""absorb"",""2""]]]",bango-file,inititem.dat,50
17,,G24,Knight,,PanGap Helmet,1,,3101,,,,272,,Def012,"[""3"",""1""]","[""defense"",""helmet""]","[""2"",""3"",""4"",""0""]","[""2""]","[""Knight"",""1""]",930,8,"[""specialty"",[""defense"",""14""],[""dodge"",""4""],[""absorb"",""1""]]","[""item"",[""name"",""272""],[""Index"",""17""],[""Image"",""Def012""],[""Action"",""3"",""1""],[""class"",""defense"",""helmet""],[""code"",""2"",""3"",""4"",""0""],[""country"",""2""],[""level"",""24""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""3101""],[""sell"",""930""],[""endurance"",""8""],[""specialty"",[""defense"",""14""],[""dodge"",""4""],[""absorb"",""1""]]]",bango-file,inititem.dat,53
18,,G24,Knight,,PanGap Gloves,1,,1723,,,,273,,Def013,"[""3"",""1""]","[""defense"",""gauntlet""]","[""2"",""3"",""5"",""0""]","[""2""]","[""Knight"",""1""]",516,6,"[""specialty"",[""defense"",""15""],[""dodge"",""3""]]","[""item"",[""name"",""273""],[""Index"",""18""],[""Image"",""Def013""],[""Action"",""3"",""1""],[""class"",""defense"",""gauntlet""],[""code"",""2"",""3"",""5"",""0""],[""country"",""2""],[""level"",""24""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""1723""],[""sell"",""516""],[""endurance"",""6""],[""specialty"",[""defense"",""15""],[""dodge"",""3""]]]",bango-file,inititem.dat,56
19,,G24,Knight,,PanGap Boots,1,,3790,,,,274,,Def014,"[""3"",""1""]","[""defense"",""boots""]","[""2"",""3"",""6"",""0""]","[""2""]","[""Knight"",""1""]",1137,8,"[""specialty"",[""defense"",""12""],[""dodge"",""11""],[""absorb"",""2""]]","[""item"",[""name"",""274""],[""Index"",""19""],[""Image"",""Def014""],[""Action"",""3"",""1""],[""class"",""defense"",""boots""],[""code"",""2"",""3"",""6"",""0""],[""country"",""2""],[""level"",""24""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""3790""],[""sell"",""1137""],[""endurance"",""8""],[""specialty"",[""defense"",""12""],[""dodge"",""11""],[""absorb"",""2""]]]",bango-file,inititem.dat,59
20,,G24,Knight,,PanGap Shorts,1,,2067,,,,275,,Def015,"[""3"",""1""]","[""defense"",""lowerarmor""]","[""2"",""3"",""7"",""0""]","[""2""]","[""Knight"",""1""]",620,10,"[""specialty"",[""defense"",""12""],[""dodge"",""11""]]","[""item"",[""name"",""275""],[""Index"",""20""],[""Image"",""Def015""],[""Action"",""3"",""1""],[""class"",""defense"",""lowerarmor""],[""code"",""2"",""3"",""7"",""0""],[""country"",""2""],[""level"",""24""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""2067""],[""sell"",""620""],[""endurance"",""10""],[""specialty"",[""defense"",""12""],[""dodge"",""11""]]]",bango-file,inititem.dat,62
21,,G25,Knight,,Big Steel Sword,1,,14680,,,,276,,Wea006,"[""4"",""1""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""1""]",3670,12,"[""specialty"",[""aspeed"",""700""],[""Attack"",""55"",""80""],[""hit"",""38""]]","[""item"",[""name"",""276""],[""Index"",""21""],[""Image"",""Wea006""],[""Action"",""4"",""1""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""25""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""range"",""24""],[""buy"",""14680""],[""sell"",""3670""],[""endurance"",""12""],[""specialty"",[""aspeed"",""700""],[""Attack"",""55"",""80""],[""hit"",""38""]]]",bango-file,inititem.dat,65
22,,G01,Archer,,Birch Bow,1,,4,,,,277,,Wea011,"[""1"",""1""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""1""]",1,4,"[""specialty"",[""aspeed"",""800""],[""Attack"",""2"",""7""],[""hit"",""12""]]","[""item"",[""name"",""277""],[""Index"",""22""],[""Image"",""Wea011""],[""Action"",""1"",""1""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""1""],[""wear"",""1""],[""limit"",""archer"",""1""],[""range"",""160""],[""buy"",""4""],[""sell"",""1""],[""endurance"",""4""],[""specialty"",[""aspeed"",""800""],[""Attack"",""2"",""7""],[""hit"",""12""]]]",bango-file,inititem.dat,70
23,,G05,Archer,,Oak Bow,1,,180,,,,278,,Wea012,"[""2"",""1""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""1""]",45,6,"[""specialty"",[""aspeed"",""800""],[""Attack"",""14"",""22""],[""hit"",""17""]]","[""item"",[""name"",""278""],[""Index"",""23""],[""Image"",""Wea012""],[""Action"",""2"",""1""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""5""],[""wear"",""1""],[""limit"",""archer"",""1""],[""range"",""160""],[""buy"",""180""],[""sell"",""45""],[""endurance"",""6""],[""specialty"",[""aspeed"",""800""],[""Attack"",""14"",""22""],[""hit"",""17""]]]",bango-file,inititem.dat,73
24,,G09,Archer,,Big Oak Bow,1,,1650,,,,279,,Wea013,"[""2"",""2""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""1""]",412,12,"[""specialty"",[""aspeed"",""800""],[""Attack"",""20"",""31""],[""hit"",""19""]]","[""item"",[""name"",""279""],[""Index"",""24""],[""Image"",""Wea013""],[""Action"",""2"",""2""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""9""],[""wear"",""1""],[""limit"",""archer"",""1""],[""range"",""160""],[""buy"",""1650""],[""sell"",""412""],[""endurance"",""12""],[""specialty"",[""aspeed"",""800""],[""Attack"",""20"",""31""],[""hit"",""19""]]]",bango-file,inititem.dat,76
25,,G13,Archer,,YeonGak Bow,1,,3120,,,,280,,Wea014,"[""3"",""1""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""1""]",780,7,"[""specialty"",[""aspeed"",""800""],[""Attack"",""26"",""40""],[""hit"",""24""]]","[""item"",[""name"",""280""],[""Index"",""25""],[""Image"",""Wea014""],[""Action"",""3"",""1""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""13""],[""wear"",""1""],[""limit"",""archer"",""1""],[""range"",""168""],[""buy"",""3120""],[""sell"",""780""],[""endurance"",""7""],[""specialty"",[""aspeed"",""800""],[""Attack"",""26"",""40""],[""hit"",""24""]]]",bango-file,inititem.dat,79
26,,G17,Archer,,YeonHwang Bow,1,,6973,,,,281,,Wea015,"[""3"",""2""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""1""]",1743,18,"[""specialty"",[""aspeed"",""800""],[""Attack"",""35"",""51""],[""hit"",""28""]]","[""item"",[""name"",""281""],[""Index"",""26""],[""Image"",""Wea015""],[""Action"",""3"",""2""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""17""],[""wear"",""1""],[""limit"",""archer"",""1""],[""range"",""168""],[""buy"",""6973""],[""sell"",""1743""],[""endurance"",""18""],[""specialty"",[""aspeed"",""800""],[""Attack"",""35"",""51""],[""hit"",""28""]]]",bango-file,inititem.dat,82
27,,G25,Archer,,GangGak Bow,1,,14680,,,,282,,Wea016,"[""4"",""1""]","[""weapon"",""bow""]","[""1"",""2"",""2"",""2""]","[""2""]","[""archer"",""1""]",3670,12,"[""specialty"",[""aspeed"",""800""],[""Attack"",""43"",""56""],[""hit"",""36""]]","[""item"",[""name"",""282""],[""Index"",""27""],[""Image"",""Wea016""],[""Action"",""4"",""1""],[""class"",""weapon"",""bow""],[""code"",""1"",""2"",""2"",""2""],[""country"",""2""],[""level"",""25""],[""wear"",""1""],[""limit"",""archer"",""1""],[""range"",""176""],[""buy"",""14680""],[""sell"",""3670""],[""endurance"",""12""],[""specialty"",[""aspeed"",""800""],[""Attack"",""43"",""56""],[""hit"",""36""]]]",bango-file,inititem.dat,85
28,,G10,Knight,,Small Iron Shield,1,,80,,,,283,,Def106,"[""1"",""1""]","[""defense"",""shield""]","[""2"",""3"",""8"",""0""]","[""2""]","[""Knight"",""1""]",20,6,"[""specialty"",[""dodge"",""2""]]","[""item"",[""name"",""283""],[""Index"",""28""],[""Image"",""Def106""],[""Action"",""1"",""1""],[""class"",""defense"",""shield""],[""code"",""2"",""3"",""8"",""0""],[""country"",""2""],[""level"",""10""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""80""],[""sell"",""20""],[""endurance"",""6""],[""specialty"",[""dodge"",""2""]]]",bango-file,inititem.dat,90
29,,G25,Knight,,Medium Iron Shield,1,,520,,,,284,,Def107,"[""2"",""1""]","[""defense"",""shield""]","[""2"",""3"",""8"",""0""]","[""2""]","[""Knight"",""1""]",130,10,"[""specialty"",[""dodge"",""4""]]","[""item"",[""name"",""284""],[""Index"",""29""],[""Image"",""Def107""],[""Action"",""2"",""1""],[""class"",""defense"",""shield""],[""code"",""2"",""3"",""8"",""0""],[""country"",""2""],[""level"",""25""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""520""],[""sell"",""130""],[""endurance"",""10""],[""specialty"",[""dodge"",""4""]]]",bango-file,inititem.dat,93
30,,G40,Knight,,Medium Steel Shield,1,,3200,,,,285,,Def108,"[""3"",""1""]","[""defense"",""shield""]","[""2"",""3"",""8"",""0""]","[""2""]","[""Knight"",""1""]",800,15,"[""specialty"",[""dodge"",""6""]]","[""item"",[""name"",""285""],[""Index"",""30""],[""Image"",""Def108""],[""Action"",""3"",""1""],[""class"",""defense"",""shield""],[""code"",""2"",""3"",""8"",""0""],[""country"",""2""],[""level"",""40""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""3200""],[""sell"",""800""],[""endurance"",""15""],[""specialty"",[""dodge"",""6""]]]",bango-file,inititem.dat,96
31,,,,,Zamogeon,,,0,,,,286,,item001,[],"[""money"",""coin""]","[""4"",""11"",""0"",""0""]","[""2""]",[],,,[],"[""item"",[""name"",""286""],[""Index"",""31""],[""Image"",""item001""],[""class"",""money"",""coin""],[""code"",""4"",""11"",""0"",""0""],[""country"",""2""],[""plural"",""1""],[""buy"",""0""]]",bango-file,inititem.dat,101
32,,G08,Archer,,Leather Armor,1,,200,,,,287,,Def036,"[""1"",""1""]","[""defense"",""upperarmor""]","[""2"",""3"",""3"",""0""]","[""2""]","[""archer"",""1""]",50,5,"[""specialty"",[""defense"",""9""],[""dodge"",""0""]]","[""item"",[""name"",""287""],[""Index"",""32""],[""Image"",""Def036""],[""Action"",""1"",""1""],[""class"",""defense"",""upperarmor""],[""code"",""2"",""3"",""3"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""archer"",""1""],[""buy"",""200""],[""sell"",""50""],[""endurance"",""5""],[""specialty"",[""defense"",""9""],[""dodge"",""0""]]]",bango-file,inititem.dat,106
33,,G08,Archer,,Leather Armor Hood,1,,90,,,,288,,Def037,"[""1"",""1""]","[""defense"",""helmet""]","[""2"",""3"",""4"",""0""]","[""2""]","[""archer"",""1""]",22,3,"[""specialty"",[""defense"",""4""],[""dodge"",""2""]]","[""item"",[""name"",""288""],[""Index"",""33""],[""Image"",""Def037""],[""Action"",""1"",""1""],[""class"",""defense"",""helmet""],[""code"",""2"",""3"",""4"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""archer"",""1""],[""buy"",""90""],[""sell"",""22""],[""endurance"",""3""],[""specialty"",[""defense"",""4""],[""dodge"",""2""]]]",bango-file,inititem.dat,109
34,,G08,Archer,,Leather Armor Gloves,1,,50,,,,289,,Def038,"[""1"",""1""]","[""defense"",""gauntlet""]","[""2"",""3"",""5"",""0""]","[""2""]","[""archer"",""1""]",12,2,"[""specialty"",[""defense"",""4""],[""dodge"",""1""]]","[""item"",[""name"",""289""],[""Index"",""34""],[""Image"",""Def038""],[""Action"",""1"",""1""],[""class"",""defense"",""gauntlet""],[""code"",""2"",""3"",""5"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""archer"",""1""],[""buy"",""50""],[""sell"",""12""],[""endurance"",""2""],[""specialty"",[""defense"",""4""],[""dodge"",""1""]]]",bango-file,inititem.dat,112
35,,G08,Archer,,Leather Armor Boots,1,,110,,,,290,,Def039,"[""1"",""1""]","[""defense"",""boots""]","[""2"",""3"",""6"",""0""]","[""2""]","[""archer"",""1""]",27,3,"[""specialty"",[""defense"",""4""],[""dodge"",""5""]]","[""item"",[""name"",""290""],[""Index"",""35""],[""Image"",""Def039""],[""Action"",""1"",""1""],[""class"",""defense"",""boots""],[""code"",""2"",""3"",""6"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""archer"",""1""],[""buy"",""110""],[""sell"",""27""],[""endurance"",""3""],[""specialty"",[""defense"",""4""],[""dodge"",""5""]]]",bango-file,inititem.dat,115
36,,G08,Archer,,Leather Armor Shorts,1,,60,,,,291,,Def040,"[""1"",""1""]","[""defense"",""lowerarmor""]","[""2"",""3"",""7"",""0""]","[""2""]","[""archer"",""1""]",15,4,"[""specialty"",[""defense"",""2""],[""dodge"",""7""]]","[""item"",[""name"",""291""],[""Index"",""36""],[""Image"",""Def040""],[""Action"",""1"",""1""],[""class"",""defense"",""lowerarmor""],[""code"",""2"",""3"",""7"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""archer"",""1""],[""buy"",""60""],[""sell"",""15""],[""endurance"",""4""],[""specialty"",[""defense"",""2""],[""dodge"",""7""]]]",bango-file,inititem.dat,118
37,,G16,Archer,,DooJungPeeGap Armor,1,,2126,,,,292,,Def041,"[""2"",""1""]","[""defense"",""upperarmor""]","[""2"",""3"",""3"",""0""]","[""2""]","[""archer"",""1""]",531,8,"[""specialty"",[""defense"",""12""],[""dodge"",""0""]]","[""item"",[""name"",""292""],[""Index"",""37""],[""Image"",""Def041""],[""Action"",""2"",""1""],[""class"",""defense"",""upperarmor""],[""code"",""2"",""3"",""3"",""0""],[""country"",""2""],[""level"",""16""],[""wear"",""1""],[""limit"",""archer"",""1""],[""buy"",""2126""],[""sell"",""531""],[""endurance"",""8""],[""specialty"",[""defense"",""12""],[""dodge"",""0""]]]",bango-file,inititem.dat,121
38,,G16,Archer,,DooJungPeeGap Hood,1,,956,,,,293,,Def042,"[""2"",""1""]","[""defense"",""helmet""]","[""2"",""3"",""4"",""0""]","[""2""]","[""archer"",""1""]",239,5,"[""specialty"",[""defense"",""9""],[""dodge"",""2""]]","[""item"",[""name"",""293""],[""Index"",""38""],[""Image"",""Def042""],[""Action"",""2"",""1""],[""class"",""defense"",""helmet""],[""code"",""2"",""3"",""4"",""0""],[""country"",""2""],[""level"",""16""],[""wear"",""1""],[""limit"",""archer"",""1""],[""buy"",""956""],[""sell"",""239""],[""endurance"",""5""],[""specialty"",[""defense"",""9""],[""dodge"",""2""]]]",bango-file,inititem.dat,124
