drp_azon,drp_group1,drp_group2,drp_chance1,drp_chance2,drp_item,drp_monst,drp_rev,bango_item_name,bango_monster_name,bango_value,bango_flag,provenance,source_file,source_line
108,,,,,399,5,,Small Potato,Wild Small Demon,1,n,bango-file,droplist.dat,114
109,,,,,414,5,,Small Water of Geum-Oh Mountain,Wild Small Demon,1,n,bango-file,droplist.dat,115
110,,,,,146,5,,Demon's Strategic Map,Wild Small Demon,1,q,bango-file,droplist.dat,116
111,,,,,31,6,,Zamogeon,Demon Escort Soldier,8,n,bango-file,droplist.dat,118
112,,,,,443,6,,Demon's blood,Demon Escort Soldier,1,n,bango-file,droplist.dat,119
113,,,,,3,6,,Small Steel Sword,Demon Escort Soldier,1,n,bango-file,droplist.dat,120
114,,,,,92,6,,Oak Petal Stick,Demon Escort Soldier,1,n,bango-file,droplist.dat,121
115,,,,,47,6,,Small Medicine,Demon Escort Soldier,1,n,bango-file,droplist.dat,122
116,,,,,6,6,,SaSaEul Armor,Demon Escort Soldier,1,n,bango-file,droplist.dat,123
117,,,,,7,6,,SaSaEul Helmet,Demon Escort Soldier,1,n,bango-file,droplist.dat,124
118,,,,,8,6,,SaSaEul Gloves,Demon Escort Soldier,1,n,bango-file,droplist.dat,125
119,,,,,9,6,,SaSaEul Boots,Demon Escort Soldier,1,n,bango-file,droplist.dat,126
120,,,,,10,6,,SaSaEul Shorts,Demon Escort Soldier,1,n,bango-file,droplist.dat,127
121,,,,,70,6,,MyungJoo HakChangEau Clothes,Demon Escort Soldier,1,n,bango-file,droplist.dat,128
122,,,,,71,6,,MyungJoo HakChangEau Hair Decoration,Demon Escort Soldier,1,n,bango-file,droplist.dat,129
123,,,,,72,6,,MyungJoo HakChangEau Gloves,Demon Escort Soldier,1,n,bango-file,droplist.dat,130
124,,,,,73,6,,MyungJoo HakChangEau Boots,Demon Escort Soldier,1,n,bango-file,droplist.dat,131
125,,,,,74,6,,MyungJoo HakChangEau Shorts,Demon Escort Soldier,1,n,bango-file,droplist.dat,132
126,,,,,31,6,,Zamogeon,Demon Escort Soldier,10,n,bango-file,droplist.dat,133
127,,,,,11,6,,GyungBunGap Armor,Demon Escort Soldier,1,n,bango-file,droplist.dat,134
128,,,,,75,6,,BeeDan HakChangEau Clothes,Demon Escort Soldier,1,n,bango-file,droplist.dat,135
129,,,,,315,6,,Talisman of Intensification,Demon Escort Soldier,1,n,bango-file,droplist.dat,136
130,,,,,317,6,,Talisman of Intensification,Demon Escort Soldier,1,n,bango-file,droplist.dat,137
131,,,,,205,6,,Trinket,Demon Escort Soldier,1,n,bango-file,droplist.dat,138
132,,,,,446,6,,Sea Bream with Blood,Demon Escort Soldier,1,n,bango-file,droplist.dat,139
133,,,,,399,6,,Small Potato,Demon Escort Soldier,1,n,bango-file,droplist.dat,140
134,,,,,414,6,,Small Water of Geum-Oh Mountain,Demon Escort Soldier,1,n,bango-file,droplist.dat,141
135,,,,,170,6,,Escort Soldier's Head,Demon Escort Soldier,1,q,bango-file,droplist.dat,142
136,,,,,31,7,,Zamogeon,Demon Escort Archer,8,n,bango-file,droplist.dat,144
137,,,,,443,7,,Demon's blood,Demon Escort Archer,1,n,bango-file,droplist.dat,145
138,,,,,24,7,,Big Oak Bow,Demon Escort Archer,1,n,bango-file,droplist.dat,146
139,,,,,92,7,,Oak Petal Stick,Demon Escort Archer,1,n,bango-file,droplist.dat,147
140,,,,,47,7,,Small Medicine,Demon Escort Archer,1,n,bango-file,droplist.dat,148
141,,,,,32,7,,Leather Armor,Demon Escort Archer,1,n,bango-file,droplist.dat,149
142,,,,,33,7,,Leather Armor Hood,Demon Escort Archer,1,n,bango-file,droplist.dat,150
143,,,,,34,7,,Leather Armor Gloves,Demon Escort Archer,1,n,bango-file,droplist.dat,151
144,,,,,35,7,,Leather Armor Boots,Demon Escort Archer,1,n,bango-file,droplist.dat,152
145,,,,,36,7,,Leather Armor Shorts,Demon Escort Archer,1,n,bango-file,droplist.dat,153
146,,,,,1550,7,,MyungJoo suit of  low class thief,Demon Escort Archer,1,n,bango-file,droplist.dat,154
147,,,,,1551,7,,MyungJoo Hood of low class thief,Demon Escort Archer,1,n,bango-file,droplist.dat,155
148,,,,,1552,7,,MyungJoo Gloves of low class thief,Demon Escort Archer,1,n,bango-file,droplist.dat,156
149,,,,,1553,7,,MyungJoo Boots of low class thief,Demon Escort Archer,1,n,bango-file,droplist.dat,157
150,,,,,1554,7,,MyungJoo suit Shorts of low class thief,Demon Escort Archer,1,n,bango-file,droplist.dat,158
151,,,,,31,7,,Zamogeon,Demon Escort Archer,11,n,bango-file,droplist.dat,159
152,,,,,37,7,,DooJungPeeGap Armor,Demon Escort Archer,1,n,bango-file,droplist.dat,160
153,,,,,75,7,,BeeDan HakChangEau Clothes,Demon Escort Archer,1,n,bango-file,droplist.dat,161
154,,,,,315,7,,Talisman of Intensification,Demon Escort Archer,1,n,bango-file,droplist.dat,162
155,,,,,317,7,,Talisman of Intensification,Demon Escort Archer,1,n,bango-file,droplist.dat,163
156,,,,,205,7,,Trinket,Demon Escort Archer,1,n,bango-file,droplist.dat,164
157,,,,,446,7,,Sea Bream with Blood,Demon Escort Archer,1,n,bango-file,droplist.dat,165
158,,,,,399,7,,Small Potato,Demon Escort Archer,1,n,bango-file,droplist.dat,166
159,,,,,414,7,,Small Water of Geum-Oh Mountain,Demon Escort Archer,1,n,bango-file,droplist.dat,167
160,,,,,147,7,,Demon's Bow,Demon Escort Archer,1,q,bango-file,droplist.dat,168
161,,,,,170,7,,Escort Soldier's Head,Demon Escort Archer,1,q,bango-file,droplist.dat,169
162,,,,,31,8,,Zamogeon,Demon Scout Commander,10,n,bango-file,droplist.dat,171
163,,,,,443,8,,Demon's blood,Demon Scout Commander,1,n,bango-file,droplist.dat,172
164,,,,,47,8,,Small Medicine,Demon Scout Commander,1,n,bango-file,droplist.dat,173
165,,,,,1406,8,,Steel dagger,Demon Scout Commander,1,n,bango-file,droplist.dat,174
166,,,,,3,8,,Small Steel Sword,Demon Scout Commander,1,n,bango-file,droplist.dat,175
167,,,,,24,8,,Big Oak Bow,Demon Scout Commander,1,n,bango-file,droplist.dat,176
168,,,,,92,8,,Oak Petal Stick,Demon Scout Commander,1,n,bango-file,droplist.dat,177
169,,,,,31,8,,Zamogeon,Demon Scout Commander,13,n,bango-file,droplist.dat,178
170,,,,,4,8,,Iron Sword,Demon Scout Commander,1,n,bango-file,droplist.dat,179
171,,,,,93,8,,Iron Stick,Demon Scout Commander,1,n,bango-file,droplist.dat,180
172,,,,,25,8,,YeonGak Bow,Demon Scout Commander,1,n,bango-file,droplist.dat,181
173,,,,,31,9,,Zamogeon,Suicide Bomber,9,n,bango-file,droplist.dat,183
174,,,,,443,9,,Demon's blood,Suicide Bomber,1,n,bango-file,droplist.dat,184
175,,,,,47,9,,Small Medicine,Suicide Bomber,1,n,bango-file,droplist.dat,185
176,,,,,31,9,,Zamogeon,Suicide Bomber,11,n,bango-file,droplist.dat,186
177,,,,,4,9,,Iron Sword,Suicide Bomber,1,n,bango-file,droplist.dat,187
178,,,,,93,9,,Iron Stick,Suicide Bomber,1,n,bango-file,droplist.dat,188
179,,,,,25,9,,YeonGak Bow,Suicide Bomber,1,n,bango-file,droplist.dat,189
180,,,,,315,9,,Talisman of Intensification,Suicide Bomber,1,n,bango-file,droplist.dat,190
181,,,,,317,9,,Talisman of Intensification,Suicide Bomber,1,n,bango-file,droplist.dat,191
182,,,,,205,9,,Trinket,Suicide Bomber,1,n,bango-file,droplist.dat,192
183,,,,,446,9,,Sea Bream with Blood,Suicide Bomber,1,n,bango-file,droplist.dat,193
184,,,,,399,9,,Small Potato,Suicide Bomber,1,n,bango-file,droplist.dat,194
185,,,,,414,9,,Small Water of Geum-Oh Mountain,Suicide Bomber,1,n,bango-file,droplist.dat,195
186,,,,,148,9,,Suicide Bomber's Oil,Suicide Bomber,1,q,bango-file,droplist.dat,196
187,,,,,31,10,,Zamogeon,Demon Carcass Scavenger,11,n,bango-file,droplist.dat,198
188,,,,,443,10,,Demon's blood,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,199
189,,,,,93,10,,Iron Stick,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,200
190,,,,,47,10,,Small Medicine,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,201
191,,,,,70,10,,MyungJoo HakChangEau Clothes,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,202
192,,,,,71,10,,MyungJoo HakChangEau Hair Decoration,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,203
193,,,,,72,10,,MyungJoo HakChangEau Gloves,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,204
194,,,,,73,10,,MyungJoo HakChangEau Boots,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,205
195,,,,,74,10,,MyungJoo HakChangEau Shorts,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,206
196,,,,,31,10,,Zamogeon,Demon Carcass Scavenger,13,n,bango-file,droplist.dat,207
197,,,,,75,10,,BeeDan HakChangEau Clothes,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,208
198,,,,,94,10,,Iron JuckMo Stick,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,209
199,,,,,400,10,,Potato,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,210
200,,,,,415,10,,Medium Water of Geum-Oh Mountain,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,211
201,,,,,401,10,,Big Potato,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,212
202,,,,,416,10,,Large Water of Geum-Oh Mountain,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,213
203,,,,,402,10,,Cooked Potato,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,214
204,,,,,417,10,,Best Water of Geum-Oh Mountain,Demon Carcass Scavenger,1,n,bango-file,droplist.dat,215
205,,,,,151,10,,Straw Rice Bag,Demon Carcass Scavenger,1,q,bango-file,droplist.dat,216
206,,,,,152,10,,Demon's Carcass,Demon Carcass Scavenger,1,q,bango-file,droplist.dat,217
207,,,,,172,10,,In-Pill's Scabbard,Demon Carcass Scavenger,1,q,bango-file,droplist.dat,218
208,,,,,31,11,,Zamogeon,Demon Soldier,15,n,bango-file,droplist.dat,220
209,,,,,443,11,,Demon's blood,Demon Soldier,1,n,bango-file,droplist.dat,221
210,,,,,1559,11,,BeeDan suit Shorts of low class thief,Demon Soldier,1,n,bango-file,droplist.dat,222
211,,,,,1558,11,,BeeDan Boots of low class thief,Demon Soldier,1,n,bango-file,droplist.dat,223
212,,,,,1557,11,,BeeDan Gloves of low class thief,Demon Soldier,1,n,bango-file,droplist.dat,224
213,,,,,1556,11,,BeeDan Hood of low class thief,Demon Soldier,1,n,bango-file,droplist.dat,225
214,,,,,1555,11,,BeeDan suit of  low class thief,Demon Soldier,1,n,bango-file,droplist.dat,226
215,,,,,1407,11,,Intensified Iron dagger,Demon Soldier,1,n,bango-file,droplist.dat,227
216,,,,,47,11,,Small Medicine,Demon Soldier,1,n,bango-file,droplist.dat,228
217,,,,,93,11,,Iron Stick,Demon Soldier,1,n,bango-file,droplist.dat,229
218,,,,,75,11,,BeeDan HakChangEau Clothes,Demon Soldier,1,n,bango-file,droplist.dat,230
219,,,,,76,11,,BeeDan HakChangEau Hair Decoration,Demon Soldier,1,n,bango-file,droplist.dat,231
220,,,,,77,11,,BeeDan HakChangEau Gloves,Demon Soldier,1,n,bango-file,droplist.dat,232
221,,,,,78,11,,BeeDan HakChangEau Boots,Demon Soldier,1,n,bango-file,droplist.dat,233
222,,,,,79,11,,BeeDan HakChangEau Shorts,Demon Soldier,1,n,bango-file,droplist.dat,234
223,,,,,31,11,,Zamogeon,Demon Soldier,16,n,bango-file,droplist.dat,235
224,,,,,31,11,,Zamogeon,Demon Soldier,17,n,bango-file,droplist.dat,236
225,,,,,94,11,,Iron JuckMo Stick,Demon Soldier,1,n,bango-file,droplist.dat,237
226,,,,,80,11,,MyungJoo SoChangEau Clothes,Demon Soldier,1,n,bango-file,droplist.dat,238
227,,,,,275,11,,Talisman of Wonder,Demon Soldier,1,n,bango-file,droplist.dat,239
228,,,,,278,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,240
229,,,,,279,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,241
230,,,,,283,11,,Talisman of Wonder,Demon Soldier,1,n,bango-file,droplist.dat,242
231,,,,,286,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,243
232,,,,,287,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,244
233,,,,,291,11,,Talisman of Wonder,Demon Soldier,1,n,bango-file,droplist.dat,245
234,,,,,294,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,246
235,,,,,295,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,247
236,,,,,299,11,,Talisman of Wonder,Demon Soldier,1,n,bango-file,droplist.dat,248
237,,,,,302,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,249
238,,,,,303,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,250
239,,,,,307,11,,Talisman of Wonder,Demon Soldier,1,n,bango-file,droplist.dat,251
240,,,,,310,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,252
241,,,,,311,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,253
242,,,,,315,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,254
243,,,,,317,11,,Talisman of Intensification,Demon Soldier,1,n,bango-file,droplist.dat,255
244,,,,,319,11,,Talisman of Protection,Demon Soldier,1,n,bango-file,droplist.dat,256
245,,,,,320,11,,Talisman of Protection,Demon Soldier,1,n,bango-file,droplist.dat,257
246,,,,,321,11,,Talisman of Protection,Demon Soldier,1,n,bango-file,droplist.dat,258
247,,,,,205,11,,Trinket,Demon Soldier,1,n,bango-file,droplist.dat,259
248,,,,,446,11,,Sea Bream with Blood,Demon Soldier,1,n,bango-file,droplist.dat,260
249,,,,,400,11,,Potato,Demon Soldier,1,n,bango-file,droplist.dat,261
250,,,,,415,11,,Medium Water of Geum-Oh Mountain,Demon Soldier,1,n,bango-file,droplist.dat,262
251,,,,,401,11,,Big Potato,Demon Soldier,1,n,bango-file,droplist.dat,263
252,,,,,416,11,,Large Water of Geum-Oh Mountain,Demon Soldier,1,n,bango-file,droplist.dat,264
253,,,,,402,11,,Cooked Potato,Demon Soldier,1,n,bango-file,droplist.dat,265
254,,,,,417,11,,Best Water of Geum-Oh Mountain,Demon Soldier,1,n,bango-file,droplist.dat,266
255,,,,,150,11,,Demon Soldier's Teeth,Demon Soldier,1,q,bango-file,droplist.dat,267
256,,,,,31,12,,Zamogeon,Demon Infantry,20,n,bango-file,droplist.dat,269
257,,,,,174,12,,Demon Soldier's Head,Demon Infantry,1,n,bango-file,droplist.dat,270
258,,,,,443,12,,Demon's blood,Demon Infantry,1,n,bango-file,droplist.dat,271
259,,,,,1408,12,,Iron Red-blood dagger,Demon Infantry,1,n,bango-file,droplist.dat,272
260,,,,,1555,12,,BeeDan suit of  low class thief,Demon Infantry,1,n,bango-file,droplist.dat,273
261,,,,,1556,12,,BeeDan Hood of low class thief,Demon Infantry,1,n,bango-file,droplist.dat,274
262,,,,,1557,12,,BeeDan Gloves of low class thief,Demon Infantry,1,n,bango-file,droplist.dat,275
263,,,,,1558,12,,BeeDan Boots of low class thief,Demon Infantry,1,n,bango-file,droplist.dat,276
264,,,,,1559,12,,BeeDan suit Shorts of low class thief,Demon Infantry,1,n,bango-file,droplist.dat,277
265,,,,,5,12,,Iron Red-blood Sword,Demon Infantry,1,n,bango-file,droplist.dat,278
266,,,,,47,12,,Small Medicine,Demon Infantry,1,n,bango-file,droplist.dat,279
267,,,,,11,12,,GyungBunGap Armor,Demon Infantry,1,n,bango-file,droplist.dat,280
268,,,,,12,12,,GyungBunGap Helmet,Demon Infantry,1,n,bango-file,droplist.dat,281
269,,,,,13,12,,GyungBunGap Gloves,Demon Infantry,1,n,bango-file,droplist.dat,282
270,,,,,14,12,,GyungBunGap Boots,Demon Infantry,1,n,bango-file,droplist.dat,283
271,,,,,15,12,,GyungBunGap Shorts,Demon Infantry,1,n,bango-file,droplist.dat,284
272,,,,,31,12,,Zamogeon,Demon Infantry,21,n,bango-file,droplist.dat,285
273,,,,,31,12,,Zamogeon,Demon Infantry,22,n,bango-file,droplist.dat,286
274,,,,,59,12,,Steel Sword,Demon Infantry,1,n,bango-file,droplist.dat,287
275,,,,,16,12,,PanGap Armor,Demon Infantry,1,n,bango-file,droplist.dat,288
276,,,,,17,12,,PanGap Helmet,Demon Infantry,1,n,bango-file,droplist.dat,289
277,,,,,275,12,,Talisman of Wonder,Demon Infantry,1,n,bango-file,droplist.dat,290
278,,,,,278,12,,Talisman of Intensification,Demon Infantry,1,n,bango-file,droplist.dat,291
279,,,,,279,12,,Talisman of Intensification,Demon Infantry,1,n,bango-file,droplist.dat,292
280,,,,,283,12,,Talisman of Wonder,Demon Infantry,1,n,bango-file,droplist.dat,293
281,,,,,286,12,,Talisman of Intensification,Demon Infantry,1,n,bango-file,droplist.dat,294
282,,,,,287,12,,Talisman of Intensification,Demon Infantry,1,n,bango-file,droplist.dat,295
283,,,,,291,12,,Talisman of Wonder,Demon Infantry,1,n,bango-file,droplist.dat,296
284,,,,,294,12,,Talisman of Intensification,Demon Infantry,1,n,bango-file,droplist.dat,297
