normalized_name,legacy_name,bango_name,bango_key,bango_definition_ordinal,skill_class,legacy_positions,match_basis,field,meaning,unit,compare_index,label_verification,bango_level_json,bango_grade_json,legacy_rpn,bango_prefix_json,bango_rpn_json,legacy_canonical_json,bango_canonical_json,verdict,attribution,notes
strangle,Strangle,Strangle,thief-10,1,thief,23,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""35"",""0""]","[""3"",""0""]",20000,"[""20000""]","[""20000""]","[""number"",""20000""]","[[""number"",""20000""]]",same,,Canonical arithmetic expressions are semantically identical.
dualshadow,Dual Shadow,Dual Shadow,thief-12,1,thief,23,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""40"",""0""]","[""3"",""0""]",10 sk_lvl 10 * +,"[[""plus"",""10"",[""mul"",""10"",""skill_level""]]]","[""10 10 skill_level * +""]","[""add"",[""multiply"",[""number"",""10""],[""variable"",""skill_level""]],[""number"",""10""]]","[[""add"",[""multiply"",[""number"",""10""],[""variable"",""skill_level""]],[""number"",""10""]]]",same,,Canonical arithmetic expressions are semantically identical.
dualshadow,Dual Shadow,Dual Shadow,thief-12,1,thief,23,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""40"",""0""]","[""3"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
dualshadow,Dual Shadow,Dual Shadow,thief-12,1,thief,23,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""40"",""0""]","[""3"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
dualshadow,Dual Shadow,Dual Shadow,thief-12,1,thief,23,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""40"",""0""]","[""3"",""0""]",600000,"[""600000""]","[""600000""]","[""number"",""600000""]","[[""number"",""600000""]]",same,,Canonical arithmetic expressions are semantically identical.
fatalwound,Fatal Wound,Fatal Wound,thief-14,1,thief,24,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""53"",""0""]","[""7"",""0""]",15 sk_lvl 30 * +,"[[""plus"",""15"",[""mul"",""30"",""skill_level""]]]","[""15 30 skill_level * +""]","[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""15""]]","[[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""15""]]]",same,,Canonical arithmetic expressions are semantically identical.
fatalwound,Fatal Wound,Fatal Wound,thief-14,1,thief,24,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""53"",""0""]","[""7"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
fatalwound,Fatal Wound,Fatal Wound,thief-14,1,thief,24,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""53"",""0""]","[""7"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
fatalwound,Fatal Wound,Fatal Wound,thief-14,1,thief,24,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""53"",""0""]","[""7"",""0""]",30000,"[""30000""]","[""30000""]","[""number"",""30000""]","[[""number"",""30000""]]",same,,Canonical arithmetic expressions are semantically identical.
ankleamputate,Ankle Amputate,Ankle Amputate,thief-15,1,thief,24,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""54"",""0""]","[""7"",""0""]",45 sk_lvl 10 * +,"[[""plus"",""45"",[""mul"",""10"",""skill_level""]]]","[""45 10 skill_level * +""]","[""add"",[""multiply"",[""number"",""10""],[""variable"",""skill_level""]],[""number"",""45""]]","[[""add"",[""multiply"",[""number"",""10""],[""variable"",""skill_level""]],[""number"",""45""]]]",same,,Canonical arithmetic expressions are semantically identical.
ankleamputate,Ankle Amputate,Ankle Amputate,thief-15,1,thief,24,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""54"",""0""]","[""7"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
ankleamputate,Ankle Amputate,Ankle Amputate,thief-15,1,thief,24,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""54"",""0""]","[""7"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
ankleamputate,Ankle Amputate,Ankle Amputate,thief-15,1,thief,24,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""54"",""0""]","[""7"",""0""]",20000,"[""20000""]","[""20000""]","[""number"",""20000""]","[[""number"",""20000""]]",same,,Canonical arithmetic expressions are semantically identical.
vitalstrike,Vital Strike,Vital Strike,thief-16,1,thief,24,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""56"",""0""]","[""7"",""0""]",35 sk_lvl 30 * +,"[[""plus"",""35"",[""mul"",""30"",""skill_level""]]]","[""35 30 skill_level * +""]","[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""35""]]","[[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""35""]]]",same,,Canonical arithmetic expressions are semantically identical.
vitalstrike,Vital Strike,Vital Strike,thief-16,1,thief,24,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""56"",""0""]","[""7"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
vitalstrike,Vital Strike,Vital Strike,thief-16,1,thief,24,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""56"",""0""]","[""7"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
vitalstrike,Vital Strike,Vital Strike,thief-16,1,thief,24,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""56"",""0""]","[""7"",""0""]",30000,"[""30000""]","[""30000""]","[""number"",""30000""]","[[""number"",""30000""]]",same,,Canonical arithmetic expressions are semantically identical.
rupture,Rupture,Rupture,thief-17,1,thief,24,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""58"",""0""]","[""7"",""0""]",35 sk_lvl 30 * +,"[[""plus"",""35"",[""mul"",""30"",""skill_level""]]]","[""35 30 skill_level * +""]","[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""35""]]","[[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""35""]]]",same,,Canonical arithmetic expressions are semantically identical.
rupture,Rupture,Rupture,thief-17,1,thief,24,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""58"",""0""]","[""7"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
rupture,Rupture,Rupture,thief-17,1,thief,24,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""58"",""0""]","[""7"",""0""]",2,"[""2""]","[""2""]","[""number"",""2""]","[[""number"",""2""]]",same,,Canonical arithmetic expressions are semantically identical.
rupture,Rupture,Rupture,thief-17,1,thief,24,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""58"",""0""]","[""7"",""0""]",120000,"[""120000""]","[""120000""]","[""number"",""120000""]","[[""number"",""120000""]]",same,,Canonical arithmetic expressions are semantically identical.
finalblow,Final Blow,Final Blow,thief-18,1,thief,24,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""60"",""0""]","[""7"",""0""]",0,"[[""plus"",""30"",[""mul"",""35"",""skill_level""]]]","[""30 35 skill_level * +""]","[""number"",""0""]","[[""add"",[""multiply"",[""number"",""35""],[""variable"",""skill_level""]],[""number"",""30""]]]",differs,bango-differs-from-legacy,Value or formula differs; source-version attribution remains open.
finalblow,Final Blow,Final Blow,thief-18,1,thief,24,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""60"",""0""]","[""7"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
finalblow,Final Blow,Final Blow,thief-18,1,thief,24,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""60"",""0""]","[""7"",""0""]",2,"[""2""]","[""2""]","[""number"",""2""]","[[""number"",""2""]]",same,,Canonical arithmetic expressions are semantically identical.
finalblow,Final Blow,Final Blow,thief-18,1,thief,24,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""60"",""0""]","[""7"",""0""]",600000,"[""600000""]","[""600000""]","[""number"",""600000""]","[[""number"",""600000""]]",same,,Canonical arithmetic expressions are semantically identical.
suicidalblow,Suicidal Blow,Suicidal Blow,thief-21,1,thief,24,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""56"",""0""]","[""7"",""0""]",45 sk_lvl 40 * +,"[[""plus"",""45"",[""mul"",""40"",""skill_level""]]]","[""45 40 skill_level * +""]","[""add"",[""multiply"",[""number"",""40""],[""variable"",""skill_level""]],[""number"",""45""]]","[[""add"",[""multiply"",[""number"",""40""],[""variable"",""skill_level""]],[""number"",""45""]]]",same,,Canonical arithmetic expressions are semantically identical.
suicidalblow,Suicidal Blow,Suicidal Blow,thief-21,1,thief,24,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""56"",""0""]","[""7"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
suicidalblow,Suicidal Blow,Suicidal Blow,thief-21,1,thief,24,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""56"",""0""]","[""7"",""0""]",3,"[""3""]","[""3""]","[""number"",""3""]","[[""number"",""3""]]",same,,Canonical arithmetic expressions are semantically identical.
suicidalblow,Suicidal Blow,Suicidal Blow,thief-21,1,thief,24,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""56"",""0""]","[""7"",""0""]",600000,"[""600000""]","[""600000""]","[""number"",""600000""]","[[""number"",""600000""]]",same,,Canonical arithmetic expressions are semantically identical.
danceofkilling,Dance of Killing,Dance of Killing,thief-13,1,thief,25,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""50"",""0""]","[""11"",""0""]",80 sk_lvl 20 * +,"[[""plus"",""80"",[""mul"",""20"",""skill_level""]]]","[""80 20 skill_level * +""]","[""add"",[""multiply"",[""number"",""20""],[""variable"",""skill_level""]],[""number"",""80""]]","[[""add"",[""multiply"",[""number"",""20""],[""variable"",""skill_level""]],[""number"",""80""]]]",same,,Canonical arithmetic expressions are semantically identical.
danceofkilling,Dance of Killing,Dance of Killing,thief-13,1,thief,25,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""50"",""0""]","[""11"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
danceofkilling,Dance of Killing,Dance of Killing,thief-13,1,thief,25,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""50"",""0""]","[""11"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
danceofkilling,Dance of Killing,Dance of Killing,thief-13,1,thief,25,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""50"",""0""]","[""11"",""0""]",40000,"[""40000""]","[""40000""]","[""number"",""40000""]","[[""number"",""40000""]]",same,,Canonical arithmetic expressions are semantically identical.
spinattack,Spin Attack,Spin Attack,thief-19,1,thief,25,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""50"",""0""]","[""11"",""0""]",25 sk_lvl 50 * +,"[[""plus"",""25"",[""mul"",""50"",""skill_level""]]]","[""25 50 skill_level * +""]","[""add"",[""multiply"",[""number"",""50""],[""variable"",""skill_level""]],[""number"",""25""]]","[[""add"",[""multiply"",[""number"",""50""],[""variable"",""skill_level""]],[""number"",""25""]]]",same,,Canonical arithmetic expressions are semantically identical.
spinattack,Spin Attack,Spin Attack,thief-19,1,thief,25,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""50"",""0""]","[""11"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
spinattack,Spin Attack,Spin Attack,thief-19,1,thief,25,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""50"",""0""]","[""11"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
spinattack,Spin Attack,Spin Attack,thief-19,1,thief,25,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""50"",""0""]","[""11"",""0""]",20000,"[""20000""]","[""20000""]","[""number"",""20000""]","[[""number"",""20000""]]",same,,Canonical arithmetic expressions are semantically identical.
counterattack,Counter attack,Counter attack,thief-20,1,thief,25,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""53"",""0""]","[""11"",""0""]",45 sk_lvl 30 * +,"[[""plus"",""45"",[""mul"",""30"",""skill_level""]]]","[""45 30 skill_level * +""]","[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""45""]]","[[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""45""]]]",same,,Canonical arithmetic expressions are semantically identical.
counterattack,Counter attack,Counter attack,thief-20,1,thief,25,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""53"",""0""]","[""11"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
counterattack,Counter attack,Counter attack,thief-20,1,thief,25,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""53"",""0""]","[""11"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
counterattack,Counter attack,Counter attack,thief-20,1,thief,25,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""53"",""0""]","[""11"",""0""]",60000,"[""60000""]","[""60000""]","[""number"",""60000""]","[[""number"",""60000""]]",same,,Canonical arithmetic expressions are semantically identical.
armorbreaker,Armor Breaker,Armor Breaker,thief-22,1,thief,25,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""54"",""0""]","[""11"",""0""]",35 sk_lvl 30 * +,"[[""plus"",""35"",[""mul"",""30"",""skill_level""]]]","[""35 30 skill_level * +""]","[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""35""]]","[[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""35""]]]",same,,Canonical arithmetic expressions are semantically identical.
armorbreaker,Armor Breaker,Armor Breaker,thief-22,1,thief,25,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""54"",""0""]","[""11"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
armorbreaker,Armor Breaker,Armor Breaker,thief-22,1,thief,25,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""54"",""0""]","[""11"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
armorbreaker,Armor Breaker,Armor Breaker,thief-22,1,thief,25,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""54"",""0""]","[""11"",""0""]",30000,"[""30000""]","[""30000""]","[""number"",""30000""]","[[""number"",""30000""]]",same,,Canonical arithmetic expressions are semantically identical.
twinbladestrike,Twin Blade Strike,Twin Blade Strike,thief-23,1,thief,25,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""60"",""0""]","[""11"",""0""]",65,"[[""plus"",""35"",[""mul"",""30"",""skill_level""]]]","[""35 30 skill_level * +""]","[""number"",""65""]","[[""add"",[""multiply"",[""number"",""30""],[""variable"",""skill_level""]],[""number"",""35""]]]",differs,bango-differs-from-legacy,Value or formula differs; source-version attribution remains open.
twinbladestrike,Twin Blade Strike,Twin Blade Strike,thief-23,1,thief,25,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""60"",""0""]","[""11"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
twinbladestrike,Twin Blade Strike,Twin Blade Strike,thief-23,1,thief,25,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""60"",""0""]","[""11"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
twinbladestrike,Twin Blade Strike,Twin Blade Strike,thief-23,1,thief,25,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""60"",""0""]","[""11"",""0""]",600000,"[""600000""]","[""600000""]","[""number"",""600000""]","[[""number"",""600000""]]",same,,Canonical arithmetic expressions are semantically identical.
lightningslash,Lightning Slash,Lightning Slash,thief-28,1,thief,27,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""70"",""0""]","[""43"",""0""]",ch_lvl 4 * 10 -,"[[""plus"",""50"",[""mul"",""3"",[""plus"",""char_level"",""skill_level""]]]]","[""50 3 char_level skill_level + * +""]","[""subtract"",[""multiply"",[""number"",""4""],[""variable"",""char_level""]],[""number"",""10""]]","[[""add"",[""multiply"",[""add"",[""variable"",""char_level""],[""variable"",""skill_level""]],[""number"",""3""]],[""number"",""50""]]]",differs,bango-differs-from-legacy,Value or formula differs; source-version attribution remains open.
lightningslash,Lightning Slash,Lightning Slash,thief-28,1,thief,27,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""70"",""0""]","[""43"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
lightningslash,Lightning Slash,Lightning Slash,thief-28,1,thief,27,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""70"",""0""]","[""43"",""0""]",1000,"[""199""]","[""199""]","[""number"",""1000""]","[[""number"",""199""]]",differs,bango-differs-from-legacy,Value or formula differs; source-version attribution remains open.
lightningslash,Lightning Slash,Lightning Slash,thief-28,1,thief,27,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""70"",""0""]","[""43"",""0""]",320000 sk_lvl 20000 * -,"[""300000"",""280000"",""260000"",""240000"",""220000"",""200000""]","[""300000"",""280000"",""260000"",""240000"",""220000"",""200000""]","[""subtract"",[""number"",""320000""],[""multiply"",[""number"",""20000""],[""variable"",""skill_level""]]]","[[""number"",""300000""],[""number"",""280000""],[""number"",""260000""],[""number"",""240000""],[""number"",""220000""],[""number"",""200000""]]",same,,Canonical arithmetic expressions are semantically identical.
