ita_azon,attribute_ordinal,attribute,values_json,provenance,source_file,source_line
24,1,aspeed,"[""800""]",bango-file,inititem.dat,76
24,2,Attack,"[""20"",""31""]",bango-file,inititem.dat,76
24,3,hit,"[""19""]",bango-file,inititem.dat,76
25,1,aspeed,"[""800""]",bango-file,inititem.dat,79
25,2,Attack,"[""26"",""40""]",bango-file,inititem.dat,79
25,3,hit,"[""24""]",bango-file,inititem.dat,79
26,1,aspeed,"[""800""]",bango-file,inititem.dat,82
26,2,Attack,"[""35"",""51""]",bango-file,inititem.dat,82
26,3,hit,"[""28""]",bango-file,inititem.dat,82
27,1,aspeed,"[""800""]",bango-file,inititem.dat,85
27,2,Attack,"[""43"",""56""]",bango-file,inititem.dat,85
27,3,hit,"[""36""]",bango-file,inititem.dat,85
28,1,dodge,"[""2""]",bango-file,inititem.dat,90
29,1,dodge,"[""4""]",bango-file,inititem.dat,93
30,1,dodge,"[""6""]",bango-file,inititem.dat,96
32,1,defense,"[""9""]",bango-file,inititem.dat,106
32,2,dodge,"[""0""]",bango-file,inititem.dat,106
33,1,defense,"[""4""]",bango-file,inititem.dat,109
33,2,dodge,"[""2""]",bango-file,inititem.dat,109
34,1,defense,"[""4""]",bango-file,inititem.dat,112
34,2,dodge,"[""1""]",bango-file,inititem.dat,112
35,1,defense,"[""4""]",bango-file,inititem.dat,115
35,2,dodge,"[""5""]",bango-file,inititem.dat,115
36,1,defense,"[""2""]",bango-file,inititem.dat,118
36,2,dodge,"[""7""]",bango-file,inititem.dat,118
37,1,defense,"[""12""]",bango-file,inititem.dat,121
37,2,dodge,"[""0""]",bango-file,inititem.dat,121
38,1,defense,"[""9""]",bango-file,inititem.dat,124
38,2,dodge,"[""2""]",bango-file,inititem.dat,124
39,1,defense,"[""8""]",bango-file,inititem.dat,127
39,2,dodge,"[""1""]",bango-file,inititem.dat,127
40,1,defense,"[""8""]",bango-file,inititem.dat,130
40,2,dodge,"[""10""]",bango-file,inititem.dat,130
41,1,defense,"[""5""]",bango-file,inititem.dat,133
41,2,dodge,"[""12""]",bango-file,inititem.dat,133
42,1,defense,"[""16""]",bango-file,inititem.dat,136
42,2,dodge,"[""2""]",bango-file,inititem.dat,136
42,3,absorb,"[""1""]",bango-file,inititem.dat,136
43,1,defense,"[""13""]",bango-file,inititem.dat,139
43,2,dodge,"[""3""]",bango-file,inititem.dat,139
44,1,defense,"[""11""]",bango-file,inititem.dat,142
44,2,dodge,"[""2""]",bango-file,inititem.dat,142
45,1,defense,"[""11""]",bango-file,inititem.dat,145
45,2,dodge,"[""13""]",bango-file,inititem.dat,145
46,1,defense,"[""9""]",bango-file,inititem.dat,148
46,2,dodge,"[""15""]",bango-file,inititem.dat,148
47,1,refresh,"[""hp"",""100""]",bango-file,inititem.dat,153
48,1,refresh,"[""hp"",""300""]",bango-file,inititem.dat,156
49,1,defense,"[""27""]",bango-file,inititem.dat,161
49,2,dodge,"[""5""]",bango-file,inititem.dat,161
49,3,absorb,"[""3""]",bango-file,inititem.dat,161
50,1,defense,"[""22""]",bango-file,inititem.dat,164
50,2,dodge,"[""5""]",bango-file,inititem.dat,164
50,3,absorb,"[""1""]",bango-file,inititem.dat,164
51,1,defense,"[""21""]",bango-file,inititem.dat,167
51,2,dodge,"[""3""]",bango-file,inititem.dat,167
52,1,defense,"[""18""]",bango-file,inititem.dat,170
52,2,dodge,"[""13""]",bango-file,inititem.dat,170
52,3,absorb,"[""2""]",bango-file,inititem.dat,170
53,1,defense,"[""17""]",bango-file,inititem.dat,173
53,2,dodge,"[""14""]",bango-file,inititem.dat,173
54,1,defense,"[""24""]",bango-file,inititem.dat,176
54,2,dodge,"[""3""]",bango-file,inititem.dat,176
54,3,absorb,"[""1""]",bango-file,inititem.dat,176
55,1,defense,"[""19""]",bango-file,inititem.dat,179
55,2,dodge,"[""3""]",bango-file,inititem.dat,179
56,1,defense,"[""15""]",bango-file,inititem.dat,182
56,2,dodge,"[""2""]",bango-file,inititem.dat,182
57,1,defense,"[""15""]",bango-file,inititem.dat,185
57,2,dodge,"[""18""]",bango-file,inititem.dat,185
58,1,defense,"[""12""]",bango-file,inititem.dat,188
58,2,dodge,"[""19""]",bango-file,inititem.dat,188
59,1,aspeed,"[""700""]",bango-file,inititem.dat,193
59,2,Attack,"[""51"",""75""]",bango-file,inititem.dat,193
59,3,hit,"[""33""]",bango-file,inititem.dat,193
60,1,aspeed,"[""700""]",bango-file,inititem.dat,196
60,2,Attack,"[""63"",""94""]",bango-file,inititem.dat,196
60,3,hit,"[""43""]",bango-file,inititem.dat,196
61,1,aspeed,"[""700""]",bango-file,inititem.dat,199
61,2,Attack,"[""72"",""96""]",bango-file,inititem.dat,199
61,3,hit,"[""48""]",bango-file,inititem.dat,199
62,1,aspeed,"[""800""]",bango-file,inititem.dat,202
62,2,Attack,"[""41"",""59""]",bango-file,inititem.dat,202
62,3,hit,"[""32""]",bango-file,inititem.dat,202
63,1,aspeed,"[""800""]",bango-file,inititem.dat,205
63,2,Attack,"[""51"",""74""]",bango-file,inititem.dat,205
63,3,hit,"[""40""]",bango-file,inititem.dat,205
64,1,aspeed,"[""800""]",bango-file,inititem.dat,208
64,2,Attack,"[""60"",""83""]",bango-file,inititem.dat,208
64,3,hit,"[""44""]",bango-file,inititem.dat,208
65,1,dodge,"[""3""]",bango-file,inititem.dat,211
66,1,dodge,"[""7""]",bango-file,inititem.dat,214
67,1,dodge,"[""8""]",bango-file,inititem.dat,217
68,1,dodge,"[""11""]",bango-file,inititem.dat,220
69,1,dodge,"[""12""]",bango-file,inititem.dat,223
70,1,defense,"[""7""]",bango-file,inititem.dat,228
70,2,dodge,"[""3""]",bango-file,inititem.dat,228
71,1,defense,"[""5""]",bango-file,inititem.dat,231
71,2,dodge,"[""4""]",bango-file,inititem.dat,231
72,1,defense,"[""3""]",bango-file,inititem.dat,234
72,2,dodge,"[""2""]",bango-file,inititem.dat,234
73,1,defense,"[""4""]",bango-file,inititem.dat,237
73,2,dodge,"[""6""]",bango-file,inititem.dat,237
74,1,defense,"[""1""]",bango-file,inititem.dat,240
74,2,dodge,"[""5""]",bango-file,inititem.dat,240
75,1,defense,"[""10""]",bango-file,inititem.dat,243
75,2,dodge,"[""5""]",bango-file,inititem.dat,243
75,3,resistfire,"[""2""]",bango-file,inititem.dat,243
75,4,resistice,"[""2""]",bango-file,inititem.dat,243
75,5,resistlitning,"[""2""]",bango-file,inititem.dat,243
76,1,defense,"[""7""]",bango-file,inititem.dat,246
76,2,dodge,"[""5""]",bango-file,inititem.dat,246
76,3,resistfire,"[""1""]",bango-file,inititem.dat,246
76,4,resistice,"[""1""]",bango-file,inititem.dat,246
76,5,resistlitning,"[""1""]",bango-file,inititem.dat,246
77,1,defense,"[""6""]",bango-file,inititem.dat,249
77,2,dodge,"[""3""]",bango-file,inititem.dat,249
78,1,defense,"[""6""]",bango-file,inititem.dat,252
78,2,dodge,"[""8""]",bango-file,inititem.dat,252
79,1,defense,"[""4""]",bango-file,inititem.dat,255
79,2,dodge,"[""9""]",bango-file,inititem.dat,255
80,1,defense,"[""13""]",bango-file,inititem.dat,258
80,2,dodge,"[""7""]",bango-file,inititem.dat,258
80,3,resistfire,"[""3""]",bango-file,inititem.dat,258
80,4,resistice,"[""3""]",bango-file,inititem.dat,258
80,5,resistlitning,"[""3""]",bango-file,inititem.dat,258
81,1,defense,"[""9""]",bango-file,inititem.dat,261
81,2,dodge,"[""5""]",bango-file,inititem.dat,261
81,3,resistfire,"[""2""]",bango-file,inititem.dat,261
81,4,resistice,"[""2""]",bango-file,inititem.dat,261
81,5,resistlitning,"[""2""]",bango-file,inititem.dat,261
82,1,defense,"[""8""]",bango-file,inititem.dat,264
82,2,dodge,"[""4""]",bango-file,inititem.dat,264
82,3,resistfire,"[""1""]",bango-file,inititem.dat,264
82,4,resistice,"[""1""]",bango-file,inititem.dat,264
82,5,resistlitning,"[""1""]",bango-file,inititem.dat,264
83,1,defense,"[""9""]",bango-file,inititem.dat,267
83,2,dodge,"[""12""]",bango-file,inititem.dat,267
84,1,defense,"[""6""]",bango-file,inititem.dat,270
84,2,dodge,"[""12""]",bango-file,inititem.dat,270
85,1,defense,"[""16""]",bango-file,inititem.dat,273
85,2,dodge,"[""8""]",bango-file,inititem.dat,273
85,3,resistfire,"[""4""]",bango-file,inititem.dat,273
85,4,resistice,"[""4""]",bango-file,inititem.dat,273
85,5,resistlitning,"[""4""]",bango-file,inititem.dat,273
86,1,defense,"[""13""]",bango-file,inititem.dat,276
86,2,dodge,"[""7""]",bango-file,inititem.dat,276
86,3,resistfire,"[""3""]",bango-file,inititem.dat,276
86,4,resistice,"[""3""]",bango-file,inititem.dat,276
86,5,resistlitning,"[""3""]",bango-file,inititem.dat,276
87,1,defense,"[""11""]",bango-file,inititem.dat,279
87,2,dodge,"[""7""]",bango-file,inititem.dat,279
87,3,resistfire,"[""2""]",bango-file,inititem.dat,279
87,4,resistice,"[""2""]",bango-file,inititem.dat,279
87,5,resistlitning,"[""2""]",bango-file,inititem.dat,279
88,1,defense,"[""12""]",bango-file,inititem.dat,282
88,2,dodge,"[""14""]",bango-file,inititem.dat,282
88,3,resistfire,"[""1""]",bango-file,inititem.dat,282
88,4,resistice,"[""1""]",bango-file,inititem.dat,282
88,5,resistlitning,"[""1""]",bango-file,inititem.dat,282
89,1,defense,"[""8""]",bango-file,inititem.dat,285
89,2,dodge,"[""16""]",bango-file,inititem.dat,285
90,1,aspeed,"[""1000""]",bango-file,inititem.dat,290
90,2,Attack,"[""1"",""8""]",bango-file,inititem.dat,290
90,3,Magic,"[""2"",""12""]",bango-file,inititem.dat,290
90,4,hit,"[""12""]",bango-file,inititem.dat,290
91,1,aspeed,"[""1000""]",bango-file,inititem.dat,293
91,2,Attack,"[""7"",""14""]",bango-file,inititem.dat,293
91,3,Magic,"[""10"",""20""]",bango-file,inititem.dat,293
91,4,hit,"[""16""]",bango-file,inititem.dat,293
92,1,aspeed,"[""1000""]",bango-file,inititem.dat,296
92,2,Attack,"[""13"",""20""]",bango-file,inititem.dat,296
92,3,Magic,"[""19"",""31""]",bango-file,inititem.dat,296
92,4,hit,"[""20""]",bango-file,inititem.dat,296
93,1,aspeed,"[""1000""]",bango-file,inititem.dat,299
93,2,Attack,"[""20"",""27""]",bango-file,inititem.dat,299
93,3,Magic,"[""28"",""42""]",bango-file,inititem.dat,299
93,4,hit,"[""21""]",bango-file,inititem.dat,299
94,1,aspeed,"[""1000""]",bango-file,inititem.dat,302
94,2,Attack,"[""25"",""32""]",bango-file,inititem.dat,302
94,3,Magic,"[""40"",""56""]",bango-file,inititem.dat,302
94,4,hit,"[""26""]",bango-file,inititem.dat,302
95,1,aspeed,"[""1000""]",bango-file,inititem.dat,305
95,2,Attack,"[""33"",""40""]",bango-file,inititem.dat,305
95,3,Magic,"[""52"",""68""]",bango-file,inititem.dat,305
95,4,hit,"[""30""]",bango-file,inititem.dat,305
96,1,aspeed,"[""1000""]",bango-file,inititem.dat,308
96,2,Attack,"[""37"",""44""]",bango-file,inititem.dat,308
96,3,Magic,"[""58"",""78""]",bango-file,inititem.dat,308
96,4,hit,"[""35""]",bango-file,inititem.dat,308
97,1,aspeed,"[""1000""]",bango-file,inititem.dat,311
97,2,Attack,"[""44"",""51""]",bango-file,inititem.dat,311
97,3,Magic,"[""70"",""92""]",bango-file,inititem.dat,311
97,4,hit,"[""39""]",bango-file,inititem.dat,311
98,1,aspeed,"[""1000""]",bango-file,inititem.dat,314
98,2,Attack,"[""52"",""59""]",bango-file,inititem.dat,314
98,3,Magic,"[""79"",""103""]",bango-file,inititem.dat,314
98,4,hit,"[""43""]",bango-file,inititem.dat,314
99,1,aspeed,"[""700""]",bango-file,inititem.dat,319
99,2,Attack,"[""79"",""117""]",bango-file,inititem.dat,319
99,3,hit,"[""54""]",bango-file,inititem.dat,319
100,1,aspeed,"[""700""]",bango-file,inititem.dat,322
100,2,Attack,"[""74"",""184""]",bango-file,inititem.dat,322
100,3,hit,"[""55""]",bango-file,inititem.dat,322
101,1,aspeed,"[""700""]",bango-file,inititem.dat,325
101,2,Attack,"[""98"",""139""]",bango-file,inititem.dat,325
101,3,hit,"[""67""]",bango-file,inititem.dat,325
102,1,aspeed,"[""700""]",bango-file,inititem.dat,328
102,2,Attack,"[""104"",""146""]",bango-file,inititem.dat,328
102,3,hit,"[""60""]",bango-file,inititem.dat,328
103,1,aspeed,"[""700""]",bango-file,inititem.dat,331
103,2,Hth,"[""1""]",bango-file,inititem.dat,331
103,3,Attack,"[""122"",""152""]",bango-file,inititem.dat,331
103,4,hp,"[""150""]",bango-file,inititem.dat,331
103,5,hit,"[""62""]",bango-file,inititem.dat,331
104,1,aspeed,"[""700""]",bango-file,inititem.dat,334
104,2,Dex,"[""1""]",bango-file,inititem.dat,334
104,3,Attack,"[""80"",""204""]",bango-file,inititem.dat,334
104,4,hp,"[""100""]",bango-file,inititem.dat,334
104,5,mp,"[""50""]",bango-file,inititem.dat,334
104,6,hit,"[""68""]",bango-file,inititem.dat,334
105,1,aspeed,"[""800""]",bango-file,inititem.dat,337
105,2,Attack,"[""65"",""93""]",bango-file,inititem.dat,337
105,3,hit,"[""49""]",bango-file,inititem.dat,337
106,1,aspeed,"[""800""]",bango-file,inititem.dat,342
106,2,Attack,"[""58"",""151""]",bango-file,inititem.dat,342
106,3,hit,"[""50""]",bango-file,inititem.dat,342
107,1,aspeed,"[""800""]",bango-file,inititem.dat,345
107,2,Attack,"[""76"",""109""]",bango-file,inititem.dat,345
107,3,hit,"[""62""]",bango-file,inititem.dat,345
108,1,aspeed,"[""800""]",bango-file,inititem.dat,348
108,2,Attack,"[""85"",""118""]",bango-file,inititem.dat,348
108,3,hit,"[""54""]",bango-file,inititem.dat,348
109,1,aspeed,"[""800""]",bango-file,inititem.dat,351
109,2,Hth,"[""1""]",bango-file,inititem.dat,351
109,3,Attack,"[""100"",""128""]",bango-file,inititem.dat,351
109,4,hp,"[""150""]",bango-file,inititem.dat,351
109,5,hit,"[""60""]",bango-file,inititem.dat,351
110,1,aspeed,"[""800""]",bango-file,inititem.dat,354
110,2,Dex,"[""1""]",bango-file,inititem.dat,354
110,3,Attack,"[""72"",""182""]",bango-file,inititem.dat,354
110,4,hp,"[""100""]",bango-file,inititem.dat,354
110,5,mp,"[""50""]",bango-file,inititem.dat,354
110,6,hit,"[""65""]",bango-file,inititem.dat,354
111,1,aspeed,"[""1000""]",bango-file,inititem.dat,359
111,2,Attack,"[""60"",""67""]",bango-file,inititem.dat,359
111,3,Magic,"[""91"",""117""]",bango-file,inititem.dat,359
111,4,hit,"[""46""]",bango-file,inititem.dat,359
112,1,aspeed,"[""1000""]",bango-file,inititem.dat,362
112,2,Int,"[""3""]",bango-file,inititem.dat,362
112,3,Dex,"[""3""]",bango-file,inititem.dat,362
112,4,Attack,"[""26"",""43""]",bango-file,inititem.dat,362
112,5,Magic,"[""82"",""191""]",bango-file,inititem.dat,362
112,6,hit,"[""42""]",bango-file,inititem.dat,362
113,1,aspeed,"[""1000""]",bango-file,inititem.dat,365
113,2,Wis,"[""5""]",bango-file,inititem.dat,365
113,3,Dex,"[""2""]",bango-file,inititem.dat,365
113,4,Attack,"[""95"",""117""]",bango-file,inititem.dat,365
113,5,Magic,"[""84"",""93""]",bango-file,inititem.dat,365
113,6,mp,"[""150""]",bango-file,inititem.dat,365
113,7,hit,"[""72""]",bango-file,inititem.dat,365
114,1,aspeed,"[""1000""]",bango-file,inititem.dat,368
114,2,Attack,"[""78"",""85""]",bango-file,inititem.dat,368
114,3,Magic,"[""117"",""146""]",bango-file,inititem.dat,368
114,4,hit,"[""50""]",bango-file,inititem.dat,368
115,1,aspeed,"[""1000""]",bango-file,inititem.dat,371
115,2,Hth,"[""2""]",bango-file,inititem.dat,371
115,3,Attack,"[""78"",""89""]",bango-file,inititem.dat,371
115,4,Magic,"[""124"",""160""]",bango-file,inititem.dat,371
115,5,hp,"[""150""]",bango-file,inititem.dat,371
115,6,hit,"[""58""]",bango-file,inititem.dat,371
116,1,aspeed,"[""1000""]",bango-file,inititem.dat,374
116,2,Int,"[""2""]",bango-file,inititem.dat,374
116,3,Attack,"[""75"",""92""]",bango-file,inititem.dat,374
116,4,Magic,"[""93"",""225""]",bango-file,inititem.dat,374
116,5,hp,"[""100""]",bango-file,inititem.dat,374
116,6,mp,"[""50""]",bango-file,inititem.dat,374
116,7,hit,"[""54""]",bango-file,inititem.dat,374
117,1,defense,"[""35""]",bango-file,inititem.dat,379
117,2,dodge,"[""6""]",bango-file,inititem.dat,379
117,3,absorb,"[""4""]",bango-file,inititem.dat,379
118,1,defense,"[""29""]",bango-file,inititem.dat,382
118,2,dodge,"[""7""]",bango-file,inititem.dat,382
118,3,absorb,"[""1""]",bango-file,inititem.dat,382
119,1,defense,"[""29""]",bango-file,inititem.dat,385
119,2,dodge,"[""4""]",bango-file,inititem.dat,385
120,1,defense,"[""23""]",bango-file,inititem.dat,388
120,2,dodge,"[""17""]",bango-file,inititem.dat,388
120,3,absorb,"[""2""]",bango-file,inititem.dat,388
121,1,defense,"[""22""]",bango-file,inititem.dat,391
121,2,dodge,"[""16""]",bango-file,inititem.dat,391
122,1,defense,"[""35""]",bango-file,inititem.dat,394
122,2,dodge,"[""4""]",bango-file,inititem.dat,394
122,3,absorb,"[""2""]",bango-file,inititem.dat,394
123,1,defense,"[""23""]",bango-file,inititem.dat,397
123,2,dodge,"[""4""]",bango-file,inititem.dat,397
124,1,defense,"[""21""]",bango-file,inititem.dat,400
124,2,dodge,"[""5""]",bango-file,inititem.dat,400
125,1,defense,"[""22""]",bango-file,inititem.dat,403
125,2,dodge,"[""22""]",bango-file,inititem.dat,403
126,1,defense,"[""14""]",bango-file,inititem.dat,406
126,2,dodge,"[""25""]",bango-file,inititem.dat,406
127,1,defense,"[""21""]",bango-file,inititem.dat,409
127,2,dodge,"[""8""]",bango-file,inititem.dat,409
127,3,resistfire,"[""5""]",bango-file,inititem.dat,409
127,4,resistice,"[""5""]",bango-file,inititem.dat,409
127,5,resistlitning,"[""5""]",bango-file,inititem.dat,409
127,6,resistcurse,"[""2""]",bango-file,inititem.dat,409
127,7,resistpalsy,"[""2""]",bango-file,inititem.dat,409
128,1,defense,"[""17""]",bango-file,inititem.dat,412
128,2,dodge,"[""7""]",bango-file,inititem.dat,412
128,3,resistfire,"[""4""]",bango-file,inititem.dat,412
128,4,resistice,"[""4""]",bango-file,inititem.dat,412
128,5,resistlitning,"[""4""]",bango-file,inititem.dat,412
128,6,resistcurse,"[""1""]",bango-file,inititem.dat,412
128,7,resistpalsy,"[""1""]",bango-file,inititem.dat,412
129,1,defense,"[""15""]",bango-file,inititem.dat,415
129,2,dodge,"[""7""]",bango-file,inititem.dat,415
129,3,resistfire,"[""3""]",bango-file,inititem.dat,415
129,4,resistice,"[""3""]",bango-file,inititem.dat,415
129,5,resistlitning,"[""3""]",bango-file,inititem.dat,415
129,6,resistcurse,"[""1""]",bango-file,inititem.dat,415
129,7,resistpalsy,"[""1""]",bango-file,inititem.dat,415
130,1,defense,"[""16""]",bango-file,inititem.dat,418
130,2,dodge,"[""18""]",bango-file,inititem.dat,418
130,3,resistfire,"[""2""]",bango-file,inititem.dat,418
130,4,resistice,"[""2""]",bango-file,inititem.dat,418
130,5,resistlitning,"[""2""]",bango-file,inititem.dat,418
130,6,resistcurse,"[""1""]",bango-file,inititem.dat,418
130,7,resistpalsy,"[""1""]",bango-file,inititem.dat,418
131,1,defense,"[""11""]",bango-file,inititem.dat,421
131,2,dodge,"[""20""]",bango-file,inititem.dat,421
131,3,resistfire,"[""1""]",bango-file,inititem.dat,421
131,4,resistice,"[""1""]",bango-file,inititem.dat,421
131,5,resistlitning,"[""1""]",bango-file,inititem.dat,421
187,1,teleport,"[""0"",""0""]",bango-file,inititem.dat,593
188,1,teleport,"[""0"",""1""]",bango-file,inititem.dat,596
189,1,teleport,"[""0"",""2""]",bango-file,inititem.dat,599
190,1,teleport,"[""0"",""3""]",bango-file,inititem.dat,602
191,1,teleport,"[""0"",""4""]",bango-file,inititem.dat,605
192,1,teleport,"[""1"",""0""]",bango-file,inititem.dat,608
193,1,teleport,"[""1"",""1""]",bango-file,inititem.dat,611
194,1,teleport,"[""1"",""2""]",bango-file,inititem.dat,614
195,1,teleport,"[""1"",""3""]",bango-file,inititem.dat,617
196,1,teleport,"[""1"",""4""]",bango-file,inititem.dat,620
202,1,Str,"[""1""]",bango-file,inititem.dat,629
202,2,hp,"[""280""]",bango-file,inititem.dat,629
202,3,mp,"[""40""]",bango-file,inititem.dat,629
203,1,Dex,"[""1""]",bango-file,inititem.dat,632
203,2,hp,"[""180""]",bango-file,inititem.dat,632
203,3,mp,"[""140""]",bango-file,inititem.dat,632
204,1,Wis,"[""1""]",bango-file,inititem.dat,635
204,2,hp,"[""20""]",bango-file,inititem.dat,635
204,3,mp,"[""300""]",bango-file,inititem.dat,635
218,1,charming,"[""xattack""]",bango-file,inititem.dat,681
219,1,charming,"[""xmagic""]",bango-file,inititem.dat,684
220,1,charming,"[""xhit""]",bango-file,inititem.dat,687
221,1,charming,"[""xdefense""]",bango-file,inititem.dat,690
222,1,charming,"[""xdodge""]",bango-file,inititem.dat,693
223,1,repair,"[""0"",""1""]",bango-file,inititem.dat,696
224,1,repair,"[""0"",""1""]",bango-file,inititem.dat,699
237,1,refresh,"[""hp"",""300""]",bango-file,inititem.dat,742
239,1,refresh,"[""hp"",""300""]",bango-file,inititem.dat,748
240,1,refresh,"[""hp"",""300""]",bango-file,inititem.dat,751
241,1,refresh,"[""hp"",""300""]",bango-file,inititem.dat,754
242,1,aspeed,"[""700""]",bango-file,inititem.dat,759
242,2,Str,"[""1""]",bango-file,inititem.dat,759
242,3,Hth,"[""2""]",bango-file,inititem.dat,759
242,4,Attack,"[""147"",""187""]",bango-file,inititem.dat,759
242,5,hp,"[""200""]",bango-file,inititem.dat,759
242,6,hit,"[""72""]",bango-file,inititem.dat,759
243,1,aspeed,"[""700""]",bango-file,inititem.dat,762
243,2,Str,"[""3""]",bango-file,inititem.dat,762
243,3,Attack,"[""163"",""203""]",bango-file,inititem.dat,762
243,4,hp,"[""150""]",bango-file,inititem.dat,762
243,5,hit,"[""68""]",bango-file,inititem.dat,762
244,1,aspeed,"[""700""]",bango-file,inititem.dat,765
244,2,Str,"[""1""]",bango-file,inititem.dat,765
244,3,Hth,"[""2""]",bango-file,inititem.dat,765
244,4,Dex,"[""1""]",bango-file,inititem.dat,765
244,5,Attack,"[""132"",""172""]",bango-file,inititem.dat,765
244,6,hp,"[""100""]",bango-file,inititem.dat,765
244,7,mp,"[""50""]",bango-file,inititem.dat,765
244,8,hit,"[""76""]",bango-file,inititem.dat,765
245,1,aspeed,"[""800""]",bango-file,inititem.dat,768
245,2,Dex,"[""3""]",bango-file,inititem.dat,768
245,3,Attack,"[""112"",""182""]",bango-file,inititem.dat,768
245,4,hp,"[""150""]",bango-file,inititem.dat,768
245,5,hit,"[""70""]",bango-file,inititem.dat,768
246,1,aspeed,"[""800""]",bango-file,inititem.dat,771
246,2,Dex,"[""3""]",bango-file,inititem.dat,771
246,3,Attack,"[""127"",""197""]",bango-file,inititem.dat,771
246,4,hp,"[""100""]",bango-file,inititem.dat,771
246,5,mp,"[""50""]",bango-file,inititem.dat,771
246,6,hit,"[""68""]",bango-file,inititem.dat,771
247,1,aspeed,"[""800""]",bango-file,inititem.dat,774
247,2,Str,"[""1""]",bango-file,inititem.dat,774
247,3,Dex,"[""3""]",bango-file,inititem.dat,774
247,4,Attack,"[""97"",""167""]",bango-file,inititem.dat,774
247,5,hp,"[""100""]",bango-file,inititem.dat,774
247,6,hit,"[""72""]",bango-file,inititem.dat,774
248,1,aspeed,"[""1000""]",bango-file,inititem.dat,777
248,2,Int,"[""3""]",bango-file,inititem.dat,777
248,3,Attack,"[""109"",""119""]",bango-file,inititem.dat,777
248,4,Magic,"[""135"",""225""]",bango-file,inititem.dat,777
248,5,hp,"[""150""]",bango-file,inititem.dat,777
