que_id,step_index,item_ordinal,item_id,item_name,count,provenance,source_file,source_line
9006,1,3,236,Petition of A Parents,1,bango-file,questlist.dat,37
9006,2,1,227,Devil Soldier's Head,1,bango-file,questlist.dat,37
9006,2,2,228,Devil Soldier Twin Blades' Head,1,bango-file,questlist.dat,37
9006,2,3,229,Devil Soldier Bow's Head,1,bango-file,questlist.dat,37
9006,2,4,230,Devil Soldier Sword's Head,1,bango-file,questlist.dat,37
9006,2,5,231,Devil Soldier Spear's Head,1,bango-file,questlist.dat,37
9006,3,1,232,Devil Soldier Sub-boss' Head,1,bango-file,questlist.dat,37
9006,3,2,233,Devil Soldier Boss' Head,1,bango-file,questlist.dat,37
28,1,1,209,Wolf Tooth Necklace,1,bango-file,questlist.dat,38
29,1,1,210,Ghost's Bead,10,bango-file,questlist.dat,39
29,1,2,217,Talisman of Purification,1,bango-file,questlist.dat,39
24,1,1,141,Demon Troop's Confidential Document,1,bango-file,questlist.dat,40
30,1,1,211,Ghost of Blacksmith's Bead,10,bango-file,questlist.dat,41
31,1,1,212,Ghost of Guard's Bead,10,bango-file,questlist.dat,42
25,1,1,168,Demon Water Dragon Commander's Skin,1,bango-file,questlist.dat,43
32,1,1,213,Ghost of Fellow Traveler's Bead,10,bango-file,questlist.dat,44
33,1,1,214,Sealed Ghost Troop's Bead,10,bango-file,questlist.dat,45
34,1,1,215,Devil Soldier's Bow,10,bango-file,questlist.dat,46
35,1,1,216,Devil Soldier's Spear,10,bango-file,questlist.dat,47
9007,1,1,448,Green Crystal of Doggebi Forest,1,bango-file,questlist.dat,48
36,2,1,335,Head of Huhn-Woong's Enemy,1,bango-file,questlist.dat,49
39,1,1,346,Devil Troop of Pain's Mask,100,bango-file,questlist.dat,50
38,2,1,340,Secret Letter of Hong-Jun,1,bango-file,questlist.dat,51
38,4,1,341,Head of Heuk-Yong,1,bango-file,questlist.dat,51
38,4,2,342,Head of Dae-Ill,1,bango-file,questlist.dat,51
38,4,3,343,Head of Goon-Sangji,1,bango-file,questlist.dat,51
38,4,4,344,Head of Yoo,1,bango-file,questlist.dat,51
38,4,5,345,Head of Ma-Gwang,1,bango-file,questlist.dat,51
40,1,1,347,Devil Troop of Greed's Mask,100,bango-file,questlist.dat,52
41,1,1,348,Devil Troop of Jealousy's Mask,100,bango-file,questlist.dat,53
45,3,1,357,Head Skin of Yong-Chun,1,bango-file,questlist.dat,54
45,3,2,358,Secret Letter,1,bango-file,questlist.dat,54
45,4,1,357,Head Skin of Yong-Chun,1,bango-file,questlist.dat,54
45,4,2,358,Secret Letter,1,bango-file,questlist.dat,54
42,1,1,349,Devil Troop of Hatred's Mask,100,bango-file,questlist.dat,55
46,1,1,359,Rope,1,bango-file,questlist.dat,56
9008,2,1,449,Spirit of Doggebi of Monster Face,1,bango-file,questlist.dat,57
9008,2,2,450,Spirit of Doggebi with a Gong,1,bango-file,questlist.dat,57
9008,2,3,451,Spirit of Drunken Doggebi,1,bango-file,questlist.dat,57
9008,2,4,452,Spirit of Doggebi with a Mask of Black Crow,1,bango-file,questlist.dat,57
9008,2,5,453,Spirit of Doggebi with a Mask of Black Panther,1,bango-file,questlist.dat,57
9008,2,6,454,Spirit of Giant Doggebi,1,bango-file,questlist.dat,57
9008,2,7,455,Spirit of Guardian of Doggebi,1,bango-file,questlist.dat,57
9008,3,1,456,Chief of Angry Doggebi Troop's Dead Body,1,bango-file,questlist.dat,57
43,1,1,350,Devil Troop of Madness' Mask,100,bango-file,questlist.dat,58
44,1,1,355,Defective Doggebi's Doll,1,bango-file,questlist.dat,59
44,2,1,355,Defective Doggebi's Doll,1,bango-file,questlist.dat,59
44,3,1,356,Doggebi's Doll,1,bango-file,questlist.dat,59
47,1,1,387,Blood of Big Handed,5,bango-file,questlist.dat,60
47,1,2,389,Doggebi of Monster Face's Broom,1,bango-file,questlist.dat,60
48,1,1,387,Blood of Big Handed,5,bango-file,questlist.dat,61
48,1,2,390,Doggebi with a Gong's Broom,1,bango-file,questlist.dat,61
49,1,1,387,Blood of Big Handed,5,bango-file,questlist.dat,62
49,1,2,391,Drunken Doggebi's Broom,1,bango-file,questlist.dat,62
50,1,1,387,Blood of Big Handed,5,bango-file,questlist.dat,63
50,1,2,392,Doggebi with a Mask of Black Crow's Broom,1,bango-file,questlist.dat,63
51,1,1,387,Blood of Big Handed,5,bango-file,questlist.dat,64
51,1,2,393,Doggebi with a Mask of Black Panther's Broom,1,bango-file,questlist.dat,64
52,1,1,387,Blood of Big Handed,5,bango-file,questlist.dat,66
52,1,2,394,Giant Doggebi's Broom,1,bango-file,questlist.dat,66
53,1,1,388,Blood of Water Dragon,5,bango-file,questlist.dat,67
53,1,2,395,Guardian of Doggebi's Stone,1,bango-file,questlist.dat,67
58,2,1,432,Skeleton Warrior's Head,5,bango-file,questlist.dat,68
59,1,1,433,Skeleton Warrior's Ribs,5,bango-file,questlist.dat,69
60,1,1,434,Royal Tomb Keeper's Book,5,bango-file,questlist.dat,70
61,1,1,435,Royal Tomb Keeper's Lute,5,bango-file,questlist.dat,71
62,1,1,436,Royal Tomb Keeper's Sword,5,bango-file,questlist.dat,72
63,1,1,437,Royal Tomb Keeper's Shield,5,bango-file,questlist.dat,73
64,1,1,438,Royal Tomb Keeper's Spear,5,bango-file,questlist.dat,74
65,1,1,439,Royal Tomb Keeper's Iron Hammer,5,bango-file,questlist.dat,75
9010,1,1,1471,"Jea-Ga, letters of introduction",1,bango-file,questlist.dat,76
9010,2,1,1461,element of fire,20,bango-file,questlist.dat,76
9010,2,2,1462,element of water,20,bango-file,questlist.dat,76
9010,2,3,1463,element of wood,20,bango-file,questlist.dat,76
9010,2,4,1464,element of iron,20,bango-file,questlist.dat,76
9010,2,5,1465,element of ground,20,bango-file,questlist.dat,76
9010,3,1,1466,the purified element of fire,1,bango-file,questlist.dat,76
9010,3,2,1467,the purified element of water,1,bango-file,questlist.dat,76
9010,3,3,1468,the purified element of wood,1,bango-file,questlist.dat,76
9010,3,4,1469,the purified element of iron,1,bango-file,questlist.dat,76
9010,3,5,1470,the purified element of ground,1,bango-file,questlist.dat,76
9010,4,1,1493,Necklace of Evil,1,bango-file,questlist.dat,76
9010,4,2,1494,Lord's Jaw,1,bango-file,questlist.dat,76
9010,4,3,1495,Monster's Right Arm,1,bango-file,questlist.dat,76
9010,4,4,1496,Sword of the Chief Defender,1,bango-file,questlist.dat,76
9010,5,1,1497,Complete E-moogy's Scale,1,bango-file,questlist.dat,76
9010,5,2,1498,Horn of Doggebi Lord,1,bango-file,questlist.dat,76
10001,1,1,1612,Essence of fire element,1,bango-file,questlist.dat,78
10001,1,2,1613,Essence of water element,1,bango-file,questlist.dat,78
10001,1,3,1614,Essence of wood element,1,bango-file,questlist.dat,78
10001,1,4,1615,Essence of iron element,1,bango-file,questlist.dat,78
10001,1,5,1616,Essence of earth element,1,bango-file,questlist.dat,78
10002,1,1,1617,Essence of undead,100,bango-file,questlist.dat,79
10003,1,1,1619,I'Lryer's ring,1,bango-file,questlist.dat,80
66,1,1,1693,Crazy Demon Worker's Axe,20,bango-file,questlist.dat,83
70,1,1,1715,Yun-Hwa's Letter,1,bango-file,questlist.dat,84
70,1,2,1716,Elite Skeleton Head,50,bango-file,questlist.dat,84
71,1,1,1717,Elite Skeletion Archer Head,10,bango-file,questlist.dat,85
72,1,1,1740,Wolf Fur,20,bango-file,questlist.dat,86
80,1,1,1736,Water Bag,50,bango-file,questlist.dat,87
10007,4,1,1692,Demon Troop's Catapult lever,10,bango-file,questlist.dat,88
10009,2,1,1694,Sealed Stone with Village Headman's Spirit,1,bango-file,questlist.dat,89
67,1,1,1712,Poppy,10,bango-file,questlist.dat,90
77,1,1,1733,Blue Bead,1,bango-file,questlist.dat,93
77,1,2,1734,Treasure Sword,1,bango-file,questlist.dat,93
77,1,3,1735,Book,1,bango-file,questlist.dat,93
78,1,1,1737,Bear Head,30,bango-file,questlist.dat,94
20017,1,1,1740,Wolf Fur,100,bango-file,questlist.dat,95
69,1,1,1714,Soo-Ryun's Letter,1,bango-file,questlist.dat,96
73,1,1,1739,Degenarated Twisted Demon Nail,20,bango-file,questlist.dat,97
75,1,1,1729,Scorpions Poisoned needle,5,bango-file,questlist.dat,98
75,1,2,1730,Bear's gall,5,bango-file,questlist.dat,98
91,1,1,1783,Wild Boar's horn,50,bango-file,questlist.dat,100
20018,1,1,2647,Wild Boar Fur,100,bango-file,questlist.dat,101
76,1,1,1732,Goblin of Strategic Book,1,bango-file,questlist.dat,102
81,1,1,1772,Goblin's Decoder,1,bango-file,questlist.dat,103
86,1,1,1775,Wolf Commander Head,1,bango-file,questlist.dat,104
92,1,1,2646,Degenarated Twisted Demon Jaw,80,bango-file,questlist.dat,105
93,1,1,1785,Poisonous liquid,1,bango-file,questlist.dat,106
93,1,2,1786,Diluted Poisonous Liquid,50,bango-file,questlist.dat,106
20020,1,1,1730,Bear's gall,10,bango-file,questlist.dat,108
82,1,1,1795,Goblin's pocket,10,bango-file,questlist.dat,109
87,1,1,1776,Scorpion Shell,10,bango-file,questlist.dat,111
88,1,1,1794,Properly Brown Bear meat,10,bango-file,questlist.dat,112
94,1,1,1788,Secret document,50,bango-file,questlist.dat,113
84,1,1,1773,Crazy Demon Worker's Leader Head,1,bango-file,questlist.dat,114
95,1,1,1789,Guard of D'evah's Commander Head,1,bango-file,questlist.dat,118
