namespace,message_id,text,definition_ordinal,provenance,source_file,source_line
sys,263,Option,1,bango-file,message.dat,326
sys,264,Task,1,bango-file,message.dat,327
sys,265,Mission (Hotkey:Q),1,bango-file,message.dat,328
sys,266,Government position has been changed from %1 to %2.,1,bango-file,message.dat,329
sys,267,Contribution,1,bango-file,message.dat,330
sys,268,Unable to connect to the server because of the busyness. Please use another server.,1,bango-file,message.dat,331
sys,269,You redeemed the %1 item.,1,bango-file,message.dat,332
sys,270,You redeemed %2!d! of %1 items.,1,bango-file,message.dat,333
sys,271,#n Party request has been made to the other character.,1,bango-file,message.dat,335
sys,272,Party request has been made to %1.,1,bango-file,message.dat,336
sys,273,You redeemed %1!d! Geon.,1,bango-file,message.dat,337
sys,274,/refusetrade ,1,bango-file,message.dat,338
sys,275,Trade status has been changed to refusal.,1,bango-file,message.dat,339
sys,276,/allowtrade,1,bango-file,message.dat,340
sys,277, Refusal status for trade has been canceled.,1,bango-file,message.dat,341
sys,278,/refuseparty,1,bango-file,message.dat,342
sys,279,Party status has been changed to refusal.,1,bango-file,message.dat,343
sys,280,/allowparty,1,bango-file,message.dat,344
sys,281,Refusal status for party has been canceled.,1,bango-file,message.dat,346
sys,282,This place is saved as the revival place.,1,bango-file,message.dat,347
sys,283,The last saved revival place is %1.,1,bango-file,message.dat,348
sys,284,Moving to %1.,1,bango-file,message.dat,349
sys,285,Above %1 %2!d! level,1,bango-file,message.dat,350
sys,286,[Training Completed %1!d!],1,bango-file,message.dat,351
sys,287,"Try enchanting. But when it fails, its endurance may be reduced or destroyed. Continue to try enchanting?",1,bango-file,message.dat,352
sys,288,Enchanting %1 has failed. The endurance has reduced by %2!d!.,1,bango-file,message.dat,353
sys,289,Additional damage of %1 by the series of magic.,1,bango-file,message.dat,354
sys,290,%1 has been destroyed.,1,bango-file,message.dat,355
sys,291,%1 has succeeded to enchant and the item's value has increased.,1,bango-file,message.dat,357
sys,292,This item cannot be enchanted.,1,bango-file,message.dat,358
sys,293,Enchanting cannot be tried to the item with 0 endurance.,1,bango-file,message.dat,359
sys,294,Enchanting only can be tried to the level 40 or above of the items.,1,bango-file,message.dat,360
sys,295,"When the item is repaired with the fixing tool, the endurance will be increased by 1. Do you want to repair it?",1,bango-file,message.dat,361
sys,296,"Succeed to repair. Fixing Tool decreased by 1, the endurance increased by %1!d!.",1,bango-file,message.dat,362
sys,297,This item doesn't need to be repaired.,1,bango-file,message.dat,363
sys,298,This item cannot be repaired.,1,bango-file,message.dat,364
sys,299,Enchanting %1 has failed and the its value has decreased.,1,bango-file,message.dat,365
sys,300,Current item's endurance is 3 or below. The item can be destroyed when the endurance gets reduced. Do you want to try?,1,bango-file,message.dat,366
sys,301,%1 got %2.,1,bango-file,message.dat,368
sys,302,Strengthened,1,bango-file,message.dat,369
sys,307,This item is already registered.,1,bango-file,message.dat,379
sys,308,Not enough money.,1,bango-file,message.dat,380
sys,309,Private Shop,1,bango-file,message.dat,381
sys,310,#nOpen shop for selling items.,1,bango-file,message.dat,382
sys,311,Please enter name for your shop,1,bango-file,message.dat,384
sys,312,Please register the item that you want to sell,1,bango-file,message.dat,385
sys,313,%1 is already sold.,1,bango-file,message.dat,386
sys,314, There're some change in quantity  or the price of %1. Please try again.,1,bango-file,message.dat,387
sys,315,There's no item to be sold or wrong quantity of item. Please try again.,1,bango-file,message.dat,388
sys,316,"It's already been registered for sale. If the price or quantity, please remove the item on the list.",1,bango-file,message.dat,389
sys,317,"Currently, the shop can't be open.",1,bango-file,message.dat,390
sys,318,The other party Close the shop so the trade has not been made.,1,bango-file,message.dat,391
sys,319,Requirement for the food is not satisfied.,1,bango-file,message.dat,392
sys,320,Set Quantity,1,bango-file,message.dat,393
sys,321,Set Price,1,bango-file,message.dat,395
sys,322,Baked Mackerel in Soy Sauce   	Price: 10,1,bango-file,message.dat,396
sys,323,Baked Mackerel with Spicy Sauce  Price: 10,1,bango-file,message.dat,397
sys,324,Hard-boiled Mackerel        		Price: 10,1,bango-file,message.dat,398
sys,325,Smoked Salmon			Price: 100,1,bango-file,message.dat,399
sys,326,Hard-boiled Salmon with Bean Paste   Price: 200,1,bango-file,message.dat,400
sys,327,Baked Eel				Price: 1000,1,bango-file,message.dat,401
sys,328,Eel Soup				Price: 1000,1,bango-file,message.dat,402
sys,329, Food ,1,bango-file,message.dat,403
sys,330,Please select the item first.,1,bango-file,message.dat,404
sys,331,No more item can be added.,1,bango-file,message.dat,406
sys,332,It's not supported ID(name).,1,bango-file,message.dat,407
sys,333,Please select the list,1,bango-file,message.dat,408
sys,334,Please select the quantity,1,bango-file,message.dat,409
sys,335,It can' be used on equipped item.,1,bango-file,message.dat,410
sys,336,The other party can't trade right now.,1,bango-file,message.dat,411
sys,337,The other party can't make a party right now.,1,bango-file,message.dat,412
sys,338,<Shop>,1,bango-file,message.dat,413
sys,339,[Master of Paper-Rock-Scissors] I've been lost so many times but I exercised a lot. Now it's whole different story! Let's Rock~!,1,bango-file,message.dat,414
sys,340,[Master of Paper-Rock-Scissors] Oh... Man~. I lost once. But no more winning. Let's go to the second round.,1,bango-file,message.dat,415
sys,341,[Master of Paper-Rock-Scissors] Hm... You're good. It's been a long time to lose a two times in a raw. But your luck ends here. Let's do it again!,1,bango-file,message.dat,417
sys,342,[Master of Paper-Rock-Scissors] What! I've lost it again? Aren't you cheating? Let's do it again. I'll watch you this time for no cheating!,1,bango-file,message.dat,418
sys,343,[Master of Paper-Rock-Scissors] Wow... You're awesome. But give me one last chance. I'm the master of Paper-Rock-Scissors. Let's play one last time.,1,bango-file,message.dat,419
sys,344,Congratulations. You won %1!d! time(s).,1,bango-file,message.dat,420
sys,345,Drew the game. Please decide again.,1,bango-file,message.dat,421
sys,346,You lost. Please play it again after 1 hour.,1,bango-file,message.dat,422
sys,347,[Master of Paper-Rock-Scissors] Uh hu hu hu... Great!!! You've won 5 in a row against me. Come back after 1 hour and let's play again!,1,bango-file,message.dat,423
sys,348,[Master of Paper-Rock-Scissors] Ha ha ha! I won~ Come back after 1 hour if you want to try again!,1,bango-file,message.dat,424
sys,349,[Master],1,bango-file,message.dat,425
sys,350,[Scissors],1,bango-file,message.dat,426
sys,351,[Rock],1,bango-file,message.dat,428
sys,352,[Paper],1,bango-file,message.dat,429
sys,353,Limited once in 1 hour. Decide carefully. Are you sure you want to try?,1,bango-file,message.dat,430
sys,354,You can't join in the [Paper-Rock-Scissors] event. 1 hour must be passed to get a chance to join in.,1,bango-file,message.dat,431
sys,355,[Master of Paper-Rock-Scissors] Oh! Draw... Let's do it again!,1,bango-file,message.dat,432
sys,356,  Won.,1,bango-file,message.dat,433
sys,357,  Draw.,1,bango-file,message.dat,434
sys,358,  Lost.,1,bango-file,message.dat,435
sys,359,Buy,1,bango-file,message.dat,436
sys,360,You must be level 5 or higher to join in the [Paper-Rock-Scissors] event.,1,bango-file,message.dat,437
sys,361,Item that is registered on the shop can't be equipped.,1,bango-file,message.dat,439
sys,362,You're currently unable to fight. Press [Start from Village] button for reviving from saved village.,1,bango-file,message.dat,440
sys,363,%1 spells  %2 on you. Do you accept?,1,bango-file,message.dat,441
sys,364,%2!d! %1 item(s) has been sold.,1,bango-file,message.dat,442
sys,365,%1 item has been sold.,1,bango-file,message.dat,443
sys,366,There's no free space on the item list.,1,bango-file,message.dat,444
sys,367,There's no free space on the storage.,1,bango-file,message.dat,445
sys,368,Price for each:,1,bango-file,message.dat,446
sys,369,End Shop,1,bango-file,message.dat,447
sys,370,the %1's attack is blocked.,1,bango-file,message.dat,448
sys,371,Defensive incantation 1,1,bango-file,message.dat,451
sys,372,Meditation,1,bango-file,message.dat,452
sys,373,Chance Capture,1,bango-file,message.dat,453
sys,374,Revival Sequela,1,bango-file,message.dat,454
sys,375,Enchanting item and the talisman are different.,1,bango-file,message.dat,455
sys,376,Limitation: %1 Level %2!d!,1,bango-file,message.dat,456
sys,377,Effective on: Armor,1,bango-file,message.dat,457
sys,378,Effective on: Weapon,1,bango-file,message.dat,458
sys,379,Effective on: Accessory,1,bango-file,message.dat,459
sys,380,Percentage of Success: %1!d! %%,1,bango-file,message.dat,460
sys,381,Evaded the %1's attack.,1,bango-file,message.dat,462
sys,382,Physical Attack,1,bango-file,message.dat,464
sys,383,Magical Attack,1,bango-file,message.dat,465
sys,384,Revive,1,bango-file,message.dat,466
sys,385,Start from village,1,bango-file,message.dat,467
sys,386,Start from village,1,bango-file,message.dat,468
sys,387,"After 10 sec from the last battle, you may log-out from the game.",1,bango-file,message.dat,469
sys,388,%1 skill is enable now.,1,bango-file,message.dat,470
sys,389,Try enchanting.[%1]is disappeared [%2 / %3] is created. But when it fails [%4] is remained and the duration is decreased or destroyed. Are you sure you want to try?,1,bango-file,message.dat,471
sys,390,%1 is changed due to success of enchanting.,1,bango-file,message.dat,472
sys,391,Active,1,bango-file,message.dat,474
sys,392,Passive,1,bango-file,message.dat,475
sys,393,Action,1,bango-file,message.dat,476
sys,394,Defensive incantation 2,1,bango-file,message.dat,477
sys,395,Defensive incantation 3,1,bango-file,message.dat,478
sys,396,Defensive incantation 4,1,bango-file,message.dat,479
sys,397,Defensive incantation 5,1,bango-file,message.dat,480
sys,398,Earth's power has been disappeared from your body.,1,bango-file,message.dat,481
sys,399,Typed name is not registered or valid.,1,bango-file,message.dat,492
sys,400,You can't recommend yourself.,1,bango-file,message.dat,493
sys,401,The character is not a new member.,1,bango-file,message.dat,495
sys,402,The selected character is recommended.,1,bango-file,message.dat,496
sys,403,Level %1!d! or higher can join in the event.,1,bango-file,message.dat,497
sys,404,You already recommended another character.,1,bango-file,message.dat,498
sys,405,The input name is not registered or valid.,1,bango-file,message.dat,499
sys,406,%1 skill must be used with weapon.,1,bango-file,message.dat,501
sys,407,%1's EXP has increased by %2!d!.,1,bango-file,message.dat,502
sys,408,%1's level has increased by %2!d!.,1,bango-file,message.dat,503
sys,409,Muscle solidity,1,bango-file,message.dat,504
sys,410,Increasing Concentration,1,bango-file,message.dat,505
sys,411,Speed Up,1,bango-file,message.dat,507
sys,412,Poison,1,bango-file,message.dat,508
sys,413,     Position,1,bango-file,message.dat,509
sys,414,     Name,1,bango-file,message.dat,510
sys,415, Level,1,bango-file,message.dat,511
sys,416,%1 poisoned you.,1,bango-file,message.dat,512
sys,417,Poison has removed from the body.,1,bango-file,message.dat,513
sys,418,Agree,1,bango-file,message.dat,514
sys,419,Objection,1,bango-file,message.dat,515
sys,420,Declaration of Guild Creation,1,bango-file,message.dat,516
sys,421,Declaration of Guild Creation Cancel,1,bango-file,message.dat,518
sys,422,"Guild Creation must be declared by leader of party of 6. All members should not be in any guild and total contribution must be over 60. Also there's 100,000 guild creation fee. Must be Agreed with all the above for creating a guild.",1,bango-file,message.dat,519
sys,423,"All 5 members' agreement is required. Now waiting for their agreement. If they agreed, you're selected as a guild leader and guild is made.",1,bango-file,message.dat,520
sys,424,Guild Creation has decided by the leader's declaration and the agreements of members. The leader declared for guild creation. Guild creation needs your agreement and when the guild is created the leader will be a leader of the guild and you will be the one of the members.,1,bango-file,message.dat,521
sys,425,"Guild Creation requires donation. Guild Creation collect 100,000 Geon for donation. Agree this for creating guild successfully.",1,bango-file,message.dat,522
sys,426,Name of the guild is %1. Guild name can't be changed. Please make one carefully. Do you want to use the guild name as %2?,1,bango-file,message.dat,523
sys,427,%1 is logged in.,1,bango-file,message.dat,524
sys,428,%1 is logged out.,1,bango-file,message.dat,525
sys,429,Level must be 30 or higher to declare guild creation.,1,bango-file,message.dat,526
sys,430,"Guild Creation requires donation as 100,000 Geon.",1,bango-file,message.dat,527
sys,431,"Only the leader can declare guild creation. Currently, you're no a leader of party.",1,bango-file,message.dat,529
