source_file,record_ordinal,source_line,record_type,record_json,source_kind,provenance
event.dat,11,88,camera,"[""camera"",[""key"",""11""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""2801.83"",""2289.36"",""23727.64"",""318.74"",""15.46""],[""target"",""2"",""2801.83"",""2289.36"",""23727.64"",""318.74"",""15.46""]]",decoded-bytes-complete,bango-file
event.dat,12,95,camera,"[""camera"",[""key"",""12""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""2877.54"",""2272.99"",""23756.87"",""261.45"",""-6.30""],[""target"",""2"",""2877.54"",""2272.99"",""23756.87"",""261.45"",""-6.30""]]",decoded-bytes-complete,bango-file
event.dat,13,102,camera,"[""camera"",[""key"",""13""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""2763.61"",""2279.91"",""23779.97"",""146.28"",""-4.01""],[""target"",""2"",""2763.61"",""2279.91"",""23779.97"",""146.28"",""-4.01""]]",decoded-bytes-complete,bango-file
event.dat,14,109,camera,"[""camera"",[""key"",""14""],[""total"",""7""],[""loop"",""6""],[""target"",""1"",""4879.88"",""3386.02"",""20452.60"",""37.24"",""44.11""],[""target"",""2"",""4771.13"",""3278.81"",""20817.22"",""77.92"",""44.11""],[""target"",""3"",""4974.84"",""3172.43"",""21358.13"",""120.89"",""41.25""],[""target"",""3"",""5469.04"",""3026.81"",""21485.93"",""191.94"",""32.65""],[""target"",""2"",""5673.62"",""2883.56"",""21275.64"",""236.63"",""16.04""],[""target"",""2"",""5587.10"",""2818.47"",""21200.21"",""245.22"",""-1.71""],[""target"",""2"",""5587.10"",""2818.47"",""21200.21"",""245.22"",""-1.71""]]",decoded-bytes-complete,bango-file
event.dat,15,121,camera,"[""camera"",[""key"",""15""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""5492.41"",""2840.22"",""21154.73"",""196.52"",""14.89""],[""target"",""2"",""5492.41"",""2840.22"",""21154.73"",""196.52"",""14.89""]]",decoded-bytes-complete,bango-file
event.dat,16,128,camera,"[""camera"",[""key"",""16""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""5485.45"",""2837.81"",""21084.45"",""356.56"",""9.16""],[""target"",""2"",""5485.45"",""2837.81"",""21084.45"",""356.56"",""9.16""]]",decoded-bytes-complete,bango-file
event.dat,17,135,camera,"[""camera"",[""key"",""17""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""5426.35"",""2836.65"",""21284.65"",""160.61"",""1.71""],[""target"",""2"",""5426.35"",""2836.65"",""21284.65"",""160.61"",""1.71""]]",decoded-bytes-complete,bango-file
event.dat,18,142,camera,"[""camera"",[""key"",""18""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""-4182.81"",""1615.71"",""-2714.66"",""123.75"",""5.15""],[""target"",""2"",""-4182.81"",""1615.71"",""-2714.66"",""123.75"",""5.15""]]",decoded-bytes-complete,bango-file
event.dat,19,149,camera,"[""camera"",[""key"",""19""],[""total"",""3""],[""loop"",""1""],[""target"",""1"",""5657.34"",""1977.15"",""-19819.36"",""262.39"",""3.05""],[""target"",""4"",""5656.59"",""1980.03"",""-19814.35"",""258.38"",""0.76""],[""target"",""4"",""5657.34"",""1977.15"",""-19819.36"",""262.39"",""3.05""]]",decoded-bytes-complete,bango-file
event.dat,20,157,camera,"[""camera"",[""key"",""20""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""6177.22"",""1982.60"",""-18904.54"",""46.78"",""-0.95""],[""target"",""2"",""6177.22"",""1982.60"",""-18904.54"",""46.78"",""-0.95""]]",decoded-bytes-complete,bango-file
event.dat,21,164,camera,"[""camera"",[""key"",""21""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""6618.17"",""1991.53"",""-18672.76"",""70.27"",""-14.13""],[""target"",""2"",""6618.17"",""1991.53"",""-18672.76"",""70.27"",""-14.13""]]",decoded-bytes-complete,bango-file
event.dat,22,171,camera,"[""camera"",[""key"",""22""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""11110.66"",""2042.40"",""-30166.56"",""76.20"",""0.00""],[""target"",""2"",""11110.66"",""2042.40"",""-30166.56"",""76.20"",""0.00""]]",decoded-bytes-complete,bango-file
event.dat,23,178,camera,"[""camera"",[""key"",""23""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""6604.24"",""1990.40"",""-18634.36"",""92.81"",""-8.02""],[""target"",""2"",""6604.24"",""1990.40"",""-18634.36"",""92.81"",""-8.02""]]",decoded-bytes-complete,bango-file
event.dat,24,185,camera,"[""camera"",[""key"",""24""],[""total"",""10""],[""target"",""2"",""24630"",""2500"",""88890"",""0"",""30""],[""target"",""2"",""24630"",""2530"",""88890"",""20"",""30""],[""target"",""2"",""24630"",""2560"",""88890"",""40"",""30""],[""target"",""2"",""24630"",""2590"",""88890"",""60"",""30""],[""target"",""2"",""24630"",""2620"",""88890"",""80"",""30""],[""target"",""2"",""24630"",""2650"",""88890"",""100"",""30""],[""target"",""2"",""24630"",""2680"",""88890"",""120"",""30""],[""target"",""2"",""24630"",""2710"",""88890"",""140"",""30""],[""target"",""2"",""24630"",""2740"",""88890"",""160"",""30""],[""target"",""2"",""24630"",""2770"",""88890"",""180"",""30""]]",decoded-bytes-complete,bango-file
event.dat,25,211,camera,"[""camera"",[""key"",""210""],[""total"",""5""],[""target"",""1"",""3441.5"",""2367.78"",""19651.03"",""-29.35"",""7.5""],[""target"",""2"",""3286"",""2270"",""19925"",""0"",""0""],[""target"",""1"",""3298"",""2286"",""20128"",""0"",""0""],[""target"",""3"",""4487"",""3188"",""21036"",""-30"",""27""],[""target"",""3"",""3440"",""2285"",""22940"",""0"",""15""]]",decoded-bytes-complete,bango-file
event.dat,26,220,camera,"[""camera"",[""key"",""211""],[""total"",""2""],[""target"",""0.1"",""239.485"",""3030.7"",""260.031"",""219.89781"",""15""],[""target"",""1.2"",""226.656"",""3030.6"",""244.687"",""219.89781"",""15""]]",decoded-bytes-complete,bango-file
event.dat,27,227,camera,"[""camera"",[""key"",""212""],[""total"",""2""],[""target"",""0.1"",""207.845"",""3003.96"",""221.938"",""219.99997"",""4""],[""target"",""1.8"",""233.561"",""3003.14"",""252.584"",""219.99997"",""10""]]",decoded-bytes-complete,bango-file
event.dat,28,234,camera,"[""camera"",[""key"",""213""],[""total"",""3""],[""target"",""0.1"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""],[""target"",""0.5"",""207.845"",""3003.96"",""221.938"",""251.87250"",""0""],[""target"",""0.8"",""150"",""3003.96"",""242.991"",""180.00000"",""0""]]",decoded-bytes-complete,bango-file
event.dat,29,241,camera,"[""camera"",[""key"",""214""],[""total"",""3""],[""target"",""0.1"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.5"",""150"",""3003.96"",""242.991"",""148.12610"",""0""],[""target"",""0.8"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""]]",decoded-bytes-complete,bango-file
event.dat,30,248,camera,"[""camera"",[""key"",""215""],[""total"",""2""],[""target"",""0.1"",""150"",""3022.79"",""242.998"",""180"",""0""],[""target"",""1.8"",""150"",""3023.14"",""282.997"",""180"",""10""]]",decoded-bytes-complete,bango-file
event.dat,31,255,camera,"[""camera"",[""key"",""216""],[""total"",""3""],[""target"",""0.1"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.5"",""150"",""3003.96"",""242.991"",""221.21753"",""0""],[""target"",""0.8"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""]]",decoded-bytes-complete,bango-file
event.dat,32,262,camera,"[""camera"",[""key"",""217""],[""total"",""3""],[""target"",""0.1"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""],[""target"",""0.5"",""85.7259"",""3003.81"",""229.6"",""112.48228"",""0""],[""target"",""0.8"",""150"",""3003.96"",""242.991"",""180.00000"",""0""]]",decoded-bytes-complete,bango-file
event.dat,33,269,camera,"[""camera"",[""key"",""218""],[""total"",""2""],[""target"",""0.1"",""150"",""3022.79"",""242.998"",""180"",""0""],[""target"",""1.8"",""150"",""3023.14"",""282.997"",""180"",""10""]]",decoded-bytes-complete,bango-file
event.dat,34,277,camera,"[""camera"",[""key"",""219""],[""total"",""3""],[""target"",""0.1"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""],[""target"",""0.5"",""207.845"",""3003.96"",""221.938"",""188.12694"",""0""],[""target"",""0.8"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""]]",decoded-bytes-complete,bango-file
event.dat,35,284,camera,"[""camera"",[""key"",""220""],[""total"",""3""],[""target"",""0.1"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""],[""target"",""0.5"",""238.624"",""3003.96"",""168.628"",""300.000122"",""0""],[""target"",""0.8"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""]]",decoded-bytes-complete,bango-file
event.dat,36,291,camera,"[""camera"",[""key"",""221""],[""total"",""2""],[""target"",""0.1"",""238.632"",""3022.79"",""168.629"",""259.99945"",""0""],[""target"",""1.8"",""278.022"",""3023.14"",""175.575"",""259.99945"",""10""]]",decoded-bytes-complete,bango-file
event.dat,37,298,camera,"[""camera"",[""key"",""222""],[""total"",""3""],[""target"",""0.1"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""],[""target"",""0.5"",""238.624"",""3003.96"",""168.628"",""218.77965"",""0""],[""target"",""0.8"",""236.601"",""3003.81"",""103.004"",""300"",""0""]]",decoded-bytes-complete,bango-file
event.dat,38,305,camera,"[""camera"",[""key"",""223""],[""total"",""3""],[""target"",""0.1"",""236.601"",""3003.81"",""103.004"",""300"",""0""],[""target"",""0.5"",""236.601"",""3003.81"",""103.004"",""340"",""0""],[""target"",""0.8"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""]]",decoded-bytes-complete,bango-file
event.dat,39,312,camera,"[""camera"",[""key"",""224""],[""total"",""2""],[""target"",""0.1"",""238.632"",""3022.79"",""168.629"",""259.99945"",""0""],[""target"",""1.8"",""278.022"",""3023.14"",""175.575"",""259.99945"",""10""]]",decoded-bytes-complete,bango-file
event.dat,40,322,camera,"[""camera"",[""key"",""226""],[""total"",""2""],[""target"",""0.1"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""],[""target"",""0.8"",""236.601"",""3003.81"",""103.004"",""300"",""0""]]",decoded-bytes-complete,bango-file
event.dat,41,327,camera,"[""camera"",[""key"",""227""],[""total"",""2""],[""target"",""0.1"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.8"",""236.601"",""3003.81"",""103.004"",""300"",""0""]]",decoded-bytes-complete,bango-file
event.dat,42,332,camera,"[""camera"",[""key"",""228""],[""total"",""4""],[""target"",""0.1"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""],[""target"",""0.3"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.5"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""],[""target"",""0.6"",""236.601"",""3003.81"",""103.004"",""300"",""0""]]",decoded-bytes-complete,bango-file
event.dat,43,341,camera,"[""camera"",[""key"",""229""],[""total"",""2""],[""target"",""0.1"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.8"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""]]",decoded-bytes-complete,bango-file
event.dat,44,346,camera,"[""camera"",[""key"",""230""],[""total"",""3""],[""target"",""0.1"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""],[""target"",""0.4"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.8"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""]]",decoded-bytes-complete,bango-file
event.dat,45,354,camera,"[""camera"",[""key"",""231""],[""total"",""2""],[""target"",""0.1"",""236.601"",""3003.81"",""103.004"",""300"",""0""],[""target"",""0.8"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""]]",decoded-bytes-complete,bango-file
event.dat,46,359,camera,"[""camera"",[""key"",""232""],[""total"",""2""],[""target"",""0.1"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""],[""target"",""0.8"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""]]",decoded-bytes-complete,bango-file
event.dat,47,366,camera,"[""camera"",[""key"",""233""],[""total"",""2""],[""target"",""0.1"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""],[""target"",""0.8"",""150"",""3003.96"",""242.991"",""180.00000"",""0""]]",decoded-bytes-complete,bango-file
event.dat,48,371,camera,"[""camera"",[""key"",""234""],[""total"",""2""],[""target"",""0.1"",""236.601"",""3003.81"",""103.004"",""300"",""0""],[""target"",""0.8"",""150"",""3003.96"",""242.991"",""180.00000"",""0""]]",decoded-bytes-complete,bango-file
event.dat,49,378,camera,"[""camera"",[""key"",""235""],[""total"",""2""],[""target"",""0.1"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""],[""target"",""0.8"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""]]",decoded-bytes-complete,bango-file
event.dat,50,383,camera,"[""camera"",[""key"",""236""],[""total"",""3""],[""target"",""0.1"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""],[""target"",""0.4"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""],[""target"",""0.8"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""]]",decoded-bytes-complete,bango-file
event.dat,51,389,camera,"[""camera"",[""key"",""237""],[""total"",""4""],[""target"",""0.1"",""236.601"",""3003.81"",""103.004"",""300"",""0""],[""target"",""0.3"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""],[""target"",""0.5"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.6"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""]]",decoded-bytes-complete,bango-file
event.dat,52,398,camera,"[""camera"",[""key"",""225""],[""total"",""2""],[""target"",""0.1"",""769.31"",""3075.25"",""-139.96"",""0.40"",""-6.3025355""],[""target"",""1.2"",""762"",""3086"",""140"",""1.7188733"",""0""]]",decoded-bytes-complete,bango-file
event.dat,53,407,camera,"[""camera"",[""key"",""183""],[""total"",""3""],[""target"",""0.1"",""217.48"",""3004.29"",""233.43"",""225.72953"",""0""],[""target"",""0.5"",""217.48"",""3004.29"",""233.43"",""251.87250"",""0""],[""target"",""0.8"",""150"",""3004.29"",""257.99"",""185.72956"",""0""]]",decoded-bytes-complete,bango-file
event.dat,54,414,camera,"[""camera"",[""key"",""184""],[""total"",""3""],[""target"",""0.1"",""150"",""3004.29"",""257.99"",""185.72956"",""0""],[""target"",""0.5"",""150"",""3004.29"",""257.99"",""148.12610"",""0""],[""target"",""0.8"",""217.48"",""3004.29"",""233.43"",""225.72953"",""0""]]",decoded-bytes-complete,bango-file
event.dat,55,421,camera,"[""camera"",[""key"",""186""],[""total"",""3""],[""target"",""0.1"",""150"",""3004.29"",""257.99"",""185.72956"",""0""],[""target"",""0.5"",""150"",""3004.29"",""257.99"",""221.21753"",""0""],[""target"",""0.8"",""76.09"",""3004.09"",""241.09"",""145.72996"",""0""]]",decoded-bytes-complete,bango-file
event.dat,56,428,camera,"[""camera"",[""key"",""187""],[""total"",""3""],[""target"",""0.1"",""76.09"",""3004.09"",""241.09"",""145.72996"",""0""],[""target"",""0.5"",""76.09"",""3004.09"",""241.09"",""112.48228"",""0""],[""target"",""0.8"",""150"",""3004.29"",""257.99"",""185.72956"",""0""]]",decoded-bytes-complete,bango-file
event.dat,57,436,camera,"[""camera"",[""key"",""189""],[""total"",""3""],[""target"",""0.1"",""217.48"",""3004.29"",""233.43"",""225.72953"",""0""],[""target"",""0.5"",""217.48"",""3004.29"",""233.43"",""188.12694"",""0""],[""target"",""0.8"",""253.39"",""3004.29"",""171.23"",""265.72900"",""0""]]",decoded-bytes-complete,bango-file
event.dat,58,443,camera,"[""camera"",[""key"",""190""],[""total"",""3""],[""target"",""0.1"",""253.39"",""3004.29"",""171.23"",""265.72900"",""0""],[""target"",""0.5"",""253.39"",""3004.29"",""171.23"",""300.000122"",""0""],[""target"",""0.8"",""217.48"",""3004.29"",""233.43"",""225.72953"",""0""]]",decoded-bytes-complete,bango-file
event.dat,59,451,camera,"[""camera"",[""key"",""192""],[""total"",""3""],[""target"",""0.1"",""253.39"",""3004.29"",""171.23"",""265.72900"",""0""],[""target"",""0.5"",""253.39"",""3004.29"",""171.23"",""218.77965"",""0""],[""target"",""0.8"",""249.59"",""3004.09"",""95.51"",""305.718"",""0""]]",decoded-bytes-complete,bango-file
event.dat,60,458,camera,"[""camera"",[""key"",""193""],[""total"",""3""],[""target"",""0.1"",""249.59"",""3004.09"",""95.51"",""305.718"",""0""],[""target"",""0.5"",""249.59"",""3004.09"",""95.51"",""340"",""0""],[""target"",""0.8"",""253.39"",""3004.29"",""171.23"",""265.72900"",""0""]]",decoded-bytes-complete,bango-file
event.dat,61,469,camera,"[""camera"",[""key"",""196""],[""total"",""2""],[""target"",""0.1"",""217.48"",""3004.29"",""233.43"",""225.72953"",""0""],[""target"",""0.8"",""249.59"",""3004.09"",""95.51"",""305.718"",""0""]]",decoded-bytes-complete,bango-file
event.dat,62,474,camera,"[""camera"",[""key"",""197""],[""total"",""2""],[""target"",""0.1"",""150"",""3004.29"",""257.99"",""185.72956"",""0""],[""target"",""0.8"",""249.59"",""3004.09"",""95.51"",""305.718"",""0""]]",decoded-bytes-complete,bango-file
event.dat,63,479,camera,"[""camera"",[""key"",""198""],[""total"",""4""],[""target"",""0.1"",""76.09"",""3004.09"",""241.09"",""145.72996"",""0""],[""target"",""0.3"",""150"",""3004.09"",""242.991"",""180.00000"",""0""],[""target"",""0.5"",""238.624"",""3004.09"",""168.628"",""259.99945"",""0""],[""target"",""0.6"",""249.59"",""3004.09"",""95.51"",""305.718"",""0""]]",decoded-bytes-complete,bango-file
event.dat,64,488,camera,"[""camera"",[""key"",""199""],[""total"",""2""],[""target"",""0.1"",""150"",""3004.29"",""257.99"",""185.72956"",""0""],[""target"",""0.8"",""253.39"",""3004.29"",""171.23"",""265.72900"",""0""]]",decoded-bytes-complete,bango-file
event.dat,65,493,camera,"[""camera"",[""key"",""200""],[""total"",""3""],[""target"",""0.1"",""76.09"",""3004.09"",""241.09"",""145.72996"",""0""],[""target"",""0.4"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.8"",""253.39"",""3004.29"",""171.23"",""265.72900"",""0""]]",decoded-bytes-complete,bango-file
event.dat,66,501,camera,"[""camera"",[""key"",""201""],[""total"",""2""],[""target"",""0.1"",""236.601"",""3003.81"",""103.004"",""300"",""0""],[""target"",""0.8"",""217.48"",""3004.29"",""233.43"",""225.72953"",""0""]]",decoded-bytes-complete,bango-file
event.dat,67,506,camera,"[""camera"",[""key"",""202""],[""total"",""2""],[""target"",""0.1"",""85.7259"",""3003.81"",""229.6"",""140.00038"",""0""],[""target"",""0.8"",""217.48"",""3004.29"",""233.43"",""225.72953"",""0""]]",decoded-bytes-complete,bango-file
event.dat,68,513,camera,"[""camera"",[""key"",""203""],[""total"",""2""],[""target"",""0.1"",""253.39"",""3004.29"",""171.23"",""265.72900"",""0""],[""target"",""0.8"",""150"",""3004.29"",""257.99"",""185.72956"",""0""]]",decoded-bytes-complete,bango-file
event.dat,69,518,camera,"[""camera"",[""key"",""204""],[""total"",""2""],[""target"",""0.1"",""249.59"",""3004.09"",""95.51"",""305.718"",""0""],[""target"",""0.8"",""150"",""3004.29"",""257.99"",""185.72956"",""0""]]",decoded-bytes-complete,bango-file
event.dat,70,525,camera,"[""camera"",[""key"",""205""],[""total"",""2""],[""target"",""0.1"",""217.48"",""3004.29"",""233.43"",""219.99997"",""0""],[""target"",""0.8"",""76.09"",""3004.09"",""241.09"",""145.72996"",""0""]]",decoded-bytes-complete,bango-file
event.dat,71,530,camera,"[""camera"",[""key"",""206""],[""total"",""3""],[""target"",""0.1"",""253.39"",""3004.29"",""171.23"",""265.72900"",""0""],[""target"",""0.4"",""207.845"",""3003.96"",""221.938"",""219.99997"",""0""],[""target"",""0.8"",""76.09"",""3004.09"",""241.09"",""145.72996"",""0""]]",decoded-bytes-complete,bango-file
event.dat,72,536,camera,"[""camera"",[""key"",""207""],[""total"",""4""],[""target"",""0.1"",""249.59"",""3004.09"",""95.51"",""305.718"",""0""],[""target"",""0.3"",""238.624"",""3003.96"",""168.628"",""259.99945"",""0""],[""target"",""0.5"",""150"",""3003.96"",""242.991"",""180.00000"",""0""],[""target"",""0.6"",""76.09"",""3004.09"",""241.09"",""145.72996"",""0""]]",decoded-bytes-complete,bango-file
event.dat,73,551,camera,"[""camera"",[""key"",""25""],[""total"",""3""],[""target"",""1"",""77106.83"",""1703.00"",""6193.19"",""-55.00"",""-0.00""],[""target"",""3"",""77800.36"",""1703.00"",""5750.15"",""-55.00"",""-0.00""],[""target"",""5"",""77800.36"",""1703.00"",""5750.15"",""-55.00"",""-15.00""]]",decoded-bytes-complete,bango-file
