skill_key,skill_name,skill_action_ids_json,skill_limit_json,prerequisite_action_id,required_grade,prerequisite_skill_key,prerequisite_skill_name,resolution_status,candidate_skill_keys_json,condition_json,provenance,source_file,source_line
mage-42,Thunder Storm,"[""43""]","[""mage""]",41,1,mage-40,Chain Lightning,resolved,"[""mage-40""]","[""condition"",""41"",""1""]",bango-file,jobsystem.dat,2872
mage-43,Ice Restriction,"[""44""]","[""mage""]",24,2,mage-23,Splashy Ice,resolved,"[""mage-23""]","[""condition"",""24"",""2""]",bango-file,jobsystem.dat,2897
mage-44,Ice Storm,"[""45""]","[""mage""]",44,1,mage-43,Ice Restriction,resolved,"[""mage-43""]","[""condition"",""44"",""1""]",bango-file,jobsystem.dat,2920
mage-45,Explosion,"[""46""]","[""mage""]",33,2,mage-31,Flame Bomb,resolved,"[""mage-31""]","[""condition"",""33"",""2""]",bango-file,jobsystem.dat,2944
mage-46,Explosive Burst,"[""47""]","[""mage""]",25,5,mage-24,Fire Blow,resolved,"[""mage-24""]","[""condition"",""25"",""5""]",bango-file,jobsystem.dat,2968
mage-47,Fire Storm,"[""48""]","[""mage""]",47,1,mage-46,Explosive Burst,resolved,"[""mage-46""]","[""condition"",""47"",""1""]",bango-file,jobsystem.dat,2991
mage-54,Perfect Cure,"[""55""]","[""mage""]",29,1,mage-28,Restore,resolved,"[""mage-28""]","[""condition"",""29"",""1""]",bango-file,jobsystem.dat,3158
mage-56,Group Cure 2,"[""57""]","[""mage""]",28,3,mage-27,Group Cure,resolved,"[""mage-27""]","[""condition"",""28"",""3""]",bango-file,jobsystem.dat,3202
mage-57,Perfect Group Cure 2,"[""58""]","[""mage""]",57,1,mage-56,Group Cure 2,resolved,"[""mage-56""]","[""condition"",""57"",""1""]",bango-file,jobsystem.dat,3224
mage-66,Flame Injection,"[""65""]","[""mage""]",48,1,mage-47,Fire Storm,resolved,"[""mage-47""]","[""condition"",""48"",""1""]",bango-file,jobsystem.dat,3425
mage-67,Icicle,"[""66""]","[""mage""]",45,1,mage-44,Ice Storm,resolved,"[""mage-44""]","[""condition"",""45"",""1""]",bango-file,jobsystem.dat,3455
mage-68,Lightning Arrow,"[""67""]","[""mage""]",43,1,mage-42,Thunder Storm,resolved,"[""mage-42""]","[""condition"",""43"",""1""]",bango-file,jobsystem.dat,3484
archer-9,Heart Breaker,"[""9""]","[""archer""]",3,5,archer-3,Staggering Blow,resolved,"[""archer-3""]","[""condition"",""3"",""5""]",bango-file,jobsystem.dat,3993
archer-13,Blow-up Arrow,"[""14""]","[""archer""]",6,5,archer-6,Flamy Arrow,resolved,"[""archer-6""]","[""condition"",""6"",""5""]",bango-file,jobsystem.dat,4077
archer-20,Perfect Evasion 2,"[""20""]","[""archer""]",8,10,archer-8,Perfect Evasion,resolved,"[""archer-8""]","[""condition"",""8"",""10""]",bango-file,jobsystem.dat,4255
mage-73,Fireball,"[""73""]","[""mage""]",65,1,mage-66,Flame Injection,resolved,"[""mage-66""]","[""condition"",""65"",""1""]",bango-file,jobsystem.dat,5297
mage-74,Ice Arrow,"[""74""]","[""mage""]",66,1,mage-67,Icicle,resolved,"[""mage-67""]","[""condition"",""66"",""1""]",bango-file,jobsystem.dat,5319
mage-75,Thunderbolt,"[""75""]","[""mage""]",67,1,mage-68,Lightning Arrow,resolved,"[""mage-68""]","[""condition"",""67"",""1""]",bango-file,jobsystem.dat,5341
shaman-14,Ghost Flash,"[""14""]","[""shaman""]",13,5,shaman-13,Ghost Blade,resolved,"[""shaman-13""]","[""condition"",""13"",""5""]",bango-file,jobsystem.dat,5476
shaman-20,Divine Shield,"[""20""]","[""shaman""]",15,3,shaman-15,Soul Shield,resolved,"[""shaman-15""]","[""condition"",""15"",""3""]",bango-file,jobsystem.dat,5482
shaman-25,Entangling,"[""25""]","[""shaman""]",22,3,shaman-22,Pain of Soul,resolved,"[""shaman-22""]","[""condition"",""22"",""3""]",bango-file,jobsystem.dat,5487
shaman-28,Drain Blood,"[""28""]","[""shaman""]",22,5,shaman-22,Pain of Soul,resolved,"[""shaman-22""]","[""condition"",""22"",""5""]",bango-file,jobsystem.dat,5490
shaman-29,Mental Breakdown,"[""29""]","[""shaman""]",27,2,shaman-27,Summoning Soul,resolved,"[""shaman-27""]","[""condition"",""27"",""2""]",bango-file,jobsystem.dat,5491
shaman-54,Magical Explosion,"[""54""]","[""shaman""]",27,3,shaman-27,Summoning Soul,resolved,"[""shaman-27""]","[""condition"",""27"",""3""]",bango-file,jobsystem.dat,5492
shaman-36,JigukKing,"[""36""]","[""shaman""]",20,3,shaman-20,Divine Shield,resolved,"[""shaman-20""]","[""condition"",""20"",""3""]",bango-file,jobsystem.dat,5497
shaman-37,JeungjangKing,"[""37""]","[""shaman""]",20,4,shaman-20,Divine Shield,resolved,"[""shaman-20""]","[""condition"",""20"",""4""]",bango-file,jobsystem.dat,5498
shaman-38,Amplification of Blood,"[""38""]","[""shaman""]",36,2,shaman-36,JigukKing,resolved,"[""shaman-36""]","[""condition"",""36"",""2""]",bango-file,jobsystem.dat,5499
shaman-39,Wave of Emperor,"[""39""]","[""shaman""]",37,2,shaman-37,JeungjangKing,resolved,"[""shaman-37""]","[""condition"",""37"",""2""]",bango-file,jobsystem.dat,5500
shaman-44,Collapse,"[""44""]","[""shaman""]",29,5,shaman-29,Mental Breakdown,resolved,"[""shaman-29""]","[""condition"",""29"",""5""]",bango-file,jobsystem.dat,5505
shaman-45,Ruler,"[""45""]","[""shaman""]",27,5,shaman-27,Summoning Soul,resolved,"[""shaman-27""]","[""condition"",""27"",""5""]",bango-file,jobsystem.dat,5506
shaman-46,Six Souls,"[""46""]","[""shaman""]",54,3,shaman-54,Magical Explosion,resolved,"[""shaman-54""]","[""condition"",""54"",""3""]",bango-file,jobsystem.dat,5507
shaman-47,Exploding Spirit,"[""47""]","[""shaman""]",27,7,shaman-27,Summoning Soul,resolved,"[""shaman-27""]","[""condition"",""27"",""7""]",bango-file,jobsystem.dat,5508
shaman-50,JigukKing of Taein,"[""50""]","[""shaman""]",36,3,shaman-36,JigukKing,resolved,"[""shaman-36""]","[""condition"",""36"",""3""]",bango-file,jobsystem.dat,5511
shaman-51,JeungjangKing of Taein,"[""51""]","[""shaman""]",37,5,shaman-37,JeungjangKing,resolved,"[""shaman-37""]","[""condition"",""37"",""5""]",bango-file,jobsystem.dat,5512
shaman-52,Soul Blow,"[""52""]","[""shaman""]",39,5,shaman-39,Wave of Emperor,resolved,"[""shaman-39""]","[""condition"",""39"",""5""]",bango-file,jobsystem.dat,5513
