que_id,que_type,que_lvl,que_name,que_monst,que_item,que_text,que_rew,que_pic1,que_pic2,que_pic3,bango_experience,bango_contribution,bango_skill_points,bango_prerequisite,bango_steps_raw,provenance,source_file,source_line
4,,6,"General, Poong-seup's Missing",,,"1. Ji-hun is looking for the general, Poong-seup. Please find the general, Poong-seup. Chief Guard, Joo-Jimin knows where he is. Go to meet Joo-Jimin.
2. The chief, Joo-Jimin want you to prove that you're not a spy if you want to know about the general, Poong-seup. Hunt Demon escort archer and get 10 demon's bows.
3. The general, Poong-seup has won the battle in Chung-Song and he's defending Chung-Song. Talk to the farmer, Ji-Hun about the general, Poong-seup.",Exp 844; Contribution 1,,,,844,1,0,2,"Ji-hun is looking for the general, Poong-seup. Please find the general, Poong-seup. Chief Guard, Joo-Jimin knows where he is. Go to meet Joo-Jimin.|;The chief, Joo-Jimin want you to prove that you're not a spy if you want to know about the general, Poong-seup. Hunt Demon escort archer and get 10 demon's bows.|147:10;The general, Poong-seup has won the battle in Chung-Song and he's defending Chung-Song. Talk to the farmer, Ji-Hun about the general, Poong-seup.|",bango-file,questlist.dat,13
5,,8,"Farmer, Nu-Woong's Favor",,,"1. Gwee-Sik borrowed money from Nu-Woong. Find Gwee-Sik and get the money back to Nu-Woong.
2. The miner, Gwee-Sik can't work because the demon called Suicide bombers attack people. Hunt the Suicide bomber and collect 10 Suicide bomber's oil for proof.
3. Gwee-Sik made money from the mine. Give the money from Gwee-Sik to Nu-Woong.",Exp 1157; Contribution 1,,,,1157,1,0,,"Gwee-Sik borrowed money from Nu-Woong. Find Gwee-Sik and get the money back to Nu-Woong.|135:1;The miner, Gwee-Sik can't work because the demon called Suicide bombers attack people. Hunt the Suicide bomber and collect 10 Suicide bomber's oil for proof.|148:10;Gwee-Sik made money from the mine. Give the money from Gwee-Sik to Nu-Woong.|143:1",bango-file,questlist.dat,14
6,,10,"Farmer, Ha-Jik's Favor",,,"1. The farmer Ha-Jik asked the farmer, Nu-Woong to deliver the rice. Inquire that the rice's arrived safely.
2. The farmer, Nu-Woong didn't get the rice.  Inquire what happened to the farmer Ha-Jik.
3. The farmer, Ha-Jik asked the boatman, Gwang-chun to deliver the rice. Inquire what happened to the boatman, Gwang-chun.
4. The boatman, Gwang-chun couldn't deliver the rice because of the Big handed inhabitants. Hunt the Big handed inhabitant and collect 15 Big handed inhabitant's teeth.
5. The boatman, Gwang-chun'rice has be stolen. Hunt the Demon carcass scavenger and collect 2 bags of rice.",Exp 2250; Contribution 1,,,,2250,1,0,5,"The farmer Ha-Jik asked the farmer, Nu-Woong to deliver the rice. Inquire that the rice's arrived safely.|;The farmer, Nu-Woong didn't get the rice.  Inquire what happened to the farmer Ha-Jik.|;The farmer, Ha-Jik asked the boatman, Gwang-chun to deliver the rice. Inquire what happened to the boatman, Gwang-chun.|;The boatman, Gwang-chun couldn't deliver the rice because of the Big handed inhabitants. Hunt the Big handed inhabitant and collect 15 Big handed inhabitant's teeth.|149:15;The boatman, Gwang-chun'rice has be stolen. Hunt the Demon carcass scavenger and collect 2 bags of rice.|151:2",bango-file,questlist.dat,15
7,,11,Won-Jung and Yae-Jin's Love,,,"1. The guard, Won-Jung worries about his wife so much. Give the letter to his wife, Yae-Jin in Narootuh vil.
2. Yae-Jin wants to make some tonic for Won-Jung, but two materials are required. Hunt the Big handed slave and collect 10 materials of Milk Vetch and White Peony.
3. Give the tonic and Yae-Jin's letter to Guard, Won-Jung in Jook-Suh Cargo Station.",Exp 2500; Skill Point 1,,,,2500,0,1,,"The guard, Won-Jung worries about his wife so much. Give the letter to his wife, Yae-Jin in Narootuh vil.|136:1;Yae-Jin wants to make some tonic for Won-Jung, but two materials are required. Hunt the Big handed slave and collect 10 materials of Milk Vetch and White Peony.|153:10,154:10;Give the tonic and Yae-Jin's letter to Guard, Won-Jung in Jook-Suh Cargo Station.|137:1,144:1",bango-file,questlist.dat,16
8,,12,Sweeping the Demon carcass scavenger,,,"1. The general, Sae-won finally found out what the Demon carcass scavenger is. Hunt the Demon carcass scavenger who revive the demons, and collect 25 carcass for the general, Sae-won in Jook-Suh Cargo Station.",Exp 2600; Contribution 1,,,,2600,1,0,3,"The general, Sae-won finally found out what the Demon carcass scavenger is. Hunt the Demon carcass scavenger who revive the demons, and collect 25 carcass for the general, Sae-won in Jook-Suh Cargo Station.|152:25",bango-file,questlist.dat,17
9,,13,Finding Tonic,,,"1. The chief guard, Guh-Sosun worries about the lack of medicine for injured soldiers. Please get some tonic. The woman [Yae-Jin] in Narootuh village can make tonic.
2. Yae-Jin said she could make tonic if she has enough Milk Vetch and White Peony. 12 Milk Vetches and 12 White Peonies from Big handed slaves and give them to Yae-Jin.
3. Give the tonic that Yae-Jin made to the chief guard, Guh-Sosun in Jook-Suh Cargo Station.",Exp 2722,,,,2722,0,0,7,"The chief guard, Guh-Sosun worries about the lack of medicine for injured soldiers. Please get some tonic. The woman [Yae-Jin] in Narootuh village can make tonic.|;Yae-Jin said she could make tonic if she has enough Milk Vetch and White Peony. 12 Milk Vetches and 12 White Peonies from Big handed slaves and give them to Yae-Jin.|153:12,154:12;Give the tonic that Yae-Jin made to the chief guard, Guh-Sosun in Jook-Suh Cargo Station.|144:1",bango-file,questlist.dat,18
10,,14,Finding Alcohol for Joo-Nong,,,"1. The miner, Joo-Nong spend with alcohol everyday because of the demons. Find some alcohol and give him. It's said that the woman [Ok-Jin] in Jook-Suh Cargo Station makes good drinks.
2. Ok-Jin who can make best quality drinks in the country asked for revenge for her husband's death. 20 Demon soldier's teeth from Demon soldiers and give them to Ok-Jin.
3. Bring the alcohol over from Ok-Jin to Joo-Nong.",Exp 3534; Contribution 1,,,,3534,1,0,,"The miner, Joo-Nong spend with alcohol everyday because of the demons. Find some alcohol and give him. It's said that the woman [Ok-Jin] in Jook-Suh Cargo Station makes good drinks.|;Ok-Jin who can make best quality drinks in the country asked for revenge for her husband's death. 20 Demon soldier's teeth from Demon soldiers and give them to Ok-Jin.|150:20;Bring the alcohol over from Ok-Jin to Joo-Nong.|145:1",bango-file,questlist.dat,19
11,,15,Undelivered Rice Cake,,,"1. Gwee-Sik worries about the lost rice cake. Go to Ha-Jik in Narootuh village and find out what happened.
2. Ha-Jik said that he got attacked from the Big handed blue warriors during delivery. Hunt the Big handed blue warriors and collect 25 rice cakes.
3. Ha-Jik can't deliver the rice cake because of his injury. Deliver the rice cake to Gwee-Sik in Geum-Oh Mine.",Exp 4000; Skill Point 1,,,,4000,0,1,6,Gwee-Sik worries about the lost rice cake. Go to Ha-Jik in Narootuh village and find out what happened.|;Ha-Jik said that he got attacked from the Big handed blue warriors during delivery. Hunt the Big handed blue warriors and collect 25 rice cakes.|155:25;Ha-Jik can't deliver the rice cake because of his injury. Deliver the rice cake to Gwee-Sik in Geum-Oh Mine.|155:25,bango-file,questlist.dat,20
37,,15,"[Mission for Getting Ancient Animal] Doggebi, Chang's Favor",,,"1. Chang asked you to find a keg of talisman. The keg of talisman was taken by the naughty Doggebi. The naughty Doggebi is near by the village of Jook-Suh Cargo Station.
2. Chang wants to give you an ancient animal for a reward. But he has to take care of the animals now. Talk to Chang after a moment.",,,,,0,0,0,,Chang asked you to find a keg of talisman. The keg of talisman was taken by the naughty Doggebi. The naughty Doggebi is near by the village of Jook-Suh Cargo Station.|336:1;Chang wants to give you an ancient animal for a reward. But he has to take care of the animals now. Talk to Chang after a moment.|,bango-file,questlist.dat,21
12,,16,Wa-Ryu's Talisman,,,1. Wa-Ryu worries that he lost the talisman of his wife's gift. Hunt the Big handed red warrior and get the Wa-Ryu's talisman.,Exp 8000; Contribution 1; Skill Point 2,,,,8000,1,2,8,Wa-Ryu worries that he lost the talisman of his wife's gift. Hunt the Big handed red warrior and get the Wa-Ryu's talisman.|156:1,bango-file,questlist.dat,22
13,,17,Finding Yae-Jin's Father,,,"1. Yae-Jin's looking for her father who hasn't come back home for a half year. Go to Geum-Oh Mine and find him out.
2. Yae-Jin's father, the miner, Joo-Nong said his gold was taken by the Demon infantry. They have a big sword with them. Hunt them and collect 30 golds.
3. Go back to Narootuh village and let Joo-Nong's daughter know that her father will come soon.",Exp 4500; Skill Point 1,,,,4500,0,1,10,"Yae-Jin's looking for her father who hasn't come back home for a half year. Go to Geum-Oh Mine and find him out.|;Yae-Jin's father, the miner, Joo-Nong said his gold was taken by the Demon infantry. They have a big sword with them. Hunt them and collect 30 golds.|157:30;Go back to Narootuh village and let Joo-Nong's daughter know that her father will come soon.|",bango-file,questlist.dat,23
14,,18,Collecting Yang-Do's Bamboo Poles,,,"1. The guard, Yang-Do's bamboo poles has been taken away by the Demon throwing soldiers. Collect 30 pieces of bamboo poles from Demon throwing soldiers and bring them to Yang-Do in Geum-Oh Mine.
2. There's Yoo-An's letter in the lost bamboo poles. Deliver the letter to Ok-Jin in Jook-Suh Cargo Station.
3. Ok-Jin refused to accept the letter, for she didn't try to believe her husband dead. Go to tell Yang-Do in Geum-Oh Mine about this.
4. Ok-Jin's father, Ja-Gan saw the Yang-Do's letter and write a heartbreaking letter to his daughter. Give Ja-Gan's letter to Ok-Jin in Jook-Suh Cargo Station.
5. Ok-Jin's mind has been opened by the father's letter. Give Yang-Do the message that she'll meet Yoo-An after the revenge is finished.",Exp 9600; Contribution 1; Skill Point 2,,,,9600,1,2,10,"The guard, Yang-Do's bamboo poles has been taken away by the Demon throwing soldiers. Collect 30 pieces of bamboo poles from Demon throwing soldiers and bring them to Yang-Do in Geum-Oh Mine.|159:30;There's Yoo-An's letter in the lost bamboo poles. Deliver the letter to Ok-Jin in Jook-Suh Cargo Station.|138:1;Ok-Jin refused to accept the letter, for she didn't try to believe her husband dead. Go to tell Yang-Do in Geum-Oh Mine about this.|;Ok-Jin's father, Ja-Gan saw the Yang-Do's letter and write a heartbreaking letter to his daughter. Give Ja-Gan's letter to Ok-Jin in Jook-Suh Cargo Station.|138:1,139:1;Ok-Jin's mind has been opened by the father's letter. Give Yang-Do the message that she'll meet Yoo-An after the revenge is finished.|",bango-file,questlist.dat,24
15,,19,Finding the Statue of Protection,,,"1. The Statue of Protection in the #1 mine has lost. Find out the Statue of Protection. It's said the Miner [Joo-Nong] know where it is.
2. The miner, Joo-Nong said the Statue of Protection is taken by the demons with red light. Collect 30 pieces of the Statue of Protection from them and bring to Gwee-Sik.",Exp 5600; Contribution 1,,,,5600,1,0,13,"The Statue of Protection in the #1 mine has lost. Find out the Statue of Protection. It's said the Miner [Joo-Nong] know where it is.|;The miner, Joo-Nong said the Statue of Protection is taken by the demons with red light. Collect 30 pieces of the Statue of Protection from them and bring to Gwee-Sik.|160:30",bango-file,questlist.dat,25
16,,20,Ja-Gan's Good Conduct,,,"1. Ja-Gan wanted to get rid of the rumor that he was a miser, with his gold. But his gold was stolen by demons. Hunt Demon Shock Troopers and collect 30 golds.
2. Ja-Gan refused to get the gold back and said that it should be given to the poor. Go to Geum-Oh Mine and find the poor to give his gold.
3. Let Ja-Gan know that Won-Ga will spread the Ja-Gan's good deed throughout the country.",Exp 7000; Skill Point 1,,,,7000,0,1,14,"Ja-Gan wanted to get rid of the rumor that he was a miser, with his gold. But his gold was stolen by demons. Hunt Demon Shock Troopers and collect 30 golds.|158:30;Ja-Gan refused to get the gold back and said that it should be given to the poor. Go to Geum-Oh Mine and find the poor to give his gold.|158:30;Let Ja-Gan know that Won-Ga will spread the Ja-Gan's good deed throughout the country.|",bango-file,questlist.dat,26
17,,21,Getting Red Flags,,,"1. The general, Sae-Won command you to take the demon's red flags. Collect 35 red flags and give them to the general, Sae-Won.",Exp 8500; Contribution 1,,,,8500,1,0,12,"The general, Sae-Won command you to take the demon's red flags. Collect 35 red flags and give them to the general, Sae-Won.|161:35",bango-file,questlist.dat,27
18,,23,Beheading the Demon Water Dragon,,,"1. For improving the morale of our soldiers, bring 35 heads of the demon water dragons and give them to the general, Sae-Won in Jook-Suh Cargo Station.",Exp 10000; Contribution 1,,,,10000,1,0,17,"For improving the morale of our soldiers, bring 35 heads of the demon water dragons and give them to the general, Sae-Won in Jook-Suh Cargo Station.|162:35",bango-file,questlist.dat,28
19,,25,Demon's Drum,,,"1. The general, Sae-Wo retreated from the battle because the demon's drum discouraged his soldiers. Collect 40 demon's drums and give them to the general, Sae-Won.",Exp 12000; Skill Point 1,,,,12000,0,1,18,"The general, Sae-Wo retreated from the battle because the demon's drum discouraged his soldiers. Collect 40 demon's drums and give them to the general, Sae-Won.|165:40",bango-file,questlist.dat,29
20,,26,Collecting Armor,,,"1. Many soldiers retreated without their armor, so many suits of armor are required. Hunt the Demon armored knight and collect 40 armor items and bring them to the Chief Guard [Guh-Sosun] in Jook-Suh Cargo Station.",Exp 21750; Contribution 1,,,,21750,1,0,12,"Many soldiers retreated without their armor, so many suits of armor are required. Hunt the Demon armored knight and collect 40 armor items and bring them to the Chief Guard [Guh-Sosun] in Jook-Suh Cargo Station.|166:40",bango-file,questlist.dat,30
21,,27,Collecting Clothes Stained with Blood,,,"1. The guard, Won-Jung wants to collect his friend's clothes to perform a religious service. Hunt the Hungry Demon Water Dragon and collect 40 clothes and bring them to Won-Jung.",Exp 16300; Contribution 1; Skill Point 1,,,,16300,1,1,7,"The guard, Won-Jung wants to collect his friend's clothes to perform a religious service. Hunt the Hungry Demon Water Dragon and collect 40 clothes and bring them to Won-Jung.|167:40",bango-file,questlist.dat,31
22,,28,Materials of Winter Clothes,,,"1. The chief guard, Guh-Sosun wants to make winter clothes for his soldiers. Hunt the Demon water dragon predator and collect 40 demon water dragon predator skins and bring them to Guh-Sosun.",Exp 19000; Contribution 1; Skill Point 1,,,,19000,1,1,20,"The chief guard, Guh-Sosun wants to make winter clothes for his soldiers. Hunt the Demon water dragon predator and collect 40 demon water dragon predator skins and bring them to Guh-Sosun.|164:40",bango-file,questlist.dat,32
23,,29,Hunting the Demon Mad Knight,,,"1. The general, Sae-Won ask you to hunt the Demon mad knight. Hunt the Demon mad knight and collect 40 heads and bring them to General [Sae-Won].",Exp 22000; Contribution 1; Skill Point 1,,,,22000,1,1,19,"The general, Sae-Won ask you to hunt the Demon mad knight. Hunt the Demon mad knight and collect 40 heads and bring them to General [Sae-Won].|163:40",bango-file,questlist.dat,33
27,,30,Moon-Hee Who Became a Ghost,,,"1. Moon-Hee's mother in Temporary Fort of Geum-Ohee Castle said that Moon-Yoo follows his sister's voice and walks through the Temporary Fort of Geum-Ohee Castle without intention. Find where the voice comes.
2. Moon-Hee, the ghost curses her mother and brother.  Find out Moon-Hee占쏙옙s Doll burned with herself from Castoff Baby Ghost and bring it to Moon-Hee in Temporary Fort of Geum-Ohee Castle.",Exp 29000; Contribution 1,,,,29000,1,0,,"Moon-Hee's mother in Temporary Fort of Geum-Ohee Castle said that Moon-Yoo follows his sister's voice and walks through the Temporary Fort of Geum-Ohee Castle without intention. Find where the voice comes.|;Moon-Hee, the ghost curses her mother and brother.  Find out Moon-Hee占쏙옙s Doll burned with herself from Castoff Baby Ghost and bring it to Moon-Hee in Temporary Fort of Geum-Ohee Castle.|",bango-file,questlist.dat,34
9004,,30,[Event] Entering the Government Service!,,,"1. HyungJoo-SeungGong recommended you for  entering the government service. Now you became an Apprentice in Naraeha. Meet the lord, Jin-Pyung in Geum-Oh Mine. He'll help you to enter the government service.
2. Lord, Jin-Pyung gives you a final mission for the government post. Get the Head of the Demon Commander and prove your ability. Then, he finally give you the government position.",Exp 40000,,,,40000,0,0,9003,"HyungJoo-SeungGong recommended you for  entering the government service. Now you became an Apprentice in Naraeha. Meet the lord, Jin-Pyung in Geum-Oh Mine. He'll help you to enter the government service.|;Lord, Jin-Pyung gives you a final mission for the government post. Get the Head of the Demon Commander and prove your ability. Then, he finally give you the government position.|181:1",bango-file,questlist.dat,35
9005,,30,[Event] Afterimage of Red Feather,,,"1. Meet Mr. Hyun-Choong at Temporary Fort of Geum-Ohee Castle. He's a famous wise man. He may find your memory back.
2. The Red Feather in your memory, makes you confuse and headache. Mr. Hyun-Choong told you that the Red Feather represents the general, Gwa-bo and asked you to meet Mr. Jin-Haeryang who's the friend of the general, Gwa-bo. Mr. Jin-Haeryang is at Temporary Fort of Geum-Ohee Castle.
3. Mr. Jin-Haeryang looks so busy and doesn't care about you. But Mr. Jin-Haeryang asks you a favor to collect 100 spirits in the talismans. Collect 100 spirits by using the talismans in the keg.",Exp 10000; Contribution 2,,,,10000,2,0,9004,"Meet Mr. Hyun-Choong at Temporary Fort of Geum-Ohee Castle. He's a famous wise man. He may find your memory back.|;The Red Feather in your memory, makes you confuse and headache. Mr. Hyun-Choong told you that the Red Feather represents the general, Gwa-bo and asked you to meet Mr. Jin-Haeryang who's the friend of the general, Gwa-bo. Mr. Jin-Haeryang is at Temporary Fort of Geum-Ohee Castle.|;Mr. Jin-Haeryang looks so busy and doesn't care about you. But Mr. Jin-Haeryang asks you a favor to collect 100 spirits in the talismans. Collect 100 spirits by using the talismans in the keg.|226:100",bango-file,questlist.dat,36
9006,,30,[Event] Evil Mind of Ban-go,,,"1. Mr. Jin-Haeryang asks you to see the Jae-Ga who's the chief soldier of Temporary Fort of Geum-Ohee Castle. But you're so tired. Rest your self while you're listening to the people.
2. Jae-Ga tells you about the plan to attack the demons of Geum-Ohee Castle. But they don't have enough information. Collect the information and give the information to Jae-Ga. Behead all the Devil Soldiers' heads around Geum-Ohee Castle.
3. You get confuse and headache again. It seems that your past must be related with Ban-go. Help Jae-Ga and fight with the Devil Soldiers in Geum-Ohee Castle. Behead the Devil Monsters' heads for raising the morale.
4. Jae-Ga troop succeeded the surprise attack but failed to get the Geum-Ohee Castle back. The tomb stone and the distorted space are found in the center of the Geum-Ohee Castle and the enemies are coming from there.[Next Event is updated. Go back to Jae-Ga again.]",Exp 120788,,,,120788,0,0,9005,"Mr. Jin-Haeryang asks you to see the Jae-Ga who's the chief soldier of Temporary Fort of Geum-Ohee Castle. But you're so tired. Rest your self while you're listening to the people.|234:1,235:1,236:1;Jae-Ga tells you about the plan to attack the demons of Geum-Ohee Castle. But they don't have enough information. Collect the information and give the information to Jae-Ga. Behead all the Devil Soldiers' heads around Geum-Ohee Castle.|227:1,228:1,229:1,230:1,231:1;You get confuse and headache again. It seems that your past must be related with Ban-go. Help Jae-Ga and fight with the Devil Soldiers in Geum-Ohee Castle. Behead the Devil Monsters' heads for raising the morale.|232:1,233:1;Jae-Ga troop succeeded the surprise attack but failed to get the Geum-Ohee Castle back. The tomb stone and the distorted space are found in the center of the Geum-Ohee Castle and the enemies are coming from there.[Next Event is updated. Go back to Jae-Ga again.]|",bango-file,questlist.dat,37
28,,31,Hunting Ghost,,,1. Eliminate the Ghost of Young Man who attacks people and get the Heung-Pae's Necklace of Wolf's Tooth back for Heung-Pae in Temporary Fort of Geum-Ohee Castle.,Exp 35000; Contribution 1,,,,35000,1,0,,Eliminate the Ghost of Young Man who attacks people and get the Heung-Pae's Necklace of Wolf's Tooth back for Heung-Pae in Temporary Fort of Geum-Ohee Castle.|209:1,bango-file,questlist.dat,38
29,,32,Bead of Ghost,,,"1. The Chief Guard, Duk-Yoon asked you to purify the Bead of Ghost containing Ghost of Young Woman. Purify 10 Beads of Ghosts and bring them to Duk-Yoon in Temporary Fort of Geum-Ohee Castle.",Exp 42000; Contribution 1,,,,42000,1,0,,"The Chief Guard, Duk-Yoon asked you to purify the Bead of Ghost containing Ghost of Young Woman. Purify 10 Beads of Ghosts and bring them to Duk-Yoon in Temporary Fort of Geum-Ohee Castle.|210:10,217:1",bango-file,questlist.dat,39
24,,33,Helping Yang-Do,,,"1. The guard, Yang-Do wants to get a secret letter from the Demon commander for distinguishing credits. Get a secret letter from the Demon commander and give it to Yang-Do.",Exp 47000; Skill Point 2,,,,47000,0,2,20,"The guard, Yang-Do wants to get a secret letter from the Demon commander for distinguishing credits. Get a secret letter from the Demon commander and give it to Yang-Do.|141:1",bango-file,questlist.dat,40
30,,34,Ghost of Blacksmith,,,"1. Purify 10 Beads of Blacksmithes and bring them to the Guard, Soo-Go in Temporary Fort of Geum-Ohee Castle.",Exp 62000; Contribution 1,,,,62000,1,0,,"Purify 10 Beads of Blacksmithes and bring them to the Guard, Soo-Go in Temporary Fort of Geum-Ohee Castle.|211:10",bango-file,questlist.dat,41
31,,35,Ghost of Friends,,,"1. Purify the 10 Beads of Ghosts of Guards and bring them to the Guard, Dan-Bok in Temporary Fort of Geum-Ohee Castle.",Exp 76000; Contribution 1,,,,76000,1,0,,"Purify the 10 Beads of Ghosts of Guards and bring them to the Guard, Dan-Bok in Temporary Fort of Geum-Ohee Castle.|212:10",bango-file,questlist.dat,42
25,,36,Joong-Gwon's Disease,,,1. Joong-Gwon became deaf because he was frightened when he saw the Demon Water Dragon. He may be cured if he get the Demon Water Dragon Commander's skin. Please get the Demon Water Dragon Commander's skin and give it to Gwee-Sik in Guem-Oh Mine.,Exp 79000; Contribution 1,,,,79000,1,0,15,Joong-Gwon became deaf because he was frightened when he saw the Demon Water Dragon. He may be cured if he get the Demon Water Dragon Commander's skin. Please get the Demon Water Dragon Commander's skin and give it to Gwee-Sik in Guem-Oh Mine.|168:1,bango-file,questlist.dat,43
32,,37,Undetected Ghost,,,"1. Purify the Ghost of Fellow Traveler to the Other World and bring 10 of them to the guard, Ga-Gee in Temporary Fort of Geum-Ohee Castle.",Exp 80000; Contribution 1,,,,80000,1,0,,"Purify the Ghost of Fellow Traveler to the Other World and bring 10 of them to the guard, Ga-Gee in Temporary Fort of Geum-Ohee Castle.|213:10",bango-file,questlist.dat,44
