pre_azon,pre_name,pre_rev,pre_grd,bango_level,bango_sell,bango_stats_json,bango_record_json,provenance,source_file,source_line
12,Vigorous   ,,,,10,"[[""Hth"",""2""]]","[""prefix"",[""index"",""12""],[""sell"",""10""],[""Hth"",""2""]]",bango-file,prefix.dat,12
13,Heroic,,,,15,"[[""Hth"",""3""]]","[""prefix"",[""index"",""13""],[""sell"",""15""],[""Hth"",""3""]]",bango-file,prefix.dat,13
14,Vital,,,,20,"[[""Hth"",""4""]]","[""prefix"",[""index"",""14""],[""sell"",""20""],[""Hth"",""4""]]",bango-file,prefix.dat,14
15,Ablaze,,,,25,"[[""Hth"",""5""]]","[""prefix"",[""index"",""15""],[""sell"",""25""],[""Hth"",""5""]]",bango-file,prefix.dat,15
16,Iron legs'',,,1,30,"[[""Hth"",""6""]]","[""prefix"",[""index"",""16""],[""level"",""1""],[""sell"",""30""],[""Hth"",""6""]]",bango-file,prefix.dat,16
17,Steel's,,,1,35,"[[""Hth"",""7""]]","[""prefix"",[""index"",""17""],[""level"",""1""],[""sell"",""35""],[""Hth"",""7""]]",bango-file,prefix.dat,17
18,limitable,,,1,40,"[[""Hth"",""8""]]","[""prefix"",[""index"",""18""],[""level"",""1""],[""sell"",""40""],[""Hth"",""8""]]",bango-file,prefix.dat,18
19,Infinitely,,,1,45,"[[""Hth"",""9""]]","[""prefix"",[""index"",""19""],[""level"",""1""],[""sell"",""45""],[""Hth"",""9""]]",bango-file,prefix.dat,19
20,Diamond,,,1,50,"[[""Hth"",""10""]]","[""prefix"",[""index"",""20""],[""level"",""1""],[""sell"",""50""],[""Hth"",""10""]]",bango-file,prefix.dat,20
21,Fictional,,,,5,"[[""Int"",""1""]]","[""prefix"",[""index"",""21""],[""sell"",""5""],[""Int"",""1""]]",bango-file,prefix.dat,21
22,Sharp,,,,10,"[[""Int"",""2""]]","[""prefix"",[""index"",""22""],[""sell"",""10""],[""Int"",""2""]]",bango-file,prefix.dat,22
23,Keen,,,,15,"[[""Int"",""3""]]","[""prefix"",[""index"",""23""],[""sell"",""15""],[""Int"",""3""]]",bango-file,prefix.dat,23
24,Ordinary,,,,20,"[[""Int"",""4""]]","[""prefix"",[""index"",""24""],[""sell"",""20""],[""Int"",""4""]]",bango-file,prefix.dat,24
25,Wise,,,,25,"[[""Int"",""5""]]","[""prefix"",[""index"",""25""],[""sell"",""25""],[""Int"",""5""]]",bango-file,prefix.dat,25
26,Mystic,,,1,30,"[[""Int"",""6""]]","[""prefix"",[""index"",""26""],[""level"",""1""],[""sell"",""30""],[""Int"",""6""]]",bango-file,prefix.dat,26
27,Worshipful,,,1,35,"[[""Int"",""7""]]","[""prefix"",[""index"",""27""],[""level"",""1""],[""sell"",""35""],[""Int"",""7""]]",bango-file,prefix.dat,27
28,Sublime,,,1,40,"[[""Int"",""8""]]","[""prefix"",[""index"",""28""],[""level"",""1""],[""sell"",""40""],[""Int"",""8""]]",bango-file,prefix.dat,28
29,Pure,,,1,45,"[[""Int"",""9""]]","[""prefix"",[""index"",""29""],[""level"",""1""],[""sell"",""45""],[""Int"",""9""]]",bango-file,prefix.dat,29
30,Absolute,,,1,50,"[[""Int"",""10""]]","[""prefix"",[""index"",""30""],[""level"",""1""],[""sell"",""50""],[""Int"",""10""]]",bango-file,prefix.dat,30
31,Fixed,,,,5,"[[""Wis"",""1""]]","[""prefix"",[""index"",""31""],[""sell"",""5""],[""Wis"",""1""]]",bango-file,prefix.dat,31
32,Confirmatory,,,,10,"[[""Wis"",""2""]]","[""prefix"",[""index"",""32""],[""sell"",""10""],[""Wis"",""2""]]",bango-file,prefix.dat,32
33,Celebrated,,,,15,"[[""Wis"",""3""]]","[""prefix"",[""index"",""33""],[""sell"",""15""],[""Wis"",""3""]]",bango-file,prefix.dat,33
34,Dignified,,,,20,"[[""Wis"",""4""]]","[""prefix"",[""index"",""34""],[""sell"",""20""],[""Wis"",""4""]]",bango-file,prefix.dat,34
35,Merciful,,,,25,"[[""Wis"",""5""]]","[""prefix"",[""index"",""35""],[""sell"",""25""],[""Wis"",""5""]]",bango-file,prefix.dat,35
36,Predictive,,,1,30,"[[""Wis"",""6""]]","[""prefix"",[""index"",""36""],[""level"",""1""],[""sell"",""30""],[""Wis"",""6""]]",bango-file,prefix.dat,36
37,Foreseeable,,,1,35,"[[""Wis"",""7""]]","[""prefix"",[""index"",""37""],[""level"",""1""],[""sell"",""35""],[""Wis"",""7""]]",bango-file,prefix.dat,37
38,War Leader's,,,1,40,"[[""Wis"",""8""]]","[""prefix"",[""index"",""38""],[""level"",""1""],[""sell"",""40""],[""Wis"",""8""]]",bango-file,prefix.dat,38
39,Reverent,,,1,45,"[[""Wis"",""9""]]","[""prefix"",[""index"",""39""],[""level"",""1""],[""sell"",""45""],[""Wis"",""9""]]",bango-file,prefix.dat,39
40,Paradoxical,,,1,50,"[[""Wis"",""10""]]","[""prefix"",[""index"",""40""],[""level"",""1""],[""sell"",""50""],[""Wis"",""10""]]",bango-file,prefix.dat,40
41,Agile,,,,5,"[[""Dex"",""1""]]","[""prefix"",[""index"",""41""],[""sell"",""5""],[""Dex"",""1""]]",bango-file,prefix.dat,41
42,Reflective,,,,10,"[[""Dex"",""2""]]","[""prefix"",[""index"",""42""],[""sell"",""10""],[""Dex"",""2""]]",bango-file,prefix.dat,42
43,Instant,,,,15,"[[""Dex"",""3""]]","[""prefix"",[""index"",""43""],[""sell"",""15""],[""Dex"",""3""]]",bango-file,prefix.dat,43
44,Flexible,,,,20,"[[""Dex"",""4""]]","[""prefix"",[""index"",""44""],[""sell"",""20""],[""Dex"",""4""]]",bango-file,prefix.dat,44
45,Dashy,,,,25,"[[""Dex"",""5""]]","[""prefix"",[""index"",""45""],[""sell"",""25""],[""Dex"",""5""]]",bango-file,prefix.dat,45
46,Rush,,,1,30,"[[""Dex"",""6""]]","[""prefix"",[""index"",""46""],[""level"",""1""],[""sell"",""30""],[""Dex"",""6""]]",bango-file,prefix.dat,46
47,Fierce,,,1,35,"[[""Dex"",""7""]]","[""prefix"",[""index"",""47""],[""level"",""1""],[""sell"",""35""],[""Dex"",""7""]]",bango-file,prefix.dat,47
48,Flashy,,,1,40,"[[""Dex"",""8""]]","[""prefix"",[""index"",""48""],[""level"",""1""],[""sell"",""40""],[""Dex"",""8""]]",bango-file,prefix.dat,48
49,Unlimited,,,1,45,"[[""Dex"",""9""]]","[""prefix"",[""index"",""49""],[""level"",""1""],[""sell"",""45""],[""Dex"",""9""]]",bango-file,prefix.dat,49
50,Gliding,,,1,50,"[[""Dex"",""10""]]","[""prefix"",[""index"",""50""],[""level"",""1""],[""sell"",""50""],[""Dex"",""10""]]",bango-file,prefix.dat,50
51,Heavy Blow's,,,1,50,"[[""attack"",""0"",""4""]]","[""prefix"",[""index"",""51""],[""level"",""1""],[""sell"",""50""],[""attack"",""0"",""4""]]",bango-file,prefix.dat,51
52,The Powerful,,,1,50,"[[""attack"",""2"",""2""]]","[""prefix"",[""index"",""52""],[""level"",""1""],[""sell"",""50""],[""attack"",""2"",""2""]]",bango-file,prefix.dat,52
53,Explosive,,,1,55,"[[""attack"",""0"",""6""]]","[""prefix"",[""index"",""53""],[""level"",""1""],[""sell"",""55""],[""attack"",""0"",""6""]]",bango-file,prefix.dat,53
54,Fierce,,,1,55,"[[""attack"",""3"",""3""]]","[""prefix"",[""index"",""54""],[""level"",""1""],[""sell"",""55""],[""attack"",""3"",""3""]]",bango-file,prefix.dat,54
55,Exterminated,,,2,60,"[[""attack"",""0"",""8""]]","[""prefix"",[""index"",""55""],[""level"",""2""],[""sell"",""60""],[""attack"",""0"",""8""]]",bango-file,prefix.dat,55
56,Feathery,,,2,15,"[[""Hth"",""2""],[""Dex"",""1""]]","[""prefix"",[""index"",""56""],[""level"",""2""],[""sell"",""15""],[""Hth"",""2""],[""Dex"",""1""]]",bango-file,prefix.dat,56
57,Man's,,,2,15,"[[""str"",""1""],[""Hth"",""2""]]","[""prefix"",[""index"",""57""],[""level"",""2""],[""sell"",""15""],[""str"",""1""],[""Hth"",""2""]]",bango-file,prefix.dat,57
58,Extreme,,,3,80,"[[""attack"",""0"",""12""]]","[""prefix"",[""index"",""58""],[""level"",""3""],[""sell"",""80""],[""attack"",""0"",""12""]]",bango-file,prefix.dat,58
59,Destructive,,,3,90,"[[""attack"",""0"",""14""]]","[""prefix"",[""index"",""59""],[""level"",""3""],[""sell"",""90""],[""attack"",""0"",""14""]]",bango-file,prefix.dat,59
60,Fundamental,,,1,50,"[[""magic"",""0"",""4""]]","[""prefix"",[""index"",""60""],[""level"",""1""],[""sell"",""50""],[""magic"",""0"",""4""]]",bango-file,prefix.dat,60
61,Powerful,,,1,50,"[[""magic"",""2"",""2""]]","[""prefix"",[""index"",""61""],[""level"",""1""],[""sell"",""50""],[""magic"",""2"",""2""]]",bango-file,prefix.dat,61
62,Mighty,,,1,55,"[[""magic"",""0"",""6""]]","[""prefix"",[""index"",""62""],[""level"",""1""],[""sell"",""55""],[""magic"",""0"",""6""]]",bango-file,prefix.dat,62
63,Considerable,,,1,55,"[[""magic"",""3"",""3""]]","[""prefix"",[""index"",""63""],[""level"",""1""],[""sell"",""55""],[""magic"",""3"",""3""]]",bango-file,prefix.dat,63
64,Cruel,,,1,60,"[[""magic"",""0"",""8""]]","[""prefix"",[""index"",""64""],[""level"",""1""],[""sell"",""60""],[""magic"",""0"",""8""]]",bango-file,prefix.dat,64
65,Wisdom's,,,1,15,"[[""Hth"",""2""],[""Int"",""1""]]","[""prefix"",[""index"",""65""],[""level"",""1""],[""sell"",""15""],[""Hth"",""2""],[""Int"",""1""]]",bango-file,prefix.dat,65
66,High Class',,,1,80,"[[""magic"",""0"",""12""]]","[""prefix"",[""index"",""66""],[""level"",""1""],[""sell"",""80""],[""magic"",""0"",""12""]]",bango-file,prefix.dat,66
67,Absoluteness',,,2,90,"[[""magic"",""0"",""14""]]","[""prefix"",[""index"",""67""],[""level"",""2""],[""sell"",""90""],[""magic"",""0"",""14""]]",bango-file,prefix.dat,67
68,Wandering Knight's,,,0,40,"[[""str"",""1""],[""Hth"",""1""],[""Dex"",""1""],[""attack"",""0"",""1""]]","[""prefix"",[""index"",""68""],[""level"",""0""],[""sell"",""40""],[""str"",""1""],[""Hth"",""1""],[""Dex"",""1""],[""attack"",""0"",""1""]]",bango-file,prefix.dat,68
69,Veteran Knight's,,,1,65,"[[""str"",""2""],[""Hth"",""2""],[""Dex"",""1""],[""attack"",""1"",""2""]]","[""prefix"",[""index"",""69""],[""level"",""1""],[""sell"",""65""],[""str"",""2""],[""Hth"",""2""],[""Dex"",""1""],[""attack"",""1"",""2""]]",bango-file,prefix.dat,69
70,Strong Knight's,,,1,110,"[[""str"",""3""],[""Hth"",""2""],[""Dex"",""2""],[""attack"",""2"",""3""],[""hp"",""50""]]","[""prefix"",[""index"",""70""],[""level"",""1""],[""sell"",""110""],[""str"",""3""],[""Hth"",""2""],[""Dex"",""2""],[""attack"",""2"",""3""],[""hp"",""50""]]",bango-file,prefix.dat,70
71,Expert Knight's,,,2,170,"[[""str"",""4""],[""Hth"",""3""],[""Dex"",""3""],[""attack"",""2"",""5""],[""hp"",""75""],[""mp"",""25""]]","[""prefix"",[""index"",""71""],[""level"",""2""],[""sell"",""170""],[""str"",""4""],[""Hth"",""3""],[""Dex"",""3""],[""attack"",""2"",""5""],[""hp"",""75""],[""mp"",""25""]]",bango-file,prefix.dat,71
72,Wandering Archer's,,,0,40,"[[""str"",""1""],[""Wis"",""1""],[""Dex"",""1""],[""attack"",""0"",""1""]]","[""prefix"",[""index"",""72""],[""level"",""0""],[""sell"",""40""],[""str"",""1""],[""Wis"",""1""],[""Dex"",""1""],[""attack"",""0"",""1""]]",bango-file,prefix.dat,72
73,Veteran Archer's,,,1,65,"[[""str"",""2""],[""Hth"",""1""],[""Dex"",""2""],[""attack"",""1"",""2""]]","[""prefix"",[""index"",""73""],[""level"",""1""],[""sell"",""65""],[""str"",""2""],[""Hth"",""1""],[""Dex"",""2""],[""attack"",""1"",""2""]]",bango-file,prefix.dat,73
74,Skillful Archer's ,,,1,110,"[[""str"",""2""],[""Hth"",""2""],[""Dex"",""3""],[""attack"",""2"",""3""],[""hp"",""50""]]","[""prefix"",[""index"",""74""],[""level"",""1""],[""sell"",""110""],[""str"",""2""],[""Hth"",""2""],[""Dex"",""3""],[""attack"",""2"",""3""],[""hp"",""50""]]",bango-file,prefix.dat,74
75,Expert Archer's,,,2,170,"[[""str"",""3""],[""Hth"",""3""],[""Dex"",""4""],[""attack"",""2"",""5""],[""hp"",""75""],[""mp"",""25""]]","[""prefix"",[""index"",""75""],[""level"",""2""],[""sell"",""170""],[""str"",""3""],[""Hth"",""3""],[""Dex"",""4""],[""attack"",""2"",""5""],[""hp"",""75""],[""mp"",""25""]]",bango-file,prefix.dat,75
76,Beginning Scholar's,,,0,40,"[[""Int"",""1""],[""Wis"",""1""],[""Dex"",""1""],[""magic"",""0"",""1""]]","[""prefix"",[""index"",""76""],[""level"",""0""],[""sell"",""40""],[""Int"",""1""],[""Wis"",""1""],[""Dex"",""1""],[""magic"",""0"",""1""]]",bango-file,prefix.dat,76
77,Veteran Scholar's,,,1,65,"[[""Int"",""2""],[""Wis"",""2""],[""Dex"",""1""],[""magic"",""1"",""2""]]","[""prefix"",[""index"",""77""],[""level"",""1""],[""sell"",""65""],[""Int"",""2""],[""Wis"",""2""],[""Dex"",""1""],[""magic"",""1"",""2""]]",bango-file,prefix.dat,77
78,Skillful Scholar's,,,1,110,"[[""Int"",""3""],[""Wis"",""2""],[""Dex"",""2""],[""magic"",""2"",""3""],[""mp"",""50""]]","[""prefix"",[""index"",""78""],[""level"",""1""],[""sell"",""110""],[""Int"",""3""],[""Wis"",""2""],[""Dex"",""2""],[""magic"",""2"",""3""],[""mp"",""50""]]",bango-file,prefix.dat,78
79,Expert Scholar's,,,2,170,"[[""Int"",""4""],[""Wis"",""3""],[""Dex"",""3""],[""magic"",""2"",""5""],[""hp"",""50""],[""mp"",""50""]]","[""prefix"",[""index"",""79""],[""level"",""2""],[""sell"",""170""],[""Int"",""4""],[""Wis"",""3""],[""Dex"",""3""],[""magic"",""2"",""5""],[""hp"",""50""],[""mp"",""50""]]",bango-file,prefix.dat,79
80,Distinct,,,3,180,"[[""Hth"",""2""],[""Int"",""3""],[""Wis"",""5""],[""Dex"",""2""],[""hp"",""90""],[""mp"",""110""],[""defense"",""2""]]","[""prefix"",[""index"",""80""],[""level"",""3""],[""sell"",""180""],[""Hth"",""2""],[""Int"",""3""],[""Wis"",""5""],[""Dex"",""2""],[""hp"",""90""],[""mp"",""110""],[""defense"",""2""]]",bango-file,prefix.dat,80
81,Steely,,,3,185,"[[""str"",""2""],[""Hth"",""5""],[""Wis"",""2""],[""Dex"",""3""],[""hp"",""150""],[""defense"",""5""]]","[""prefix"",[""index"",""81""],[""level"",""3""],[""sell"",""185""],[""str"",""2""],[""Hth"",""5""],[""Wis"",""2""],[""Dex"",""3""],[""hp"",""150""],[""defense"",""5""]]",bango-file,prefix.dat,81
82,Breakthrough's,,,3,190,"[[""str"",""5""],[""Hth"",""2""],[""Wis"",""2""],[""Dex"",""3""],[""hp"",""100""],[""mp"",""100""],[""hit"",""1""]]","[""prefix"",[""index"",""82""],[""level"",""3""],[""sell"",""190""],[""str"",""5""],[""Hth"",""2""],[""Wis"",""2""],[""Dex"",""3""],[""hp"",""100""],[""mp"",""100""],[""hit"",""1""]]",bango-file,prefix.dat,82
83,Despotic,,,1,45,"[[""str"",""2""],[""Hth"",""1""],[""hit"",""1""]]","[""prefix"",[""index"",""83""],[""level"",""1""],[""sell"",""45""],[""str"",""2""],[""Hth"",""1""],[""hit"",""1""]]",bango-file,prefix.dat,83
84,Revenge's,,,1,45,"[[""Wis"",""1""],[""Dex"",""2""],[""hit"",""1""]]","[""prefix"",[""index"",""84""],[""level"",""1""],[""sell"",""45""],[""Wis"",""1""],[""Dex"",""2""],[""hit"",""1""]]",bango-file,prefix.dat,84
85,Prideful,,,1,55,"[[""Hth"",""2""],[""Dex"",""1""],[""hp"",""60""],[""defense"",""1""]]","[""prefix"",[""index"",""85""],[""level"",""1""],[""sell"",""55""],[""Hth"",""2""],[""Dex"",""1""],[""hp"",""60""],[""defense"",""1""]]",bango-file,prefix.dat,85
86,Ruinous,,,1,50,"[[""Hth"",""1""],[""Int"",""2""],[""mp"",""30""],[""defense"",""2""]]","[""prefix"",[""index"",""86""],[""level"",""1""],[""sell"",""50""],[""Hth"",""1""],[""Int"",""2""],[""mp"",""30""],[""defense"",""2""]]",bango-file,prefix.dat,86
87,Glorious,,,1,50,"[[""Wis"",""2""],[""Dex"",""1""],[""mp"",""30""],[""defense"",""2""]]","[""prefix"",[""index"",""87""],[""level"",""1""],[""sell"",""50""],[""Wis"",""2""],[""Dex"",""1""],[""mp"",""30""],[""defense"",""2""]]",bango-file,prefix.dat,87
88,Decisional,,,3,180,"[[""str"",""3""],[""Hth"",""2""],[""Wis"",""2""],[""Dex"",""5""],[""hp"",""120""],[""mp"",""80""],[""defense"",""2""]]","[""prefix"",[""index"",""88""],[""level"",""3""],[""sell"",""180""],[""str"",""3""],[""Hth"",""2""],[""Wis"",""2""],[""Dex"",""5""],[""hp"",""120""],[""mp"",""80""],[""defense"",""2""]]",bango-file,prefix.dat,88
89,Magical Power's,,,3,180,"[[""Hth"",""2""],[""Int"",""5""],[""Wis"",""3""],[""Dex"",""2""],[""hp"",""50""],[""mp"",""150""],[""defense"",""2""]]","[""prefix"",[""index"",""89""],[""level"",""3""],[""sell"",""180""],[""Hth"",""2""],[""Int"",""5""],[""Wis"",""3""],[""Dex"",""2""],[""hp"",""50""],[""mp"",""150""],[""defense"",""2""]]",bango-file,prefix.dat,89
90,Legendary,,,3,250,"[[""str"",""5""],[""Hth"",""5""],[""Int"",""5""],[""Wis"",""5""],[""Dex"",""5""],[""hp"",""75""],[""mp"",""75""],[""defense"",""5""]]","[""prefix"",[""index"",""90""],[""level"",""3""],[""sell"",""250""],[""str"",""5""],[""Hth"",""5""],[""Int"",""5""],[""Wis"",""5""],[""Dex"",""5""],[""hp"",""75""],[""mp"",""75""],[""defense"",""5""]]",bango-file,prefix.dat,90
91,Rash,,,1,210,"[[""hp"",""360""],[""defense"",""3""]]","[""prefix"",[""index"",""91""],[""level"",""1""],[""sell"",""210""],[""hp"",""360""],[""defense"",""3""]]",bango-file,prefix.dat,91
92,"The King, GuhBalHan's",,,3,290,"[[""str"",""6""],[""Hth"",""6""],[""Int"",""6""],[""Wis"",""6""],[""Dex"",""6""],[""hp"",""100""],[""mp"",""80""],[""defense"",""5""]]","[""prefix"",[""index"",""92""],[""level"",""3""],[""sell"",""290""],[""str"",""6""],[""Hth"",""6""],[""Int"",""6""],[""Wis"",""6""],[""Dex"",""6""],[""hp"",""100""],[""mp"",""80""],[""defense"",""5""]]",bango-file,prefix.dat,92
93,+1,,,0,1,"[[""str"",""1""]]","[""prefix"",[""index"",""93""],[""level"",""0""],[""sell"",""1""],[""str"",""1""]]",bango-file,prefix.dat,95
94,+2,,,0,1,"[[""str"",""2""]]","[""prefix"",[""index"",""94""],[""level"",""0""],[""sell"",""1""],[""str"",""2""]]",bango-file,prefix.dat,96
95,+3,,,0,1,"[[""str"",""3""]]","[""prefix"",[""index"",""95""],[""level"",""0""],[""sell"",""1""],[""str"",""3""]]",bango-file,prefix.dat,97
96,+4,,,0,1,"[[""str"",""4""]]","[""prefix"",[""index"",""96""],[""level"",""0""],[""sell"",""1""],[""str"",""4""]]",bango-file,prefix.dat,98
97,+5,,,0,1,"[[""str"",""5""]]","[""prefix"",[""index"",""97""],[""level"",""0""],[""sell"",""1""],[""str"",""5""]]",bango-file,prefix.dat,99
98,+6,,,0,1,"[[""str"",""6""]]","[""prefix"",[""index"",""98""],[""level"",""0""],[""sell"",""1""],[""str"",""6""]]",bango-file,prefix.dat,100
99,+7,,,0,1,"[[""str"",""7""]]","[""prefix"",[""index"",""99""],[""level"",""0""],[""sell"",""1""],[""str"",""7""]]",bango-file,prefix.dat,101
100,+1,,,0,1,"[[""Dex"",""1""]]","[""prefix"",[""index"",""100""],[""level"",""0""],[""sell"",""1""],[""Dex"",""1""]]",bango-file,prefix.dat,102
101,+2,,,0,1,"[[""Dex"",""2""]]","[""prefix"",[""index"",""101""],[""level"",""0""],[""sell"",""1""],[""Dex"",""2""]]",bango-file,prefix.dat,103
102,+3,,,0,1,"[[""Dex"",""3""]]","[""prefix"",[""index"",""102""],[""level"",""0""],[""sell"",""1""],[""Dex"",""3""]]",bango-file,prefix.dat,104
103,+4,,,0,1,"[[""Dex"",""4""]]","[""prefix"",[""index"",""103""],[""level"",""0""],[""sell"",""1""],[""Dex"",""4""]]",bango-file,prefix.dat,105
104,+5,,,0,1,"[[""Dex"",""5""]]","[""prefix"",[""index"",""104""],[""level"",""0""],[""sell"",""1""],[""Dex"",""5""]]",bango-file,prefix.dat,106
105,+6,,,0,1,"[[""Dex"",""6""]]","[""prefix"",[""index"",""105""],[""level"",""0""],[""sell"",""1""],[""Dex"",""6""]]",bango-file,prefix.dat,107
106,+7,,,0,1,"[[""Dex"",""7""]]","[""prefix"",[""index"",""106""],[""level"",""0""],[""sell"",""1""],[""Dex"",""7""]]",bango-file,prefix.dat,108
107,+1,,,0,1,"[[""Int"",""1""]]","[""prefix"",[""index"",""107""],[""level"",""0""],[""sell"",""1""],[""Int"",""1""]]",bango-file,prefix.dat,109
108,+2,,,0,1,"[[""Int"",""2""]]","[""prefix"",[""index"",""108""],[""level"",""0""],[""sell"",""1""],[""Int"",""2""]]",bango-file,prefix.dat,110
109,+3,,,0,1,"[[""Int"",""3""]]","[""prefix"",[""index"",""109""],[""level"",""0""],[""sell"",""1""],[""Int"",""3""]]",bango-file,prefix.dat,111
110,+4,,,0,1,"[[""Int"",""4""]]","[""prefix"",[""index"",""110""],[""level"",""0""],[""sell"",""1""],[""Int"",""4""]]",bango-file,prefix.dat,112
111,+5,,,0,1,"[[""Int"",""5""]]","[""prefix"",[""index"",""111""],[""level"",""0""],[""sell"",""1""],[""Int"",""5""]]",bango-file,prefix.dat,113
112,+6,,,0,1,"[[""Int"",""6""]]","[""prefix"",[""index"",""112""],[""level"",""0""],[""sell"",""1""],[""Int"",""6""]]",bango-file,prefix.dat,114
113,+7,,,0,1,"[[""Int"",""7""]]","[""prefix"",[""index"",""113""],[""level"",""0""],[""sell"",""1""],[""Int"",""7""]]",bango-file,prefix.dat,115
114,+1,,,0,1,"[[""Wis"",""1""]]","[""prefix"",[""index"",""114""],[""level"",""0""],[""sell"",""1""],[""Wis"",""1""]]",bango-file,prefix.dat,116
115,+2,,,0,1,"[[""Wis"",""2""]]","[""prefix"",[""index"",""115""],[""level"",""0""],[""sell"",""1""],[""Wis"",""2""]]",bango-file,prefix.dat,117
116,+3,,,0,1,"[[""Wis"",""3""]]","[""prefix"",[""index"",""116""],[""level"",""0""],[""sell"",""1""],[""Wis"",""3""]]",bango-file,prefix.dat,118
117,+4,,,0,1,"[[""Wis"",""4""]]","[""prefix"",[""index"",""117""],[""level"",""0""],[""sell"",""1""],[""Wis"",""4""]]",bango-file,prefix.dat,119
118,+5,,,0,1,"[[""Wis"",""5""]]","[""prefix"",[""index"",""118""],[""level"",""0""],[""sell"",""1""],[""Wis"",""5""]]",bango-file,prefix.dat,120
119,+6,,,0,1,"[[""Wis"",""6""]]","[""prefix"",[""index"",""119""],[""level"",""0""],[""sell"",""1""],[""Wis"",""6""]]",bango-file,prefix.dat,121
120,+7,,,0,1,"[[""Wis"",""7""]]","[""prefix"",[""index"",""120""],[""level"",""0""],[""sell"",""1""],[""Wis"",""7""]]",bango-file,prefix.dat,122
121,+1,,,0,1,"[[""Hth"",""1""]]","[""prefix"",[""index"",""121""],[""level"",""0""],[""sell"",""1""],[""Hth"",""1""]]",bango-file,prefix.dat,123
122,+2,,,0,1,"[[""Hth"",""2""]]","[""prefix"",[""index"",""122""],[""level"",""0""],[""sell"",""1""],[""Hth"",""2""]]",bango-file,prefix.dat,124
123,+3,,,0,1,"[[""Hth"",""3""]]","[""prefix"",[""index"",""123""],[""level"",""0""],[""sell"",""1""],[""Hth"",""3""]]",bango-file,prefix.dat,125
124,+4,,,0,1,"[[""Hth"",""4""]]","[""prefix"",[""index"",""124""],[""level"",""0""],[""sell"",""1""],[""Hth"",""4""]]",bango-file,prefix.dat,126
125,+5,,,0,1,"[[""Hth"",""5""]]","[""prefix"",[""index"",""125""],[""level"",""0""],[""sell"",""1""],[""Hth"",""5""]]",bango-file,prefix.dat,127
126,+6,,,0,1,"[[""Hth"",""6""]]","[""prefix"",[""index"",""126""],[""level"",""0""],[""sell"",""1""],[""Hth"",""6""]]",bango-file,prefix.dat,128
127,+7,,,0,1,"[[""Hth"",""7""]]","[""prefix"",[""index"",""127""],[""level"",""0""],[""sell"",""1""],[""Hth"",""7""]]",bango-file,prefix.dat,129
128,+0,,,0,1,[],"[""prefix"",[""index"",""128""],[""level"",""0""],[""sell"",""1""]]",bango-file,prefix.dat,132
129,+1,,,0,1,[],"[""prefix"",[""index"",""129""],[""level"",""0""],[""sell"",""1""]]",bango-file,prefix.dat,133
130,+2,,,0,1,[],"[""prefix"",[""index"",""130""],[""level"",""0""],[""sell"",""1""]]",bango-file,prefix.dat,134
131,+3,,,0,1,[],"[""prefix"",[""index"",""131""],[""level"",""0""],[""sell"",""1""]]",bango-file,prefix.dat,135
136,Fire[Royal],,,0,1,"[[""resistfire"",""8""]]","[""prefix"",[""index"",""136""],[""level"",""0""],[""sell"",""1""],[""resistfire"",""8""]]",bango-file,prefix.dat,138
137,Fire[Small],,,0,1,"[[""resistfire"",""3""]]","[""prefix"",[""index"",""137""],[""level"",""0""],[""sell"",""1""],[""resistfire"",""3""]]",bango-file,prefix.dat,139
