item_name,group_size,member_item_ids,outcome,gate_failed,note
General's Treasure Sword,4,561 704 815 1231,merged,,canonical 561; 49 drop rows across 3 of 4 records
Ghost Cloth with Bolts,2,1001 1016,merged,,canonical 1001; 0 drop rows across 0 of 2 records
Ghost Cloth with Straw,2,1002 1017,merged,,canonical 1002; 0 drop rows across 0 of 2 records
Giant Sword of Doggebi,4,587 748 859 1221,merged,,canonical 587; 7 drop rows across 3 of 4 records
Giant Sword of Doggebi Lord,4,589 750 861 1223,merged,,canonical 589; 7 drop rows across 3 of 4 records
Giant Sword of High Class Doggebi,4,588 749 860 1222,merged,,canonical 588; 7 drop rows across 3 of 4 records
Gloves of Doggebi,5,628 737 848 1206 1511,merged,,canonical 628; 72 drop rows across 3 of 5 records
Golden Armor,5,184 1129 1189 1247 1524,kept apart,record,"the client records differ, so these are different items that share a display name"
Golden Armor Gloves,5,1131 1191 1249 1297 1526,merged,,canonical 1131; 42 drop rows across 2 of 5 records
Golden Armor Helmet,4,1130 1190 1248 1525,merged,,canonical 1130; 42 drop rows across 2 of 4 records
Golden Armor Shoes,4,1132 1192 1250 1527,merged,,canonical 1132; 31 drop rows across 2 of 4 records
Golden Armor Skirts,4,1133 1193 1251 1528,merged,,canonical 1133; 18 drop rows across 2 of 4 records
Golden Bow,3,667 1216 1259,merged,,canonical 667; 23 drop rows across 2 of 3 records
Golden DaeChangEau,4,1134 1194 1252 1529,merged,,canonical 1134; 18 drop rows across 2 of 4 records
Golden DaeChangEau Gloves,5,1136 1196 1254 1298 1531,merged,,canonical 1136; 42 drop rows across 2 of 5 records
Golden DaeChangEau Hair Decoration,4,1135 1195 1253 1530,merged,,canonical 1135; 42 drop rows across 2 of 4 records
Golden DaeChangEau Shoes,4,1137 1197 1255 1532,merged,,canonical 1137; 31 drop rows across 2 of 4 records
Golden DaeChangEau Shorts,4,1138 1198 1256 1533,merged,,canonical 1138; 18 drop rows across 2 of 4 records
Golden Giant sword,2,1215 1258,merged,,canonical 1215; 1 drop rows across 1 of 2 records
Golden Scaled Armor,4,1124 1184 1242 1519,merged,,canonical 1124; 18 drop rows across 2 of 4 records
Golden Scaled Armor Gloves,5,1126 1186 1244 1296 1521,merged,,canonical 1126; 42 drop rows across 2 of 5 records
Golden Scaled Armor Helmet,4,1125 1185 1243 1520,merged,,canonical 1125; 42 drop rows across 2 of 4 records
Golden Scaled Armor Shoes,4,1127 1187 1245 1522,merged,,canonical 1127; 31 drop rows across 2 of 4 records
Golden Scaled Armor Shorts,4,1128 1188 1246 1523,merged,,canonical 1128; 18 drop rows across 2 of 4 records
Golden Stick,3,668 1217 1260,merged,,canonical 668; 23 drop rows across 2 of 3 records
Golden Sword,3,665 1214 1257,merged,,canonical 665; 23 drop rows across 2 of 3 records
Green Witch Hat,2,998 1013,merged,,canonical 998; 0 drop rows across 0 of 2 records
Hair Decoration of Doggebi,5,632 741 852 1210 1515,merged,,canonical 632; 72 drop rows across 3 of 5 records
Hairy Fish,4,1272 1275 1278 1281,merged,,canonical 1272; 0 drop rows across 0 of 4 records
Heavenly Executioner Armor,3,1887 1888 1889,kept apart,record,"the client records differ, so these are different items that share a display name"
Heavenly Executioner Armor Skirts,3,1893 1894 1895,kept apart,record,"the client records differ, so these are different items that share a display name"
Heavenly Executioner DaeChangEau,3,1896 1897 1898,kept apart,record,"the client records differ, so these are different items that share a display name"
Heavenly Executioner DaeChangEau Shorts,3,1902 1903 1904,kept apart,record,"the client records differ, so these are different items that share a display name"
Heavenly Executioner Scaled Armor,3,1878 1879 1880,kept apart,record,"the client records differ, so these are different items that share a display name"
Heavenly Executioner Scaled Armor Shorts,3,1884 1885 1886,kept apart,record,"the client records differ, so these are different items that share a display name"
Heavenly Executioner Suit Shorts of thief,3,1911 1912 1913,kept apart,record,"the client records differ, so these are different items that share a display name"
Heavenly Executioner Suit of thief,3,1905 1906 1907,kept apart,record,"the client records differ, so these are different items that share a display name"
Helmet of Doggebi,5,627 736 847 1205 1510,merged,,canonical 627; 72 drop rows across 3 of 5 records
Hermit's Water,2,1062 1172,merged,,canonical 1062; 0 drop rows across 0 of 2 records
Herring,4,1271 1274 1277 1280,merged,,canonical 1271; 0 drop rows across 0 of 4 records
High-Grade Scroll of Rebirth,3,482 1147 1665,kept apart,record,"the client records differ, so these are different items that share a display name"
Horn of Spirit,3,515 1160 1292,merged,,canonical 515; 0 drop rows across 0 of 3 records
Key,2,1182 1183,merged,,canonical 1182; 0 drop rows across 0 of 2 records
Lucky Key,2,636 1161,merged,,canonical 636; 0 drop rows across 0 of 2 records
Lucky Stone,2,637 1162,merged,,canonical 637; 0 drop rows across 0 of 2 records
Mask for Archer,3,364 1037 2602,kept apart,record,"the client records differ, so these are different items that share a display name"
Mask for Knight,3,363 1036 2601,kept apart,record,"the client records differ, so these are different items that share a display name"
Mask for Magician,3,365 1038 2603,kept apart,record,"the client records differ, so these are different items that share a display name"
Mask for Thief,2,1681 2613,kept apart,record,"the client records differ, so these are different items that share a display name"
Mission letters,67,1299 1300 1301 1302 1303 1304 1305 1306 1307 1308 1309 1310 1311 1312 1313 1314 1315 1316 1317 1328 1329 1330 1331 1332 1333 1334 1335 1336 1337 1338 1339 1340 1341 1342 1343 1344 1345 1346 1347 1348 1349 1350 1351 1352 1353 1354 1355 1356 1357 1358 1359 1360 1361 1362 1363 1364 1365 1741 1742 1743 1744 1745 1796 1797 1798 1799 1800,kept apart,record,"the client records differ, so these are different items that share a display name"
Mission letters of Hondel,9,2061 2062 2063 2064 2065 2066 2067 2068 2069,kept apart,record,"the client records differ, so these are different items that share a display name"
Moving Scroll of Location,3,511 1149 1291,merged,,canonical 511; 0 drop rows across 0 of 3 records
Name List[Character],2,639 1163,merged,,canonical 639; 0 drop rows across 0 of 2 records
Name List[Guild],2,640 1164,merged,,canonical 640; 0 drop rows across 0 of 2 records
Normal Ghost Cloth,2,1000 1015,merged,,canonical 1000; 0 drop rows across 0 of 2 records
Polishing Stone,3,481 1159 1666,kept apart,record,"the client records differ, so these are different items that share a display name"
Potion of Bear Skin,3,534 608 1143,kept apart,record,"the client records differ, so these are different items that share a display name"
Potion of Eagle Wings,3,537 611 1146,kept apart,record,"the client records differ, so these are different items that share a display name"
Potion of Foresight,3,536 610 1145,kept apart,record,"the client records differ, so these are different items that share a display name"
Potion of Tiger Claws,3,533 607 1142,kept apart,record,"the client records differ, so these are different items that share a display name"
Potion of Wisdom,3,535 609 1144,kept apart,record,"the client records differ, so these are different items that share a display name"
Purple Witch Hat,2,997 1012,merged,,canonical 997; 0 drop rows across 0 of 2 records
Recall scroll [For Guild],2,1474 1477,merged,,canonical 1474; 0 drop rows across 0 of 2 records
Recall scroll [For Individual],2,1472 1475,merged,,canonical 1472; 0 drop rows across 0 of 2 records
Recall scroll [For Party],2,1473 1476,merged,,canonical 1473; 0 drop rows across 0 of 2 records
Red Bird Cannon,8,883 884 885 886 891 892 893 894,kept apart,record,"the client records differ, so these are different items that share a display name"
Saving Scroll of Location,3,509 1148 1290,merged,,canonical 509; 0 drop rows across 0 of 3 records
Scaled Armor of Doggebi,4,621 730 841 1504,merged,,canonical 621; 88 drop rows across 2 of 4 records
Scaled Gloves of Doggebi,4,623 732 843 1506,merged,,canonical 623; 71 drop rows across 2 of 4 records
Scaled Helmet of Doggebi,4,622 731 842 1505,merged,,canonical 622; 71 drop rows across 2 of 4 records
Scaled Shoes of Doggebi,4,624 733 844 1507,merged,,canonical 624; 71 drop rows across 2 of 4 records
Scaled Shorts of Doggebi,4,625 734 845 1508,merged,,canonical 625; 88 drop rows across 2 of 4 records
Scroll of Accuracy Improvement,3,528 603 1153,kept apart,record,"the client records differ, so these are different items that share a display name"
Scroll of Damage Reduction,3,525 599 1151,kept apart,record,"the client records differ, so these are different items that share a display name"
Scroll of Evasion Improvement,3,529 605 1154,kept apart,record,"the client records differ, so these are different items that share a display name"
Scroll of HP Absorption,2,618 1156,merged,,canonical 618; 0 drop rows across 0 of 2 records
Scroll of Invincibility,3,1122 1176 1457,kept apart,record,"the client records differ, so these are different items that share a display name"
Scroll of Job Change,2,2605 2606,kept apart,record,"the client records differ, so these are different items that share a display name"
Scroll of Moving to the Leader,2,1123 1177,kept apart,record,"the client records differ, so these are different items that share a display name"
Scroll of Perfect Defense,2,617 1155,merged,,canonical 617; 0 drop rows across 0 of 2 records
Scroll of Power Improvement,3,524 597 1150,kept apart,record,"the client records differ, so these are different items that share a display name"
Scroll of a New Start,2,2604 2642,merged,,canonical 2604; 0 drop rows across 0 of 2 records
Shoes of Doggebi,5,629 738 849 1207 1512,merged,,canonical 629; 72 drop rows across 3 of 5 records
Shorts of Doggebi,5,630 739 850 1208 1513,merged,,canonical 630; 89 drop rows across 3 of 5 records
Smile Pumpkin Head,2,994 1009,merged,,canonical 994; 0 drop rows across 0 of 2 records
Stick of Doggebi,4,593 754 865 1227,merged,,canonical 593; 7 drop rows across 3 of 4 records
Stick of Doggebi Lord,4,595 756 867 1229,merged,,canonical 595; 7 drop rows across 3 of 4 records
Stick of High Class Doggebi,4,594 755 866 1228,merged,,canonical 594; 7 drop rows across 3 of 4 records
Stone of Birth,2,361 1157,kept apart,record,"the client records differ, so these are different items that share a display name"
Stone of Chance,2,362 1158,merged,,canonical 362; 140 drop rows across 1 of 2 records
Stone of Demon's Blood,2,905 1167,merged,,canonical 905; 0 drop rows across 0 of 2 records
Stone of EXP - 1 day,3,469 1169 1294,merged,,canonical 469; 0 drop rows across 0 of 3 records
Stone of EXP - 15 days,2,471 1139,merged,,canonical 471; 0 drop rows across 0 of 2 records
Stone of Fishery - 15 days,2,479 1141,merged,,canonical 479; 0 drop rows across 0 of 2 records
Stone of Mystery,2,904 1166,merged,,canonical 904; 0 drop rows across 0 of 2 records
Stone of Wealth - 1 day,3,473 1170 1295,merged,,canonical 473; 0 drop rows across 0 of 3 records
Stone of Wealth - 15 days,2,475 1140,merged,,canonical 475; 0 drop rows across 0 of 2 records
Strengthening Magic Scroll,2,1456 1460,merged,,canonical 1456; 0 drop rows across 0 of 2 records
Sword Pumpkin Head,2,995 1010,merged,,canonical 995; 0 drop rows across 0 of 2 records
Talisman of Intensification,36,278 279 280 281 282 286 287 288 289 290 294 295 296 297 298 302 303 304 305 306 310 311 312 313 314 315 316 317 318 327 328 329 330 331 332 523,kept apart,record,"the client records differ, so these are different items that share a display name"
Talisman of Protection,8,319 320 321 322 323 324 325 326,kept apart,record,"the client records differ, so these are different items that share a display name"
Talisman of Transmigration,2,1611 1667,merged,,canonical 1611; 9 drop rows across 1 of 2 records
Talisman of Wonder,20,275 276 277 283 284 285 291 292 293 299 300 301 307 308 309 1816 1817 1818 1819 1820,kept apart,record,"the client records differ, so these are different items that share a display name"
Teleport Scroll ,2,1540 1541,merged,,canonical 1540; 0 drop rows across 0 of 2 records
Treasure Sword of Doggebi,4,584 745 856 1218,merged,,canonical 584; 7 drop rows across 3 of 4 records
Treasure Sword of Doggebi Lord,4,586 747 858 1220,merged,,canonical 586; 7 drop rows across 3 of 4 records
Treasure Sword of High Class Doggebi,4,585 746 857 1219,merged,,canonical 585; 7 drop rows across 3 of 4 records
Tri-Colored Drink,2,2173 2366,merged,,canonical 2173; 0 drop rows across 0 of 2 records
True Firmamental Pillar,2,1455 1459,merged,,canonical 1455; 0 drop rows across 0 of 2 records
Upgraded Model of Tower,4,1028 1035 1171 1458,kept apart,record,"the client records differ, so these are different items that share a display name"
White DaeChangEau,3,382 725 836,merged,,canonical 382; 78 drop rows across 1 of 3 records
White DaeChangEau Gloves,3,384 727 838,merged,,canonical 384; 78 drop rows across 1 of 3 records
White DaeChangEau Hair Decoration,3,383 726 837,merged,,canonical 383; 78 drop rows across 1 of 3 records
White DaeChangEau Shoes,3,385 728 839,merged,,canonical 385; 78 drop rows across 1 of 3 records
White DaeChangEau Shorts,3,386 729 840,merged,,canonical 386; 78 drop rows across 1 of 3 records
[ A ],2,943 1096,kept apart,record,"the client records differ, so these are different items that share a display name"
[ C ],2,945 1097,kept apart,record,"the client records differ, so these are different items that share a display name"
[ E ],2,946 1099,kept apart,record,"the client records differ, so these are different items that share a display name"
[ H ],2,947 1101,kept apart,record,"the client records differ, so these are different items that share a display name"
[ I ],2,948 1102,kept apart,record,"the client records differ, so these are different items that share a display name"
[ L ],2,950 1103,kept apart,record,"the client records differ, so these are different items that share a display name"
[ N ],2,952 1104,kept apart,record,"the client records differ, so these are different items that share a display name"
[ O ],2,953 1105,kept apart,record,"the client records differ, so these are different items that share a display name"
[ S ],2,955 1106,kept apart,record,"the client records differ, so these are different items that share a display name"
green pepper cake,2,871 2371,kept apart,record,"the client records differ, so these are different items that share a display name"
honey rice cake,2,869 2369,kept apart,record,"the client records differ, so these are different items that share a display name"
sesame rice cake,2,870 2370,kept apart,record,"the client records differ, so these are different items that share a display name"
