bango_item_id,bango_item_name,legacy_item_id,legacy_item_name,legacy_family,prefix_a,prefix_a_name,prefix_b,prefix_b_name,bango_chance_a,legacy_chance_a,chance_a_agrees,bango_chance_b,legacy_chance_b,legacy_drop_rows,bango_drop_rows
323,Talisman of Protection,368,"""Revenges"" / ""Agile""",ToP,84,Revenges,41,Agile,17,17,y,76,59,201,352
324,Talisman of Protection,369,"""Prideful"" / ""Healthy""",ToP,85,Prideful,11,Healthy,17,17,y,76,59,201,357
325,Talisman of Protection,370,"""Ruinous"" / ""Fictional""",ToP,86,Ruinous,21,Fictional,17,17,y,76,59,201,365
326,Talisman of Protection,371,"""Glorious"" / ""Fixed""",ToP,87,Glorious,31,Fixed,17,17,y,76,59,201,359
327,Talisman of Intensification,342,"""Distinct"" / ""Merciful""",ToI,80,Distinct,35,Merciful,24,24,y,62,38,194,261
328,Talisman of Intensification,343,"""Steely"" / ""Ablaze""",ToI,81,Steely,15,Ablaze,24,24,y,62,38,194,261
329,Talisman of Intensification,344,"""Breakthroughs"" / ""Strongest Mans""",ToI,82,Breakthroughs,5,Strongest mans,24,24,y,62,38,194,261
330,Talisman of Intensification,345,"""Decisional"" / ""Dashy""",ToI,88,Decisional,45,Dashy,24,24,y,62,38,194,264
331,Talisman of Intensification,346,"""Magical Powers"" / ""Wise""",ToI,89,Magical Powers,25,Wise,24,24,y,62,38,194,297
332,Talisman of Intensification,347,"""Legendary"" / ""Rash""",ToI,90,Legendary,91,Rash,29,29,y,85,56,105,252
523,Talisman of Intensification,348,"""The King, GuhBalHans"" / ""Rash""",ToI,92,"The King, GuhBalHans",91,Rash,15,15,y,60,45,84,201
