bango_item_id,bango_item_name,changeprefix,prefix_a,prefix_b,legacy_item_id,legacy_item_name,outcome,gate_failed,note
308,Talisman of Wonder,ornament|32|44|79|41,44,41,362,"""Flexible"" / ""Agile""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
309,Talisman of Wonder,ornament|30|45|78|41,45,41,363,"""Dashy"" / ""Agile""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
310,Talisman of Intensification,weapon|24|46|61|42,46,42,324,"""Rush"" / ""Reflective""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
311,Talisman of Intensification,weapon|20|47|58|42,47,42,325,"""Fierce"" / ""Reflective""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
312,Talisman of Intensification,weapon|16|48|55|42,48,42,329,"""Flashy"" / ""Reflective""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
313,Talisman of Intensification,weapon|12|49|47|43,49,43,336,"""Unlimited"" / ""Instant""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
314,Talisman of Intensification,weapon|8|50|44|43,50,43,341,"""Gliding"" / ""Instant""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
315,Talisman of Intensification,weapon|56|51|70|58,51,58,314,"""Heavy Blows"" / ""Extreme""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
316,Talisman of Intensification,weapon|37|53|46|59,53,59,330,"""Explosive"" / ""Destructive""",accepted,,"prefix pair, family and 1:1 uniqueness all hold; Bango retuned the first roll chance 46 -> 37"
317,Talisman of Intensification,weapon|59|60|83|66,60,66,315,"""Fundamental"" / ""High Class""",accepted,,"prefix pair, family and 1:1 uniqueness all hold; Bango retuned the first roll chance 56 -> 59"
318,Talisman of Intensification,weapon|46|62|63|67,62,67,331,"""Mighty"" / ""Absoluteness""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
319,Talisman of Protection,defense|36|56|78|11,56,11,364,"""Feathery"" / ""Healthy""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
320,Talisman of Protection,defense|36|57|78|11,57,11,365,"""Mans"" / ""Healthy""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
321,Talisman of Protection,defense|36|65|78|31,65,31,366,"""Wisdoms"" / ""Fixed""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
322,Talisman of Protection,defense|17|83|76|1,83,1,367,"""Despotic"" / ""Forced""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
323,Talisman of Protection,defense|17|84|76|41,84,41,368,"""Revenges"" / ""Agile""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
324,Talisman of Protection,defense|17|85|76|11,85,11,369,"""Prideful"" / ""Healthy""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
325,Talisman of Protection,defense|17|86|76|21,86,21,370,"""Ruinous"" / ""Fictional""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
326,Talisman of Protection,defense|17|87|76|31,87,31,371,"""Glorious"" / ""Fixed""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
327,Talisman of Intensification,weapon|24|80|62|35,80,35,342,"""Distinct"" / ""Merciful""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
328,Talisman of Intensification,weapon|24|81|62|15,81,15,343,"""Steely"" / ""Ablaze""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
329,Talisman of Intensification,weapon|24|82|62|5,82,5,344,"""Breakthroughs"" / ""Strongest Mans""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
330,Talisman of Intensification,weapon|24|88|62|45,88,45,345,"""Decisional"" / ""Dashy""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
331,Talisman of Intensification,weapon|24|89|62|25,89,25,346,"""Magical Powers"" / ""Wise""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
332,Talisman of Intensification,weapon|29|90|85|91,90,91,347,"""Legendary"" / ""Rash""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
523,Talisman of Intensification,weapon|15|92|60|91,92,91,348,"""The King, GuhBalHans"" / ""Rash""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
1816,Talisman of Wonder,ornament|34|136|82|137,136,137,,,rejected,pair,no legacy talisman rolls this prefix pair
1817,Talisman of Wonder,ornament|34|138|82|139,138,139,,,rejected,pair,no legacy talisman rolls this prefix pair
1818,Talisman of Wonder,ornament|34|140|82|141,140,141,,,rejected,pair,no legacy talisman rolls this prefix pair
1819,Talisman of Wonder,ornament|34|142|82|143,142,143,,,rejected,pair,no legacy talisman rolls this prefix pair
1820,Talisman of Wonder,ornament|34|144|82|145,144,145,,,rejected,pair,no legacy talisman rolls this prefix pair
