ita_azon,ita_name,ita_class,ita_type,ita_grade,ita_lvllim,slot_index,stat_name,value,raw_vector
119,Diamond Scaled Helmet,Knight,Helmet,G50,48,13,Defense,42,|1|||||||||||9|42|2
119,Diamond Scaled Helmet,Knight,Helmet,G50,48,14,Absorb,2,|1|||||||||||9|42|2
120,Diamond Scaled Shorts,Knight,Shorts,G50,49,1,Health,1,|1|||||||||||19|28|3
120,Diamond Scaled Shorts,Knight,Shorts,G50,49,12,Evasion,19,|1|||||||||||19|28|3
120,Diamond Scaled Shorts,Knight,Shorts,G50,49,13,Defense,28,|1|||||||||||19|28|3
120,Diamond Scaled Shorts,Knight,Shorts,G50,49,14,Absorb,3,|1|||||||||||19|28|3
121,White DaeChangEau,Magician,All,G50,46,1,Health,4,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,2,Intelligence,3,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,3,Wisdom,2,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,12,Evasion,91,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,13,Defense,122,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,14,Absorb,0,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,15,Fire,21,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,16,Ice,21,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,17,Lightening,21,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,18,NonElemental,15,|4|3|2|||||||||91|122|0|21|21|21|15|15
121,White DaeChangEau,Magician,All,G50,46,19,Curse,15,|4|3|2|||||||||91|122|0|21|21|21|15|15
122,White DaeChangEau Clothes,Magician,Armor,G50,50,1,Health,2,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,2,Intelligence,3,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,12,Evasion,23,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,13,Defense,29,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,14,Absorb,0,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,15,Fire,6,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,16,Ice,6,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,17,Lightening,6,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,18,NonElemental,3,|2|3||||||||||23|29|0|6|6|6|3|3
122,White DaeChangEau Clothes,Magician,Armor,G50,50,19,Curse,3,|2|3||||||||||23|29|0|6|6|6|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,3,Wisdom,1,|||1|||||||||21|26|0|3|3|3|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,12,Evasion,21,|||1|||||||||21|26|0|3|3|3|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,13,Defense,26,|||1|||||||||21|26|0|3|3|3|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,14,Absorb,0,|||1|||||||||21|26|0|3|3|3|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,15,Fire,3,|||1|||||||||21|26|0|3|3|3|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,16,Ice,3,|||1|||||||||21|26|0|3|3|3|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,17,Lightening,3,|||1|||||||||21|26|0|3|3|3|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,18,NonElemental,3,|||1|||||||||21|26|0|3|3|3|3|3
123,White DaeChangEau Boots,Magician,Boots,G50,47,19,Curse,3,|||1|||||||||21|26|0|3|3|3|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,3,Wisdom,1,|||1|||||||||10|23|0|4|4|4|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,12,Evasion,10,|||1|||||||||10|23|0|4|4|4|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,13,Defense,23,|||1|||||||||10|23|0|4|4|4|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,14,Absorb,0,|||1|||||||||10|23|0|4|4|4|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,15,Fire,4,|||1|||||||||10|23|0|4|4|4|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,16,Ice,4,|||1|||||||||10|23|0|4|4|4|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,17,Lightening,4,|||1|||||||||10|23|0|4|4|4|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,18,NonElemental,3,|||1|||||||||10|23|0|4|4|4|3|3
124,White DaeChangEau Gloves,Magician,Gloves,G50,46,19,Curse,3,|||1|||||||||10|23|0|4|4|4|3|3
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,1,Health,1,|1|||||||||||12|23|0|5|5|5|2|2
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,12,Evasion,12,|1|||||||||||12|23|0|5|5|5|2|2
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,13,Defense,23,|1|||||||||||12|23|0|5|5|5|2|2
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,14,Absorb,0,|1|||||||||||12|23|0|5|5|5|2|2
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,15,Fire,5,|1|||||||||||12|23|0|5|5|5|2|2
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,16,Ice,5,|1|||||||||||12|23|0|5|5|5|2|2
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,17,Lightening,5,|1|||||||||||12|23|0|5|5|5|2|2
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,18,NonElemental,2,|1|||||||||||12|23|0|5|5|5|2|2
125,White DaeChangEau Hair Decoration,Magician,Helmet,G50,48,19,Curse,2,|1|||||||||||12|23|0|5|5|5|2|2
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,1,Health,1,|1|||||||||||25|21|0|3|3|3|3|3
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,12,Evasion,25,|1|||||||||||25|21|0|3|3|3|3|3
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,13,Defense,21,|1|||||||||||25|21|0|3|3|3|3|3
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,14,Absorb,0,|1|||||||||||25|21|0|3|3|3|3|3
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,15,Fire,3,|1|||||||||||25|21|0|3|3|3|3|3
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,16,Ice,3,|1|||||||||||25|21|0|3|3|3|3|3
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,17,Lightening,3,|1|||||||||||25|21|0|3|3|3|3|3
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,18,NonElemental,3,|1|||||||||||25|21|0|3|3|3|3|3
126,White DaeChangEau Shorts,Magician,Shorts,G50,49,19,Curse,3,|1|||||||||||25|21|0|3|3|3|3|3
127,Armor of Doggebi,Archer,All,G55,51,0,Strength,2,2|7|||6||||||||115|176|11
127,Armor of Doggebi,Archer,All,G55,51,1,Health,7,2|7|||6||||||||115|176|11
127,Armor of Doggebi,Archer,All,G55,51,4,Agility,6,2|7|||6||||||||115|176|11
127,Armor of Doggebi,Archer,All,G55,51,12,Evasion,115,2|7|||6||||||||115|176|11
127,Armor of Doggebi,Archer,All,G55,51,13,Defense,176,2|7|||6||||||||115|176|11
127,Armor of Doggebi,Archer,All,G55,51,14,Absorb,11,2|7|||6||||||||115|176|11
128,Armor of Doggebi,Archer,Armor,G55,55,1,Health,3,|3|||4||||||||19|54|4
128,Armor of Doggebi,Archer,Armor,G55,55,4,Agility,4,|3|||4||||||||19|54|4
128,Armor of Doggebi,Archer,Armor,G55,55,12,Evasion,19,|3|||4||||||||19|54|4
128,Armor of Doggebi,Archer,Armor,G55,55,13,Defense,54,|3|||4||||||||19|54|4
128,Armor of Doggebi,Archer,Armor,G55,55,14,Absorb,4,|3|||4||||||||19|54|4
129,Boots of Doggebi,Archer,Boots,G55,52,4,Agility,2,||||2||||||||34|32|1
129,Boots of Doggebi,Archer,Boots,G55,52,12,Evasion,34,||||2||||||||34|32|1
129,Boots of Doggebi,Archer,Boots,G55,52,13,Defense,32,||||2||||||||34|32|1
129,Boots of Doggebi,Archer,Boots,G55,52,14,Absorb,1,||||2||||||||34|32|1
130,Gloves of Doggebi,Archer,Gloves,G55,51,0,Strength,2,2||||||||||||11|33|2
130,Gloves of Doggebi,Archer,Gloves,G55,51,12,Evasion,11,2||||||||||||11|33|2
130,Gloves of Doggebi,Archer,Gloves,G55,51,13,Defense,33,2||||||||||||11|33|2
130,Gloves of Doggebi,Archer,Gloves,G55,51,14,Absorb,2,2||||||||||||11|33|2
1,Leather Armor,Archer,All,G08,1,12,Evasion,15,||||||||||||15|23|0
1,Leather Armor,Archer,All,G08,1,13,Defense,23,||||||||||||15|23|0
1,Leather Armor,Archer,All,G08,1,14,Absorb,0,||||||||||||15|23|0
2,Leather Armor,Archer,Armor,G08,1,12,Evasion,0,||||||||||||0|9|0
2,Leather Armor,Archer,Armor,G08,1,13,Defense,9,||||||||||||0|9|0
2,Leather Armor,Archer,Armor,G08,1,14,Absorb,0,||||||||||||0|9|0
3,Leather Armor Boots,Archer,Boots,G08,1,12,Evasion,5,||||||||||||5|4|0
3,Leather Armor Boots,Archer,Boots,G08,1,13,Defense,4,||||||||||||5|4|0
3,Leather Armor Boots,Archer,Boots,G08,1,14,Absorb,0,||||||||||||5|4|0
4,Leather Armor Gloves,Archer,Gloves,G08,1,12,Evasion,1,||||||||||||1|4|0
4,Leather Armor Gloves,Archer,Gloves,G08,1,13,Defense,4,||||||||||||1|4|0
4,Leather Armor Gloves,Archer,Gloves,G08,1,14,Absorb,0,||||||||||||1|4|0
5,Leather Armor Hood,Archer,Helmet,G08,1,12,Evasion,2,||||||||||||2|4|0
5,Leather Armor Hood,Archer,Helmet,G08,1,13,Defense,4,||||||||||||2|4|0
5,Leather Armor Hood,Archer,Helmet,G08,1,14,Absorb,0,||||||||||||2|4|0
6,Leather Armor Shorts,Archer,Shorts,G08,1,12,Evasion,7,||||||||||||7|2|0
6,Leather Armor Shorts,Archer,Shorts,G08,1,13,Defense,2,||||||||||||7|2|0
6,Leather Armor Shorts,Archer,Shorts,G08,1,14,Absorb,0,||||||||||||7|2|0
7,SaSaEul Armor,Knight,All,G08,1,12,Evasion,12,||||||||||||12|30|3
7,SaSaEul Armor,Knight,All,G08,1,13,Defense,30,||||||||||||12|30|3
7,SaSaEul Armor,Knight,All,G08,1,14,Absorb,3,||||||||||||12|30|3
8,SaSaEul Armor,Knight,Armor,G08,1,12,Evasion,1,||||||||||||1|12|1
8,SaSaEul Armor,Knight,Armor,G08,1,13,Defense,12,||||||||||||1|12|1
8,SaSaEul Armor,Knight,Armor,G08,1,14,Absorb,1,||||||||||||1|12|1
9,SaSaEul Boots,Knight,Boots,G08,1,12,Evasion,4,||||||||||||4|3|1
9,SaSaEul Boots,Knight,Boots,G08,1,13,Defense,3,||||||||||||4|3|1
9,SaSaEul Boots,Knight,Boots,G08,1,14,Absorb,1,||||||||||||4|3|1
10,SaSaEul Gloves,Knight,Gloves,G08,1,12,Evasion,1,||||||||||||1|7|0
10,SaSaEul Gloves,Knight,Gloves,G08,1,13,Defense,7,||||||||||||1|7|0
10,SaSaEul Gloves,Knight,Gloves,G08,1,14,Absorb,0,||||||||||||1|7|0
11,SaSaEul Helmet,Knight,Helmet,G08,1,12,Evasion,1,||||||||||||1|5|1
11,SaSaEul Helmet,Knight,Helmet,G08,1,13,Defense,5,||||||||||||1|5|1
11,SaSaEul Helmet,Knight,Helmet,G08,1,14,Absorb,1,||||||||||||1|5|1
12,SaSaEul Shorts,Knight,Shorts,G08,1,12,Evasion,5,||||||||||||5|3|0
12,SaSaEul Shorts,Knight,Shorts,G08,1,13,Defense,3,||||||||||||5|3|0
12,SaSaEul Shorts,Knight,Shorts,G08,1,14,Absorb,0,||||||||||||5|3|0
13,MyungJoo HakChangEau,Magician,All,G08,1,12,Evasion,20,||||||||||||20|20|0|0|0|0|0|0
13,MyungJoo HakChangEau,Magician,All,G08,1,13,Defense,20,||||||||||||20|20|0|0|0|0|0|0
13,MyungJoo HakChangEau,Magician,All,G08,1,14,Absorb,0,||||||||||||20|20|0|0|0|0|0|0
13,MyungJoo HakChangEau,Magician,All,G08,1,15,Fire,0,||||||||||||20|20|0|0|0|0|0|0
13,MyungJoo HakChangEau,Magician,All,G08,1,16,Ice,0,||||||||||||20|20|0|0|0|0|0|0
13,MyungJoo HakChangEau,Magician,All,G08,1,17,Lightening,0,||||||||||||20|20|0|0|0|0|0|0
13,MyungJoo HakChangEau,Magician,All,G08,1,18,NonElemental,0,||||||||||||20|20|0|0|0|0|0|0
13,MyungJoo HakChangEau,Magician,All,G08,1,19,Curse,0,||||||||||||20|20|0|0|0|0|0|0
14,MyungJoo HakChangEau Clothes,Magician,Armor,G08,1,12,Evasion,3,||||||||||||3|7|0|0|0|0|0|0
14,MyungJoo HakChangEau Clothes,Magician,Armor,G08,1,13,Defense,7,||||||||||||3|7|0|0|0|0|0|0
14,MyungJoo HakChangEau Clothes,Magician,Armor,G08,1,14,Absorb,0,||||||||||||3|7|0|0|0|0|0|0
14,MyungJoo HakChangEau Clothes,Magician,Armor,G08,1,15,Fire,0,||||||||||||3|7|0|0|0|0|0|0
14,MyungJoo HakChangEau Clothes,Magician,Armor,G08,1,16,Ice,0,||||||||||||3|7|0|0|0|0|0|0
14,MyungJoo HakChangEau Clothes,Magician,Armor,G08,1,17,Lightening,0,||||||||||||3|7|0|0|0|0|0|0
14,MyungJoo HakChangEau Clothes,Magician,Armor,G08,1,18,NonElemental,0,||||||||||||3|7|0|0|0|0|0|0
14,MyungJoo HakChangEau Clothes,Magician,Armor,G08,1,19,Curse,0,||||||||||||3|7|0|0|0|0|0|0
15,MyungJoo HakChangEau Boots,Magician,Boots,G08,1,12,Evasion,6,||||||||||||6|4|0|0|0|0|0|0
15,MyungJoo HakChangEau Boots,Magician,Boots,G08,1,13,Defense,4,||||||||||||6|4|0|0|0|0|0|0
15,MyungJoo HakChangEau Boots,Magician,Boots,G08,1,14,Absorb,0,||||||||||||6|4|0|0|0|0|0|0
15,MyungJoo HakChangEau Boots,Magician,Boots,G08,1,15,Fire,0,||||||||||||6|4|0|0|0|0|0|0
15,MyungJoo HakChangEau Boots,Magician,Boots,G08,1,16,Ice,0,||||||||||||6|4|0|0|0|0|0|0
15,MyungJoo HakChangEau Boots,Magician,Boots,G08,1,17,Lightening,0,||||||||||||6|4|0|0|0|0|0|0
15,MyungJoo HakChangEau Boots,Magician,Boots,G08,1,18,NonElemental,0,||||||||||||6|4|0|0|0|0|0|0
15,MyungJoo HakChangEau Boots,Magician,Boots,G08,1,19,Curse,0,||||||||||||6|4|0|0|0|0|0|0
16,MyungJoo HakChangEau Gloves,Magician,Gloves,G08,1,12,Evasion,2,||||||||||||2|3|0|0|0|0|0|0
