pre_azon,pre_name,pre_grd,slot_index,stat_name,value,raw_vector
78,Veteran Scholars,1,9,MDMin,2,||3|2|2|50||||2|3
78,Veteran Scholars,1,10,MDMax,3,||3|2|2|50||||2|3
79,Expert Scholars,2,2,Intelligence,4,||4|3|3|50|50|||2|5
79,Expert Scholars,2,3,Wisdom,3,||4|3|3|50|50|||2|5
79,Expert Scholars,2,4,Agility,3,||4|3|3|50|50|||2|5
79,Expert Scholars,2,5,HP,50,||4|3|3|50|50|||2|5
79,Expert Scholars,2,6,MP,50,||4|3|3|50|50|||2|5
79,Expert Scholars,2,9,MDMin,2,||4|3|3|50|50|||2|5
79,Expert Scholars,2,10,MDMax,5,||4|3|3|50|50|||2|5
80,Distinct,3,1,Health,2,|2|3|5|2|90|110|||||||2
80,Distinct,3,2,Intelligence,3,|2|3|5|2|90|110|||||||2
80,Distinct,3,3,Wisdom,5,|2|3|5|2|90|110|||||||2
80,Distinct,3,4,Agility,2,|2|3|5|2|90|110|||||||2
80,Distinct,3,5,HP,90,|2|3|5|2|90|110|||||||2
80,Distinct,3,6,MP,110,|2|3|5|2|90|110|||||||2
80,Distinct,3,13,Defense,2,|2|3|5|2|90|110|||||||2
81,Steely,,0,Strength,2,2|5||2|3|150||||||||5
81,Steely,,1,Health,5,2|5||2|3|150||||||||5
81,Steely,,3,Wisdom,2,2|5||2|3|150||||||||5
81,Steely,,4,Agility,3,2|5||2|3|150||||||||5
81,Steely,,5,HP,150,2|5||2|3|150||||||||5
81,Steely,,13,Defense,5,2|5||2|3|150||||||||5
82,Breakthroughs,3,0,Strength,5,5|2||2|3|100|100|||||1
82,Breakthroughs,3,1,Health,2,5|2||2|3|100|100|||||1
82,Breakthroughs,3,3,Wisdom,2,5|2||2|3|100|100|||||1
82,Breakthroughs,3,4,Agility,3,5|2||2|3|100|100|||||1
82,Breakthroughs,3,5,HP,100,5|2||2|3|100|100|||||1
82,Breakthroughs,3,6,MP,100,5|2||2|3|100|100|||||1
82,Breakthroughs,3,11,OTP,1,5|2||2|3|100|100|||||1
83,Despotic,1,0,Strength,2,2|1||||||||||1
83,Despotic,1,1,Health,1,2|1||||||||||1
83,Despotic,1,11,OTP,1,2|1||||||||||1
84,Revenges,1,3,Wisdom,1,|||1|2|||||||1
84,Revenges,1,4,Agility,2,|||1|2|||||||1
84,Revenges,1,11,OTP,1,|||1|2|||||||1
85,Prideful,1,1,Health,2,|2|||1|60||||||||1
85,Prideful,1,4,Agility,1,|2|||1|60||||||||1
85,Prideful,1,5,HP,60,|2|||1|60||||||||1
85,Prideful,1,13,Defense,1,|2|||1|60||||||||1
86,Ruinous,1,1,Health,1,|1|2||||30|||||||2
86,Ruinous,1,2,Intelligence,2,|1|2||||30|||||||2
86,Ruinous,1,6,MP,30,|1|2||||30|||||||2
86,Ruinous,1,13,Defense,2,|1|2||||30|||||||2
87,Glorious,1,3,Wisdom,2,|||2|1||30|||||||2
87,Glorious,1,4,Agility,1,|||2|1||30|||||||2
87,Glorious,1,6,MP,30,|||2|1||30|||||||2
87,Glorious,1,13,Defense,2,|||2|1||30|||||||2
88,Decisional,3,0,Strength,3,3|2||2|5|120|80|||||||2
88,Decisional,3,1,Health,2,3|2||2|5|120|80|||||||2
88,Decisional,3,3,Wisdom,2,3|2||2|5|120|80|||||||2
88,Decisional,3,4,Agility,5,3|2||2|5|120|80|||||||2
88,Decisional,3,5,HP,120,3|2||2|5|120|80|||||||2
88,Decisional,3,6,MP,80,3|2||2|5|120|80|||||||2
88,Decisional,3,13,Defense,2,3|2||2|5|120|80|||||||2
89,Magical Powers,3,1,Health,2,|2|5|3|2|50|150|||||||2
89,Magical Powers,3,2,Intelligence,5,|2|5|3|2|50|150|||||||2
89,Magical Powers,3,3,Wisdom,3,|2|5|3|2|50|150|||||||2
89,Magical Powers,3,4,Agility,2,|2|5|3|2|50|150|||||||2
89,Magical Powers,3,5,HP,50,|2|5|3|2|50|150|||||||2
89,Magical Powers,3,6,MP,150,|2|5|3|2|50|150|||||||2
89,Magical Powers,3,13,Defense,2,|2|5|3|2|50|150|||||||2
90,Legendary,3,0,Strength,5,5|5|5|5|5|75|75|||||||5
90,Legendary,3,1,Health,5,5|5|5|5|5|75|75|||||||5
90,Legendary,3,2,Intelligence,5,5|5|5|5|5|75|75|||||||5
90,Legendary,3,3,Wisdom,5,5|5|5|5|5|75|75|||||||5
90,Legendary,3,4,Agility,5,5|5|5|5|5|75|75|||||||5
90,Legendary,3,5,HP,75,5|5|5|5|5|75|75|||||||5
90,Legendary,3,6,MP,75,5|5|5|5|5|75|75|||||||5
90,Legendary,3,13,Defense,5,5|5|5|5|5|75|75|||||||5
91,Rash,1,5,HP,360,|||||360||||||||3
91,Rash,1,13,Defense,3,|||||360||||||||3
92,"The King, GuhBalHans",3,0,Strength,6,6|6|6|6|6|100|80|||||||5
92,"The King, GuhBalHans",3,1,Health,6,6|6|6|6|6|100|80|||||||5
92,"The King, GuhBalHans",3,2,Intelligence,6,6|6|6|6|6|100|80|||||||5
92,"The King, GuhBalHans",3,3,Wisdom,6,6|6|6|6|6|100|80|||||||5
92,"The King, GuhBalHans",3,4,Agility,6,6|6|6|6|6|100|80|||||||5
92,"The King, GuhBalHans",3,5,HP,100,6|6|6|6|6|100|80|||||||5
92,"The King, GuhBalHans",3,6,MP,80,6|6|6|6|6|100|80|||||||5
92,"The King, GuhBalHans",3,13,Defense,5,6|6|6|6|6|100|80|||||||5
93,Excessiveness,0,0,Strength,3,3||||3
93,Excessiveness,0,4,Agility,3,3||||3
94,Vigor,0,0,Strength,3,3|3
94,Vigor,0,1,Health,3,3|3
95,Explosion,0,0,Strength,3,3||3
95,Explosion,0,2,Intelligence,3,3||3
96,Courage,0,0,Strength,3,3|||3
96,Courage,0,3,Wisdom,3,3|||3
97,Wisdom,0,2,Intelligence,3,||3|3
97,Wisdom,0,3,Wisdom,3,||3|3
98,Knowledge,0,1,Health,3,|3|3
98,Knowledge,0,2,Intelligence,3,|3|3
99,Quickness,0,2,Intelligence,3,||3||3
99,Quickness,0,4,Agility,3,||3||3
100,Meditation,0,3,Wisdom,3,|||3|3
100,Meditation,0,4,Agility,3,|||3|3
101,Maturity,0,1,Health,3,|3|||3
101,Maturity,0,4,Agility,3,|3|||3
102,Sage,0,1,Health,3,|3||3
102,Sage,0,3,Wisdom,3,|3||3
